District,Poll Number,Poll Name,Cheryl Gallant,Rob Jamieson,Gordon S McLeod,Sue McSheffrey,Stanley Sambey,Rejected Ballots,Total Vote,Electors
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,1,Head,10,3,0,7,0,0,20,29
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,2,Head,74,26,1,11,1,0,113,172
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,3,Rolphton,70,88,1,16,4,1,180,298
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,4,Point Alexander,112,68,6,20,6,0,212,366
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,5,Deep River,91,199,7,33,2,0,332,531
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,6,Deep River,82,195,5,13,7,1,303,476
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,7,Deep River,64,149,14,45,4,0,276,436
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,8,Deep River,62,106,2,26,9,4,209,359
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,9A,Deep River,44,131,7,16,2,3,203,385
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,9B,Mobile poll/Bureau itinérant,6,8,0,4,0,0,18,24
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,10A,Deep River,46,97,4,27,1,0,175,283
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,10B,Mobile poll/Bureau itinérant,Merged with No. 9B,,,,,,,11
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,11,Deep River,63,90,2,22,1,0,178,311
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,12A,Deep River,49,73,7,30,6,2,167,367
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,12B,Mobile poll/Bureau itinérant,Merged with No. 9B,,,,,,,11
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,13,Wylie,31,30,2,1,0,0,64,109
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,14,Chalk River,112,65,5,18,9,0,209,398
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,15,Chalk River,92,70,1,24,8,0,195,312
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,16,Mountain View,136,113,6,42,5,1,303,524
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,17,Petawawa,80,39,9,27,4,1,160,540
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,18,Petawawa,48,17,1,9,3,1,79,258
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,19,Petawawa,13,7,0,1,1,0,22,90
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,20,Petawawa,26,10,0,14,0,1,51,239
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,21,Petawawa,51,27,3,10,5,0,96,292
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,22,Petawawa,94,89,8,36,2,0,229,452
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,23,Petawawa,131,74,7,32,6,1,251,607
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,24,Petawawa,80,60,1,17,3,2,163,405
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,25,Petawawa,47,29,4,20,1,0,101,244
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,26,Petawawa,62,21,3,28,2,0,116,482
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,27,Petawawa,23,14,3,10,1,0,51,239
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,28,Petawawa,79,36,2,16,4,0,137,301
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,29,Petawawa,82,59,4,31,3,1,180,383
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,30,Petawawa,79,57,9,20,4,1,170,356
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,31,Petawawa,115,75,4,26,7,2,229,567
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,32,Petawawa,138,72,6,28,3,0,247,503
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,33,Petawawa,113,62,7,20,5,0,207,398
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,34,Petawawa,123,78,6,21,4,0,232,487
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,35,Petawawa,134,114,7,31,5,2,293,539
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,36,Petawawa,171,129,11,25,4,3,343,656
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,37,Petawawa,84,49,4,23,2,0,162,337
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,38,Petawawa,122,89,4,23,7,1,246,465
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,39,Petawawa,133,51,6,23,2,2,217,392
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,40,Achray,191,111,6,31,9,2,350,574
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,41,Hiam,219,54,10,31,2,1,317,469
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,42,Locksley,228,100,9,50,6,0,393,566
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,43,Davis Mills,199,70,9,17,2,1,298,516
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,44,Hiam,136,56,7,17,2,0,218,325
Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke,45,Forest Lea,158,87,3,34,6,0,288,468
