District,Poll Number,Poll Name,Paule Brunelle,Jean-Éric Guindon,Linda Lavoie,Jean-Guy Mercier,Marc Tessier,Rejected Ballots,Total Vote,Electors
Trois-Rivières/Trois-Rivières,1,Saint-Louis-de-France,118,36,9,26,7,6,202,399
Trois-Rivières/Trois-Rivières,2,Saint-Louis-de-France,123,18,6,44,9,11,211,434
Trois-Rivières/Trois-Rivières,3,Saint-Louis-de-France,85,22,6,20,7,4,144,295
Trois-Rivières/Trois-Rivières,4,Saint-Louis-de-France,174,48,14,32,5,15,288,517
Trois-Rivières/Trois-Rivières,5,Saint-Louis-de-France,181,47,5,23,4,7,267,529
Trois-Rivières/Trois-Rivières,6,Saint-Louis-de-France,112,41,7,16,5,1,182,324
Trois-Rivières/Trois-Rivières,7,Saint-Louis-de-France,152,29,7,24,5,4,221,398
Trois-Rivières/Trois-Rivières,8,Saint-Louis-de-France,178,39,17,36,8,15,293,504
Trois-Rivières/Trois-Rivières,9,Saint-Louis-de-France,157,28,11,25,7,12,240,417
Trois-Rivières/Trois-Rivières,10,Saint-Louis-de-France,147,31,12,23,10,8,231,483
Trois-Rivières/Trois-Rivières,11,Saint-Louis-de-France,152,40,9,31,11,5,248,413
Trois-Rivières/Trois-Rivières,12,Saint-Louis-de-France,169,38,10,14,10,9,250,394
Trois-Rivières/Trois-Rivières,13,Saint-Louis-de-France,166,46,8,34,11,4,269,447
Trois-Rivières/Trois-Rivières,14,Trois-Rivières,122,36,17,25,6,9,215,382
Trois-Rivières/Trois-Rivières,15,Trois-Rivières,193,49,8,24,8,10,292,512
Trois-Rivières/Trois-Rivières,16,Trois-Rivières,195,58,14,20,13,14,314,504
Trois-Rivières/Trois-Rivières,17,Trois-Rivières,161,71,8,26,5,4,275,505
Trois-Rivières/Trois-Rivières,18,Trois-Rivières,127,75,14,27,14,7,264,436
Trois-Rivières/Trois-Rivières,19,Trois-Rivières,92,37,9,22,8,0,168,402
Trois-Rivières/Trois-Rivières,20,Trois-Rivières,124,27,5,27,6,6,195,564
Trois-Rivières/Trois-Rivières,21,Trois-Rivières,100,34,6,21,10,7,178,285
Trois-Rivières/Trois-Rivières,22,Trois-Rivières,101,49,10,27,8,13,208,372
Trois-Rivières/Trois-Rivières,23,Trois-Rivières,99,20,4,15,5,11,154,289
Trois-Rivières/Trois-Rivières,24,Trois-Rivières,138,39,8,17,4,0,206,379
Trois-Rivières/Trois-Rivières,25,Trois-Rivières,147,56,9,8,18,7,245,353
Trois-Rivières/Trois-Rivières,26,Trois-Rivières,153,52,9,18,12,8,252,415
Trois-Rivières/Trois-Rivières,27,Trois-Rivières,150,58,5,34,7,10,264,429
Trois-Rivières/Trois-Rivières,28,Trois-Rivières,157,87,10,28,8,4,294,471
Trois-Rivières/Trois-Rivières,29,Trois-Rivières,179,85,7,44,14,11,340,578
Trois-Rivières/Trois-Rivières,30,Trois-Rivières,102,28,4,8,8,7,157,268
Trois-Rivières/Trois-Rivières,31,Trois-Rivières,111,64,9,13,15,10,222,354
