District,Poll Number,Poll Name,Denis Coderre,Philippe Gauvin,Frédéric Grenier,Noémi Lopinto,Doris Provencher,Geneviève Royer,Stefano Saykaly,Rejected Ballots,Total Vote,Electors
Bourassa/Bourassa,1,Montréal,124,1,13,1,27,0,5,2,173,362
Bourassa/Bourassa,2,Montréal,81,5,6,4,80,1,7,7,191,417
Bourassa/Bourassa,3,Montréal,127,2,20,4,121,0,17,3,294,477
Bourassa/Bourassa,4,Montréal,143,5,10,2,73,3,7,5,248,519
Bourassa/Bourassa,5,Montréal,73,1,7,2,47,1,6,2,139,282
Bourassa/Bourassa,6,Montréal,198,2,18,3,56,0,9,8,294,550
Bourassa/Bourassa,7,Montréal,69,1,18,0,119,0,9,1,217,436
Bourassa/Bourassa,8,Montréal,125,4,12,1,67,0,6,7,222,442
Bourassa/Bourassa,9,Montréal,183,2,16,5,38,1,5,2,252,401
Bourassa/Bourassa,10,Montréal,205,3,16,3,37,1,4,3,272,527
Bourassa/Bourassa,11,Montréal,199,2,10,1,29,1,10,4,256,429
Bourassa/Bourassa,12,Montréal,173,1,16,2,29,3,4,8,236,529
Bourassa/Bourassa,13,Montréal,123,2,24,8,136,0,15,5,313,554
Bourassa/Bourassa,14,Montréal,Merged with No. 400,,,,,,,,,3
Bourassa/Bourassa,15,Montréal,91,3,21,9,146,0,8,4,282,464
Bourassa/Bourassa,16A,Montréal-Nord,179,0,11,5,124,0,2,3,324,455
Bourassa/Bourassa,16B,Montréal-Nord,175,2,6,4,117,1,6,6,317,499
Bourassa/Bourassa,17A,Montréal-Nord,132,2,6,2,64,2,4,7,219,340
Bourassa/Bourassa,17B,Montréal-Nord,124,0,10,5,45,0,4,7,195,340
Bourassa/Bourassa,18,Montréal-Nord,117,1,9,1,60,2,4,18,212,409
Bourassa/Bourassa,19,Montréal-Nord,78,0,6,1,75,0,6,7,173,455
Bourassa/Bourassa,20,Montréal-Nord,108,3,9,2,51,0,9,7,189,503
Bourassa/Bourassa,21,Montréal-Nord,189,0,15,0,86,1,11,9,311,422
Bourassa/Bourassa,22,Montréal-Nord,68,0,4,2,32,1,4,2,113,177
Bourassa/Bourassa,23,Montréal-Nord,75,0,6,2,87,3,4,6,183,552
Bourassa/Bourassa,24,Montréal-Nord,167,1,16,7,64,0,7,3,265,455
Bourassa/Bourassa,25,Montréal-Nord,61,3,6,0,72,2,9,8,161,549
Bourassa/Bourassa,26,Montréal-Nord,158,3,11,2,81,0,9,9,273,456
Bourassa/Bourassa,27,Montréal-Nord,172,0,17,6,76,0,19,1,291,397
Bourassa/Bourassa,28,Montréal-Nord,101,2,17,2,78,0,8,4,212,453
Bourassa/Bourassa,29,Montréal-Nord,158,3,10,4,49,0,18,8,250,446
Bourassa/Bourassa,30,Montréal-Nord,100,1,8,2,70,2,12,2,197,521
Bourassa/Bourassa,31,Montréal-Nord,58,3,7,2,93,0,7,5,175,571
Bourassa/Bourassa,32,Montréal-Nord,115,1,8,6,58,0,5,4,197,502
Bourassa/Bourassa,33,Montréal-Nord,30,0,6,1,56,0,4,1,98,321
Bourassa/Bourassa,34,Montréal-Nord,56,2,16,3,68,0,8,7,160,373
Bourassa/Bourassa,35,Montréal-Nord,64,4,10,2,76,1,4,4,165,519
Bourassa/Bourassa,36,Montréal-Nord,78,2,12,1,64,1,8,3,169,528
Bourassa/Bourassa,37,Montréal-Nord,67,2,6,3,64,0,8,9,159,469
Bourassa/Bourassa,38,Montréal-Nord,41,3,10,2,72,0,3,9,140,408
Bourassa/Bourassa,39,Montréal-Nord,116,1,15,1,47,0,3,7,190,479
Bourassa/Bourassa,40,Montréal-Nord,67,2,10,2,39,0,7,10,137,413
Bourassa/Bourassa,41,Montréal-Nord,39,2,9,1,44,0,0,4,99,321
Bourassa/Bourassa,42,Montréal-Nord,88,3,13,0,72,0,6,8,190,402
Bourassa/Bourassa,43,Montréal-Nord,102,4,10,9,67,0,8,3,203,373
