District,Poll Number,Poll Name,Lewis Dahlby,George Gidora,Pat Goff,Charley King,James Moore,Kwangyul Peck,Richard Voigt,Rejected Ballots,Total Vote,Electors
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,1,Indian Arm,Merged with No. 2,,,,,,,,,14
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,2,Anmore,0,1,1,75,110,82,23,3,295,505
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,3,Anmore,1,0,0,59,122,79,14,0,275,474
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,4,Belcarra,0,0,0,40,100,58,17,0,215,310
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,5,Port Moody,2,0,0,35,80,51,5,0,173,226
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,6,Port Moody,2,0,0,56,135,72,14,0,279,420
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,7,Port Moody,0,0,0,57,81,66,19,1,224,305
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,8,Port Moody,1,0,0,57,101,72,9,1,241,341
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,9,Port Moody,0,0,0,25,85,50,8,2,170,299
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,10A,Port Moody,2,0,1,18,136,112,8,0,277,447
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,10B,Port Moody,0,1,0,23,128,77,5,0,234,395
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,11,Port Moody,0,0,1,73,128,48,18,2,270,428
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,12,Port Moody,0,0,0,65,78,63,14,0,220,328
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,13,Port Moody,1,0,0,81,101,73,16,0,272,437
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,14,Port Moody,1,0,0,35,107,67,2,0,212,351
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,15,Port Moody,0,0,0,19,90,66,7,0,182,318
Port Moody--Westwood--Port Coquitlam/Port Moody--Westwood--Port Coquitlam,16,Port Moody,0,0,0,39,98,150,6,0,293,437
