District,Poll Number,Poll Name,Charlie Angus,Raymond Chénier,Marsha Gail Kriss,Andrew Van Oosten,Rejected Ballots,Total Vote,Electors
Timmins--James Bay/Timmins--Baie James,1,Peawanuck,9,28,5,1,0,43,121
Timmins--James Bay/Timmins--Baie James,2,Attawapiskat 91A,52,46,17,6,4,125,727
Timmins--James Bay/Timmins--Baie James,3,Fort Albany 67,70,51,8,5,4,138,578
Timmins--James Bay/Timmins--Baie James,4,Marten Falls 65,18,8,13,2,0,41,105
Timmins--James Bay/Timmins--Baie James,5,Calstock,Void,,,,,,
Timmins--James Bay/Timmins--Baie James,6,Lac-Ste-Thérèse,Void,,,,,,
Timmins--James Bay/Timmins--Baie James,7,Fort Albany 67,49,60,2,3,0,114,290
Timmins--James Bay/Timmins--Baie James,8,Moosonee,19,17,3,11,1,51,302
Timmins--James Bay/Timmins--Baie James,9,Moosonee,34,29,7,18,0,88,359
Timmins--James Bay/Timmins--Baie James,10,Moosonee,24,18,6,6,0,54,377
Timmins--James Bay/Timmins--Baie James,11,Moose Factory 68,50,49,4,7,0,110,473
Timmins--James Bay/Timmins--Baie James,12,Moose Factory 68,31,60,6,10,0,107,597
Timmins--James Bay/Timmins--Baie James,13,Smooth Rock Falls,Void,,,,,,
Timmins--James Bay/Timmins--Baie James,14,Glackmeyer,27,48,2,14,2,93,166
Timmins--James Bay/Timmins--Baie James,15,Glackmeyer,50,92,7,18,1,168,408
Timmins--James Bay/Timmins--Baie James,16,Cochrane,62,108,5,19,2,196,437
Timmins--James Bay/Timmins--Baie James,17,Cochrane,70,105,14,32,1,222,680
Timmins--James Bay/Timmins--Baie James,18,Cochrane,62,75,4,15,1,157,362
Timmins--James Bay/Timmins--Baie James,19,Cochrane,60,97,6,29,2,194,333
Timmins--James Bay/Timmins--Baie James,20,Cochrane,56,83,11,21,0,171,348
Timmins--James Bay/Timmins--Baie James,21,Cochrane,42,66,10,18,0,136,304
Timmins--James Bay/Timmins--Baie James,22,Cochrane,35,61,8,14,1,119,287
Timmins--James Bay/Timmins--Baie James,23,Cochrane,64,92,4,29,1,190,415
