District,Poll Number,Poll Name,Marc-André Gauthier,Michel Gauthier,Ghislain Lavoie,Michel Mallette,Isabelle Tremblay,Rejected Ballots,Total Vote,Electors
Roberval/Roberval,1,Saint-Thomas-Didyme,6,133,11,21,5,1,177,265
Roberval/Roberval,2,Saint-Thomas-Didyme,3,111,15,33,9,5,176,335
Roberval/Roberval,3,Saint-Edmond,9,133,13,64,6,8,233,380
Roberval/Roberval,4,Girardville,6,64,14,45,6,1,136,241
Roberval/Roberval,5,Girardville,6,53,15,29,7,2,112,202
Roberval/Roberval,6,Girardville,5,62,6,28,5,3,109,206
Roberval/Roberval,7,Girardville,5,67,24,58,10,2,166,297
Roberval/Roberval,8,Albanel,2,63,6,24,4,1,100,261
Roberval/Roberval,9,Albanel,1,144,5,23,2,4,179,412
Roberval/Roberval,10,Albanel,4,100,14,36,3,4,161,309
Roberval/Roberval,11,Albanel,6,89,11,31,6,3,146,253
Roberval/Roberval,12,Albanel,6,104,15,40,6,2,173,290
Roberval/Roberval,13,Albanel,3,77,16,43,3,3,145,235
Roberval/Roberval,14,Normandin,7,97,16,51,10,4,185,326
Roberval/Roberval,15,Normandin,2,109,18,52,10,5,196,372
Roberval/Roberval,16,Normandin,4,116,10,44,10,2,186,366
Roberval/Roberval,17,Normandin,12,113,26,83,7,8,249,491
Roberval/Roberval,18,Normandin,6,135,25,52,7,3,228,435
Roberval/Roberval,19,Normandin,3,88,26,58,8,11,194,406
Roberval/Roberval,20,Normandin,6,64,10,53,7,2,142,287
Roberval/Roberval,21,Saint-Félicien,2,109,9,21,4,5,150,246
Roberval/Roberval,22,Saint-Félicien,11,141,20,39,22,6,239,420
Roberval/Roberval,23,Saint-Méthode,9,124,10,43,7,5,198,367
Roberval/Roberval,24,Sainte-Élisabeth-de-Proulx,2,50,1,6,0,1,60,134
Roberval/Roberval,25,Sainte-Jeanne-d'Arc,4,82,12,25,2,1,126,248
Roberval/Roberval,26,Sainte-Jeanne-d'Arc,13,177,34,105,8,9,346,628
Roberval/Roberval,27,Péribonka,5,176,17,49,2,5,254,409
Roberval/Roberval,28,Saint-Augustin,3,83,14,64,7,0,171,307
Roberval/Roberval,29,Saint-Ludger-de-Milot,7,122,8,25,3,1,166,387
Roberval/Roberval,30,Saint-Ludger-de-Milot,1,61,7,16,5,1,91,191
Roberval/Roberval,31,Sainte-Monique,6,91,20,32,1,0,150,311
Roberval/Roberval,32,Sainte-Monique,7,119,13,36,7,5,187,371
Roberval/Roberval,33,Saint-Henri-de-Taillon,9,158,25,37,20,5,254,434
Roberval/Roberval,34,Saint-Henri-de-Taillon,2,67,6,14,1,0,90,178
