District,Poll Number,Poll Name,Alex Atamanenko,Karine Cyr,Jim Gouk,Scott Leyland,Farlie Paynter,Robert Schuster,Brian Sproule,Doug Stanley,Rejected Ballots,Total Vote,Electors
Southern Interior/Southern Interior,1,Tulameen--Eastgate,62,6,67,6,0,2,0,27,0,170,273
Southern Interior/Southern Interior,2,Allison,80,3,83,12,0,15,0,57,0,250,552
Southern Interior/Southern Interior,3,Princeton,123,5,143,22,0,20,0,60,5,378,656
Southern Interior/Southern Interior,4,Princeton,79,0,89,8,1,10,0,44,0,231,369
Southern Interior/Southern Interior,5,Princeton,71,0,61,5,1,3,0,40,0,181,316
Southern Interior/Southern Interior,6,Princeton,42,2,60,6,0,6,0,21,3,140,350
Southern Interior/Southern Interior,7,Douglas Lake,56,3,116,19,0,8,0,47,1,250,429
Southern Interior/Southern Interior,8,Princeton,72,4,93,20,0,8,0,59,0,256,436
Southern Interior/Southern Interior,9,Princeton,Void,,,,,,,,,,
Southern Interior/Southern Interior,10,Hedley,80,5,79,25,2,6,0,38,1,236,373
Southern Interior/Southern Interior,11,Olalla,36,5,76,11,0,1,1,31,1,162,312
Southern Interior/Southern Interior,12,Olalla,Void,,,,,,,,,,
Southern Interior/Southern Interior,13,Keremeos,94,3,157,28,0,6,0,70,1,359,571
Southern Interior/Southern Interior,14A,Keremeos,71,3,147,17,0,6,0,45,0,289,512
Southern Interior/Southern Interior,14B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,,,,,7
Southern Interior/Southern Interior,15,Keremeos,57,0,125,12,1,6,0,29,1,231,416
Southern Interior/Southern Interior,16,Keremeos,39,1,101,14,0,5,0,53,0,213,345
Southern Interior/Southern Interior,17,Cawston,82,5,139,40,0,3,1,47,0,317,537
Southern Interior/Southern Interior,18,Olalla,62,2,109,30,0,4,1,35,0,243,447
Southern Interior/Southern Interior,19,Oliver,56,6,136,20,0,6,2,47,0,273,477
Southern Interior/Southern Interior,20,Oliver,37,0,129,14,1,1,0,38,1,221,353
Southern Interior/Southern Interior,21,Oliver,52,4,79,19,0,3,0,43,1,201,482
Southern Interior/Southern Interior,22,Oliver,29,1,83,7,0,0,0,33,0,153,223
Southern Interior/Southern Interior,23A,Oliver,59,5,173,12,0,4,1,83,2,339,520
Southern Interior/Southern Interior,23B,Mobile poll/Bureau itinérant,Merged with No. 502,,,,,,,,,,47
Southern Interior/Southern Interior,24,Oliver,70,4,238,16,0,9,0,114,0,451,744
Southern Interior/Southern Interior,25,Oliver,19,3,85,7,0,3,1,43,0,161,284
Southern Interior/Southern Interior,26,Oliver,44,2,74,11,1,0,0,27,1,160,294
Southern Interior/Southern Interior,27,Oliver,59,3,121,20,0,4,1,61,1,270,422
Southern Interior/Southern Interior,28,Oliver,35,2,116,17,1,3,0,58,0,232,412
Southern Interior/Southern Interior,29,Oliver,46,3,93,17,1,10,0,59,0,229,374
Southern Interior/Southern Interior,30,Oliver,52,2,96,11,1,6,0,35,2,205,414
Southern Interior/Southern Interior,31,Oliver,38,2,102,16,0,2,1,48,0,209,360
Southern Interior/Southern Interior,32,Oliver,39,3,70,11,0,1,0,48,1,173,338
Southern Interior/Southern Interior,33,Osoyoos,51,0,208,11,1,10,0,83,2,366,587
Southern Interior/Southern Interior,34,Oliver,33,2,78,12,0,6,0,38,2,171,292
Southern Interior/Southern Interior,35,Oliver,23,0,21,6,0,2,2,10,0,64,192
Southern Interior/Southern Interior,36,Osoyoos,25,2,99,12,0,13,1,59,1,212,522
Southern Interior/Southern Interior,37,Osoyoos,Void,,,,,,,,,,
Southern Interior/Southern Interior,38,Osoyoos,32,1,79,14,0,10,0,41,3,180,382
Southern Interior/Southern Interior,39,Osoyoos,56,2,80,8,0,9,0,66,0,221,384
Southern Interior/Southern Interior,40,Osoyoos,26,2,88,13,1,9,1,55,1,196,401
Southern Interior/Southern Interior,41,Osoyoos,51,1,163,18,0,14,0,91,0,338,608
Southern Interior/Southern Interior,42,Osoyoos,53,0,97,12,0,6,0,55,0,223,436
Southern Interior/Southern Interior,43,Osoyoos,23,0,79,13,0,6,0,46,1,168,305
Southern Interior/Southern Interior,44,Osoyoos,23,0,89,5,0,4,0,44,0,165,265
Southern Interior/Southern Interior,45,Osoyoos,34,1,97,14,1,10,0,53,0,210,333
Southern Interior/Southern Interior,46,Osoyoos,52,1,126,7,0,11,0,42,0,239,440
Southern Interior/Southern Interior,47,Osoyoos,22,1,84,7,0,7,0,27,0,148,271
Southern Interior/Southern Interior,48,Bridesville,21,0,62,10,0,1,0,17,0,111,228
Southern Interior/Southern Interior,49,Beaverdell,41,4,90,17,0,0,0,20,0,172,291
Southern Interior/Southern Interior,50,Westbridge,21,1,80,13,1,1,0,19,1,137,201
Southern Interior/Southern Interior,51,Greenwood,56,2,75,10,0,8,0,20,0,171,258
Southern Interior/Southern Interior,52,Rock Creek,64,4,159,24,0,8,0,46,2,307,482
Southern Interior/Southern Interior,53,Greenwood,73,4,119,13,2,5,0,31,0,247,422
