District,Poll Number,Poll Name,Rick Bonnett,Dale Johnston,Tom Lampman,Brent McKelvie,Tim Robson,Rejected Ballots,Total Vote,Electors
Wetaskiwin/Wetaskiwin,1,Berrymoor,5,138,6,0,11,1,161,258
Wetaskiwin/Wetaskiwin,2,Lindale,6,138,8,1,26,0,179,258
Wetaskiwin/Wetaskiwin,3,Genesee,14,79,10,0,18,0,121,252
Wetaskiwin/Wetaskiwin,4,Buck Creek,11,174,10,0,12,0,207,323
Wetaskiwin/Wetaskiwin,5,Carnwood Hall,8,87,13,1,5,0,114,220
Wetaskiwin/Wetaskiwin,6,Alsike,4,112,7,2,9,0,134,207
Wetaskiwin/Wetaskiwin,7,Warburg,22,145,4,0,12,0,183,294
Wetaskiwin/Wetaskiwin,8,Warburg,16,187,15,1,28,2,249,526
Wetaskiwin/Wetaskiwin,9,Breton,10,178,14,1,23,0,226,332
Wetaskiwin/Wetaskiwin,10,Breton,19,151,9,1,28,0,208,493
Wetaskiwin/Wetaskiwin,11,Alder Flats,17,197,20,5,14,0,253,423
Wetaskiwin/Wetaskiwin,12,Buck Lake,16,206,18,5,20,0,265,420
Wetaskiwin/Wetaskiwin,13,Pendryl,19,166,25,1,30,0,241,377
Wetaskiwin/Wetaskiwin,14,Yeoford,9,92,8,1,7,0,117,173
Wetaskiwin/Wetaskiwin,15,Winfield,29,167,16,3,13,0,228,342
Wetaskiwin/Wetaskiwin,16,Mission Beach,11,140,10,0,17,0,178,297
Wetaskiwin/Wetaskiwin,17,Sunnybrook,6,151,25,0,18,0,200,353
Wetaskiwin/Wetaskiwin,18,Telfordville,9,112,10,0,14,0,145,220
Wetaskiwin/Wetaskiwin,19,Buford,17,193,20,0,15,1,246,372
Wetaskiwin/Wetaskiwin,20,Thorsby,10,111,10,2,16,0,149,241
Wetaskiwin/Wetaskiwin,21,Thorsby,38,246,34,2,22,0,342,691
Wetaskiwin/Wetaskiwin,22,Thorsby,21,122,26,4,14,0,187,282
Wetaskiwin/Wetaskiwin,23,Glen Park,18,209,23,3,28,0,281,439
Wetaskiwin/Wetaskiwin,24,Calmar,9,168,14,0,15,1,207,328
Wetaskiwin/Wetaskiwin,25,Calmar,20,85,13,1,13,1,133,275
Wetaskiwin/Wetaskiwin,26,Calmar,4,62,7,2,5,0,80,180
Wetaskiwin/Wetaskiwin,27,Calmar,24,143,16,0,12,1,196,347
Wetaskiwin/Wetaskiwin,28,Calmar,23,135,20,3,14,0,195,559
Wetaskiwin/Wetaskiwin,29,New Humble,16,167,20,0,11,0,214,325
