District,Poll Number,Poll Name,Raymond Chan,Dale Jackaman,Stephen H.F. Kronstein,Allan Warnke,Alice Wong,Rejected Ballots,Total Vote,Electors
Richmond/Richmond,1,Richmond,53,81,14,2,32,0,182,291
Richmond/Richmond,2,Richmond,49,57,12,3,42,1,164,242
Richmond/Richmond,3,Richmond,184,20,8,0,104,0,316,639
Richmond/Richmond,4,Richmond,120,10,3,0,115,0,248,428
Richmond/Richmond,5,Richmond,82,24,11,3,65,0,185,297
Richmond/Richmond,6,Richmond,73,47,18,2,65,2,207,366
Richmond/Richmond,7,Richmond,91,10,5,0,69,0,175,356
Richmond/Richmond,8A,Richmond,93,28,3,1,70,2,197,435
Richmond/Richmond,8B,Richmond,81,17,1,3,74,1,177,424
Richmond/Richmond,9,Richmond,153,14,8,2,116,0,293,628
Richmond/Richmond,10,Richmond,108,28,12,2,99,4,253,433
Richmond/Richmond,11,Richmond,106,42,22,5,70,0,245,503
Richmond/Richmond,12,Richmond,111,38,10,5,86,3,253,447
Richmond/Richmond,13,Richmond,107,39,12,4,69,0,231,391
Richmond/Richmond,14,Richmond,126,50,15,3,76,2,272,490
Richmond/Richmond,15,Richmond,85,40,7,0,72,3,207,375
Richmond/Richmond,16,Richmond,107,37,9,3,94,0,250,455
Richmond/Richmond,17,Richmond,118,33,17,4,73,0,245,391
Richmond/Richmond,18,Richmond,62,52,13,2,70,0,199,349
Richmond/Richmond,19A,Richmond,107,25,5,3,91,2,233,477
Richmond/Richmond,19B,Mobile poll/Bureau itinérant,39,15,2,3,45,1,105,125
Richmond/Richmond,20,Richmond,119,39,2,0,98,0,258,451
Richmond/Richmond,21,Richmond,104,46,14,2,76,4,246,417
Richmond/Richmond,22,Richmond,39,48,10,2,59,3,161,394
Richmond/Richmond,23,Richmond,119,54,19,2,91,1,286,443
Richmond/Richmond,24,Richmond,130,26,8,4,140,1,309,515
Richmond/Richmond,25,Richmond,112,53,5,2,95,3,270,411
Richmond/Richmond,26,Richmond,101,23,11,0,86,0,221,373
Richmond/Richmond,27A,Richmond,Merged with No. 26,,,,,,,152
Richmond/Richmond,27B,Richmond,101,36,17,0,77,0,231,517
Richmond/Richmond,28,Richmond,46,37,8,0,42,1,134,309
Richmond/Richmond,29,Richmond,115,27,11,0,104,1,258,376
Richmond/Richmond,30A,Richmond,Merged with No. 29,,,,,,,89
Richmond/Richmond,30B,Richmond,127,25,5,2,89,0,248,473
Richmond/Richmond,31,Richmond,125,19,8,1,95,1,249,437
Richmond/Richmond,32,Richmond,110,35,7,4,116,0,272,490
Richmond/Richmond,33,Richmond,49,56,15,0,58,0,178,299
Richmond/Richmond,34A,Richmond,132,32,4,2,95,0,265,525
Richmond/Richmond,34B,Richmond,Merged with No. 35,,,,,,,124
Richmond/Richmond,35,Richmond,124,29,12,2,94,1,262,395
Richmond/Richmond,36,Richmond,77,29,6,0,81,0,193,353
Richmond/Richmond,37,Richmond,82,44,9,1,72,2,210,416
Richmond/Richmond,38,Richmond,111,25,7,1,84,2,230,483
Richmond/Richmond,39,Richmond,82,36,15,1,67,1,202,455
Richmond/Richmond,40,Richmond,58,62,10,0,68,3,201,493
Richmond/Richmond,41,Richmond,108,17,3,0,83,1,212,367
Richmond/Richmond,42,Richmond,85,19,14,2,85,0,205,428
Richmond/Richmond,43,Richmond,105,22,17,2,96,0,242,434
Richmond/Richmond,44,Richmond,114,29,10,2,73,0,228,434
Richmond/Richmond,45,Richmond,93,35,14,2,80,3,227,423
Richmond/Richmond,46,Richmond,66,32,5,0,45,0,148,388
Richmond/Richmond,47,Richmond,79,32,10,1,72,2,196,472
Richmond/Richmond,48,Richmond,82,50,12,3,77,1,225,420
Richmond/Richmond,49,Richmond,100,28,13,2,82,1,226,378
Richmond/Richmond,50,Richmond,Merged with No. 51A,,,,,,,2
Richmond/Richmond,51A,Richmond,107,50,13,5,72,1,248,468
Richmond/Richmond,51B,Richmond,106,42,8,2,88,1,247,437
Richmond/Richmond,52,Richmond,103,17,10,2,93,2,227,617
Richmond/Richmond,53,Richmond,54,36,10,0,54,0,154,302
Richmond/Richmond,54,Richmond,86,32,7,1,59,1,186,443
Richmond/Richmond,55,Richmond,Merged with No. 58B,,,,,,,32
Richmond/Richmond,56A,Richmond,93,14,6,1,96,0,210,400
Richmond/Richmond,56B,Richmond,77,25,3,2,53,2,162,236
Richmond/Richmond,57,Richmond,87,26,10,1,60,1,185,440
Richmond/Richmond,58A,Richmond,32,27,7,0,27,0,93,188
Richmond/Richmond,58B,Richmond,52,31,8,2,36,0,129,221
Richmond/Richmond,59,Richmond,71,33,11,2,56,0,173,330
Richmond/Richmond,60,Richmond,80,28,19,2,55,0,184,340
Richmond/Richmond,61,Richmond,Merged with No. 56B,,,,,,,148
