District,Poll Number,Poll Name,David Anderson,Ariel Lade,Derek J. Skinner,David Turner,Logan Wenham,Rejected Ballots,Total Vote,Electors
Victoria/Victoria,159,Victoria,97,22,0,57,31,0,207,395
Victoria/Victoria,160,Victoria,48,24,1,75,36,0,184,351
Victoria/Victoria,161,Victoria,87,43,1,84,28,0,243,430
Victoria/Victoria,162,Victoria,86,26,1,75,33,1,222,429
Victoria/Victoria,163,Victoria,59,32,0,46,17,0,154,276
Victoria/Victoria,164,Victoria,63,27,1,56,35,1,183,292
Victoria/Victoria,165,Victoria,97,42,1,104,43,0,287,457
Victoria/Victoria,166,Victoria,92,42,1,96,47,0,278,448
Victoria/Victoria,167,Victoria,110,34,0,83,30,0,257,385
Victoria/Victoria,168,Victoria,99,28,1,90,55,0,273,450
Victoria/Victoria,169,Victoria,89,39,0,93,39,1,261,425
Victoria/Victoria,170,Victoria,87,53,2,89,43,0,274,435
Victoria/Victoria,171,Victoria,108,30,1,123,46,0,308,477
Victoria/Victoria,172,Victoria,103,48,1,105,30,0,287,433
Victoria/Victoria,173,Victoria,86,30,0,81,33,0,230,326
Victoria/Victoria,174A,Victoria,54,25,0,60,17,0,156,259
Victoria/Victoria,174B,Mobile poll/Bureau itinérant,Merged with No. 186B,,,,,,,10
Victoria/Victoria,174C,Mobile poll/Bureau itinérant,Merged with No. 24B,,,,,,,11
Victoria/Victoria,175,Victoria,67,33,0,67,27,0,194,265
Victoria/Victoria,176,Victoria,36,23,0,55,18,0,132,259
Victoria/Victoria,177,Victoria,76,26,2,87,35,2,228,446
Victoria/Victoria,178,Victoria,58,17,0,46,31,0,152,269
Victoria/Victoria,179,Victoria,106,27,2,83,64,1,283,447
Victoria/Victoria,180,Victoria,81,26,2,105,53,0,267,440
Victoria/Victoria,181,Victoria,86,48,0,126,46,1,307,484
Victoria/Victoria,182,Victoria,118,35,0,67,64,1,285,481
Victoria/Victoria,183A,Victoria,74,21,2,52,29,0,178,332
Victoria/Victoria,183B,Mobile poll/Bureau itinérant,Merged with No. 134B,,,,,,,18
Victoria/Victoria,184,Victoria,55,18,0,26,25,0,124,224
Victoria/Victoria,185A,Victoria,47,25,0,52,39,0,163,256
Victoria/Victoria,185B,Mobile poll/Bureau itinérant,Merged with No. 24B,,,,,,,10
Victoria/Victoria,186A,Victoria,79,29,0,77,49,1,235,409
Victoria/Victoria,186B,Mobile poll/Bureau itinérant,12,1,1,9,2,1,26,18
Victoria/Victoria,187,Victoria,113,33,0,61,47,0,254,404
Victoria/Victoria,188,Victoria,124,21,0,28,87,0,260,428
Victoria/Victoria,189,Victoria,67,22,0,36,47,1,173,274
Victoria/Victoria,190,Victoria,116,27,0,55,71,0,269,394
Victoria/Victoria,191,Victoria,127,51,2,93,58,1,332,498
Victoria/Victoria,192,Victoria,122,31,1,92,44,0,290,425
Victoria/Victoria,193A,Victoria,110,22,2,55,76,0,265,415
Victoria/Victoria,193B,Mobile poll/Bureau itinérant,Merged with No. 134B,,,,,,,16
Victoria/Victoria,194,Victoria,99,30,0,92,39,1,261,361
Victoria/Victoria,195,Victoria,71,51,0,93,36,0,251,356
Victoria/Victoria,196,Victoria,114,44,1,96,39,0,294,395
Victoria/Victoria,197,Victoria,84,26,1,82,32,0,225,318
Victoria/Victoria,198,Victoria,97,34,0,97,21,0,249,371
Victoria/Victoria,199,Victoria,81,21,1,66,25,1,195,326
Victoria/Victoria,200,Victoria,122,39,1,95,36,0,293,437
Victoria/Victoria,201,Victoria,88,47,1,98,54,0,288,426
Victoria/Victoria,202,Victoria,99,42,0,74,46,0,261,388
Victoria/Victoria,203,Oak Bay,102,41,0,79,41,1,264,443
Victoria/Victoria,204,Oak Bay,90,16,2,63,65,0,236,374
Victoria/Victoria,205,Oak Bay,138,20,0,56,86,0,300,467
Victoria/Victoria,206,Oak Bay,102,12,1,33,80,0,228,383
Victoria/Victoria,207,Oak Bay,140,28,0,66,73,0,307,472
Victoria/Victoria,208,Oak Bay,111,21,1,74,55,0,262,389
Victoria/Victoria,209,Oak Bay,93,29,0,39,61,0,222,309
Victoria/Victoria,210,Oak Bay,113,26,2,27,63,0,231,319
Victoria/Victoria,211,Oak Bay,171,26,3,94,60,2,356,480
Victoria/Victoria,212,Oak Bay,68,14,0,27,44,0,153,245
Victoria/Victoria,213,Oak Bay,112,20,0,52,67,0,251,426
Victoria/Victoria,214,Oak Bay,134,26,0,36,69,1,266,405
Victoria/Victoria,215,Oak Bay,132,39,1,38,131,1,342,517
Victoria/Victoria,216,Oak Bay,111,41,1,50,79,1,283,402
Victoria/Victoria,217,Oak Bay,116,33,1,53,54,0,257,364
Victoria/Victoria,218A,Oak Bay,129,19,0,49,107,1,305,481
Victoria/Victoria,218B,Mobile poll/Bureau itinérant,Merged with No. 186B,,,,,,,9
Victoria/Victoria,219,Oak Bay,86,13,1,38,33,1,172,264
Victoria/Victoria,220,Saanich,Void,,,,,,,
Victoria/Victoria,400,Victoria,26,5,1,29,20,1,82,215
Victoria/Victoria,500,Mobile poll/Bureau itinérant,Merged with No. 507,,,,,,,33
Victoria/Victoria,501,Mobile poll/Bureau itinérant,22,3,0,24,12,2,63,115
Victoria/Victoria,502,Mobile poll/Bureau itinérant,63,4,7,33,30,3,140,191
Victoria/Victoria,503,Mobile poll/Bureau itinérant,50,2,2,17,16,2,89,168
Victoria/Victoria,504,Mobile poll/Bureau itinérant,33,6,3,45,25,0,112,295
Victoria/Victoria,505,Mobile poll/Bureau itinérant,30,3,1,26,25,2,87,123
Victoria/Victoria,506,Mobile poll/Bureau itinérant,62,4,1,20,76,3,166,213
Victoria/Victoria,507,Mobile poll/Bureau itinérant,13,7,1,8,11,0,40,116
Victoria/Victoria,600,Victoria,91,28,3,113,136,0,371,
Victoria/Victoria,601,Victoria,54,17,0,61,55,0,187,
Victoria/Victoria,602,Victoria,54,22,1,83,45,0,205,
Victoria/Victoria,603,Saanich,109,41,1,169,123,1,444,
Victoria/Victoria,604,Saanich,111,28,0,95,156,0,390,
Victoria/Victoria,605,Oak Bay,147,23,1,44,167,0,382,
Victoria/Victoria,606,Victoria,200,42,0,82,217,0,541,
Victoria/Victoria,607,Victoria,104,64,4,173,103,2,450,
Victoria/Victoria,608,Victoria,134,32,3,139,105,2,415,
Victoria/Victoria,609,Victoria,313,95,2,264,305,0,979,
Victoria/Victoria,610,Oak Bay,243,65,5,261,211,5,790,
Victoria/Victoria,611,Victoria,199,56,3,125,185,3,571,
Victoria/Victoria,612,Victoria,271,36,0,113,323,3,746,
Victoria/Victoria,,Group 1/Groupe 1,110,33,1,58,110,4,316,683
Victoria/Victoria,,Group 2/Groupe 2,443,172,4,416,321,21,1377,
