District,Poll Number,Poll Name,Dennis Bevington,Ethel Blondin-Andrew,Sean Mandeville,Chris O'Brien,Rejected Ballots,Total Vote,Electors
Western Arctic/Western Arctic,1,Sachs Harbour,4,22,6,0,0,32,64
Western Arctic/Western Arctic,2,Holman,24,46,23,4,1,98,247
Western Arctic/Western Arctic,3,Aklavik,54,79,14,4,0,151,295
Western Arctic/Western Arctic,4,Aklavik,Merged with No. 3,,,,,,136
Western Arctic/Western Arctic,5,Tuktoyaktuk,45,103,40,15,2,205,560
Western Arctic/Western Arctic,6,Tuktoyaktuk,Void,,,,,,
Western Arctic/Western Arctic,7,Paulatuk,8,75,7,6,0,96,166
Western Arctic/Western Arctic,8A,Inuvik,50,66,25,8,0,149,375
Western Arctic/Western Arctic,8B,Inuvik,63,54,41,4,1,163,320
Western Arctic/Western Arctic,9,Inuvik,75,99,22,12,1,209,510
Western Arctic/Western Arctic,10A,Inuvik,Merged with No. 8A,,,,,,119
Western Arctic/Western Arctic,10B,Inuvik,Merged with No. 8B,,,,,,94
Western Arctic/Western Arctic,11,Inuvik,37,39,19,5,0,100,283
Western Arctic/Western Arctic,12,Inuvik,48,50,24,5,0,127,279
Western Arctic/Western Arctic,13,Fort McPherson,24,49,8,3,2,86,174
Western Arctic/Western Arctic,14,Fort McPherson,35,69,7,1,2,114,290
Western Arctic/Western Arctic,15,Tsiigehtchic,7,20,2,0,0,29,98
Western Arctic/Western Arctic,16,Fort Good Hope,60,62,7,3,2,134,400
Western Arctic/Western Arctic,17,Colville Lake,11,31,1,4,1,48,79
Western Arctic/Western Arctic,18,Norman Wells,57,111,71,12,0,251,544
Western Arctic/Western Arctic,19,Deline,10,120,8,2,0,140,366
Western Arctic/Western Arctic,20,Tulita,14,95,5,3,1,118,278
Western Arctic/Western Arctic,21,Wrigley,13,14,2,0,1,30,100
Western Arctic/Western Arctic,22,Nahanni Butte,1,17,1,1,0,20,46
Western Arctic/Western Arctic,23,Gameti,6,80,1,2,1,90,170
Western Arctic/Western Arctic,24,Wekweti,6,49,1,3,1,60,99
Western Arctic/Western Arctic,25A,Fort Simpson,Merged with No. 26A,,,,,,67
Western Arctic/Western Arctic,25B,Fort Simpson,Merged with No. 26B,,,,,,79
Western Arctic/Western Arctic,26A,Fort Simpson,61,100,22,9,0,192,452
Western Arctic/Western Arctic,26B,Fort Simpson,73,92,26,8,0,199,482
Western Arctic/Western Arctic,27,Jean Marie River,2,29,3,0,0,34,42
Western Arctic/Western Arctic,28,Fort Liard,34,60,9,7,0,110,388
Western Arctic/Western Arctic,29,Trout Lake,9,11,7,3,0,30,65
Western Arctic/Western Arctic,30,Wha Ti,37,111,4,2,4,158,308
Western Arctic/Western Arctic,31A,Rae,43,195,12,1,1,252,402
Western Arctic/Western Arctic,31B,Rae,39,178,7,3,4,231,435
Western Arctic/Western Arctic,32A,Rae,Merged with No. 31A,,,,,,96
Western Arctic/Western Arctic,32B,Rae,Merged with No. 31B,,,,,,115
Western Arctic/Western Arctic,33,Edzo,26,41,6,4,0,77,131
Western Arctic/Western Arctic,34,Fort Providence,116,109,30,2,2,259,570
Western Arctic/Western Arctic,35,Camlaren,Merged with No. 57,,,,,,49
Western Arctic/Western Arctic,36,Yellowknife,Merged with No. 40,,,,,,61
Western Arctic/Western Arctic,37A,Yellowknife,104,60,52,4,0,220,491
Western Arctic/Western Arctic,37B,Yellowknife,74,51,37,3,0,165,412
Western Arctic/Western Arctic,38,Yellowknife,115,99,35,12,2,263,536
Western Arctic/Western Arctic,39,Yellowknife,76,60,52,3,0,191,401
Western Arctic/Western Arctic,40,Yellowknife,54,50,34,14,0,152,324
Western Arctic/Western Arctic,41,Yellowknife,109,43,41,6,0,199,457
Western Arctic/Western Arctic,42,Yellowknife,106,67,42,4,2,221,437
Western Arctic/Western Arctic,43,Yellowknife,76,49,72,6,0,203,431
Western Arctic/Western Arctic,44,Yellowknife,93,36,33,10,1,173,404
Western Arctic/Western Arctic,45,Yellowknife,100,68,59,14,1,242,557
Western Arctic/Western Arctic,46,Yellowknife,91,51,29,7,1,179,374
Western Arctic/Western Arctic,47,Yellowknife,58,61,24,13,0,156,471
Western Arctic/Western Arctic,48,Yellowknife,155,104,51,15,1,326,635
