District,Poll Number,Poll Name,Peter Crossley,Noel Lapierre,Rob Merrifield,Eric Stieglitz,Jacob Strydhorst,Rejected Ballots,Total Vote,Electors
Yellowhead/Yellowhead,1,Fox Creek,Merged with No. 10,,,,,,,1
Yellowhead/Yellowhead,2,Grande Cache,29,30,115,4,1,0,179,229
Yellowhead/Yellowhead,3,Grande Cache,13,26,72,8,0,0,119,219
Yellowhead/Yellowhead,4,Grande Cache,29,39,88,15,3,0,174,310
Yellowhead/Yellowhead,5,Grande Cache,9,25,75,9,1,1,120,213
Yellowhead/Yellowhead,6,Grande Cache,7,23,47,9,0,0,86,276
Yellowhead/Yellowhead,7A,Grande Cache,6,8,26,2,0,0,42,223
Yellowhead/Yellowhead,7B,Grande Cache,9,9,5,3,1,0,27,253
Yellowhead/Yellowhead,7C,Grande Cache,4,6,17,2,0,0,29,235
Yellowhead/Yellowhead,8,Grande Cache,37,27,68,8,3,0,143,277
Yellowhead/Yellowhead,9,Grande Cache,57,35,81,11,1,0,185,277
Yellowhead/Yellowhead,10,Fox Creek,10,7,65,8,1,0,91,192
Yellowhead/Yellowhead,11,Fox Creek,Void,,,,,,,
Yellowhead/Yellowhead,12,Fox Creek,15,8,55,1,1,0,80,208
Yellowhead/Yellowhead,13,Fox Creek,13,19,127,11,0,1,171,317
Yellowhead/Yellowhead,14A,Fox Creek,11,14,110,11,4,0,150,392
Yellowhead/Yellowhead,14B,Fox Creek,9,14,122,4,3,2,154,399
Yellowhead/Yellowhead,15,Swan Hills,12,9,90,14,4,0,129,201
Yellowhead/Yellowhead,16,Swan Hills,6,6,77,7,4,1,101,189
Yellowhead/Yellowhead,17,Swan Hills,22,18,127,24,9,0,200,484
Yellowhead/Yellowhead,18,Swan Hills,14,11,74,6,7,1,113,204
Yellowhead/Yellowhead,19,Windfall,5,4,77,4,0,0,90,192
Yellowhead/Yellowhead,20,Lone Pine,13,12,93,22,4,2,146,299
Yellowhead/Yellowhead,21,Freeman River,13,13,107,7,2,0,142,255
Yellowhead/Yellowhead,22,Blue Ridge,13,11,117,7,4,2,154,309
Yellowhead/Yellowhead,23,Connor Creek,2,4,42,0,1,0,49,76
Yellowhead/Yellowhead,24,Green Court,8,12,86,8,0,1,115,181
Yellowhead/Yellowhead,25,Lonira,25,5,164,5,4,1,204,362
Yellowhead/Yellowhead,26,Anselmo,0,0,22,3,0,0,25,246
Yellowhead/Yellowhead,27,Carrot Creek,15,12,161,13,2,1,204,309
Yellowhead/Yellowhead,28,Whitecourt,9,6,37,1,2,0,55,198
Yellowhead/Yellowhead,29A,Whitecourt,11,13,92,15,2,1,134,284
Yellowhead/Yellowhead,29B,Whitecourt,11,12,86,11,1,0,121,291
Yellowhead/Yellowhead,30,Whitecourt,11,4,122,8,2,0,147,347
Yellowhead/Yellowhead,31,Whitecourt,12,8,73,5,2,0,100,283
Yellowhead/Yellowhead,32,Whitecourt,16,8,134,9,2,1,170,362
Yellowhead/Yellowhead,33,Whitecourt,13,7,77,8,2,0,107,274
Yellowhead/Yellowhead,34,Whitecourt,8,13,96,7,2,1,127,381
Yellowhead/Yellowhead,35,Whitecourt,6,12,69,8,0,1,96,354
Yellowhead/Yellowhead,36,Whitecourt,16,9,104,1,0,0,130,343
Yellowhead/Yellowhead,36-1,Whitecourt,22,17,151,8,3,1,202,472
Yellowhead/Yellowhead,37,Whitecourt,8,5,74,9,0,0,96,288
Yellowhead/Yellowhead,38,Whitecourt,34,18,135,19,3,0,209,371
Yellowhead/Yellowhead,39,Whitecourt,13,11,106,8,1,0,139,393
Yellowhead/Yellowhead,40,Whitecourt,13,20,116,11,3,0,163,404
Yellowhead/Yellowhead,41,Whitecourt,19,9,110,12,0,0,150,329
Yellowhead/Yellowhead,42,Whitecourt,25,15,302,27,2,1,372,509
Yellowhead/Yellowhead,43,Whitecourt,16,6,147,1,2,0,172,339
Yellowhead/Yellowhead,44,Anselmo,3,12,90,7,5,0,117,230
Yellowhead/Yellowhead,45,Vega,3,1,72,33,0,0,109,125
Yellowhead/Yellowhead,46,Neerlandia,4,2,237,6,98,0,347,463
Yellowhead/Yellowhead,47,Bloomsbury,10,13,194,11,21,0,249,359
Yellowhead/Yellowhead,48,Tiger Lily,10,7,143,6,5,0,171,242
Yellowhead/Yellowhead,49,Campsie,16,22,172,8,4,0,222,286
Yellowhead/Yellowhead,50,Barrhead,21,28,242,17,14,0,322,409
Yellowhead/Yellowhead,51,Barrhead,30,16,189,25,9,0,269,465
Yellowhead/Yellowhead,52,Barrhead,28,18,151,16,17,0,230,404
Yellowhead/Yellowhead,53,Barrhead,22,19,166,13,18,1,239,431
Yellowhead/Yellowhead,54,Barrhead,22,7,112,9,4,0,154,302
Yellowhead/Yellowhead,55,Barrhead,24,12,80,7,4,0,127,309
Yellowhead/Yellowhead,56,Barrhead,12,21,106,10,7,0,156,311
Yellowhead/Yellowhead,57,Barrhead,11,19,181,13,6,1,231,382
Yellowhead/Yellowhead,58,Barrhead,20,17,160,17,8,1,223,394
Yellowhead/Yellowhead,59,Mellowdale,5,2,29,4,7,0,47,56
Yellowhead/Yellowhead,60,Pickardville,1,1,9,0,0,0,11,33
Yellowhead/Yellowhead,61,Busby,7,2,39,6,1,0,55,99
Yellowhead/Yellowhead,62,Manola,15,24,207,13,5,0,264,538
Yellowhead/Yellowhead,63,Lunnford,11,8,123,9,5,0,156,217
Yellowhead/Yellowhead,64,Lawton,13,2,119,6,7,0,147,201
Yellowhead/Yellowhead,65,Meadowview,8,9,98,11,2,0,128,171
Yellowhead/Yellowhead,66,Jasper,17,19,16,14,0,3,69,232
Yellowhead/Yellowhead,67,Jasper,32,34,39,35,0,0,140,242
Yellowhead/Yellowhead,68,Jasper,35,49,49,31,2,0,166,259
Yellowhead/Yellowhead,69A,Jasper,52,58,62,61,2,1,236,578
Yellowhead/Yellowhead,69B,Jasper,61,65,54,45,3,1,229,595
Yellowhead/Yellowhead,70,Jasper,56,60,65,52,0,1,234,401
Yellowhead/Yellowhead,71,Jasper,17,42,29,18,0,1,107,169
Yellowhead/Yellowhead,72,Jasper,41,49,51,44,0,0,185,367
Yellowhead/Yellowhead,73,Jasper,37,25,60,32,3,0,157,265
Yellowhead/Yellowhead,74,Old Entrance,27,35,103,11,0,0,176,310
Yellowhead/Yellowhead,75,Obed,3,4,35,3,0,0,45,86
Yellowhead/Yellowhead,76,Brûlé,5,20,51,7,4,0,87,149
Yellowhead/Yellowhead,77,Cadomin,5,8,17,0,0,0,30,83
Yellowhead/Yellowhead,78,Hinton,20,47,124,6,6,1,204,489
Yellowhead/Yellowhead,79,Hinton,21,31,93,11,0,0,156,420
Yellowhead/Yellowhead,80,Hinton,33,36,94,6,2,0,171,367
Yellowhead/Yellowhead,81,Hinton,19,31,97,5,3,1,156,329
Yellowhead/Yellowhead,82,Hinton,26,53,95,11,1,1,187,390
Yellowhead/Yellowhead,83,Hinton,23,41,102,13,2,0,181,334
Yellowhead/Yellowhead,84,Hinton,27,20,80,15,0,1,143,289
Yellowhead/Yellowhead,85,Hinton,22,44,67,8,4,0,145,321
Yellowhead/Yellowhead,86,Hinton,33,50,110,14,1,0,208,387
Yellowhead/Yellowhead,87,Hinton,28,32,105,6,3,1,175,313
Yellowhead/Yellowhead,88,Hinton,19,31,58,5,1,0,114,210
