District,Poll Number,Poll Name,Jovette Cyr,Jean-Claude J.C. D'Amours,Rodolphe Martin,Benoit Violette,Rejected Ballots,Total Vote,Electors
Madawaska--Restigouche/Madawaska--Restigouche,61,Balmoral,9,46,40,22,17,134,207
Madawaska--Restigouche/Madawaska--Restigouche,62A,Saint-Quentin,7,53,126,36,15,237,326
Madawaska--Restigouche/Madawaska--Restigouche,62B,Saint-Quentin,7,27,58,19,11,122,234
Madawaska--Restigouche/Madawaska--Restigouche,63,Saint-Quentin,5,60,77,22,14,178,311
Madawaska--Restigouche/Madawaska--Restigouche,64,Saint-Quentin,12,42,101,44,18,217,351
Madawaska--Restigouche/Madawaska--Restigouche,65,Saint-Quentin,10,39,84,26,13,172,350
Madawaska--Restigouche/Madawaska--Restigouche,66A,Saint-Quentin,6,46,125,23,9,209,412
Madawaska--Restigouche/Madawaska--Restigouche,66B,Saint-Quentin,1,18,74,21,30,144,299
Madawaska--Restigouche/Madawaska--Restigouche,67,Saint-Quentin,11,55,91,25,28,210,383
Madawaska--Restigouche/Madawaska--Restigouche,68,Saint-Quentin,5,38,103,41,23,210,423
Madawaska--Restigouche/Madawaska--Restigouche,69,Saint-Jean-Baptiste-de-Restigouche,10,80,69,11,0,170,307
Madawaska--Restigouche/Madawaska--Restigouche,70,Kedgwick-Ouest,12,97,112,25,2,248,399
Madawaska--Restigouche/Madawaska--Restigouche,71,Kedgwick,4,52,72,19,7,154,221
Madawaska--Restigouche/Madawaska--Restigouche,72,Kedgwick,5,110,145,15,13,288,436
Madawaska--Restigouche/Madawaska--Restigouche,73,Kedgwick,4,85,89,8,10,196,292
Madawaska--Restigouche/Madawaska--Restigouche,74,Kedgwick,5,75,41,9,10,140,259
Madawaska--Restigouche/Madawaska--Restigouche,75,Kedgwick,6,43,37,7,3,96,159
Madawaska--Restigouche/Madawaska--Restigouche,76,Saint-Joseph,4,62,72,19,2,159,298
Madawaska--Restigouche/Madawaska--Restigouche,77,Saint-Joseph,8,67,63,46,2,186,392
Madawaska--Restigouche/Madawaska--Restigouche,78,Saint-Joseph,8,75,56,37,8,184,365
Madawaska--Restigouche/Madawaska--Restigouche,79,Saint-Joseph,7,78,69,48,8,210,421
Madawaska--Restigouche/Madawaska--Restigouche,80,Sweeney Settlement,5,90,66,62,12,235,509
Madawaska--Restigouche/Madawaska--Restigouche,81,Saint-Jacques,4,43,34,37,0,118,223
Madawaska--Restigouche/Madawaska--Restigouche,82,Saint-Jacques,6,49,25,57,4,141,280
Madawaska--Restigouche/Madawaska--Restigouche,83,Saint-Jacques,17,87,43,59,7,213,445
Madawaska--Restigouche/Madawaska--Restigouche,84,Edmundston,2,47,46,58,10,163,313
Madawaska--Restigouche/Madawaska--Restigouche,85,Edmundston,5,58,30,43,4,140,298
Madawaska--Restigouche/Madawaska--Restigouche,86,Edmundston,4,46,22,24,3,99,212
Madawaska--Restigouche/Madawaska--Restigouche,87,Edmundston,4,73,40,42,16,175,353
Madawaska--Restigouche/Madawaska--Restigouche,88,Edmundston,3,46,28,35,5,117,213
Madawaska--Restigouche/Madawaska--Restigouche,89,Edmundston,9,65,52,41,7,174,308
Madawaska--Restigouche/Madawaska--Restigouche,90,Edmundston,3,65,49,40,5,162,308
Madawaska--Restigouche/Madawaska--Restigouche,91,Edmundston,6,87,51,65,5,214,446
Madawaska--Restigouche/Madawaska--Restigouche,92,Edmundston,2,123,58,45,9,237,403
Madawaska--Restigouche/Madawaska--Restigouche,93,Edmundston,4,95,45,33,2,179,316
Madawaska--Restigouche/Madawaska--Restigouche,94A,Edmundston,2,37,23,23,9,94,276
Madawaska--Restigouche/Madawaska--Restigouche,94B,Mobile poll/Bureau itinérant,Merged with No. 506,,,,,,68
Madawaska--Restigouche/Madawaska--Restigouche,95,Edmundston,9,64,31,11,5,120,204
Madawaska--Restigouche/Madawaska--Restigouche,96,Edmundston,9,101,47,75,2,234,459
Madawaska--Restigouche/Madawaska--Restigouche,97,Edmundston,4,94,29,50,9,186,355
Madawaska--Restigouche/Madawaska--Restigouche,98,Edmundston,4,128,27,57,1,217,392
Madawaska--Restigouche/Madawaska--Restigouche,99,Edmundston,2,85,47,45,4,183,347
Madawaska--Restigouche/Madawaska--Restigouche,100,Edmundston,2,68,31,41,5,147,345
Madawaska--Restigouche/Madawaska--Restigouche,101,Edmundston,5,73,41,41,3,163,380
Madawaska--Restigouche/Madawaska--Restigouche,102,Edmundston,7,94,32,49,6,188,455
Madawaska--Restigouche/Madawaska--Restigouche,103,Edmundston,6,54,36,39,2,137,350
