District,Poll Number,Poll Name,Andrew Faust,Tony J. Karadimas,Jim Karygiannis,D'Arcy Palmer,Wayne Yeechong,Rejected Ballots,Total Vote,Electors
Scarborough--Agincourt/Scarborough--Agincourt,56-1,Scarborough,16,2,86,14,2,1,121,301
Scarborough--Agincourt/Scarborough--Agincourt,56-2,Scarborough,37,12,211,27,5,1,293,580
Scarborough--Agincourt/Scarborough--Agincourt,57,Scarborough,Void,,,,,,,
Scarborough--Agincourt/Scarborough--Agincourt,58,Scarborough,Void,,,,,,,
Scarborough--Agincourt/Scarborough--Agincourt,59,Scarborough,13,3,73,10,0,0,99,215
Scarborough--Agincourt/Scarborough--Agincourt,60,Scarborough,63,1,156,27,10,2,259,547
Scarborough--Agincourt/Scarborough--Agincourt,61,Scarborough,11,13,134,26,1,3,188,498
Scarborough--Agincourt/Scarborough--Agincourt,62,Scarborough,55,6,153,25,12,1,252,472
Scarborough--Agincourt/Scarborough--Agincourt,63,Scarborough,52,5,180,33,8,2,280,547
Scarborough--Agincourt/Scarborough--Agincourt,64,Scarborough,46,5,145,20,0,1,217,428
Scarborough--Agincourt/Scarborough--Agincourt,65,Scarborough,Void,,,,,,,
Scarborough--Agincourt/Scarborough--Agincourt,66,Scarborough,46,8,143,25,4,1,227,426
Scarborough--Agincourt/Scarborough--Agincourt,67,Scarborough,73,5,145,24,7,2,256,422
Scarborough--Agincourt/Scarborough--Agincourt,68,Scarborough,71,6,186,20,2,0,285,517
Scarborough--Agincourt/Scarborough--Agincourt,69,Scarborough,97,6,160,41,6,0,310,534
Scarborough--Agincourt/Scarborough--Agincourt,70,Scarborough,75,3,154,15,6,0,253,438
Scarborough--Agincourt/Scarborough--Agincourt,71,Scarborough,64,3,165,21,7,2,262,453
Scarborough--Agincourt/Scarborough--Agincourt,72,Scarborough,57,4,86,14,3,0,164,282
Scarborough--Agincourt/Scarborough--Agincourt,73,Scarborough,49,11,150,17,7,1,235,399
Scarborough--Agincourt/Scarborough--Agincourt,74,Scarborough,35,1,115,21,6,0,178,320
Scarborough--Agincourt/Scarborough--Agincourt,75,Scarborough,66,6,130,19,7,1,229,389
Scarborough--Agincourt/Scarborough--Agincourt,76,Scarborough,23,18,182,21,7,0,251,368
Scarborough--Agincourt/Scarborough--Agincourt,77,Scarborough,32,9,129,18,2,2,192,341
Scarborough--Agincourt/Scarborough--Agincourt,78,Scarborough,91,3,143,12,9,0,258,422
Scarborough--Agincourt/Scarborough--Agincourt,79,Scarborough,79,2,131,23,12,0,247,382
Scarborough--Agincourt/Scarborough--Agincourt,80,Scarborough,40,7,155,22,6,1,231,419
Scarborough--Agincourt/Scarborough--Agincourt,81,Scarborough,25,8,112,19,8,0,172,314
Scarborough--Agincourt/Scarborough--Agincourt,81-1,Scarborough,17,8,147,28,9,1,210,550
Scarborough--Agincourt/Scarborough--Agincourt,81-2,Scarborough,18,1,126,13,3,0,161,349
Scarborough--Agincourt/Scarborough--Agincourt,82,Scarborough,13,1,31,9,4,0,58,122
Scarborough--Agincourt/Scarborough--Agincourt,83,Scarborough,49,4,153,14,4,3,227,327
Scarborough--Agincourt/Scarborough--Agincourt,84,Scarborough,95,5,142,21,5,1,269,398
Scarborough--Agincourt/Scarborough--Agincourt,85,Scarborough,53,3,134,19,8,0,217,444
Scarborough--Agincourt/Scarborough--Agincourt,86,Scarborough,63,1,155,12,3,1,235,439
Scarborough--Agincourt/Scarborough--Agincourt,87,Scarborough,54,6,134,25,12,0,231,535
Scarborough--Agincourt/Scarborough--Agincourt,88,Scarborough,35,5,150,19,3,0,212,347
Scarborough--Agincourt/Scarborough--Agincourt,89,Scarborough,62,0,172,19,6,0,259,462
Scarborough--Agincourt/Scarborough--Agincourt,90,Scarborough,31,4,144,22,4,0,205,377
Scarborough--Agincourt/Scarborough--Agincourt,91,Scarborough,53,7,167,23,10,0,260,597
Scarborough--Agincourt/Scarborough--Agincourt,92,Scarborough,54,3,116,17,11,1,202,421
Scarborough--Agincourt/Scarborough--Agincourt,93,Scarborough,32,6,74,21,4,0,137,284
Scarborough--Agincourt/Scarborough--Agincourt,94,Scarborough,63,8,175,12,3,1,262,579
