District,Poll Number,Poll Name,Mélanie Archambault,Marc-André Gadoury,Robert Lanctôt,Denise Poirier-Rivard,Rosaire Turcot,Rejected Ballots,Total Vote,Electors
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,1,Châteauguay,9,21,48,122,7,5,212,404
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,2,Châteauguay,8,11,90,160,13,9,291,487
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,3,Châteauguay,12,9,155,75,16,2,269,450
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,4,Châteauguay,9,4,139,101,31,5,289,480
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,5,Châteauguay,10,32,107,111,6,2,268,448
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,6,Châteauguay,18,22,111,99,16,4,270,435
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,7,Châteauguay,4,12,79,101,7,7,210,376
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,8,Châteauguay,15,22,140,94,25,3,299,494
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,9,Châteauguay,20,9,145,45,9,1,229,390
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,10,Châteauguay,14,18,150,145,21,7,355,607
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,11,Châteauguay,10,9,116,103,16,7,261,416
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,12,Châteauguay,13,12,105,104,17,1,252,503
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,13,Châteauguay,4,6,144,99,10,4,267,416
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,14,Châteauguay,16,22,138,122,16,4,318,487
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,15,Châteauguay,15,14,194,83,19,4,329,510
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,16,Châteauguay,5,15,65,143,8,7,243,430
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,17,Châteauguay,9,13,75,90,12,2,201,358
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,18,Châteauguay,4,8,98,80,8,6,204,348
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,19,Léry,9,20,130,145,5,2,311,500
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,20,Léry,7,14,102,134,21,7,285,436
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,21,Léry,6,12,61,137,25,4,245,353
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,22,Léry,5,9,34,120,12,4,184,288
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,23,Léry,9,14,66,120,15,5,229,328
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,24,Châteauguay,15,10,59,148,10,13,255,440
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,25,Châteauguay,11,18,59,163,11,10,272,462
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,26,Châteauguay,2,7,36,131,26,6,208,399
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,27,Châteauguay,12,13,46,116,8,2,197,342
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,28,Châteauguay,6,11,59,131,7,1,215,363
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,29,Châteauguay,7,4,67,102,10,5,195,310
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,30,Châteauguay,9,14,53,120,4,4,204,370
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,31,Châteauguay,10,16,76,117,11,6,236,396
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,32,Châteauguay,6,9,85,121,8,5,234,391
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,33,Châteauguay,2,14,64,132,20,4,236,404
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,34,Châteauguay,3,14,78,101,13,0,209,341
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,35,Châteauguay,4,12,64,133,10,6,229,426
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,36,Châteauguay,7,14,92,97,6,3,219,352
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,37,Châteauguay,11,18,84,200,19,7,339,538
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,38,Châteauguay,1,10,46,88,10,5,160,366
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,39,Châteauguay,1,8,57,107,5,7,185,287
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,40,Châteauguay,3,6,88,121,11,5,234,376
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,41,Châteauguay,4,5,58,96,12,3,178,356
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,42,Châteauguay,9,16,89,182,5,8,309,543
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,43,Châteauguay,7,7,77,163,14,6,274,461
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,44,Châteauguay,11,10,71,202,5,7,306,537
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,45,Châteauguay,5,5,79,124,10,2,225,392
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,46,Châteauguay,8,10,75,123,14,3,233,469
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,47,Châteauguay,4,8,100,78,8,5,203,383
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,48,Châteauguay,6,10,104,65,8,4,197,315
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,49,Châteauguay,7,8,125,87,14,4,245,411
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,50,Châteauguay,10,11,156,55,22,1,255,431
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,51,Châteauguay,13,8,80,81,16,3,201,421
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,52,Châteauguay,13,16,109,183,18,13,352,511
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,53,Châteauguay,5,10,89,105,18,7,234,362
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,54,Châteauguay,8,9,96,101,10,5,229,500
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,55,Châteauguay,6,4,68,120,10,5,213,381
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,56,Châteauguay,11,8,123,75,14,4,235,406
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,57,Châteauguay,12,12,125,86,16,2,253,415
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,58,Châteauguay,2,5,82,109,11,4,213,475
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,59,Châteauguay,8,19,110,142,10,8,297,415
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,60,Châteauguay,7,10,112,74,11,0,214,362
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,61,Châteauguay,10,16,124,93,17,3,263,417
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,62,Châteauguay,11,13,127,63,11,6,231,375
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,63,Châteauguay,10,15,155,81,18,3,282,458
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,64,Châteauguay,13,9,103,158,3,4,290,461
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,65,Châteauguay,14,13,118,63,14,6,228,375
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,66,Châteauguay,11,11,116,97,12,2,249,392
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,67,Châteauguay,5,13,137,122,17,8,302,465
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,68,Châteauguay,6,3,88,91,13,2,203,349
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,69,Châteauguay,12,11,125,130,13,3,294,426
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,70,Châteauguay,9,6,118,66,19,0,218,392
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,71,Châteauguay,7,8,65,120,12,7,219,409
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,72,Châteauguay,6,11,88,94,8,4,211,405
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,73,Châteauguay,4,11,73,107,9,6,210,384
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,74,Châteauguay,9,7,102,112,15,7,252,391
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,75,Châteauguay,7,15,67,95,10,4,198,329
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,76,Châteauguay,8,11,100,93,18,3,233,359
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,77,Châteauguay,13,5,62,104,7,3,194,362
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,78,Châteauguay,3,7,73,103,11,6,203,310
Châteauguay--Saint-Constant/Châteauguay--Saint-Constant,79,Châteauguay,6,7,90,128,3,4,238,409
