District,Poll Number,Poll Name,Marc Boyer,Shirley Chan,Libby Davies,Harvey Grigg,Gloria Anne Kieler,Louis James Lesosky,Ron Plowright,Rejected Ballots,Total Vote,Electors
Vancouver East/Vancouver-Est,1,Vancouver,1,44,125,26,1,0,13,3,213,533
Vancouver East/Vancouver-Est,2,Vancouver,1,82,113,23,0,0,16,0,235,508
Vancouver East/Vancouver-Est,3,Vancouver,3,67,134,20,1,0,22,0,247,517
Vancouver East/Vancouver-Est,4,Vancouver,3,27,139,18,1,1,4,5,198,364
Vancouver East/Vancouver-Est,5,Vancouver,5,19,50,17,1,2,3,1,98,238
Vancouver East/Vancouver-Est,6A,Vancouver,4,35,92,16,6,4,18,4,179,435
Vancouver East/Vancouver-Est,6B,Mobile poll/Bureau itinérant,Merged with No. 52B,,,,,,,,,39
Vancouver East/Vancouver-Est,7,Vancouver,8,35,96,12,2,0,8,1,162,403
Vancouver East/Vancouver-Est,8,Vancouver,1,24,51,9,2,0,2,0,89,212
Vancouver East/Vancouver-Est,9A,Vancouver,1,114,63,26,0,0,15,0,219,468
Vancouver East/Vancouver-Est,9B,Mobile poll/Bureau itinérant,Merged with No. 30B,,,,,,,,,36
Vancouver East/Vancouver-Est,10,Vancouver,Void,,,,,,,,,
Vancouver East/Vancouver-Est,11,Vancouver,2,17,46,5,1,3,2,1,77,231
Vancouver East/Vancouver-Est,12,Vancouver,4,15,73,12,1,0,7,3,115,410
Vancouver East/Vancouver-Est,13A,Vancouver,1,14,47,9,0,0,3,0,74,262
Vancouver East/Vancouver-Est,13B,Mobile poll/Bureau itinérant,Merged with No. 30B,,,,,,,,,42
Vancouver East/Vancouver-Est,14,Vancouver,6,26,77,15,1,2,9,0,136,282
Vancouver East/Vancouver-Est,15,Vancouver,2,19,54,8,1,1,6,0,91,276
Vancouver East/Vancouver-Est,16,Vancouver,0,19,64,10,5,0,4,1,103,289
Vancouver East/Vancouver-Est,17A,Vancouver,2,65,33,12,0,1,0,0,113,236
Vancouver East/Vancouver-Est,17B,Mobile poll/Bureau itinérant,5,56,18,21,0,0,0,0,100,90
Vancouver East/Vancouver-Est,17C,Mobile poll/Bureau itinérant,1,50,29,13,0,1,3,3,100,133
Vancouver East/Vancouver-Est,18,Vancouver,0,55,43,12,2,0,5,1,118,194
Vancouver East/Vancouver-Est,19,Vancouver,3,64,99,18,2,0,5,4,195,562
Vancouver East/Vancouver-Est,20,Vancouver,1,50,66,12,2,2,3,2,138,359
Vancouver East/Vancouver-Est,21,Vancouver,1,68,74,11,1,0,8,2,165,410
Vancouver East/Vancouver-Est,22,Vancouver,4,47,78,12,1,2,4,1,149,416
Vancouver East/Vancouver-Est,23,Vancouver,3,35,59,14,2,0,3,5,121,366
Vancouver East/Vancouver-Est,24,Vancouver,2,43,87,10,3,0,10,2,157,395
