District,Poll Number,Poll Name,Steven Elgersma,Diane Finley,Colin Jones,Carrie Sinkowski,Bob Speller,Rejected Ballots,Total Vote,Electors
Haldimand--Norfolk/Haldimand--Norfolk,37,Norfolk,5,96,11,18,30,0,160,344
Haldimand--Norfolk/Haldimand--Norfolk,38,Norfolk,2,136,3,35,58,0,234,502
Haldimand--Norfolk/Haldimand--Norfolk,39,Norfolk,1,108,3,8,45,2,167,272
Haldimand--Norfolk/Haldimand--Norfolk,40,Norfolk,0,119,5,21,90,5,240,366
Haldimand--Norfolk/Haldimand--Norfolk,41,Norfolk,0,87,8,29,53,0,177,284
Haldimand--Norfolk/Haldimand--Norfolk,42,Norfolk,1,96,5,11,110,0,223,300
Haldimand--Norfolk/Haldimand--Norfolk,43,Norfolk,0,99,5,34,72,1,211,334
Haldimand--Norfolk/Haldimand--Norfolk,44,Norfolk,1,105,7,25,62,1,201,359
Haldimand--Norfolk/Haldimand--Norfolk,45,Delhi,0,195,13,67,116,1,392,671
Haldimand--Norfolk/Haldimand--Norfolk,46,Delhi,3,116,9,47,55,2,232,411
Haldimand--Norfolk/Haldimand--Norfolk,47,Delhi,1,80,5,34,101,0,221,454
Haldimand--Norfolk/Haldimand--Norfolk,48,Delhi,3,182,17,64,191,2,459,713
Haldimand--Norfolk/Haldimand--Norfolk,49,Delhi,2,129,12,41,145,0,329,549
Haldimand--Norfolk/Haldimand--Norfolk,50,Delhi,4,118,13,37,149,0,321,483
Haldimand--Norfolk/Haldimand--Norfolk,51,Nanticoke,0,84,14,35,105,0,238,440
Haldimand--Norfolk/Haldimand--Norfolk,52,Nanticoke,3,67,8,61,79,2,220,346
Haldimand--Norfolk/Haldimand--Norfolk,53,Nanticoke,0,73,5,49,89,0,216,364
Haldimand--Norfolk/Haldimand--Norfolk,54,Nanticoke,0,53,2,44,59,0,158,303
Haldimand--Norfolk/Haldimand--Norfolk,55,Nanticoke,0,48,5,39,53,0,145,271
Haldimand--Norfolk/Haldimand--Norfolk,56,Nanticoke,7,115,7,55,76,2,262,426
Haldimand--Norfolk/Haldimand--Norfolk,57,Nanticoke,0,122,4,41,136,0,303,498
Haldimand--Norfolk/Haldimand--Norfolk,58,Nanticoke,0,47,1,19,74,0,141,251
Haldimand--Norfolk/Haldimand--Norfolk,59,Nanticoke,1,54,10,40,68,2,175,279
Haldimand--Norfolk/Haldimand--Norfolk,60,Nanticoke,0,56,5,44,56,0,161,316
Haldimand--Norfolk/Haldimand--Norfolk,61,Nanticoke,0,48,7,60,78,0,193,339
Haldimand--Norfolk/Haldimand--Norfolk,62,Nanticoke,1,74,12,73,89,1,250,379
Haldimand--Norfolk/Haldimand--Norfolk,63,Nanticoke,0,48,3,32,46,0,129,253
Haldimand--Norfolk/Haldimand--Norfolk,64,Nanticoke,3,87,10,42,93,2,237,356
Haldimand--Norfolk/Haldimand--Norfolk,65,Nanticoke,2,92,11,60,101,3,269,436
Haldimand--Norfolk/Haldimand--Norfolk,66,Nanticoke,3,108,11,68,106,1,297,471
Haldimand--Norfolk/Haldimand--Norfolk,67,Nanticoke,0,56,4,28,61,0,149,229
Haldimand--Norfolk/Haldimand--Norfolk,68,Nanticoke,5,120,7,27,99,1,259,368
Haldimand--Norfolk/Haldimand--Norfolk,69,Simcoe,3,136,13,28,145,0,325,575
Haldimand--Norfolk/Haldimand--Norfolk,70,Delhi,1,89,7,22,90,0,209,379
Haldimand--Norfolk/Haldimand--Norfolk,71,Delhi,5,82,7,30,39,1,164,272
Haldimand--Norfolk/Haldimand--Norfolk,72,Simcoe,0,100,5,21,136,1,263,414
Haldimand--Norfolk/Haldimand--Norfolk,73,Simcoe,1,85,3,38,79,2,208,384
Haldimand--Norfolk/Haldimand--Norfolk,74,Simcoe,2,84,7,25,112,0,230,402
Haldimand--Norfolk/Haldimand--Norfolk,75,Simcoe,3,58,3,42,85,1,192,354
Haldimand--Norfolk/Haldimand--Norfolk,76,Simcoe,1,60,10,49,92,0,212,358
Haldimand--Norfolk/Haldimand--Norfolk,77,Simcoe,1,74,4,39,80,0,198,467
Haldimand--Norfolk/Haldimand--Norfolk,78,Simcoe,2,77,9,55,61,0,204,411
Haldimand--Norfolk/Haldimand--Norfolk,79,Simcoe,1,63,5,25,49,0,143,243
Haldimand--Norfolk/Haldimand--Norfolk,80,Simcoe,0,82,1,12,105,0,200,320
Haldimand--Norfolk/Haldimand--Norfolk,81,Simcoe,1,61,9,23,129,0,223,378
Haldimand--Norfolk/Haldimand--Norfolk,82,Simcoe,2,53,9,22,112,0,198,293
Haldimand--Norfolk/Haldimand--Norfolk,83,Simcoe,2,34,7,25,57,0,125,359
Haldimand--Norfolk/Haldimand--Norfolk,84,Simcoe,1,35,6,28,49,2,121,318
Haldimand--Norfolk/Haldimand--Norfolk,85,Simcoe,2,60,5,46,61,0,174,421
Haldimand--Norfolk/Haldimand--Norfolk,86,Simcoe,4,70,13,37,85,4,213,417
Haldimand--Norfolk/Haldimand--Norfolk,87,Simcoe,2,89,9,33,118,2,253,455
Haldimand--Norfolk/Haldimand--Norfolk,88,Simcoe,2,47,5,14,68,0,136,301
Haldimand--Norfolk/Haldimand--Norfolk,89,Simcoe,0,59,9,15,115,2,200,351
Haldimand--Norfolk/Haldimand--Norfolk,90,Simcoe,0,61,0,23,124,1,209,339
Haldimand--Norfolk/Haldimand--Norfolk,91,Simcoe,0,54,5,45,75,0,179,462
Haldimand--Norfolk/Haldimand--Norfolk,92,Simcoe,4,48,2,32,72,0,158,333
Haldimand--Norfolk/Haldimand--Norfolk,93,Simcoe,2,48,3,31,63,2,149,371
Haldimand--Norfolk/Haldimand--Norfolk,94,Simcoe,1,53,4,19,81,0,158,339
Haldimand--Norfolk/Haldimand--Norfolk,95,Simcoe,1,68,10,25,130,1,235,423
Haldimand--Norfolk/Haldimand--Norfolk,96,Simcoe,1,97,8,26,113,2,247,385
Haldimand--Norfolk/Haldimand--Norfolk,97,Simcoe,1,88,11,27,142,0,269,421
Haldimand--Norfolk/Haldimand--Norfolk,98,Simcoe,0,55,5,13,55,1,129,276
Haldimand--Norfolk/Haldimand--Norfolk,99,Simcoe,2,42,7,18,28,0,97,317
Haldimand--Norfolk/Haldimand--Norfolk,100,Simcoe,1,58,11,26,37,0,133,277
Haldimand--Norfolk/Haldimand--Norfolk,101,Simcoe,0,100,5,28,83,2,218,382
Haldimand--Norfolk/Haldimand--Norfolk,102,Simcoe,1,90,11,37,113,2,254,409
Haldimand--Norfolk/Haldimand--Norfolk,103,Nanticoke,1,67,17,15,71,1,172,296
Haldimand--Norfolk/Haldimand--Norfolk,104,Nanticoke,4,82,8,14,75,0,183,307
Haldimand--Norfolk/Haldimand--Norfolk,105,Nanticoke,6,147,4,25,106,0,288,487
Haldimand--Norfolk/Haldimand--Norfolk,106,Nanticoke,2,110,5,24,99,5,245,415
Haldimand--Norfolk/Haldimand--Norfolk,107,Nanticoke,8,98,13,29,124,1,273,431
Haldimand--Norfolk/Haldimand--Norfolk,108,Nanticoke,2,109,9,40,126,1,287,420
Haldimand--Norfolk/Haldimand--Norfolk,109,Nanticoke,2,111,7,51,89,2,262,439
Haldimand--Norfolk/Haldimand--Norfolk,110,Nanticoke,2,84,14,33,82,2,217,360
Haldimand--Norfolk/Haldimand--Norfolk,111,Nanticoke,3,85,8,32,109,0,237,356
Haldimand--Norfolk/Haldimand--Norfolk,112,Nanticoke,1,66,9,21,89,1,187,344
Haldimand--Norfolk/Haldimand--Norfolk,113,Nanticoke,1,44,7,32,63,2,149,287
Haldimand--Norfolk/Haldimand--Norfolk,114,Nanticoke,6,120,12,70,97,2,307,635
Haldimand--Norfolk/Haldimand--Norfolk,115,Nanticoke,2,105,6,31,82,1,227,381
Haldimand--Norfolk/Haldimand--Norfolk,116,Nanticoke,2,112,13,21,92,0,240,398
Haldimand--Norfolk/Haldimand--Norfolk,117,Nanticoke,1,119,9,46,97,0,272,397
Haldimand--Norfolk/Haldimand--Norfolk,118,Nanticoke,3,132,14,37,111,1,298,478
Haldimand--Norfolk/Haldimand--Norfolk,119,Nanticoke,1,82,4,25,82,2,196,304
Haldimand--Norfolk/Haldimand--Norfolk,120,Nanticoke,4,123,6,24,93,2,252,446
Haldimand--Norfolk/Haldimand--Norfolk,121,Nanticoke,6,109,7,10,95,0,227,374
Haldimand--Norfolk/Haldimand--Norfolk,122,Nanticoke,1,152,11,58,121,1,344,559
Haldimand--Norfolk/Haldimand--Norfolk,123,Nanticoke,3,133,15,49,110,1,311,565
Haldimand--Norfolk/Haldimand--Norfolk,124,Nanticoke,5,79,5,21,71,5,186,307
Haldimand--Norfolk/Haldimand--Norfolk,125,Nanticoke,3,115,5,47,113,6,289,509
Haldimand--Norfolk/Haldimand--Norfolk,126,Nanticoke,3,105,8,34,72,3,225,404
Haldimand--Norfolk/Haldimand--Norfolk,127,Nanticoke,1,116,12,36,116,2,283,513
Haldimand--Norfolk/Haldimand--Norfolk,128,Nanticoke,1,93,4,31,57,0,186,309
Haldimand--Norfolk/Haldimand--Norfolk,129,Nanticoke,5,96,3,21,63,1,189,301
Haldimand--Norfolk/Haldimand--Norfolk,130,Haldimand,3,72,11,21,112,2,221,347
Haldimand--Norfolk/Haldimand--Norfolk,131,Haldimand,5,104,10,33,129,1,282,445
Haldimand--Norfolk/Haldimand--Norfolk,132,Haldimand,3,69,5,57,97,0,231,513
Haldimand--Norfolk/Haldimand--Norfolk,133,Haldimand,2,84,6,20,73,0,185,337
Haldimand--Norfolk/Haldimand--Norfolk,134,Haldimand,2,64,9,22,70,0,167,385
Haldimand--Norfolk/Haldimand--Norfolk,135,Haldimand,2,82,5,23,68,0,180,354
Haldimand--Norfolk/Haldimand--Norfolk,136,Haldimand,0,104,9,31,107,0,251,410
Haldimand--Norfolk/Haldimand--Norfolk,137,Haldimand,2,33,2,9,36,0,82,142
Haldimand--Norfolk/Haldimand--Norfolk,138,Haldimand,3,123,11,37,103,0,277,461
Haldimand--Norfolk/Haldimand--Norfolk,139,Haldimand,2,90,9,37,126,0,264,427
Haldimand--Norfolk/Haldimand--Norfolk,140,Haldimand,2,85,2,39,101,1,230,398
Haldimand--Norfolk/Haldimand--Norfolk,141,Haldimand,1,70,6,47,66,0,190,327
Haldimand--Norfolk/Haldimand--Norfolk,142,Haldimand,3,104,6,32,84,2,231,446
Haldimand--Norfolk/Haldimand--Norfolk,143,Haldimand,2,100,7,26,58,0,193,377
Haldimand--Norfolk/Haldimand--Norfolk,144,Haldimand,2,122,11,61,111,3,310,570
Haldimand--Norfolk/Haldimand--Norfolk,145,Haldimand,2,69,9,48,53,3,184,312
Haldimand--Norfolk/Haldimand--Norfolk,146,Haldimand,1,86,3,36,74,3,203,352
Haldimand--Norfolk/Haldimand--Norfolk,147,Haldimand,3,64,8,35,95,0,205,379
Haldimand--Norfolk/Haldimand--Norfolk,148,Haldimand,4,55,9,34,69,1,172,361
Haldimand--Norfolk/Haldimand--Norfolk,149,Haldimand,2,98,8,48,115,2,273,428
Haldimand--Norfolk/Haldimand--Norfolk,150,Haldimand,1,84,3,28,115,4,235,382
Haldimand--Norfolk/Haldimand--Norfolk,151,Haldimand,3,83,17,54,106,2,265,411
Haldimand--Norfolk/Haldimand--Norfolk,152,Haldimand,0,34,5,29,41,1,110,293
Haldimand--Norfolk/Haldimand--Norfolk,153,Haldimand,3,62,12,41,93,3,214,399
Haldimand--Norfolk/Haldimand--Norfolk,154,Haldimand,2,83,8,49,100,1,243,417
Haldimand--Norfolk/Haldimand--Norfolk,155,Haldimand,3,71,12,52,93,2,233,463
Haldimand--Norfolk/Haldimand--Norfolk,156,Haldimand,3,79,8,24,92,1,207,339
Haldimand--Norfolk/Haldimand--Norfolk,157,Haldimand,2,120,7,47,121,1,298,490
Haldimand--Norfolk/Haldimand--Norfolk,158,Haldimand,0,78,4,22,55,1,160,320
Haldimand--Norfolk/Haldimand--Norfolk,159,Haldimand,8,152,13,62,99,4,338,609
Haldimand--Norfolk/Haldimand--Norfolk,160,Haldimand,1,85,8,25,53,2,174,308
Haldimand--Norfolk/Haldimand--Norfolk,161,Haldimand,8,108,12,31,79,1,239,478
Haldimand--Norfolk/Haldimand--Norfolk,162,Haldimand,0,88,10,18,83,0,199,307
Haldimand--Norfolk/Haldimand--Norfolk,163,Haldimand,2,104,10,35,92,0,243,418
Haldimand--Norfolk/Haldimand--Norfolk,164,Haldimand,3,81,8,38,79,1,210,401
Haldimand--Norfolk/Haldimand--Norfolk,165,Haldimand,9,107,10,40,90,1,257,438
Haldimand--Norfolk/Haldimand--Norfolk,166,Haldimand,5,90,10,20,68,0,193,341
Haldimand--Norfolk/Haldimand--Norfolk,167,Haldimand,5,52,2,16,61,2,138,262
Haldimand--Norfolk/Haldimand--Norfolk,168,Haldimand,0,88,9,27,56,2,182,327
Haldimand--Norfolk/Haldimand--Norfolk,169,Haldimand,4,98,8,35,75,0,220,367
Haldimand--Norfolk/Haldimand--Norfolk,170,Haldimand,4,124,8,42,116,3,297,502
Haldimand--Norfolk/Haldimand--Norfolk,171,Haldimand,5,84,9,26,82,7,213,311
Haldimand--Norfolk/Haldimand--Norfolk,172,Haldimand,5,128,5,31,54,0,223,325
Haldimand--Norfolk/Haldimand--Norfolk,173,Haldimand,4,159,11,65,82,1,322,547
Haldimand--Norfolk/Haldimand--Norfolk,174,Haldimand,2,115,5,62,108,2,294,557
Haldimand--Norfolk/Haldimand--Norfolk,175,Haldimand,3,140,8,31,74,2,258,467
Haldimand--Norfolk/Haldimand--Norfolk,176,Haldimand,6,126,17,24,102,0,275,539
Haldimand--Norfolk/Haldimand--Norfolk,177,Dunnville,9,134,6,27,73,1,250,402
Haldimand--Norfolk/Haldimand--Norfolk,178,Dunnville,0,99,7,37,77,1,221,352
Haldimand--Norfolk/Haldimand--Norfolk,179,Dunnville,10,126,4,25,90,2,257,445
Haldimand--Norfolk/Haldimand--Norfolk,180,Dunnville,5,101,3,38,54,1,202,395
Haldimand--Norfolk/Haldimand--Norfolk,181,Dunnville,9,147,10,44,58,1,269,420
Haldimand--Norfolk/Haldimand--Norfolk,182,Dunnville,10,78,2,13,49,0,152,271
Haldimand--Norfolk/Haldimand--Norfolk,183,Dunnville,19,131,13,40,71,0,274,456
Haldimand--Norfolk/Haldimand--Norfolk,184,Dunnville,13,105,2,18,51,0,189,301
Haldimand--Norfolk/Haldimand--Norfolk,185,Dunnville,7,101,5,28,55,1,197,347
Haldimand--Norfolk/Haldimand--Norfolk,186,Dunnville,14,169,3,27,69,1,283,430
Haldimand--Norfolk/Haldimand--Norfolk,187A,Dunnville,4,111,10,36,68,0,229,438
Haldimand--Norfolk/Haldimand--Norfolk,187B,Dunnville,1,116,10,29,70,0,226,382
Haldimand--Norfolk/Haldimand--Norfolk,188,Dunnville,6,77,7,32,69,2,193,326
Haldimand--Norfolk/Haldimand--Norfolk,189,Dunnville,2,80,4,34,50,0,170,401
Haldimand--Norfolk/Haldimand--Norfolk,190,Dunnville,5,135,9,45,70,1,265,485
Haldimand--Norfolk/Haldimand--Norfolk,191,Dunnville,1,94,4,33,110,0,242,407
Haldimand--Norfolk/Haldimand--Norfolk,192,Dunnville,8,88,6,31,77,2,212,384
Haldimand--Norfolk/Haldimand--Norfolk,193,Dunnville,1,105,5,23,101,1,236,389
Haldimand--Norfolk/Haldimand--Norfolk,194,Dunnville,1,58,8,36,46,0,149,320
Haldimand--Norfolk/Haldimand--Norfolk,195,Dunnville,4,66,7,38,72,2,189,349
Haldimand--Norfolk/Haldimand--Norfolk,196,Dunnville,2,58,0,12,37,0,109,188
Haldimand--Norfolk/Haldimand--Norfolk,197,Dunnville,4,98,4,36,66,0,208,447
Haldimand--Norfolk/Haldimand--Norfolk,198,Dunnville,3,57,7,25,58,1,151,319
Haldimand--Norfolk/Haldimand--Norfolk,199,Dunnville,3,56,9,34,67,1,170,381
Haldimand--Norfolk/Haldimand--Norfolk,400,Simcoe,2,13,1,2,26,1,45,149
Haldimand--Norfolk/Haldimand--Norfolk,401,Dunnville,2,15,2,6,31,1,57,167
Haldimand--Norfolk/Haldimand--Norfolk,500,Mobile poll/Bureau itinérant,0,1,0,3,15,0,19,131
Haldimand--Norfolk/Haldimand--Norfolk,501,Mobile poll/Bureau itinérant,Void,,,,,,,
Haldimand--Norfolk/Haldimand--Norfolk,502,Mobile poll/Bureau itinérant,0,39,2,6,42,1,90,184
Haldimand--Norfolk/Haldimand--Norfolk,503,Mobile poll/Bureau itinérant,2,11,2,5,27,1,48,123
Haldimand--Norfolk/Haldimand--Norfolk,504,Mobile poll/Bureau itinérant,3,13,1,14,47,3,81,124
Haldimand--Norfolk/Haldimand--Norfolk,600,Delhi,7,271,7,51,287,3,626,
Haldimand--Norfolk/Haldimand--Norfolk,601,Langton,7,218,4,13,97,2,341,
Haldimand--Norfolk/Haldimand--Norfolk,602,St. Williams,2,164,4,26,130,5,331,
Haldimand--Norfolk/Haldimand--Norfolk,603,Port Dover,1,201,17,70,198,1,488,
Haldimand--Norfolk/Haldimand--Norfolk,604,Simcoe,4,221,8,41,191,0,465,
Haldimand--Norfolk/Haldimand--Norfolk,605,Simcoe,4,237,16,63,254,0,574,
Haldimand--Norfolk/Haldimand--Norfolk,606,Waterford,0,164,15,31,144,3,357,
Haldimand--Norfolk/Haldimand--Norfolk,607,Hagersville,3,171,9,43,122,2,350,
Haldimand--Norfolk/Haldimand--Norfolk,608,Caledonia,4,244,16,63,207,2,536,
Haldimand--Norfolk/Haldimand--Norfolk,609,Cayuga,4,265,14,44,172,1,500,
Haldimand--Norfolk/Haldimand--Norfolk,610,Dunnville,9,184,9,52,76,0,330,
Haldimand--Norfolk/Haldimand--Norfolk,611,Dunnville,5,155,10,21,110,1,302,
Haldimand--Norfolk/Haldimand--Norfolk,,Group 1/Groupe 1,0,29,7,6,32,2,76,190
Haldimand--Norfolk/Haldimand--Norfolk,,Group 2/Groupe 2,10,316,18,91,349,12,796,
