District,Poll Number,Poll Name,Stéphane Chénier,Laura Colella,Payam Eslami,Ricardo Fellicetti,Paul-Alexis François,Massimo Pacetti,Rejected Ballots,Total Vote,Electors
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,28,Saint-Léonard,1,19,10,5,43,122,4,204,475
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,29,Saint-Léonard,0,1,1,0,10,31,2,45,105
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,30,Saint-Léonard,1,15,14,5,41,122,5,203,380
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,31,Saint-Léonard,0,16,9,8,28,134,7,202,359
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,32,Saint-Léonard,1,7,12,5,44,107,0,176,358
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,33,Saint-Léonard,1,20,8,8,26,123,0,186,366
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,34,Saint-Léonard,1,16,14,5,40,125,8,209,398
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,35,Saint-Léonard,0,7,7,4,34,122,6,180,338
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,36,Saint-Léonard,0,11,7,8,38,132,9,205,332
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,37,Saint-Léonard,0,9,15,7,64,118,4,217,355
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,38,Saint-Léonard,0,9,9,3,38,95,8,162,358
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,39,Saint-Léonard,1,19,5,10,54,86,6,181,392
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,40,Saint-Léonard,0,8,15,4,33,110,4,174,391
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,41,Saint-Léonard,1,33,18,8,34,128,3,225,402
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,42,Saint-Léonard,1,17,4,4,25,131,2,184,315
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,43,Saint-Léonard,0,16,13,7,26,122,1,185,346
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,44,Saint-Léonard,1,17,4,4,29,117,7,179,340
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,45,Saint-Léonard,0,9,6,4,29,120,0,168,364
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,46,Saint-Léonard,1,3,5,5,16,127,3,160,338
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,47,Saint-Léonard,3,9,12,6,35,116,6,187,441
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,48,Saint-Léonard,1,23,7,3,34,104,5,177,378
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,49,Saint-Léonard,10,15,24,10,128,202,8,397,629
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,50,Saint-Léonard,0,17,25,5,58,270,10,385,635
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,51,Saint-Léonard,1,16,8,1,46,103,13,188,359
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,52,Saint-Léonard,1,15,10,1,41,113,4,185,476
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,53,Saint-Léonard,0,5,9,3,40,114,1,172,344
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,54,Saint-Léonard,1,13,6,3,44,124,5,196,386
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,55,Saint-Léonard,1,14,7,7,34,105,3,171,330
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,56,Saint-Léonard,1,12,7,5,43,130,4,202,427
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,57,Saint-Léonard,1,13,8,3,33,111,3,172,385
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,58,Saint-Léonard,0,8,12,7,60,137,3,227,411
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,59,Saint-Léonard,0,9,16,3,65,74,6,173,364
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,60,Saint-Léonard,3,13,8,3,68,82,3,180,373
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,61,Saint-Léonard,2,15,12,2,35,169,5,240,353
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,62,Saint-Léonard,0,10,6,7,35,141,3,202,373
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,63,Saint-Léonard,2,15,12,4,93,118,3,247,516
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,64,Saint-Léonard,1,7,9,5,41,103,3,169,339
