District,Poll Number,Poll Name,Wayne Gates,Ted Mousseau,Rob Nicholson,Victor Pietrangelo,Rejected Ballots,Total Vote,Electors
Niagara Falls/Niagara Falls,44,Niagara Falls,32,4,76,76,3,191,308
Niagara Falls/Niagara Falls,45,Niagara Falls,43,10,83,106,2,244,481
Niagara Falls/Niagara Falls,46,Niagara Falls,25,9,159,152,1,346,615
Niagara Falls/Niagara Falls,47,Niagara Falls,42,7,104,125,1,279,457
Niagara Falls/Niagara Falls,48,Niagara Falls,56,9,128,138,2,333,531
Niagara Falls/Niagara Falls,49,Niagara Falls,48,7,84,101,1,241,402
Niagara Falls/Niagara Falls,50,Niagara Falls,57,8,96,75,0,236,438
Niagara Falls/Niagara Falls,51,Niagara Falls,73,13,93,76,0,255,509
Niagara Falls/Niagara Falls,52,Niagara Falls,41,5,48,27,0,121,292
Niagara Falls/Niagara Falls,53,Niagara Falls,38,12,64,73,0,187,397
Niagara Falls/Niagara Falls,54,Niagara Falls,38,7,92,90,3,230,436
Niagara Falls/Niagara Falls,55,Niagara Falls,38,4,107,127,5,281,461
Niagara Falls/Niagara Falls,56,Niagara Falls,35,6,62,67,0,170,314
Niagara Falls/Niagara Falls,57,Niagara Falls,49,13,105,86,2,255,402
Niagara Falls/Niagara Falls,58,Niagara Falls,46,5,58,74,3,186,309
Niagara Falls/Niagara Falls,59,Niagara Falls,38,9,39,77,0,163,347
Niagara Falls/Niagara Falls,60,Niagara Falls,29,3,65,67,1,165,295
Niagara Falls/Niagara Falls,61,Niagara Falls,18,7,70,51,0,146,286
Niagara Falls/Niagara Falls,62,Niagara Falls,46,7,82,87,1,223,455
Niagara Falls/Niagara Falls,63,Niagara Falls,37,9,58,72,0,176,358
Niagara Falls/Niagara Falls,64,Niagara Falls,41,5,68,93,2,209,342
Niagara Falls/Niagara Falls,65,Niagara Falls,29,5,38,32,2,106,244
Niagara Falls/Niagara Falls,66,Niagara Falls,38,7,50,64,0,159,364
Niagara Falls/Niagara Falls,67A,Niagara Falls,46,6,85,47,0,184,370
Niagara Falls/Niagara Falls,67B,Mobile poll/Bureau itinérant,6,2,23,16,6,53,126
Niagara Falls/Niagara Falls,68,Niagara Falls,41,8,116,147,2,314,581
Niagara Falls/Niagara Falls,69,Niagara Falls,50,5,73,77,0,205,435
Niagara Falls/Niagara Falls,70,Niagara Falls,39,6,94,60,0,199,387
Niagara Falls/Niagara Falls,71,Niagara Falls,60,2,66,70,0,198,394
Niagara Falls/Niagara Falls,72,Niagara Falls,65,5,89,92,8,259,527
Niagara Falls/Niagara Falls,73A,Niagara Falls,40,8,76,56,2,182,411
Niagara Falls/Niagara Falls,73B,Niagara Falls,30,3,78,63,1,175,360
Niagara Falls/Niagara Falls,74,Niagara Falls,39,6,54,76,2,177,339
Niagara Falls/Niagara Falls,75,Niagara Falls,53,10,87,113,6,269,513
Niagara Falls/Niagara Falls,76,Niagara Falls,22,9,66,97,7,201,297
Niagara Falls/Niagara Falls,77,Niagara Falls,38,12,82,99,2,233,375
Niagara Falls/Niagara Falls,78,Niagara Falls,53,12,87,76,2,230,363
Niagara Falls/Niagara Falls,79,Niagara Falls,36,5,56,99,4,200,312
Niagara Falls/Niagara Falls,80,Niagara Falls,44,5,51,70,2,172,301
Niagara Falls/Niagara Falls,81,Niagara Falls,49,11,67,85,3,215,389
Niagara Falls/Niagara Falls,82,Niagara Falls,34,8,96,125,2,265,445
Niagara Falls/Niagara Falls,83A,Niagara Falls,46,10,59,62,0,177,373
Niagara Falls/Niagara Falls,83B,Mobile poll/Bureau itinérant,Merged with No. 148B,,,,,,65
Niagara Falls/Niagara Falls,84,Niagara Falls,36,3,73,90,0,202,374
Niagara Falls/Niagara Falls,85,Niagara Falls,37,6,87,96,3,229,388
