District,Poll Number,Poll Name,Marc Bombois,Andrea Goldsmith,Anne Jamieson,John Reynolds,Nicholas Simons,Blair Wilson,Rejected Ballots,Total Vote,Electors
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,160,West Vancouver,0,12,0,109,4,112,1,238,569
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,161,West Vancouver,0,15,1,106,4,128,1,255,508
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,162,West Vancouver,0,20,0,101,14,113,1,249,411
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,163,West Vancouver,2,15,0,113,18,133,0,281,452
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,164,North Vancouver,Void,,,,,,,,
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,165,West Vancouver,0,6,0,110,14,114,0,244,407
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,166,West Vancouver,0,8,0,111,14,101,0,234,417
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,167,West Vancouver,0,14,1,111,6,92,0,224,490
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,168,West Vancouver,0,6,0,85,9,80,0,180,393
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,169,West Vancouver,1,15,0,99,10,154,0,279,534
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,170,West Vancouver,0,18,0,119,6,96,0,239,371
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,171,West Vancouver,1,14,0,107,14,135,1,272,402
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,172,West Vancouver,0,15,0,108,13,101,0,237,383
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,173,West Vancouver,0,11,0,100,14,109,0,234,412
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,174,West Vancouver,1,20,0,129,12,117,1,280,449
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,175,West Vancouver,0,32,0,115,18,115,0,280,459
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,176,West Vancouver,0,26,1,119,17,129,0,292,436
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,177,West Vancouver,2,33,0,123,22,123,0,303,478
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,178,West Vancouver,0,11,0,129,10,84,1,235,377
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,179,West Vancouver,0,9,0,111,11,92,0,223,377
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,180,West Vancouver,0,25,1,91,20,98,0,235,377
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,181,West Vancouver,0,9,0,31,8,44,1,93,197
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,182,West Vancouver,2,17,1,87,22,83,0,212,351
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,183,West Vancouver,0,9,0,91,11,87,1,199,375
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,184,West Vancouver,0,17,0,69,21,85,0,192,357
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,185,West Vancouver,0,21,0,105,13,124,0,263,439
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,186,West Vancouver,0,26,0,121,20,136,0,303,467
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,187,West Vancouver,0,35,0,102,13,111,3,264,411
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,188,West Vancouver,0,20,0,110,21,107,1,259,437
