District,Poll Number,Poll Name,Andrée Champagne,Joëlle Chevrier,Michel Gaudette,Bruno Godbout,Yvan Loubier,Rejected Ballots,Total Vote,Electors
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,148,Sainte-Marie-Madeleine,19,7,53,4,227,4,314,537
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,149,Sainte-Marie-Madeleine,12,7,38,4,156,7,224,357
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,150,Sainte-Marie-Madeleine,48,12,62,9,198,8,337,552
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,151,Saint-Damase,26,10,67,7,149,0,259,441
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,152,Saint-Damase,21,4,62,9,112,6,214,310
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,153,Saint-Damase,21,2,55,1,144,7,230,341
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,154,Saint-Damase,29,6,44,3,150,2,234,354
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,155,Saint-Damase,36,12,57,8,143,6,262,406
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,156,Saint-Dominique,25,3,52,6,143,5,234,390
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,157,Saint-Dominique,17,3,28,3,144,6,201,354
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,158A,Saint-Dominique,27,1,26,2,134,5,195,335
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,158B,Saint-Dominique,19,7,27,2,114,3,172,283
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,159,Saint-Dominique,26,5,38,2,144,3,218,351
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,160,Saint-Hyacinthe-le-Confesseur,19,5,43,1,98,2,168,336
Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,161,Notre-Dame-de-Saint-Hyacinthe,28,9,72,2,155,6,272,407
