District,Poll Number,Poll Name,Julie Emmerson,Tony Martin,Carmen Provenzano,Cameron Ross,Mike Taffarel,Rejected Ballots,Total Vote,Electors
Sault Ste. Marie/Sault Ste. Marie,92,Sault Ste. Marie,1,41,63,31,0,1,137,271
Sault Ste. Marie/Sault Ste. Marie,93,Sault Ste. Marie,5,73,72,40,0,0,190,346
Sault Ste. Marie/Sault Ste. Marie,94,Sault Ste. Marie,2,77,81,60,0,1,221,332
Sault Ste. Marie/Sault Ste. Marie,95,Sault Ste. Marie,2,137,154,84,0,1,378,581
Sault Ste. Marie/Sault Ste. Marie,96,Sault Ste. Marie,2,53,82,51,1,1,190,323
Sault Ste. Marie/Sault Ste. Marie,97,Sault Ste. Marie,5,93,133,76,1,1,309,438
Sault Ste. Marie/Sault Ste. Marie,98,Sault Ste. Marie,5,73,88,48,0,0,214,335
Sault Ste. Marie/Sault Ste. Marie,99,Sault Ste. Marie,5,59,115,52,0,3,234,338
Sault Ste. Marie/Sault Ste. Marie,100,Sault Ste. Marie,0,96,55,44,0,0,195,397
Sault Ste. Marie/Sault Ste. Marie,101,Sault Ste. Marie,4,68,63,36,0,1,172,286
Sault Ste. Marie/Sault Ste. Marie,102,Sault Ste. Marie,4,70,43,26,0,1,144,318
Sault Ste. Marie/Sault Ste. Marie,103,Sault Ste. Marie,6,120,78,34,1,2,241,399
Sault Ste. Marie/Sault Ste. Marie,104,Sault Ste. Marie,5,178,72,33,0,1,289,596
Sault Ste. Marie/Sault Ste. Marie,105,Sault Ste. Marie,2,83,91,48,0,0,224,364
Sault Ste. Marie/Sault Ste. Marie,106,Sault Ste. Marie,5,60,83,40,1,1,190,361
Sault Ste. Marie/Sault Ste. Marie,107,Sault Ste. Marie,6,103,50,27,0,0,186,332
Sault Ste. Marie/Sault Ste. Marie,108,Sault Ste. Marie,4,86,55,43,1,0,189,341
Sault Ste. Marie/Sault Ste. Marie,109,Sault Ste. Marie,2,78,48,45,0,4,177,326
Sault Ste. Marie/Sault Ste. Marie,110,Sault Ste. Marie,2,89,103,66,0,0,260,552
Sault Ste. Marie/Sault Ste. Marie,111,Sault Ste. Marie,5,84,110,54,0,1,254,411
Sault Ste. Marie/Sault Ste. Marie,112,Sault Ste. Marie,5,49,135,80,0,1,270,407
Sault Ste. Marie/Sault Ste. Marie,113,Sault Ste. Marie,11,77,98,63,0,2,251,435
Sault Ste. Marie/Sault Ste. Marie,114,Sault Ste. Marie,1,56,50,24,0,0,131,292
Sault Ste. Marie/Sault Ste. Marie,115,Sault Ste. Marie,3,80,41,22,1,2,149,383
Sault Ste. Marie/Sault Ste. Marie,116,Sault Ste. Marie,7,63,27,15,0,0,112,254
Sault Ste. Marie/Sault Ste. Marie,117,Sault Ste. Marie,0,71,34,20,0,1,126,337
Sault Ste. Marie/Sault Ste. Marie,118,Sault Ste. Marie,3,145,146,50,0,7,351,549
Sault Ste. Marie/Sault Ste. Marie,119,Sault Ste. Marie,3,65,30,24,0,0,122,296
Sault Ste. Marie/Sault Ste. Marie,120,Sault Ste. Marie,2,78,35,24,0,1,140,277
Sault Ste. Marie/Sault Ste. Marie,121,Sault Ste. Marie,3,96,55,16,1,1,172,335
Sault Ste. Marie/Sault Ste. Marie,122,Sault Ste. Marie,3,61,75,41,0,1,181,345
Sault Ste. Marie/Sault Ste. Marie,123,Sault Ste. Marie,2,57,88,41,0,1,189,371
Sault Ste. Marie/Sault Ste. Marie,124,Sault Ste. Marie,3,55,98,33,2,1,192,356
Sault Ste. Marie/Sault Ste. Marie,125,Sault Ste. Marie,11,72,74,71,0,2,230,367
Sault Ste. Marie/Sault Ste. Marie,126,Sault Ste. Marie,4,106,124,57,0,0,291,458
Sault Ste. Marie/Sault Ste. Marie,127,Sault Ste. Marie,5,51,113,66,0,1,236,376
Sault Ste. Marie/Sault Ste. Marie,128,Sault Ste. Marie,3,132,43,58,0,4,240,385
Sault Ste. Marie/Sault Ste. Marie,129,Sault Ste. Marie,1,95,54,51,0,1,202,321
Sault Ste. Marie/Sault Ste. Marie,130,Sault Ste. Marie,2,78,31,40,0,1,152,257
Sault Ste. Marie/Sault Ste. Marie,131,Sault Ste. Marie,2,102,85,61,0,1,251,449
Sault Ste. Marie/Sault Ste. Marie,132,Sault Ste. Marie,2,66,33,20,0,5,126,297
Sault Ste. Marie/Sault Ste. Marie,133,Sault Ste. Marie,9,64,91,38,1,0,203,382
Sault Ste. Marie/Sault Ste. Marie,134,Sault Ste. Marie,7,53,90,49,0,2,201,335
Sault Ste. Marie/Sault Ste. Marie,135,Sault Ste. Marie,8,70,126,39,0,2,245,372
Sault Ste. Marie/Sault Ste. Marie,136,Sault Ste. Marie,4,77,95,29,0,1,206,306
Sault Ste. Marie/Sault Ste. Marie,137,Sault Ste. Marie,1,95,103,69,0,1,269,392
Sault Ste. Marie/Sault Ste. Marie,138,Sault Ste. Marie,5,107,132,53,0,0,297,571
Sault Ste. Marie/Sault Ste. Marie,139,Sault Ste. Marie,4,71,70,34,0,1,180,324
Sault Ste. Marie/Sault Ste. Marie,140,Sault Ste. Marie,8,74,98,78,2,2,262,392
Sault Ste. Marie/Sault Ste. Marie,141,Sault Ste. Marie,5,82,111,66,0,3,267,404
Sault Ste. Marie/Sault Ste. Marie,142,Sault Ste. Marie,5,58,92,44,0,0,199,439
Sault Ste. Marie/Sault Ste. Marie,143,Sault Ste. Marie,1,38,72,17,1,2,131,207
Sault Ste. Marie/Sault Ste. Marie,144,Sault Ste. Marie,3,58,108,63,0,0,232,346
Sault Ste. Marie/Sault Ste. Marie,145,Sault Ste. Marie,1,69,127,44,0,3,244,364
Sault Ste. Marie/Sault Ste. Marie,146,Sault Ste. Marie,1,47,93,44,0,2,187,312
Sault Ste. Marie/Sault Ste. Marie,147,Sault Ste. Marie,4,54,88,49,0,0,195,366
Sault Ste. Marie/Sault Ste. Marie,148,Sault Ste. Marie,4,47,143,60,0,0,254,400
Sault Ste. Marie/Sault Ste. Marie,149,Sault Ste. Marie,3,45,125,74,0,1,248,422
Sault Ste. Marie/Sault Ste. Marie,150,Sault Ste. Marie,1,37,134,53,0,1,226,411
Sault Ste. Marie/Sault Ste. Marie,151,Sault Ste. Marie,5,33,98,67,0,0,203,345
Sault Ste. Marie/Sault Ste. Marie,152,Sault Ste. Marie,6,46,105,70,0,1,228,364
Sault Ste. Marie/Sault Ste. Marie,153,Sault Ste. Marie,2,84,65,50,0,0,201,418
Sault Ste. Marie/Sault Ste. Marie,154,Sault Ste. Marie,1,70,26,15,0,0,112,258
Sault Ste. Marie/Sault Ste. Marie,155,Sault Ste. Marie,3,66,42,37,0,0,148,287
Sault Ste. Marie/Sault Ste. Marie,156,Sault Ste. Marie,7,67,44,42,0,0,160,285
Sault Ste. Marie/Sault Ste. Marie,157,Sault Ste. Marie,4,87,65,53,0,3,212,367
Sault Ste. Marie/Sault Ste. Marie,158,Sault Ste. Marie,4,81,45,28,0,0,158,302
Sault Ste. Marie/Sault Ste. Marie,159,Sault Ste. Marie,3,114,68,54,3,0,242,382
Sault Ste. Marie/Sault Ste. Marie,160,Sault Ste. Marie,10,123,102,41,0,1,277,466
Sault Ste. Marie/Sault Ste. Marie,161,Sault Ste. Marie,6,96,77,78,0,0,257,400
Sault Ste. Marie/Sault Ste. Marie,162,Sault Ste. Marie,2,60,77,27,0,1,167,283
Sault Ste. Marie/Sault Ste. Marie,163,Sault Ste. Marie,6,109,86,43,1,0,245,405
Sault Ste. Marie/Sault Ste. Marie,164,Sault Ste. Marie,6,82,66,48,0,0,202,357
Sault Ste. Marie/Sault Ste. Marie,165,Sault Ste. Marie,0,83,121,62,0,0,266,404
Sault Ste. Marie/Sault Ste. Marie,166,Sault Ste. Marie,9,109,158,62,1,0,339,562
Sault Ste. Marie/Sault Ste. Marie,167,Sault Ste. Marie,5,56,62,27,0,0,150,291
Sault Ste. Marie/Sault Ste. Marie,168,Sault Ste. Marie,2,54,129,84,0,0,269,393
Sault Ste. Marie/Sault Ste. Marie,169,Sault Ste. Marie,4,46,102,49,0,0,201,346
Sault Ste. Marie/Sault Ste. Marie,170,Sault Ste. Marie,4,60,118,51,0,2,235,383
Sault Ste. Marie/Sault Ste. Marie,171,Sault Ste. Marie,8,48,190,82,0,0,328,480
Sault Ste. Marie/Sault Ste. Marie,172,Rankin Location 15D,1,68,26,16,1,0,112,244
Sault Ste. Marie/Sault Ste. Marie,173,Garden River 14,2,162,34,5,0,1,204,513
Sault Ste. Marie/Sault Ste. Marie,174,Echo Bay ,7,134,48,100,0,2,291,545
Sault Ste. Marie/Sault Ste. Marie,175,Sylvan Valley,1,69,22,37,0,1,130,212
Sault Ste. Marie/Sault Ste. Marie,176,Echo Bay ,3,121,45,125,1,1,296,557
Sault Ste. Marie/Sault Ste. Marie,177,Bar River,7,85,41,60,0,1,194,361
Sault Ste. Marie/Sault Ste. Marie,178,Laird,4,75,37,101,0,0,217,347
Sault Ste. Marie/Sault Ste. Marie,179,MacLennan,5,52,32,94,0,1,184,275
Sault Ste. Marie/Sault Ste. Marie,180,Gordon Lake,1,38,20,36,0,0,95,170
Sault Ste. Marie/Sault Ste. Marie,181,Desbarats,2,63,37,86,0,1,189,341
Sault Ste. Marie/Sault Ste. Marie,182,Bruce Mines,3,62,48,92,0,0,205,364
Sault Ste. Marie/Sault Ste. Marie,183,Bruce Mines,8,30,42,79,0,0,159,249
Sault Ste. Marie/Sault Ste. Marie,184,Bruce Station,6,69,51,115,0,0,241,374
Sault Ste. Marie/Sault Ste. Marie,185,Hilton,11,87,58,140,2,0,298,413
Sault Ste. Marie/Sault Ste. Marie,186,Richards Landing,6,51,42,149,0,1,249,337
Sault Ste. Marie/Sault Ste. Marie,187,Richards Landing,10,57,72,140,0,2,281,410
Sault Ste. Marie/Sault Ste. Marie,188,St. Joseph--Jocelyn,4,58,37,130,1,2,232,306
Sault Ste. Marie/Sault Ste. Marie,500,Mobile poll/Bureau itinérant,1,94,87,43,0,2,227,312
Sault Ste. Marie/Sault Ste. Marie,501,Mobile poll/Bureau itinérant,0,25,33,15,1,1,75,81
Sault Ste. Marie/Sault Ste. Marie,502,Mobile poll/Bureau itinérant,0,44,24,15,0,3,86,230
Sault Ste. Marie/Sault Ste. Marie,503,Mobile poll/Bureau itinérant,1,56,45,15,0,5,122,256
Sault Ste. Marie/Sault Ste. Marie,600,Algoma,6,92,55,69,0,0,222,
Sault Ste. Marie/Sault Ste. Marie,601,Algoma--Sault Ste. Marie,8,132,123,64,1,0,328,
Sault Ste. Marie/Sault Ste. Marie,602,Sault Ste. Marie,3,67,90,40,0,2,202,
Sault Ste. Marie/Sault Ste. Marie,603,Sault Ste. Marie,6,127,115,70,0,0,318,
Sault Ste. Marie/Sault Ste. Marie,604,Sault Ste. Marie,6,126,164,137,0,1,434,
Sault Ste. Marie/Sault Ste. Marie,605,Sault Ste. Marie,8,191,247,161,0,0,607,
Sault Ste. Marie/Sault Ste. Marie,606,Sault Ste. Marie,7,145,248,170,0,0,570,
Sault Ste. Marie/Sault Ste. Marie,607,Sault Ste. Marie,7,132,141,132,0,1,413,
Sault Ste. Marie/Sault Ste. Marie,608,Sault Ste. Marie,11,73,59,102,0,0,245,
Sault Ste. Marie/Sault Ste. Marie,,Group 1/Groupe 1,5,23,41,52,0,7,128,258
Sault Ste. Marie/Sault Ste. Marie,,Group 2/Groupe 2,13,257,239,217,1,7,734,
