District,Poll Number,Poll Name,Michel Guimond,Steeve Hudon,Yves Jourdain,Lisette Lepage,Guy-Léonard Tremblay,Rejected Ballots,Total Vote,Electors
Charlevoix--Montmorency/Charlevoix--Montmorency,1,Colombier,47,0,1,4,1,0,53,90
Charlevoix--Montmorency/Charlevoix--Montmorency,2,Colombier,Void,,,,,,,
Charlevoix--Montmorency/Charlevoix--Montmorency,3,Colombier,182,4,2,12,12,216,428,433
Charlevoix--Montmorency/Charlevoix--Montmorency,4,Saint-Marc-de-Latour,64,2,0,6,5,0,77,150
Charlevoix--Montmorency/Charlevoix--Montmorency,5,Forestville,142,7,1,22,17,0,189,476
Charlevoix--Montmorency/Charlevoix--Montmorency,6,Forestville,111,6,6,10,8,2,143,273
Charlevoix--Montmorency/Charlevoix--Montmorency,7,Forestville,129,6,6,32,8,0,181,424
Charlevoix--Montmorency/Charlevoix--Montmorency,8,Forestville,125,3,1,24,10,4,167,370
Charlevoix--Montmorency/Charlevoix--Montmorency,9,Forestville,131,5,6,20,12,4,178,450
Charlevoix--Montmorency/Charlevoix--Montmorency,10,Forestville,154,6,3,21,15,2,201,459
Charlevoix--Montmorency/Charlevoix--Montmorency,11,Forestville,119,1,2,5,5,1,133,406
Charlevoix--Montmorency/Charlevoix--Montmorency,12,Sainte-Anne-de-Portneuf,77,3,2,13,7,1,103,225
Charlevoix--Montmorency/Charlevoix--Montmorency,13,Sainte-Anne-de-Portneuf,90,6,2,13,11,0,122,260
Charlevoix--Montmorency/Charlevoix--Montmorency,14,Sainte-Anne-de-Portneuf,78,1,4,12,3,2,100,244
Charlevoix--Montmorency/Charlevoix--Montmorency,15,Longue-Rive,231,5,5,20,16,3,280,608
Charlevoix--Montmorency/Charlevoix--Montmorency,16,Longue-Rive,17,0,0,1,1,0,19,40
Charlevoix--Montmorency/Charlevoix--Montmorency,17,Longue-Rive,52,0,0,5,1,1,59,187
Charlevoix--Montmorency/Charlevoix--Montmorency,18,Longue-Rive,71,3,0,9,4,0,87,271
Charlevoix--Montmorency/Charlevoix--Montmorency,19,Les Escoumins,95,5,1,17,6,1,125,342
Charlevoix--Montmorency/Charlevoix--Montmorency,20,Les Escoumins,103,4,2,14,14,2,139,294
Charlevoix--Montmorency/Charlevoix--Montmorency,21,Les Escoumins,116,2,2,26,8,2,156,390
Charlevoix--Montmorency/Charlevoix--Montmorency,22,Les Escoumins,105,6,2,13,6,0,132,327
Charlevoix--Montmorency/Charlevoix--Montmorency,23,Les Escoumins,20,1,3,15,1,1,41,142
Charlevoix--Montmorency/Charlevoix--Montmorency,24,Les Escoumins,137,7,5,28,8,0,185,412
Charlevoix--Montmorency/Charlevoix--Montmorency,25,Les Bergeronnes,91,2,6,17,5,1,122,277
Charlevoix--Montmorency/Charlevoix--Montmorency,26,Les Bergeronnes,109,3,7,30,4,1,154,293
