District,Poll Number,Poll Name,Pierre Chénier,Riina DeFaria,Jim Gill,Albina Guarnieri,Jason Robert Hinchliffe,Andrew Seitz,Sally Wong,Rejected Ballots,Total Vote,Electors
Mississauga East--Cooksville/Mississauga-Est--Cooksville,1,Mississauga,0,57,19,103,2,0,0,0,181,427
Mississauga East--Cooksville/Mississauga-Est--Cooksville,2,Mississauga,0,59,20,101,9,0,2,0,191,306
Mississauga East--Cooksville/Mississauga-Est--Cooksville,3,Mississauga,0,61,9,90,11,1,1,0,173,405
Mississauga East--Cooksville/Mississauga-Est--Cooksville,4,Mississauga,0,13,9,26,2,0,4,0,54,152
Mississauga East--Cooksville/Mississauga-Est--Cooksville,5A,Mississauga,0,34,30,57,5,0,1,0,127,328
Mississauga East--Cooksville/Mississauga-Est--Cooksville,5B,Mississauga,1,30,13,49,5,0,4,1,103,306
Mississauga East--Cooksville/Mississauga-Est--Cooksville,6A,Mississauga,0,11,16,56,2,0,0,0,85,292
Mississauga East--Cooksville/Mississauga-Est--Cooksville,6B,Mississauga,0,37,7,61,0,0,0,0,105,306
Mississauga East--Cooksville/Mississauga-Est--Cooksville,7,Mississauga,1,71,25,149,9,2,5,1,263,517
Mississauga East--Cooksville/Mississauga-Est--Cooksville,8,Mississauga,0,57,25,136,6,1,15,0,240,431
Mississauga East--Cooksville/Mississauga-Est--Cooksville,9,Mississauga,1,48,31,84,9,0,5,2,180,426
Mississauga East--Cooksville/Mississauga-Est--Cooksville,10,Mississauga,1,12,20,27,3,0,2,0,65,244
Mississauga East--Cooksville/Mississauga-Est--Cooksville,11A,Mississauga,0,32,15,71,4,0,5,0,127,420
Mississauga East--Cooksville/Mississauga-Est--Cooksville,11B,Mississauga,0,25,19,92,1,0,7,0,144,416
Mississauga East--Cooksville/Mississauga-Est--Cooksville,12,Mississauga,0,22,7,42,2,0,0,0,73,203
Mississauga East--Cooksville/Mississauga-Est--Cooksville,13,Mississauga,0,27,40,90,7,0,5,0,169,516
Mississauga East--Cooksville/Mississauga-Est--Cooksville,14,Mississauga,1,38,21,129,3,0,2,2,196,467
Mississauga East--Cooksville/Mississauga-Est--Cooksville,15,Mississauga,0,20,8,53,3,0,4,0,88,322
Mississauga East--Cooksville/Mississauga-Est--Cooksville,16,Mississauga,0,31,22,62,9,1,5,3,133,329
Mississauga East--Cooksville/Mississauga-Est--Cooksville,17,Mississauga,0,28,11,52,8,0,0,0,99,209
Mississauga East--Cooksville/Mississauga-Est--Cooksville,18,Mississauga,0,45,21,83,11,2,8,0,170,327
Mississauga East--Cooksville/Mississauga-Est--Cooksville,19,Mississauga,1,50,23,136,8,1,1,3,223,413
Mississauga East--Cooksville/Mississauga-Est--Cooksville,20,Mississauga,0,51,17,110,6,1,10,3,198,356
Mississauga East--Cooksville/Mississauga-Est--Cooksville,21,Mississauga,1,45,11,117,4,0,2,1,181,302
