District,Poll Number,Poll Name,Kevin Ade,Michael Cassidyne-Hook,Starleigh Grass,Vern Nielsen,Huguette Plourde,Werner Schmidt,Rejected Ballots,Total Vote,Electors
Kelowna/Kelowna,87,Kelowna,30,0,31,71,2,96,1,231,401
Kelowna/Kelowna,88,Kelowna,10,2,40,50,1,40,0,143,335
Kelowna/Kelowna,89,Kelowna,12,2,34,34,4,35,1,122,306
Kelowna/Kelowna,90,Kelowna,33,3,43,63,4,68,0,214,385
Kelowna/Kelowna,91,Kelowna,15,1,47,72,1,79,0,215,381
Kelowna/Kelowna,92,Kelowna,12,3,47,44,4,46,0,156,304
Kelowna/Kelowna,93,Kelowna,14,0,38,33,2,59,1,147,316
Kelowna/Kelowna,94,Kelowna,21,2,53,58,0,108,0,242,475
Kelowna/Kelowna,95,Kelowna,9,2,58,53,3,58,1,184,385
Kelowna/Kelowna,96,Kelowna,27,2,55,41,0,61,0,186,397
Kelowna/Kelowna,97,Kelowna,16,3,48,96,2,99,1,265,449
Kelowna/Kelowna,98,Kelowna,1,1,32,80,0,120,1,235,359
Kelowna/Kelowna,99,Kelowna,8,0,23,37,1,50,1,120,250
Kelowna/Kelowna,100,Kelowna,13,1,36,29,2,61,2,144,264
Kelowna/Kelowna,101,Kelowna,15,1,36,27,3,48,0,130,268
Kelowna/Kelowna,102,Kelowna,26,2,43,46,5,74,1,197,351
Kelowna/Kelowna,103,Kelowna,21,1,59,64,2,112,1,260,462
Kelowna/Kelowna,104,Kelowna,13,2,41,99,1,162,2,320,552
Kelowna/Kelowna,105,Kelowna,16,3,49,67,0,149,1,285,509
Kelowna/Kelowna,106,Kelowna,22,3,47,50,2,72,0,196,447
Kelowna/Kelowna,107,Kelowna,18,0,51,55,1,142,2,269,542
Kelowna/Kelowna,108,Kelowna,10,3,42,32,2,69,1,159,356
Kelowna/Kelowna,109,Kelowna,10,2,55,60,1,86,1,215,405
Kelowna/Kelowna,110,Kelowna,11,0,46,33,1,103,1,195,429
Kelowna/Kelowna,111,Kelowna,8,3,43,35,3,112,1,205,410
Kelowna/Kelowna,112,Kelowna,7,0,36,54,1,115,1,214,370
Kelowna/Kelowna,113,Kelowna,10,3,32,41,4,108,0,198,385
Kelowna/Kelowna,114,Kelowna,15,3,48,35,1,87,0,189,381
Kelowna/Kelowna,115,Kelowna,10,4,70,55,1,170,1,311,641
Kelowna/Kelowna,116,Kelowna,12,1,62,37,3,102,0,217,411
Kelowna/Kelowna,117,Kelowna,16,3,37,79,2,154,0,291,536
Kelowna/Kelowna,118,Kelowna,23,2,24,80,1,73,1,204,347
Kelowna/Kelowna,119,Kelowna,32,2,59,41,1,81,1,217,476
Kelowna/Kelowna,120,Kelowna,22,1,69,43,0,99,0,234,435
Kelowna/Kelowna,121,Kelowna,8,2,32,46,0,122,0,210,325
Kelowna/Kelowna,122,Kelowna,27,2,62,108,3,156,1,359,567
Kelowna/Kelowna,123,Kelowna,17,1,43,72,1,161,2,297,460
Kelowna/Kelowna,124,Kelowna,15,1,45,94,2,148,0,305,561
Kelowna/Kelowna,125,Kelowna,20,1,39,89,4,147,0,300,463
Kelowna/Kelowna,126,Kelowna,22,1,36,80,2,127,1,269,426
Kelowna/Kelowna,127,Kelowna,28,1,46,52,1,109,1,238,425
Kelowna/Kelowna,128,Kelowna,10,2,65,47,3,98,0,225,432
Kelowna/Kelowna,129,Kelowna,13,5,43,54,2,120,1,238,445
Kelowna/Kelowna,130,Kelowna,12,0,39,55,2,118,0,226,414
Kelowna/Kelowna,131,Kelowna,11,1,53,59,1,118,0,243,434
Kelowna/Kelowna,132,Kelowna,16,2,49,49,5,108,0,229,466
Kelowna/Kelowna,133,Kelowna,21,1,54,63,1,93,0,233,426
Kelowna/Kelowna,134,Kelowna,14,2,49,49,6,99,1,220,459
Kelowna/Kelowna,135,Kelowna,17,1,44,29,3,79,1,174,380
Kelowna/Kelowna,136,Kelowna,12,5,54,24,3,119,0,217,429
Kelowna/Kelowna,137,Kelowna,27,0,48,60,2,63,0,200,338
Kelowna/Kelowna,138,Kelowna,18,0,30,52,0,60,1,161,323
Kelowna/Kelowna,139,Kelowna,6,1,17,12,1,25,1,63,219
Kelowna/Kelowna,140,Kelowna,6,0,23,34,0,74,1,138,258
Kelowna/Kelowna,141,Kelowna,13,2,18,41,2,40,0,116,241
Kelowna/Kelowna,142,Kelowna,15,0,43,38,4,53,1,154,378
Kelowna/Kelowna,143,Kelowna,23,1,59,63,6,72,1,225,437
Kelowna/Kelowna,144,Kelowna,16,0,39,90,3,152,1,301,440
Kelowna/Kelowna,145,Kelowna,5,0,20,76,0,106,1,208,321
Kelowna/Kelowna,146,Kelowna,12,4,35,36,1,53,1,142,265
Kelowna/Kelowna,147,Kelowna,4,1,26,67,0,121,2,221,301
Kelowna/Kelowna,148,Kelowna,8,0,16,79,0,142,2,247,347
Kelowna/Kelowna,149,Kelowna,24,3,57,107,1,217,2,411,680
Kelowna/Kelowna,150,Kelowna,6,0,30,65,0,72,0,173,319
Kelowna/Kelowna,151,Kelowna,11,1,23,64,2,126,1,228,354
Kelowna/Kelowna,152,Kelowna,20,1,49,116,1,167,1,355,541
Kelowna/Kelowna,153,Kelowna,14,3,20,31,2,30,0,100,268
Kelowna/Kelowna,154,Kelowna,17,3,58,79,2,140,1,300,570
Kelowna/Kelowna,155,Kelowna,8,0,29,44,0,158,1,240,387
Kelowna/Kelowna,156,Kelowna,22,0,42,89,2,137,0,292,485
Kelowna/Kelowna,157,Kelowna,16,2,30,62,4,149,2,265,455
Kelowna/Kelowna,158,Kelowna,19,0,36,100,2,104,1,262,460
Kelowna/Kelowna,159,Kelowna,20,1,54,71,2,155,0,303,563
Kelowna/Kelowna,160,Kelowna,18,1,43,53,3,113,0,231,414
Kelowna/Kelowna,161,Kelowna,18,2,53,52,1,162,1,289,524
Kelowna/Kelowna,162,Kelowna,21,0,45,53,5,160,0,284,526
Kelowna/Kelowna,163,Kelowna,16,1,45,100,0,144,4,310,505
Kelowna/Kelowna,164,Kelowna,12,4,53,67,1,116,0,253,441
Kelowna/Kelowna,165,Kelowna,12,1,31,78,0,125,0,247,420
Kelowna/Kelowna,166,Kelowna,18,1,25,88,0,104,0,236,413
Kelowna/Kelowna,167,Kelowna,14,0,29,61,0,77,0,181,309
Kelowna/Kelowna,168,Kelowna,25,0,26,117,1,141,0,310,497
Kelowna/Kelowna,169,Kelowna,19,0,35,85,2,86,1,228,373
Kelowna/Kelowna,170,Kelowna,11,0,12,58,0,80,0,161,278
Kelowna/Kelowna,171,Kelowna,22,0,17,92,2,89,0,222,398
Kelowna/Kelowna,172,Kelowna,26,4,41,73,0,124,0,268,451
Kelowna/Kelowna,173,Kelowna,20,1,34,74,1,144,1,275,488
Kelowna/Kelowna,174,Kelowna,16,3,56,58,3,114,0,250,394
Kelowna/Kelowna,175,Kelowna,19,2,22,54,0,72,0,169,295
Kelowna/Kelowna,176,Kelowna,23,0,29,89,4,121,0,266,431
Kelowna/Kelowna,177,Kelowna,32,1,47,73,4,153,2,312,547
Kelowna/Kelowna,178A,Kelowna,12,0,17,76,2,131,0,238,386
Kelowna/Kelowna,178B,Kelowna,10,0,15,75,1,123,0,224,316
Kelowna/Kelowna,179,Kelowna,21,1,31,43,4,83,0,183,335
Kelowna/Kelowna,180,Kelowna,19,0,38,101,2,174,0,334,493
Kelowna/Kelowna,181,Kelowna,13,2,6,123,1,144,0,289,381
Kelowna/Kelowna,182,Kelowna,26,0,13,101,3,152,1,296,514
Kelowna/Kelowna,183,Kelowna,24,0,31,96,5,118,0,274,462
Kelowna/Kelowna,184,Kelowna,29,0,35,142,0,172,1,379,519
Kelowna/Kelowna,185,Kelowna,17,0,17,41,0,57,0,132,188
Kelowna/Kelowna,186,Kelowna,41,0,71,133,2,236,0,483,709
Kelowna/Kelowna,187,Kelowna,28,4,31,134,8,160,0,365,580
Kelowna/Kelowna,188,Kelowna,25,0,31,93,3,144,2,298,509
Kelowna/Kelowna,189,Kelowna,27,0,36,124,0,166,1,354,542
Kelowna/Kelowna,190,Oyama,15,0,41,51,4,59,0,170,288
Kelowna/Kelowna,191,Oyama,40,1,43,68,6,113,0,271,417
Kelowna/Kelowna,192,Oyama,31,0,64,50,4,85,0,234,460
Kelowna/Kelowna,193,Winfield,17,1,42,28,0,76,0,164,327
Kelowna/Kelowna,194,Winfield,37,1,35,45,4,91,1,214,431
Kelowna/Kelowna,195,Ellison,10,4,9,39,1,81,0,144,204
Kelowna/Kelowna,196,Ellison,11,0,24,33,4,103,0,175,321
Kelowna/Kelowna,197,Ellison,20,0,40,48,2,116,0,226,353
Kelowna/Kelowna,198,Ellison,13,0,40,45,1,111,0,210,387
Kelowna/Kelowna,199,Ellison,11,1,62,52,1,148,3,278,426
Kelowna/Kelowna,200,Ellison,43,4,70,51,11,149,0,328,551
Kelowna/Kelowna,201,Ellison,7,1,25,27,0,49,0,109,195
Kelowna/Kelowna,400,Kelowna,3,0,20,17,1,45,2,88,149
Kelowna/Kelowna,500,Mobile poll/Bureau itinérant,1,2,16,25,3,43,0,90,110
Kelowna/Kelowna,501,Mobile poll/Bureau itinérant,4,2,23,37,0,67,3,136,173
Kelowna/Kelowna,502,Mobile poll/Bureau itinérant,1,2,17,17,1,26,1,65,83
Kelowna/Kelowna,503,Mobile poll/Bureau itinérant,5,1,17,43,0,62,1,129,154
Kelowna/Kelowna,504,Mobile poll/Bureau itinérant,3,2,15,27,1,58,2,108,152
Kelowna/Kelowna,505,Mobile poll/Bureau itinérant,6,1,22,44,1,82,3,159,206
Kelowna/Kelowna,600,Oyama,27,5,92,106,5,323,1,559,
Kelowna/Kelowna,601,Kelowna,28,1,39,145,2,343,0,558,
Kelowna/Kelowna,602,Kelowna,13,0,29,49,1,153,0,245,
Kelowna/Kelowna,603,Kelowna,29,1,79,78,1,201,2,391,
Kelowna/Kelowna,604,Kelowna,26,3,62,149,0,294,0,534,
Kelowna/Kelowna,605,Kelowna,18,5,91,88,4,290,3,499,
Kelowna/Kelowna,606,Kelowna,35,3,61,138,1,210,0,448,
Kelowna/Kelowna,607,Kelowna,16,1,59,79,6,234,0,395,
Kelowna/Kelowna,608,Kelowna,30,2,59,121,0,277,0,489,
Kelowna/Kelowna,609,Kelowna,24,1,65,128,6,348,1,573,
Kelowna/Kelowna,,Group 1/Groupe 1,7,0,25,22,6,41,4,105,187
Kelowna/Kelowna,,Group 2/Groupe 2,54,2,126,209,7,472,11,881,
