District,Poll Number,Poll Name,Lorraine Auclair,Catherine Brousseau,François Côté,Monique Guay,Christian Marcoux,Marcel Poirier,Rejected Ballots,Total Vote,Electors
Rivière-du-Nord/Rivière-du-Nord,81,Saint-Jérôme,35,4,3,78,3,2,1,126,294
Rivière-du-Nord/Rivière-du-Nord,82,Saint-Jérôme,51,8,4,143,2,4,13,225,472
Rivière-du-Nord/Rivière-du-Nord,83,Saint-Jérôme,30,5,3,95,3,1,2,139,345
Rivière-du-Nord/Rivière-du-Nord,84,Saint-Jérôme,18,12,5,150,6,8,1,200,449
Rivière-du-Nord/Rivière-du-Nord,85,Saint-Jérôme,25,5,1,100,2,2,6,141,320
Rivière-du-Nord/Rivière-du-Nord,86,Saint-Jérôme,89,19,8,129,2,7,13,267,468
Rivière-du-Nord/Rivière-du-Nord,87,Saint-Jérôme,35,14,2,94,2,4,6,157,309
Rivière-du-Nord/Rivière-du-Nord,88,Saint-Jérôme,32,9,5,71,0,3,4,124,374
Rivière-du-Nord/Rivière-du-Nord,89,Saint-Jérôme,32,0,5,97,2,0,4,140,403
Rivière-du-Nord/Rivière-du-Nord,90,Saint-Jérôme,31,6,1,85,2,3,3,131,282
Rivière-du-Nord/Rivière-du-Nord,91,Saint-Jérôme,30,4,3,71,4,4,1,117,362
Rivière-du-Nord/Rivière-du-Nord,92,Saint-Jérôme,31,11,2,96,3,6,4,153,360
Rivière-du-Nord/Rivière-du-Nord,93,Saint-Jérôme,31,9,4,93,4,6,2,149,341
Rivière-du-Nord/Rivière-du-Nord,94,Saint-Jérôme,31,6,5,72,2,0,6,122,267
Rivière-du-Nord/Rivière-du-Nord,95,Saint-Jérôme,36,6,10,72,1,0,3,128,317
Rivière-du-Nord/Rivière-du-Nord,96,Saint-Jérôme,89,15,11,135,2,4,0,256,456
Rivière-du-Nord/Rivière-du-Nord,97,Saint-Jérôme,33,5,2,104,4,7,8,163,345
Rivière-du-Nord/Rivière-du-Nord,98,Saint-Jérôme,60,10,4,114,2,6,3,199,344
Rivière-du-Nord/Rivière-du-Nord,99,Saint-Antoine,42,4,9,157,4,6,9,231,420
Rivière-du-Nord/Rivière-du-Nord,100,Saint-Antoine,38,12,7,143,0,5,6,211,352
Rivière-du-Nord/Rivière-du-Nord,101,Saint-Antoine,33,5,4,95,2,2,4,145,236
Rivière-du-Nord/Rivière-du-Nord,102,Saint-Jérôme,46,2,2,113,0,5,0,168,321
Rivière-du-Nord/Rivière-du-Nord,103,Saint-Antoine,66,18,6,208,5,5,5,313,532
Rivière-du-Nord/Rivière-du-Nord,104,Saint-Antoine,52,16,3,206,1,10,4,292,464
Rivière-du-Nord/Rivière-du-Nord,105,Saint-Antoine,59,7,7,108,1,4,5,191,369
Rivière-du-Nord/Rivière-du-Nord,106,Saint-Antoine,55,4,6,120,1,6,1,193,327
Rivière-du-Nord/Rivière-du-Nord,107,Saint-Antoine,50,1,3,79,2,2,1,138,271
Rivière-du-Nord/Rivière-du-Nord,108,Saint-Jérôme,18,5,2,86,2,10,4,127,252
Rivière-du-Nord/Rivière-du-Nord,109,Saint-Jérôme,171,21,11,189,1,4,8,405,545
Rivière-du-Nord/Rivière-du-Nord,110,Saint-Jérôme,59,11,9,158,2,2,6,247,473
Rivière-du-Nord/Rivière-du-Nord,111,Saint-Jérôme,52,14,7,161,0,8,6,248,413
Rivière-du-Nord/Rivière-du-Nord,112,Saint-Jérôme,30,4,5,119,2,5,6,171,352
Rivière-du-Nord/Rivière-du-Nord,113,Saint-Jérôme,56,19,7,113,5,3,6,209,459
Rivière-du-Nord/Rivière-du-Nord,114,Saint-Antoine,53,7,3,122,5,1,7,198,358
Rivière-du-Nord/Rivière-du-Nord,115,Saint-Antoine,35,10,0,76,1,2,4,128,249
Rivière-du-Nord/Rivière-du-Nord,116,Saint-Antoine,45,17,8,157,2,5,4,238,508
Rivière-du-Nord/Rivière-du-Nord,117,Saint-Antoine,45,16,4,182,3,6,3,259,471
Rivière-du-Nord/Rivière-du-Nord,118,Saint-Jérôme,37,12,2,109,3,3,3,169,344
Rivière-du-Nord/Rivière-du-Nord,119,Saint-Jérôme,88,23,2,160,1,2,8,284,522
Rivière-du-Nord/Rivière-du-Nord,120,Saint-Jérôme,57,13,2,160,2,4,9,247,502
Rivière-du-Nord/Rivière-du-Nord,121,Saint-Jérôme,33,6,4,116,3,3,5,170,394
Rivière-du-Nord/Rivière-du-Nord,122,Saint-Jérôme,39,10,4,99,0,6,1,159,403
Rivière-du-Nord/Rivière-du-Nord,123,Saint-Jérôme,24,4,3,79,2,2,7,121,289
Rivière-du-Nord/Rivière-du-Nord,124,Saint-Jérôme,57,7,9,133,1,7,6,220,411
Rivière-du-Nord/Rivière-du-Nord,125,Saint-Jérôme,44,11,7,97,2,2,2,165,337
Rivière-du-Nord/Rivière-du-Nord,126,Saint-Jérôme,37,5,7,98,0,3,4,154,329
Rivière-du-Nord/Rivière-du-Nord,127,Saint-Jérôme,39,7,3,112,2,4,4,171,459
Rivière-du-Nord/Rivière-du-Nord,128,Saint-Jérôme,23,6,2,106,0,2,6,145,322
Rivière-du-Nord/Rivière-du-Nord,129,Saint-Jérôme,69,6,2,142,2,6,4,231,371
Rivière-du-Nord/Rivière-du-Nord,130,Saint-Jérôme,34,10,6,94,2,7,4,157,338
Rivière-du-Nord/Rivière-du-Nord,131,Saint-Jérôme,72,17,8,148,4,4,5,258,433
Rivière-du-Nord/Rivière-du-Nord,132,Saint-Jérôme,61,11,4,122,2,5,8,213,419
Rivière-du-Nord/Rivière-du-Nord,133,Saint-Jérôme,41,10,5,99,1,0,3,159,363
Rivière-du-Nord/Rivière-du-Nord,134,Bellefeuille,35,19,11,220,4,7,16,312,611
Rivière-du-Nord/Rivière-du-Nord,135,Bellefeuille,35,14,9,160,3,5,4,230,409
Rivière-du-Nord/Rivière-du-Nord,136,Bellefeuille,29,12,5,159,1,5,6,217,366
