District,Poll Number,Poll Name,Brunie Brunie,Jean Crowder,Harold Henn,Lloyd Macilquham,Dave Quist,Jeffrey Ian Warr,Rejected Ballots,Total Vote,Electors
Nanaimo--Cowichan/Nanaimo--Cowichan,1A,Caycuse,0,27,1,4,5,0,1,38,42
Nanaimo--Cowichan/Nanaimo--Cowichan,1B,Caycuse,Merged with No. 3,,,,,,,,63
Nanaimo--Cowichan/Nanaimo--Cowichan,2,Cowichan Lake ,1,137,13,36,67,2,1,257,399
Nanaimo--Cowichan/Nanaimo--Cowichan,3,Honeymoon Bay,0,94,14,30,46,0,0,184,271
Nanaimo--Cowichan/Nanaimo--Cowichan,4,Youbou,0,54,3,16,35,1,0,109,149
Nanaimo--Cowichan/Nanaimo--Cowichan,5,Cowichan Lake ,3,114,21,31,78,2,0,249,350
Nanaimo--Cowichan/Nanaimo--Cowichan,6,Honeymoon Bay,0,91,6,17,32,0,0,146,217
Nanaimo--Cowichan/Nanaimo--Cowichan,7,Lake Cowichan,1,154,8,15,64,1,0,243,384
Nanaimo--Cowichan/Nanaimo--Cowichan,8,Lake Cowichan,3,120,13,32,75,2,0,245,495
Nanaimo--Cowichan/Nanaimo--Cowichan,9,Lake Cowichan,0,148,12,30,65,1,1,257,416
Nanaimo--Cowichan/Nanaimo--Cowichan,10,Lake Cowichan,1,94,9,15,33,0,0,152,273
Nanaimo--Cowichan/Nanaimo--Cowichan,11,Lake Cowichan,2,158,9,27,97,0,3,296,490
Nanaimo--Cowichan/Nanaimo--Cowichan,12,Lake Cowichan,0,100,16,23,51,0,1,191,315
Nanaimo--Cowichan/Nanaimo--Cowichan,13A,East Wellington,1,85,21,43,103,1,0,254,387
Nanaimo--Cowichan/Nanaimo--Cowichan,13B,East Wellington,1,90,23,33,100,3,0,250,369
Nanaimo--Cowichan/Nanaimo--Cowichan,14,Extension,1,148,18,36,64,0,1,268,426
Nanaimo--Cowichan/Nanaimo--Cowichan,15A,Cassidy,0,91,26,21,68,1,0,207,393
Nanaimo--Cowichan/Nanaimo--Cowichan,15B,Cassidy,0,73,16,25,58,0,1,173,345
Nanaimo--Cowichan/Nanaimo--Cowichan,16,Cassidy,0,134,26,36,88,0,0,284,391
Nanaimo--Cowichan/Nanaimo--Cowichan,17,South Wellington,0,125,24,35,87,1,0,272,470
Nanaimo--Cowichan/Nanaimo--Cowichan,18,South Wellington,2,126,19,29,74,2,0,252,443
Nanaimo--Cowichan/Nanaimo--Cowichan,19,Nanaimo River 3,0,21,0,2,2,0,0,25,62
Nanaimo--Cowichan/Nanaimo--Cowichan,20,Cedar,3,72,13,28,59,1,1,177,323
Nanaimo--Cowichan/Nanaimo--Cowichan,21,Cedar,1,96,22,54,70,2,0,245,435
Nanaimo--Cowichan/Nanaimo--Cowichan,22,Cedar,0,127,20,34,81,0,1,263,413
Nanaimo--Cowichan/Nanaimo--Cowichan,23,Boat Harbour,1,180,21,65,157,4,0,428,665
Nanaimo--Cowichan/Nanaimo--Cowichan,24,Cedar,1,112,17,19,63,0,1,213,361
Nanaimo--Cowichan/Nanaimo--Cowichan,25,Cassidy,1,80,26,28,78,2,1,216,435
Nanaimo--Cowichan/Nanaimo--Cowichan,26,Quennell Lake,1,137,18,56,74,3,0,289,455
Nanaimo--Cowichan/Nanaimo--Cowichan,27,Quennell Lake,0,110,23,42,95,1,1,272,417
Nanaimo--Cowichan/Nanaimo--Cowichan,28,Nanaimo,0,94,11,25,94,0,0,224,356
Nanaimo--Cowichan/Nanaimo--Cowichan,29,Nanaimo,0,88,10,31,113,1,0,243,400
Nanaimo--Cowichan/Nanaimo--Cowichan,30,Nanaimo,0,103,22,39,101,2,0,267,494
Nanaimo--Cowichan/Nanaimo--Cowichan,31,Nanaimo,1,124,14,47,137,1,1,325,550
Nanaimo--Cowichan/Nanaimo--Cowichan,32,Nanaimo,2,90,25,23,50,0,0,190,341
Nanaimo--Cowichan/Nanaimo--Cowichan,33,Nanaimo,1,93,22,43,127,0,0,286,474
Nanaimo--Cowichan/Nanaimo--Cowichan,34,Nanaimo,0,38,8,34,61,0,0,141,247
Nanaimo--Cowichan/Nanaimo--Cowichan,35,Nanaimo,1,82,23,40,58,0,0,204,375
Nanaimo--Cowichan/Nanaimo--Cowichan,36,Nanaimo,1,119,16,36,60,3,1,236,432
Nanaimo--Cowichan/Nanaimo--Cowichan,37,Nanaimo,1,122,12,32,66,2,0,235,401
Nanaimo--Cowichan/Nanaimo--Cowichan,38,Nanaimo,2,71,11,7,27,1,3,122,260
Nanaimo--Cowichan/Nanaimo--Cowichan,39,Nanaimo,2,103,25,26,63,0,0,219,422
Nanaimo--Cowichan/Nanaimo--Cowichan,40,Nanaimo,0,119,10,35,49,2,2,217,387
Nanaimo--Cowichan/Nanaimo--Cowichan,41,Nanaimo,0,92,12,17,25,2,1,149,309
Nanaimo--Cowichan/Nanaimo--Cowichan,42,Nanaimo,0,107,31,27,42,0,1,208,438
Nanaimo--Cowichan/Nanaimo--Cowichan,43,Nanaimo,0,120,21,34,36,2,1,214,414
Nanaimo--Cowichan/Nanaimo--Cowichan,44,Nanaimo,0,103,25,28,32,2,0,190,359
Nanaimo--Cowichan/Nanaimo--Cowichan,45,Nanaimo,1,74,10,23,44,1,0,153,299
Nanaimo--Cowichan/Nanaimo--Cowichan,46A,Nanaimo,2,119,19,30,56,0,0,226,366
Nanaimo--Cowichan/Nanaimo--Cowichan,46B,Mobile poll/Bureau itinérant,1,57,4,24,32,3,3,124,60
Nanaimo--Cowichan/Nanaimo--Cowichan,47,Nanaimo,1,79,26,35,65,0,0,206,328
