District,Poll Number,Poll Name,Frank Chilelli,Raminder Gill,Gurbax S. Malhi,Sharleen McDowall,Fernando Miranda,Rejected Ballots,Total Vote,Electors
Bramalea--Gore--Malton/Bramalea--Gore--Malton,70,Brampton,0,73,93,17,29,0,212,403
Bramalea--Gore--Malton/Bramalea--Gore--Malton,71,Brampton,0,62,70,13,36,0,181,361
Bramalea--Gore--Malton/Bramalea--Gore--Malton,72,Brampton,0,56,64,13,65,1,199,391
Bramalea--Gore--Malton/Bramalea--Gore--Malton,73,Brampton,1,75,92,10,34,0,212,392
Bramalea--Gore--Malton/Bramalea--Gore--Malton,74,Brampton,2,58,72,15,49,2,198,464
Bramalea--Gore--Malton/Bramalea--Gore--Malton,75,Brampton,1,70,75,12,30,2,190,386
Bramalea--Gore--Malton/Bramalea--Gore--Malton,76,Brampton,1,51,75,10,37,3,177,329
Bramalea--Gore--Malton/Bramalea--Gore--Malton,77,Brampton,0,53,69,7,24,1,154,296
Bramalea--Gore--Malton/Bramalea--Gore--Malton,78,Brampton,0,38,40,10,38,0,126,290
Bramalea--Gore--Malton/Bramalea--Gore--Malton,79,Brampton,2,60,44,21,52,4,183,407
Bramalea--Gore--Malton/Bramalea--Gore--Malton,80,Brampton,2,76,129,7,37,1,252,451
Bramalea--Gore--Malton/Bramalea--Gore--Malton,81,Brampton,1,35,51,14,40,0,141,354
Bramalea--Gore--Malton/Bramalea--Gore--Malton,82,Brampton,5,66,114,9,37,4,235,561
Bramalea--Gore--Malton/Bramalea--Gore--Malton,83,Brampton,0,45,97,8,28,3,181,441
Bramalea--Gore--Malton/Bramalea--Gore--Malton,84,Brampton,0,25,45,2,18,0,90,255
Bramalea--Gore--Malton/Bramalea--Gore--Malton,85,Brampton,0,16,40,1,14,0,71,229
Bramalea--Gore--Malton/Bramalea--Gore--Malton,86,Brampton,7,28,66,0,24,0,125,337
Bramalea--Gore--Malton/Bramalea--Gore--Malton,87,Brampton,1,12,29,1,29,2,74,227
Bramalea--Gore--Malton/Bramalea--Gore--Malton,88,Brampton,0,18,32,0,6,0,56,145
Bramalea--Gore--Malton/Bramalea--Gore--Malton,89,Brampton,0,61,106,14,45,0,226,448
Bramalea--Gore--Malton/Bramalea--Gore--Malton,90,Brampton,2,38,57,7,25,3,132,247
Bramalea--Gore--Malton/Bramalea--Gore--Malton,91,Brampton,1,76,55,4,26,0,162,255
Bramalea--Gore--Malton/Bramalea--Gore--Malton,92,Brampton,1,70,99,18,29,5,222,431
Bramalea--Gore--Malton/Bramalea--Gore--Malton,93,Brampton,0,66,69,8,32,3,178,385
Bramalea--Gore--Malton/Bramalea--Gore--Malton,94,Brampton,3,53,109,21,56,1,243,397
Bramalea--Gore--Malton/Bramalea--Gore--Malton,95,Brampton,0,58,64,6,44,0,172,326
Bramalea--Gore--Malton/Bramalea--Gore--Malton,96,Brampton,1,74,97,16,35,0,223,349
Bramalea--Gore--Malton/Bramalea--Gore--Malton,97,Brampton,1,40,71,8,32,4,156,400
Bramalea--Gore--Malton/Bramalea--Gore--Malton,98,Brampton,1,73,77,13,45,3,212,389
Bramalea--Gore--Malton/Bramalea--Gore--Malton,99,Brampton,0,71,86,17,39,2,215,343
Bramalea--Gore--Malton/Bramalea--Gore--Malton,100,Brampton,1,66,80,8,29,2,186,380
Bramalea--Gore--Malton/Bramalea--Gore--Malton,101,Brampton,4,53,82,10,46,0,195,371
Bramalea--Gore--Malton/Bramalea--Gore--Malton,102,Brampton,0,55,97,9,50,2,213,389
Bramalea--Gore--Malton/Bramalea--Gore--Malton,103,Brampton,1,57,53,16,36,0,163,356
Bramalea--Gore--Malton/Bramalea--Gore--Malton,104,Brampton,0,102,94,18,42,1,257,424
Bramalea--Gore--Malton/Bramalea--Gore--Malton,105,Brampton,0,65,77,9,32,1,184,362
Bramalea--Gore--Malton/Bramalea--Gore--Malton,106,Brampton,3,76,81,18,51,5,234,419
Bramalea--Gore--Malton/Bramalea--Gore--Malton,107,Brampton,1,40,44,6,19,0,110,197
Bramalea--Gore--Malton/Bramalea--Gore--Malton,108,Brampton,1,85,77,23,41,0,227,424
Bramalea--Gore--Malton/Bramalea--Gore--Malton,109,Brampton,0,62,54,19,48,0,183,543
Bramalea--Gore--Malton/Bramalea--Gore--Malton,110,Brampton,0,51,42,9,31,2,135,242
Bramalea--Gore--Malton/Bramalea--Gore--Malton,111,Brampton,Void,,,,,,,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,112,Brampton,4,50,71,14,27,1,167,478
Bramalea--Gore--Malton/Bramalea--Gore--Malton,113,Brampton,0,24,36,3,18,0,81,214
Bramalea--Gore--Malton/Bramalea--Gore--Malton,114,Brampton,0,83,89,8,37,0,217,442
Bramalea--Gore--Malton/Bramalea--Gore--Malton,115,Brampton,0,78,71,14,44,1,208,346
Bramalea--Gore--Malton/Bramalea--Gore--Malton,116,Brampton,0,85,77,10,38,0,210,397
Bramalea--Gore--Malton/Bramalea--Gore--Malton,117,Brampton,2,106,83,13,23,0,227,410
Bramalea--Gore--Malton/Bramalea--Gore--Malton,118,Brampton,4,23,65,6,24,2,124,365
Bramalea--Gore--Malton/Bramalea--Gore--Malton,119,Brampton,2,33,70,13,22,0,140,329
Bramalea--Gore--Malton/Bramalea--Gore--Malton,120,Brampton,2,48,79,6,18,0,153,407
Bramalea--Gore--Malton/Bramalea--Gore--Malton,121,Brampton,2,64,83,16,50,1,216,436
Bramalea--Gore--Malton/Bramalea--Gore--Malton,122,Brampton,1,43,64,6,29,0,143,334
Bramalea--Gore--Malton/Bramalea--Gore--Malton,123,Brampton,0,65,94,23,43,5,230,379
Bramalea--Gore--Malton/Bramalea--Gore--Malton,124,Brampton,0,71,80,9,33,0,193,329
Bramalea--Gore--Malton/Bramalea--Gore--Malton,125,Brampton,2,80,84,14,45,1,226,378
Bramalea--Gore--Malton/Bramalea--Gore--Malton,126,Brampton,1,67,84,20,35,2,209,384
Bramalea--Gore--Malton/Bramalea--Gore--Malton,127,Brampton,0,81,87,14,45,0,227,474
Bramalea--Gore--Malton/Bramalea--Gore--Malton,128,Brampton,4,43,141,10,28,2,228,486
Bramalea--Gore--Malton/Bramalea--Gore--Malton,129,Mississauga,2,50,121,8,39,2,222,486
Bramalea--Gore--Malton/Bramalea--Gore--Malton,130,Mississauga,1,40,155,7,23,2,228,432
Bramalea--Gore--Malton/Bramalea--Gore--Malton,131,Mississauga,0,76,116,7,24,3,226,490
Bramalea--Gore--Malton/Bramalea--Gore--Malton,132,Mississauga,2,63,108,7,22,6,208,457
Bramalea--Gore--Malton/Bramalea--Gore--Malton,133,Mississauga,1,47,97,4,29,0,178,377
Bramalea--Gore--Malton/Bramalea--Gore--Malton,134,Mississauga,5,49,134,6,31,0,225,481
Bramalea--Gore--Malton/Bramalea--Gore--Malton,135,Mississauga,1,33,96,2,30,3,165,378
Bramalea--Gore--Malton/Bramalea--Gore--Malton,136,Mississauga,6,48,144,4,39,2,243,440
Bramalea--Gore--Malton/Bramalea--Gore--Malton,137,Mississauga,4,40,123,3,24,2,196,413
Bramalea--Gore--Malton/Bramalea--Gore--Malton,138,Mississauga,0,29,91,2,20,2,144,360
Bramalea--Gore--Malton/Bramalea--Gore--Malton,139,Mississauga,0,49,85,4,15,2,155,302
Bramalea--Gore--Malton/Bramalea--Gore--Malton,140,Mississauga,1,29,67,8,24,0,129,472
Bramalea--Gore--Malton/Bramalea--Gore--Malton,141,Mississauga,1,18,97,10,22,1,149,418
Bramalea--Gore--Malton/Bramalea--Gore--Malton,142A,Mississauga,3,33,75,14,25,2,152,415
Bramalea--Gore--Malton/Bramalea--Gore--Malton,142B,Mississauga,0,37,98,4,13,4,156,361
Bramalea--Gore--Malton/Bramalea--Gore--Malton,143,Mississauga,Void,,,,,,,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,144,Mississauga,2,48,114,5,27,3,199,386
Bramalea--Gore--Malton/Bramalea--Gore--Malton,145,Mississauga,0,37,83,8,34,1,163,400
Bramalea--Gore--Malton/Bramalea--Gore--Malton,146,Mississauga,0,48,87,4,16,1,156,372
Bramalea--Gore--Malton/Bramalea--Gore--Malton,147,Mississauga,1,39,82,6,25,2,155,366
Bramalea--Gore--Malton/Bramalea--Gore--Malton,148,Mississauga,0,21,106,3,17,1,148,395
Bramalea--Gore--Malton/Bramalea--Gore--Malton,149,Mississauga,1,38,97,5,20,3,164,404
Bramalea--Gore--Malton/Bramalea--Gore--Malton,150A,Mississauga,0,31,53,4,12,1,101,316
Bramalea--Gore--Malton/Bramalea--Gore--Malton,150B,Mississauga,2,14,37,2,10,1,66,259
Bramalea--Gore--Malton/Bramalea--Gore--Malton,151,Mississauga,0,34,91,6,18,3,152,399
Bramalea--Gore--Malton/Bramalea--Gore--Malton,152,Mississauga,0,31,110,5,16,3,165,463
Bramalea--Gore--Malton/Bramalea--Gore--Malton,153,Mississauga,2,68,86,9,36,1,202,445
Bramalea--Gore--Malton/Bramalea--Gore--Malton,154,Mississauga,2,33,109,9,20,6,179,427
Bramalea--Gore--Malton/Bramalea--Gore--Malton,155,Mississauga,0,36,127,2,16,0,181,492
Bramalea--Gore--Malton/Bramalea--Gore--Malton,156,Mississauga,1,19,67,2,18,1,108,352
Bramalea--Gore--Malton/Bramalea--Gore--Malton,157,Mississauga,2,69,136,2,25,3,237,541
Bramalea--Gore--Malton/Bramalea--Gore--Malton,158,Mississauga,5,53,143,7,20,2,230,461
Bramalea--Gore--Malton/Bramalea--Gore--Malton,159,Mississauga,2,60,125,5,24,2,218,398
Bramalea--Gore--Malton/Bramalea--Gore--Malton,160,Mississauga,1,48,138,8,21,0,216,447
Bramalea--Gore--Malton/Bramalea--Gore--Malton,161,Mississauga,0,37,68,4,24,0,133,345
Bramalea--Gore--Malton/Bramalea--Gore--Malton,162,Mississauga,0,43,113,7,29,1,193,336
Bramalea--Gore--Malton/Bramalea--Gore--Malton,163,Mississauga,1,45,126,4,15,1,192,371
Bramalea--Gore--Malton/Bramalea--Gore--Malton,164,Mississauga,1,62,143,6,23,0,235,457
Bramalea--Gore--Malton/Bramalea--Gore--Malton,165,Mississauga,1,38,139,1,20,5,204,476
Bramalea--Gore--Malton/Bramalea--Gore--Malton,166,Mississauga,1,51,133,6,17,3,211,392
Bramalea--Gore--Malton/Bramalea--Gore--Malton,167,Mississauga,0,36,140,2,21,1,200,366
Bramalea--Gore--Malton/Bramalea--Gore--Malton,168,Mississauga,0,58,111,11,42,0,222,422
Bramalea--Gore--Malton/Bramalea--Gore--Malton,169,Mississauga,2,51,66,8,27,1,155,304
Bramalea--Gore--Malton/Bramalea--Gore--Malton,170,Mississauga,2,43,96,5,29,1,176,403
Bramalea--Gore--Malton/Bramalea--Gore--Malton,171,Mississauga,1,38,150,4,20,3,216,466
Bramalea--Gore--Malton/Bramalea--Gore--Malton,172,Mississauga,1,73,67,7,29,1,178,380
Bramalea--Gore--Malton/Bramalea--Gore--Malton,173,Mississauga,4,72,97,6,36,2,217,454
Bramalea--Gore--Malton/Bramalea--Gore--Malton,174,Mississauga,4,51,100,11,30,5,201,424
Bramalea--Gore--Malton/Bramalea--Gore--Malton,400,Brampton,0,33,61,6,14,0,114,306
Bramalea--Gore--Malton/Bramalea--Gore--Malton,401,Brampton,0,37,50,5,20,1,113,300
Bramalea--Gore--Malton/Bramalea--Gore--Malton,402,Brampton,0,69,84,8,25,0,186,344
Bramalea--Gore--Malton/Bramalea--Gore--Malton,403,Brampton,1,36,84,11,26,0,158,410
Bramalea--Gore--Malton/Bramalea--Gore--Malton,404,Brampton,0,35,57,6,24,1,123,356
Bramalea--Gore--Malton/Bramalea--Gore--Malton,405,Brampton,1,23,45,3,16,0,88,361
Bramalea--Gore--Malton/Bramalea--Gore--Malton,406,Brampton,1,18,32,3,10,0,64,214
Bramalea--Gore--Malton/Bramalea--Gore--Malton,407,Brampton,1,48,57,6,16,0,128,296
Bramalea--Gore--Malton/Bramalea--Gore--Malton,408,Brampton,1,65,69,2,13,1,151,315
Bramalea--Gore--Malton/Bramalea--Gore--Malton,600,Brampton,3,413,750,19,42,0,1227,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,601,Brampton,0,277,302,23,81,4,687,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,602,Brampton,4,238,202,35,96,1,576,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,603,Brampton,2,185,204,31,84,1,507,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,604,Brampton,3,157,179,24,51,1,415,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,605,Brampton,3,230,418,8,55,4,718,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,606,Brampton,0,151,239,4,8,10,412,
Bramalea--Gore--Malton/Bramalea--Gore--Malton,,Group 1/Groupe 1,1,17,23,3,3,1,48,108
Bramalea--Gore--Malton/Bramalea--Gore--Malton,,Group 2/Groupe 2,0,118,112,7,22,3,262,
