District,Poll Number,Poll Name,Sam Cino,Tony DePaulo,Fred Eisenberger,Bob Mann,Richard Safka,Tony Valeri,Rejected Ballots,Total Vote,Electors
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,1,Hamilton ,2,106,55,0,18,50,0,231,441
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,2,Hamilton,2,121,38,0,15,58,0,234,422
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,3,Hamilton ,2,70,19,0,3,22,1,117,295
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,4,Hamilton ,1,68,30,0,3,24,1,127,284
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,5,Hamilton,5,70,24,1,2,32,0,134,296
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,6,Hamilton ,7,90,30,0,10,30,0,167,354
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,7,Hamilton,6,97,35,0,5,35,2,180,399
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,8,Hamilton,4,114,28,0,5,39,0,190,370
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,9,Hamilton,4,96,28,1,5,38,1,173,347
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,10,Hamilton,0,102,16,0,2,19,0,139,429
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,11,Hamilton,0,85,19,4,4,34,1,147,423
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,12,Hamilton,3,67,21,0,6,25,0,122,456
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,13,Hamilton,1,109,36,1,4,42,0,193,361
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,14,Hamilton,2,110,17,1,2,32,3,167,336
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,15,Hamilton,1,43,12,3,3,25,1,88,286
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,16,Hamilton,2,75,30,0,9,59,3,178,308
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,17,Hamilton,6,80,28,1,1,25,1,142,321
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,18,Hamilton,0,88,36,0,8,38,1,171,346
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,19,Hamilton,1,119,21,1,6,32,2,182,402
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,20,Hamilton,4,90,30,1,4,76,0,205,440
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,21,Hamilton,0,93,6,0,1,13,0,113,337
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,22,Hamilton,1,65,14,2,4,17,1,104,296
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,23,Hamilton,1,92,26,0,5,23,0,147,340
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,24,Hamilton,1,70,32,0,10,32,0,145,358
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,25,Hamilton,1,78,19,0,7,23,0,128,299
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,26,Hamilton,1,136,28,1,8,42,1,217,395
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,27,Hamilton,3,99,29,1,7,50,0,189,400
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,28,Hamilton,0,78,21,2,2,26,0,129,296
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,29,Hamilton,0,90,24,2,4,25,1,146,320
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,30,Hamilton,6,100,25,2,10,44,0,187,368
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,31,Hamilton,0,114,39,0,4,39,2,198,397
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,32,Hamilton,2,101,21,2,9,36,0,171,390
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,33,Hamilton,1,84,28,0,4,27,0,144,340
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,34,Hamilton,0,117,26,0,4,45,1,193,417
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,35,Hamilton,0,115,22,0,11,35,0,183,328
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,36,Hamilton,2,106,39,1,8,44,0,200,381
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,37,Hamilton,2,98,41,0,6,35,0,182,343
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,38,Hamilton,1,81,20,0,7,29,0,138,311
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,39,Hamilton,1,83,31,1,6,31,1,154,299
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,40,Hamilton,3,103,27,0,1,46,2,182,361
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,41,Hamilton,3,99,25,0,8,62,1,198,366
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,42,Hamilton,1,123,29,0,2,33,2,190,362
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,43,Hamilton,1,63,13,0,2,28,0,107,437
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,44,Hamilton,0,123,24,2,4,41,0,194,453
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,45,Hamilton,2,117,18,1,7,38,2,185,398
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,46,Hamilton,1,110,22,0,7,50,3,193,464
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,47,Hamilton,2,149,33,0,4,34,0,222,450
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,48,Hamilton,2,72,25,2,6,39,0,146,360
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,49,Hamilton,0,102,39,0,7,49,0,197,394
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,50,Hamilton,0,110,29,0,10,30,0,179,409
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,51,Hamilton,2,141,24,0,9,39,0,215,446
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,52,Hamilton,3,81,26,0,10,53,2,175,277
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,53,Hamilton,2,79,37,0,1,87,0,206,338
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,54,Hamilton,0,65,41,0,10,62,2,180,322
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,55,Hamilton,1,102,30,0,13,57,2,205,374
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,56,Hamilton,3,75,38,2,6,60,0,184,371
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,57,Hamilton,1,82,54,0,10,61,0,208,345
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,58,Hamilton,4,116,51,0,4,40,2,217,338
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,59,Hamilton,2,96,64,0,8,74,0,244,394
