District,Poll Number,Poll Name,Ken Bingham,Mary Crane,Wayne Easter,Sharon Labchuk,Rejected Ballots,Total Vote,Electors
Malpeque/Malpeque,1,Darnley,8,90,110,14,2,224,303
Malpeque/Malpeque,2,Park Corner,34,107,125,17,5,288,387
Malpeque/Malpeque,3,Spring Valley,13,116,157,15,4,305,434
Malpeque/Malpeque,4,Southwest River,24,51,104,11,3,193,295
Malpeque/Malpeque,5,New London,36,115,198,21,0,370,470
Malpeque/Malpeque,6,Margate,24,136,124,7,4,295,490
Malpeque/Malpeque,7,Kensington East,28,72,85,11,2,198,349
Malpeque/Malpeque,8,Clermont,26,87,129,10,1,253,412
Malpeque/Malpeque,9,Kensington Central,20,69,67,8,2,166,284
Malpeque/Malpeque,10,Kensington South,18,107,129,22,4,280,390
Malpeque/Malpeque,11,Travellers Rest,40,100,132,13,0,285,416
Malpeque/Malpeque,12,New Annan,11,44,65,8,0,128,233
Malpeque/Malpeque,13,Mill Valley,12,49,96,9,1,167,294
Malpeque/Malpeque,14,North Bedeque,26,99,148,13,6,292,450
Malpeque/Malpeque,15,Central Bedeque,17,84,113,5,4,223,326
Malpeque/Malpeque,16,South Freetown,26,105,153,12,0,296,471
Malpeque/Malpeque,17,Somerset,14,124,142,20,5,305,476
Malpeque/Malpeque,18,Lower Bedeque,29,73,152,16,0,270,411
Malpeque/Malpeque,19,Albany,18,60,123,11,1,213,353
Malpeque/Malpeque,20,Tryon,17,78,117,9,0,221,286
Malpeque/Malpeque,21,Carleton ,7,48,113,8,2,178,284
Malpeque/Malpeque,22,Borden--Cape Traverse,35,83,172,19,2,311,469
Malpeque/Malpeque,23,Augustine Cove,19,75,107,8,1,210,299
Malpeque/Malpeque,24,Cavendish,24,74,106,9,4,217,301
Malpeque/Malpeque,25,North Rustico,30,96,144,14,3,287,402
Malpeque/Malpeque,26,Rusticoville,34,128,115,13,2,292,415
Malpeque/Malpeque,27,South Rustico,53,113,191,15,4,376,429
Malpeque/Malpeque,28,Ebenezer,24,92,118,13,3,250,345
Malpeque/Malpeque,29A,New Glasgow,19,63,102,15,0,199,314
Malpeque/Malpeque,29B,New Glasgow,18,60,102,20,0,200,303
Malpeque/Malpeque,30,Hunter River,13,73,125,16,1,228,350
Malpeque/Malpeque,31,Emerald,14,92,142,5,4,257,381
Malpeque/Malpeque,32,Fredericton,16,101,126,25,0,268,365
Malpeque/Malpeque,33,Darlington,17,50,132,8,0,207,333
Malpeque/Malpeque,34,Hampshire,20,81,111,7,2,221,307
Malpeque/Malpeque,35,North Wiltshire,26,89,168,17,0,300,442
Malpeque/Malpeque,36,Stanchel,25,61,106,23,1,216,319
Malpeque/Malpeque,37,Brookvale,25,90,116,12,2,245,347
Malpeque/Malpeque,38,Westmoreland,24,54,133,18,0,229,296
Malpeque/Malpeque,39,Hampton,44,100,175,37,3,359,513
Malpeque/Malpeque,40,Bonshaw,40,128,136,34,1,339,516
Malpeque/Malpeque,41,Brackley Point,39,107,188,18,4,356,493
Malpeque/Malpeque,42,Stanhope by the Sea,45,108,203,15,3,374,512
Malpeque/Malpeque,43,Covehead Road,24,44,127,12,2,209,283
Malpeque/Malpeque,44,York East,21,63,111,14,0,209,343
Malpeque/Malpeque,45,Suffolk,27,63,127,19,0,236,317
Malpeque/Malpeque,46,Springvale,23,73,134,16,3,249,372
Malpeque/Malpeque,47A,Milton,15,58,81,5,2,161,301
Malpeque/Malpeque,47B,Milton,23,79,115,5,3,225,365
Malpeque/Malpeque,48A,Harrington,28,40,100,7,1,176,281
Malpeque/Malpeque,48B,Harrington,16,64,72,13,0,165,288
Malpeque/Malpeque,49,Royalty Junction--York West,30,68,154,16,0,268,380
Malpeque/Malpeque,50,York West,Void,,,,,,
Malpeque/Malpeque,51,Marshfield South,31,58,95,15,1,200,254
Malpeque/Malpeque,52,Warren Grove,21,55,150,9,0,235,325
Malpeque/Malpeque,53,Chateau Estates,24,58,112,3,0,197,388
Malpeque/Malpeque,54,East Wiltshire North,15,28,88,10,3,144,246
Malpeque/Malpeque,55A,York Point,16,65,84,9,1,175,284
Malpeque/Malpeque,55B,York Point,21,42,88,8,0,159,238
Malpeque/Malpeque,56,Cornwall North,39,82,132,6,2,261,408
Malpeque/Malpeque,57A,East Wiltshire South,17,48,62,5,2,134,276
Malpeque/Malpeque,57B,East Wiltshire South,11,38,80,5,1,135,274
Malpeque/Malpeque,58,Cornwall East,47,61,143,10,0,261,498
Malpeque/Malpeque,59,Ferry Road,35,81,158,21,2,297,501
Malpeque/Malpeque,60,Clyde River,18,89,137,19,2,265,419
Malpeque/Malpeque,61,Churchill,37,89,147,18,1,292,410
Malpeque/Malpeque,62,Meadowbank West,15,33,66,13,2,129,211
Malpeque/Malpeque,63,Cornwall South,37,79,147,16,2,281,449
Malpeque/Malpeque,64,Meadowbank East,9,39,89,4,2,143,235
Malpeque/Malpeque,65,Rocky Point,34,114,132,17,1,298,441
Malpeque/Malpeque,66,Long Creek,38,123,143,22,4,330,380
Malpeque/Malpeque,67,Nine Mile Creek,30,57,167,20,2,276,391
Malpeque/Malpeque,500,Mobile poll/Bureau itinérant,4,20,27,3,0,54,72
Malpeque/Malpeque,600,Kensington,25,185,224,9,3,446,
Malpeque/Malpeque,601,North Rustico,26,100,130,12,2,270,
Malpeque/Malpeque,602,Cornwall,68,215,415,24,6,728,
Malpeque/Malpeque,,Group 1/Groupe 1,3,15,12,13,3,46,115
Malpeque/Malpeque,,Group 2/Groupe 2,22,68,133,18,5,246,
