District,Poll Number,Poll Name,Johan Boyden,Elmer Gale,Mark O'Brien,Rui Pires,John Riddell,Theresa Rodrigues,Mario Silva,Sarah Thompson,Rejected Ballots,Total Vote,Electors
Davenport/Davenport,28,York,2,2,3,92,0,23,145,0,5,272,553
Davenport/Davenport,29,York,2,0,6,47,1,21,73,0,2,152,255
Davenport/Davenport,30,York,1,2,4,62,2,15,104,0,1,191,397
Davenport/Davenport,31,York,1,2,1,63,0,7,103,1,0,178,301
Davenport/Davenport,32,York,1,0,7,71,1,15,80,0,0,175,352
Davenport/Davenport,33,York,2,0,11,72,0,21,105,0,0,211,371
Davenport/Davenport,34,York,4,2,5,57,1,26,75,0,3,173,358
Davenport/Davenport,35,York,0,0,10,104,1,17,120,1,0,253,445
Davenport/Davenport,36,York,1,2,6,51,1,14,95,1,3,174,302
Davenport/Davenport,37,York,2,4,9,70,0,17,98,0,0,200,364
Davenport/Davenport,38,York,0,2,3,53,1,11,98,0,5,173,325
Davenport/Davenport,39,York,0,1,3,54,0,31,83,0,5,177,288
Davenport/Davenport,40,Toronto,0,2,4,44,2,28,93,0,2,175,363
Davenport/Davenport,41,Toronto,1,5,10,50,0,13,130,0,3,212,419
Davenport/Davenport,42,Toronto,0,4,15,46,0,11,147,1,3,227,438
Davenport/Davenport,43,Toronto,0,2,6,41,0,13,109,0,2,173,343
Davenport/Davenport,44,Toronto,3,3,3,47,0,11,111,0,0,178,341
Davenport/Davenport,45,Toronto,2,0,4,36,0,15,88,0,0,145,363
Davenport/Davenport,46,Toronto,2,2,6,24,0,23,92,0,0,149,350
Davenport/Davenport,47,Toronto,0,1,1,28,1,12,88,0,0,131,324
Davenport/Davenport,48A,Toronto,0,2,1,41,2,13,87,1,3,150,323
Davenport/Davenport,48B,Toronto,2,1,2,41,0,24,107,0,1,178,349
Davenport/Davenport,49,Toronto,1,1,5,28,0,11,77,0,1,124,277
Davenport/Davenport,50,Toronto,0,0,8,22,0,13,83,0,1,127,296
Davenport/Davenport,51,Toronto,1,1,5,55,1,24,123,0,3,213,497
Davenport/Davenport,52,Toronto,0,0,9,50,1,20,104,0,4,188,438
Davenport/Davenport,53,Toronto,Void,,,,,,,,,,
Davenport/Davenport,54,Toronto,0,3,2,41,0,9,98,0,1,154,313
Davenport/Davenport,55,Toronto,0,0,8,57,0,17,86,1,1,170,461
Davenport/Davenport,56,Toronto,0,2,8,89,1,35,118,0,1,254,439
Davenport/Davenport,57,Toronto,2,0,10,59,0,15,75,1,4,166,329
Davenport/Davenport,58,Toronto,0,3,11,71,2,22,92,0,0,201,299
Davenport/Davenport,59,Toronto,0,3,13,100,1,23,94,0,1,235,333
Davenport/Davenport,60,Toronto,1,0,12,64,0,13,74,0,1,165,287
Davenport/Davenport,61,Toronto,0,0,5,67,1,9,61,0,1,144,232
Davenport/Davenport,62,Toronto,1,1,11,103,0,18,101,2,2,239,407
Davenport/Davenport,63,Toronto,1,1,9,80,0,13,77,1,1,183,313
Davenport/Davenport,64,Toronto,2,2,17,70,0,17,83,3,0,194,375
Davenport/Davenport,65,Toronto,1,1,6,43,1,20,124,1,0,197,455
Davenport/Davenport,66,Toronto,0,3,5,73,0,10,127,2,0,220,402
Davenport/Davenport,67,Toronto,0,1,4,55,0,18,113,1,1,193,398
Davenport/Davenport,68,Toronto,1,0,10,52,1,33,117,1,5,220,528
Davenport/Davenport,69,Toronto,0,0,4,37,0,12,58,0,5,116,345
Davenport/Davenport,70,Toronto,0,4,10,60,0,24,115,0,2,215,506
Davenport/Davenport,71,Toronto,1,2,9,38,1,27,86,1,5,170,430
Davenport/Davenport,72,Toronto,0,1,14,54,0,18,123,0,1,211,402
Davenport/Davenport,73,Toronto,1,1,12,89,0,21,151,1,1,277,567
Davenport/Davenport,74,Toronto,2,2,8,53,0,19,94,1,1,180,405
Davenport/Davenport,75,Toronto,0,3,3,28,0,1,37,0,0,72,168
Davenport/Davenport,76,Toronto,1,0,12,47,2,17,87,1,4,171,367
Davenport/Davenport,77,Toronto,0,2,10,99,0,23,123,0,3,260,494
Davenport/Davenport,78,Toronto,2,3,12,79,0,28,115,1,1,241,466
Davenport/Davenport,79,Toronto,1,1,3,39,0,18,77,0,1,140,249
Davenport/Davenport,79-1,Toronto,3,1,7,84,0,26,128,0,4,253,511
Davenport/Davenport,80,Toronto,1,3,11,58,2,21,126,1,3,226,556
Davenport/Davenport,81,Toronto,1,5,7,60,0,18,152,0,1,244,529
Davenport/Davenport,82,Toronto,0,1,15,71,0,27,85,0,0,199,408
Davenport/Davenport,83,Toronto,2,1,7,45,2,17,182,0,2,258,440
Davenport/Davenport,84,Toronto,0,1,3,45,0,14,103,0,0,166,335
Davenport/Davenport,85,Toronto,1,1,7,37,0,9,54,1,2,112,296
Davenport/Davenport,86,Toronto,0,1,8,31,0,13,33,0,0,86,232
Davenport/Davenport,86-1,Toronto,1,3,3,26,1,8,42,1,0,85,410
Davenport/Davenport,87,Toronto,2,1,2,29,0,18,58,1,0,111,342
Davenport/Davenport,88,Toronto,2,1,14,39,0,16,72,0,0,144,507
Davenport/Davenport,89,Toronto,0,0,2,45,0,9,57,0,3,116,288
Davenport/Davenport,90,Toronto,0,0,4,68,2,27,108,0,0,209,466
Davenport/Davenport,91,Toronto,2,2,8,63,1,16,133,4,1,230,535
Davenport/Davenport,92,Toronto,1,1,5,44,0,21,113,0,3,188,433
Davenport/Davenport,93,Toronto,2,1,10,85,0,18,134,1,1,252,564
Davenport/Davenport,94,Toronto,0,3,16,92,0,25,152,2,0,290,565
Davenport/Davenport,95,Toronto,2,3,9,76,1,27,167,1,2,288,559
Davenport/Davenport,96,Toronto,1,1,3,20,0,13,42,1,2,83,188
Davenport/Davenport,97,Toronto,2,0,13,104,2,23,105,1,2,252,471
Davenport/Davenport,98,Toronto,0,5,14,101,1,22,129,0,1,273,516
Davenport/Davenport,99,Toronto,0,1,6,118,0,14,98,0,0,237,478
Davenport/Davenport,100,Toronto,3,0,5,118,4,18,90,4,1,243,413
Davenport/Davenport,101,Toronto,1,0,11,101,0,23,93,0,1,230,449
Davenport/Davenport,102,Toronto,5,1,7,94,2,14,96,1,4,224,394
Davenport/Davenport,103,Toronto,0,1,5,97,0,10,116,1,3,233,426
Davenport/Davenport,104,Toronto,0,0,4,78,0,15,42,0,1,140,249
Davenport/Davenport,105,Toronto,0,2,20,91,0,26,115,0,0,254,445
Davenport/Davenport,106,Toronto,0,0,1,69,0,17,61,0,1,149,225
Davenport/Davenport,107,Toronto,4,2,15,89,0,8,61,0,2,181,359
Davenport/Davenport,108,Toronto,0,2,14,131,0,16,125,0,0,288,430
Davenport/Davenport,109,Toronto,0,1,7,47,0,26,107,1,0,189,341
Davenport/Davenport,110,Toronto,1,2,6,83,0,15,139,0,0,246,425
Davenport/Davenport,111,Toronto,0,0,5,63,1,11,97,1,3,181,313
Davenport/Davenport,112,Toronto,0,2,20,91,0,23,104,1,0,241,434
Davenport/Davenport,113,Toronto,0,2,5,82,1,8,55,0,2,155,311
Davenport/Davenport,114,Toronto,1,1,6,63,0,5,89,0,0,165,503
Davenport/Davenport,115,Toronto,1,2,9,89,0,27,104,0,0,232,471
Davenport/Davenport,116,Toronto,0,2,9,150,1,23,131,2,3,321,613
Davenport/Davenport,117,Toronto,0,2,8,104,1,24,86,0,2,227,504
Davenport/Davenport,118,Toronto,0,1,1,38,1,7,48,1,2,99,194
Davenport/Davenport,119,Toronto,3,1,10,114,1,14,110,0,6,259,481
Davenport/Davenport,120,Toronto,2,1,19,97,1,19,92,0,4,235,454
Davenport/Davenport,121,Toronto,1,0,12,79,0,8,114,0,0,214,467
Davenport/Davenport,122,Toronto,0,1,5,75,0,13,48,0,1,143,247
Davenport/Davenport,123,Toronto,0,1,4,90,1,19,62,0,1,178,322
Davenport/Davenport,124,Toronto,2,1,7,95,0,5,49,0,0,159,257
Davenport/Davenport,125,Toronto,1,6,22,185,0,21,120,0,2,357,551
Davenport/Davenport,126,Toronto,0,0,18,148,0,9,128,0,1,304,529
Davenport/Davenport,127,Toronto,1,0,20,97,1,11,71,0,1,202,406
Davenport/Davenport,128,Toronto,1,0,18,124,0,21,104,0,0,268,472
Davenport/Davenport,129,Toronto,3,2,10,117,0,14,127,1,0,274,525
Davenport/Davenport,130A,Toronto,0,2,17,58,0,23,71,0,1,172,334
Davenport/Davenport,130B,Toronto,1,0,6,66,0,19,84,0,1,177,365
Davenport/Davenport,131,Toronto,1,3,15,76,3,16,143,0,3,260,586
Davenport/Davenport,132,Toronto,0,1,11,49,0,12,72,1,1,147,368
Davenport/Davenport,133,Toronto,0,0,11,72,1,17,119,1,2,223,491
Davenport/Davenport,134,Toronto,0,3,9,58,0,19,94,0,1,184,355
Davenport/Davenport,135,Toronto,1,1,4,55,1,15,71,0,1,149,329
Davenport/Davenport,136,Toronto,0,5,14,66,0,22,141,0,2,250,504
Davenport/Davenport,137,Toronto,1,2,12,57,1,18,98,1,0,190,401
Davenport/Davenport,138,Toronto,1,1,16,77,1,22,119,0,4,241,479
Davenport/Davenport,139,Toronto,0,1,7,80,1,19,129,1,0,238,558
Davenport/Davenport,140,Toronto,0,1,10,57,2,16,91,0,2,179,497
Davenport/Davenport,141,Toronto,0,1,6,28,0,1,51,0,4,91,229
Davenport/Davenport,142,Toronto,0,0,2,38,0,4,75,1,3,123,231
Davenport/Davenport,143,Toronto,2,0,15,116,1,23,98,0,1,256,487
Davenport/Davenport,144,Toronto,0,6,8,71,0,18,115,0,3,221,522
Davenport/Davenport,145,Toronto,0,1,7,70,0,17,101,0,1,197,476
Davenport/Davenport,146,Toronto,0,0,3,74,1,20,86,0,1,185,397
Davenport/Davenport,147,Toronto,0,1,13,69,0,18,78,0,2,181,329
Davenport/Davenport,148,Toronto,0,2,14,91,2,27,86,0,2,224,532
Davenport/Davenport,149,Toronto,0,0,12,92,0,21,129,0,2,256,467
Davenport/Davenport,150,Toronto,0,1,15,82,1,17,95,1,0,212,408
Davenport/Davenport,151,Toronto,1,1,14,100,1,25,128,0,1,271,513
Davenport/Davenport,152,Toronto,0,1,11,50,0,7,53,0,0,122,210
Davenport/Davenport,153,Toronto,0,2,18,128,1,23,131,1,0,304,639
Davenport/Davenport,600,Toronto,0,1,9,74,0,41,112,0,2,239,
Davenport/Davenport,601,Toronto,1,0,7,111,1,29,107,0,1,257,
Davenport/Davenport,602,Toronto,0,3,19,107,0,39,165,1,2,336,
Davenport/Davenport,603,Toronto,1,1,20,166,1,55,196,0,3,443,
Davenport/Davenport,604,Toronto,1,0,15,183,2,19,146,1,4,371,
Davenport/Davenport,605,Toronto,1,2,21,172,2,36,120,1,3,358,
Davenport/Davenport,606,Toronto,0,2,20,164,1,51,168,0,5,411,
Davenport/Davenport,,Group 1/Groupe 1,0,4,1,12,0,8,29,1,2,57,89
Davenport/Davenport,,Group 2/Groupe 2,2,2,8,131,1,33,204,1,5,387,
