District,Poll Number,Poll Name,Denis A. Carrière,Joe Comuzzi,Bruce Hyer,Carl Rose,Bev Sarafin,Rejected Ballots,Total Vote,Electors
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,1,Armstrong,6,63,30,4,28,0,131,390
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,2,Collins,1,9,7,0,2,0,19,22
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,3,Gull River 55,3,23,18,1,1,0,46,113
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,4,Jellicoe,0,12,13,1,19,1,46,96
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,5,Greenstone,2,55,27,4,19,0,107,256
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,6,Nipigon,2,16,27,4,21,0,70,140
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,7A,Nipigon,4,43,43,4,26,0,120,261
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,7B,Mobile poll/Bureau itinérant,Merged with No. 20B,,,,,,,19
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,8A,Nipigon,3,41,31,10,38,1,124,295
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,8B,Nipigon,1,46,63,2,33,0,145,283
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,9,Nipigon,2,45,82,4,24,0,157,336
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,10,Nipigon,1,46,42,5,29,3,126,246
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,11,Red Rock,3,30,32,2,14,1,82,130
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,12,Red Rock,10,104,110,7,58,3,292,490
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,13,Red Rock,4,32,39,5,17,2,99,199
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,14,Hurkett,6,33,66,6,35,0,146,313
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,15,Dorion,1,36,62,5,51,0,155,252
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,16,Macdiarmid,8,19,10,1,3,0,41,138
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,17,Aroland,3,25,10,1,3,0,42,162
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,18,Greenstone,2,77,64,5,22,0,170,460
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,19,Greenstone,2,30,41,2,36,0,111,241
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,20A,Greenstone,1,49,34,2,41,3,130,248
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,20B,Mobile poll/Bureau itinérant,2,6,2,1,4,2,17,25
Thunder Bay--Superior North/Thunder Bay--Superior-Nord,21,Greenstone,1,53,44,2,34,2,136,294
