District,Poll Number,Poll Name,Roger Carter,Peter Davison,Daniel Dufresne,Miguel Figueroa,Maria Minna,Nick Nikopoulos,Edward Slota,Peter Tabuns,Rejected Ballots,Total Vote,Electors
Beaches--East York/Beaches--East York,1,East York,0,1,0,0,91,50,0,39,2,183,295
Beaches--East York/Beaches--East York,2,East York,1,9,2,0,157,48,0,57,1,275,408
Beaches--East York/Beaches--East York,3,East York,0,12,2,0,116,52,2,29,2,215,349
Beaches--East York/Beaches--East York,4,East York,0,6,1,0,120,32,0,61,1,221,352
Beaches--East York/Beaches--East York,5,East York,0,8,1,0,157,50,0,38,1,255,468
Beaches--East York/Beaches--East York,6,East York,0,6,3,0,60,28,0,34,2,133,361
Beaches--East York/Beaches--East York,7,East York,0,12,2,1,118,55,0,56,0,244,436
Beaches--East York/Beaches--East York,8,East York,0,3,4,0,86,17,1,43,0,154,277
Beaches--East York/Beaches--East York,9,East York,0,2,1,1,202,14,0,22,0,242,424
Beaches--East York/Beaches--East York,10,East York,0,3,1,1,205,15,0,37,3,265,543
Beaches--East York/Beaches--East York,11,East York,1,3,1,0,150,15,1,42,3,216,440
Beaches--East York/Beaches--East York,12,East York,0,4,2,0,104,47,0,49,0,206,335
Beaches--East York/Beaches--East York,13,East York,1,4,2,0,121,64,0,65,2,259,406
Beaches--East York/Beaches--East York,14,East York,0,5,2,0,137,38,0,61,2,245,373
Beaches--East York/Beaches--East York,15,East York,0,3,1,0,81,35,0,62,2,184,354
Beaches--East York/Beaches--East York,16,East York,2,9,3,1,90,55,1,82,0,243,450
Beaches--East York/Beaches--East York,17,East York,0,6,4,0,140,57,0,75,0,282,451
Beaches--East York/Beaches--East York,18,East York,1,5,1,1,99,26,0,55,0,188,305
Beaches--East York/Beaches--East York,19,East York,0,10,2,0,127,43,0,32,0,214,322
Beaches--East York/Beaches--East York,20,East York,0,8,2,0,106,39,1,52,0,208,388
Beaches--East York/Beaches--East York,21,East York,0,9,0,1,145,42,1,65,0,263,430
Beaches--East York/Beaches--East York,22,East York,0,3,1,0,59,42,0,57,1,163,343
Beaches--East York/Beaches--East York,23,East York,0,10,1,0,137,48,0,42,2,240,407
Beaches--East York/Beaches--East York,24,East York,0,6,1,0,133,51,1,39,3,234,382
Beaches--East York/Beaches--East York,25,East York,0,4,4,1,118,46,0,65,1,239,374
Beaches--East York/Beaches--East York,26,East York,0,1,0,1,143,19,1,47,0,212,488
Beaches--East York/Beaches--East York,27,East York,1,4,1,0,105,50,0,78,0,239,520
Beaches--East York/Beaches--East York,28,East York,0,1,0,1,71,23,0,55,0,151,432
Beaches--East York/Beaches--East York,29,East York,0,2,1,0,55,11,0,24,0,93,270
Beaches--East York/Beaches--East York,30,East York,0,6,0,0,72,27,0,37,1,143,284
Beaches--East York/Beaches--East York,31,East York,0,1,1,0,101,13,0,24,2,142,401
Beaches--East York/Beaches--East York,32,East York,1,4,0,0,97,25,0,29,2,158,238
Beaches--East York/Beaches--East York,33,East York,1,12,2,1,109,41,0,82,2,250,463
Beaches--East York/Beaches--East York,34,East York,0,14,4,1,114,47,0,100,0,280,568
Beaches--East York/Beaches--East York,35,East York,0,4,0,0,123,33,0,45,0,205,453
Beaches--East York/Beaches--East York,36,East York,0,9,0,0,63,15,0,70,0,157,328
Beaches--East York/Beaches--East York,37,East York,1,3,0,0,20,7,0,13,0,44,108
Beaches--East York/Beaches--East York,38,East York,0,0,0,1,69,3,0,8,0,81,126
Beaches--East York/Beaches--East York,39,East York,Void,,,,,,,,,,
Beaches--East York/Beaches--East York,40,East York,0,2,2,0,150,44,1,31,0,230,415
Beaches--East York/Beaches--East York,41,East York,0,11,2,1,56,20,1,47,1,139,384
Beaches--East York/Beaches--East York,42,East York,0,21,2,1,146,36,2,87,5,300,478
Beaches--East York/Beaches--East York,43,East York,1,9,3,0,99,20,0,83,0,215,412
Beaches--East York/Beaches--East York,44,East York,0,9,1,1,104,29,0,94,1,239,423
Beaches--East York/Beaches--East York,45,East York,1,7,4,0,92,39,2,75,0,220,417
