District,Poll Number,Poll Name,Lynn Bowering,Helen-Anne Embry,Barra L. Gots,Greg Martin,Lloyd St. Amand,John C. Turmel,Rejected Ballots,Total Vote,Electors
Brant/Brant,1,Brant-on-the-Grand,17,7,6,79,47,1,0,157,277
Brant/Brant,2,Brant-on-the-Grand,28,9,5,89,50,1,7,189,302
Brant/Brant,3,Brant-on-the-Grand,31,15,4,97,62,1,0,210,398
Brant/Brant,4,Brant-on-the-Grand,24,11,5,87,44,0,0,171,362
Brant/Brant,5,Brant-on-the-Grand,74,9,12,131,95,1,4,326,507
Brant/Brant,6,Brant-on-the-Grand,21,7,1,76,58,1,1,165,271
Brant/Brant,7,Brant-on-the-Grand,38,13,3,82,75,1,0,212,368
Brant/Brant,8,Brant-on-the-Grand,81,21,4,126,109,3,3,347,573
Brant/Brant,9,Brant-on-the-Grand,36,12,0,59,58,0,0,165,241
Brant/Brant,10,Brant-on-the-Grand,24,5,1,114,85,0,0,229,369
Brant/Brant,11,Brant-on-the-Grand,35,16,1,79,81,2,2,216,368
Brant/Brant,12,Brant-on-the-Grand,32,18,1,66,60,2,5,184,323
Brant/Brant,13,Brant-on-the-Grand,18,12,1,76,63,1,1,172,263
Brant/Brant,14,Brant-on-the-Grand,34,18,1,105,97,4,1,260,363
Brant/Brant,15,Brant-on-the-Grand,25,9,2,102,102,1,2,243,360
Brant/Brant,16,Brant-on-the-Grand,35,7,0,124,79,0,1,246,366
Brant/Brant,17,Brant-on-the-Grand,35,16,4,171,77,3,0,306,500
Brant/Brant,18,Brant-on-the-Grand,51,13,2,130,98,1,1,296,434
Brant/Brant,19,Brant-on-the-Grand,48,15,2,136,129,3,1,334,539
Brant/Brant,20,Brant-on-the-Grand,21,19,1,88,98,0,2,229,380
Brant/Brant,21,Brant-on-the-Grand,35,8,2,97,88,1,0,231,353
Brant/Brant,22,Brant-on-the-Grand,47,12,6,104,119,2,1,291,489
Brant/Brant,23,Brant-on-the-Grand,30,20,5,163,131,0,2,351,557
Brant/Brant,24,Brant-on-the-Grand,63,12,2,88,97,0,1,263,467
Brant/Brant,25,Brant-on-the-Grand,72,21,2,106,81,1,0,283,472
Brant/Brant,26A,Brant-on-the-Grand,19,11,0,75,59,1,0,165,297
Brant/Brant,26B,Brant-on-the-Grand,13,6,1,56,61,1,4,142,183
Brant/Brant,26C,Brant-on-the-Grand,50,4,2,64,50,0,0,170,517
Brant/Brant,27,Brant-on-the-Grand,20,9,3,44,62,0,0,138,200
Brant/Brant,28,Brant-on-the-Grand,78,11,0,64,68,1,0,222,381
Brant/Brant,29,Brant-on-the-Grand,58,16,0,56,59,0,0,189,366
Brant/Brant,30,Brant-on-the-Grand,71,18,3,66,74,0,2,234,397
Brant/Brant,31,Brant-on-the-Grand,54,19,0,78,73,3,2,229,384
Brant/Brant,32,Brant-on-the-Grand,41,21,1,67,87,0,0,217,356
Brant/Brant,33,Brant-on-the-Grand,40,15,1,90,97,2,2,247,373
Brant/Brant,34,Brant-on-the-Grand,55,24,2,38,61,2,2,184,320
Brant/Brant,35,Brant-on-the-Grand,66,20,3,37,55,0,2,183,356
Brant/Brant,36,Brant-on-the-Grand,62,15,3,51,61,5,2,199,400
Brant/Brant,37,Brant-on-the-Grand,60,19,3,68,70,3,0,223,379
Brant/Brant,38,Brant-on-the-Grand,45,17,2,66,74,2,2,208,383
Brant/Brant,39,Brant-on-the-Grand,47,18,3,85,95,2,1,251,405
Brant/Brant,40,Brant-on-the-Grand,87,27,4,75,90,0,0,283,479
Brant/Brant,41,Brant-on-the-Grand,69,18,1,103,135,0,1,327,508
Brant/Brant,42,Brant-on-the-Grand,43,22,3,78,76,1,1,224,348
Brant/Brant,43,Brant-on-the-Grand,29,9,1,94,84,1,0,218,325
Brant/Brant,44,Brant-on-the-Grand,27,7,3,110,89,1,0,237,368
Brant/Brant,45,Brant-on-the-Grand,42,22,6,143,103,1,1,318,506
Brant/Brant,46,Brant-on-the-Grand,57,10,4,110,105,3,2,291,477
Brant/Brant,47,Brant-on-the-Grand,46,9,1,78,84,1,1,220,330
Brant/Brant,48,Brant-on-the-Grand,34,10,0,105,69,1,0,219,344
Brant/Brant,49,Brant-on-the-Grand,40,16,4,107,88,2,4,261,518
Brant/Brant,50,Brant-on-the-Grand,21,11,0,56,74,0,0,162,273
Brant/Brant,51,Brant-on-the-Grand,35,9,3,61,70,4,1,183,325
Brant/Brant,52,Brant-on-the-Grand,36,9,2,55,52,0,0,154,242
Brant/Brant,53,Brant-on-the-Grand,50,17,3,80,118,4,2,274,428
Brant/Brant,54,Brant-on-the-Grand,22,5,3,59,62,0,3,154,272
Brant/Brant,55,Brantford,14,10,0,51,104,1,1,181,310
Brant/Brant,56,Brantford,24,11,0,91,89,1,1,217,390
Brant/Brant,57,Brantford,48,6,3,66,91,0,0,214,462
Brant/Brant,58A,Brantford,65,12,3,135,101,3,0,319,547
Brant/Brant,58B,Brantford,76,19,1,146,102,6,0,350,571
Brant/Brant,59,Brant-on-the-Grand,30,12,7,85,124,1,0,259,388
Brant/Brant,60,Brantford,37,14,3,109,149,2,2,316,469
Brant/Brant,61,Brantford,36,9,4,37,57,1,0,144,317
Brant/Brant,62,Brantford,76,4,0,84,73,2,1,240,468
Brant/Brant,63,Brantford,77,13,1,57,56,2,1,207,425
Brant/Brant,64,Brantford,55,6,1,43,39,5,0,149,345
Brant/Brant,65,Brantford,69,16,2,54,52,2,1,196,344
Brant/Brant,66,Brantford,74,17,1,43,50,5,0,190,344
Brant/Brant,67,Brantford,52,22,1,55,70,1,0,201,387
Brant/Brant,68,Brantford,41,6,2,35,51,3,2,140,269
Brant/Brant,69,Brantford,70,6,1,39,67,4,2,189,394
Brant/Brant,70,Brantford,60,16,5,32,63,2,2,180,399
Brant/Brant,71,Brantford,63,15,6,58,74,3,3,222,386
Brant/Brant,72,Brantford,43,9,3,34,41,2,3,135,300
Brant/Brant,73,Brantford,36,8,4,62,100,0,0,210,351
Brant/Brant,74,Brantford,52,15,2,42,97,1,0,209,380
Brant/Brant,75,Brantford,35,12,0,88,126,1,1,263,377
Brant/Brant,76,Brantford,40,17,1,78,145,5,0,286,471
Brant/Brant,77,Brantford,10,8,0,84,87,1,0,190,302
Brant/Brant,78,Brantford,22,17,2,111,179,1,3,335,524
Brant/Brant,79,Brantford,20,7,1,35,98,1,1,163,288
Brant/Brant,80,Brantford,57,14,2,66,94,2,2,237,411
Brant/Brant,81,Brantford,58,21,1,67,108,3,1,259,446
Brant/Brant,82,Brantford,27,4,2,86,69,0,0,188,320
Brant/Brant,83,Brantford,47,22,1,72,95,1,1,239,405
Brant/Brant,84,Brantford,63,20,2,65,112,2,0,264,425
Brant/Brant,85,Brantford,54,18,3,63,109,2,0,249,368
Brant/Brant,86,Brantford,60,6,5,41,59,1,3,175,368
Brant/Brant,87,Brantford,54,15,1,71,129,4,0,274,421
Brant/Brant,88,Brantford,29,11,2,70,159,1,2,274,397
Brant/Brant,89,Brantford,49,17,2,69,103,0,2,242,422
Brant/Brant,90,Brantford,46,17,3,55,110,2,0,233,403
Brant/Brant,91,Brantford,54,19,3,70,121,2,5,274,437
Brant/Brant,92,Brantford,61,10,6,44,89,1,0,211,405
Brant/Brant,93,Brantford,55,14,0,85,94,0,1,249,433
Brant/Brant,94,Brantford,42,13,2,99,135,0,2,293,461
Brant/Brant,95,Brantford,64,9,3,58,50,0,4,188,374
Brant/Brant,96,Brantford,30,6,2,92,94,0,0,224,373
Brant/Brant,97,Brantford,40,9,0,79,126,0,0,254,406
Brant/Brant,98,Brantford,48,8,3,56,111,5,1,232,378
