District,Poll Number,Poll Name,Jean-François Barbe,Michel Binette,Claude Drouin,Philippe Giguère,Alain Guay,Rejected Ballots,Total Vote,Electors
Beauce/Beauce,1,Saint-Isidore,52,2,55,11,63,6,189,371
Beauce/Beauce,2,Saint-Isidore,84,3,54,8,50,7,206,406
Beauce/Beauce,3,Saint-Isidore,67,5,102,4,53,3,234,423
Beauce/Beauce,4,Saint-Isidore,60,7,61,7,28,1,164,285
Beauce/Beauce,5,Saint-Isidore,122,15,72,27,60,5,301,506
Beauce/Beauce,6A,Taschereau--Fortier,61,6,58,6,32,3,166,301
Beauce/Beauce,6B,Taschereau--Fortier,56,1,57,6,38,1,159,283
Beauce/Beauce,7,Scott,43,0,52,9,27,6,137,249
Beauce/Beauce,8,Scott,34,1,62,8,19,3,127,228
Beauce/Beauce,9,Taschereau--Fortier,63,7,57,6,40,10,183,308
Beauce/Beauce,10,Sainte-Hénédine,41,2,53,12,34,2,144,260
Beauce/Beauce,11,Sainte-Hénédine,83,3,73,30,59,4,252,472
Beauce/Beauce,12,Sainte-Hénédine,30,5,36,15,21,3,110,183
Beauce/Beauce,13,Sainte-Marguerite,86,7,118,9,65,5,290,520
Beauce/Beauce,14,Sainte-Marguerite,49,2,54,11,43,2,161,283
Beauce/Beauce,15,Saint-Bernard,65,4,64,5,84,8,230,414
Beauce/Beauce,16,Saint-Bernard,66,2,67,4,77,4,220,349
Beauce/Beauce,17,Saint-Bernard,32,4,28,3,30,1,98,183
Beauce/Beauce,18,Saint-Bernard,40,1,33,2,29,4,109,197
Beauce/Beauce,19,Saint-Bernard,62,1,58,5,39,0,165,309
Beauce/Beauce,20,Saint-Elzéar-de-Beauce,63,9,94,14,47,6,233,437
Beauce/Beauce,21,Saint-Elzéar,55,4,135,13,52,4,263,397
Beauce/Beauce,22,Saint-Elzéar,97,7,158,7,48,11,328,547
Beauce/Beauce,23,Sainte-Marie,105,11,116,17,59,5,313,500
Beauce/Beauce,24,Sainte-Marie,72,9,87,11,21,3,203,320
Beauce/Beauce,25,Sainte-Marie,103,5,109,10,48,6,281,534
Beauce/Beauce,26,Sainte-Marie,18,2,26,1,11,0,58,113
Beauce/Beauce,27,Sainte-Marie,39,1,106,9,26,6,187,284
Beauce/Beauce,28,Sainte-Marie,92,2,107,4,33,3,241,420
Beauce/Beauce,29,Sainte-Marie,85,2,126,9,47,0,269,445
Beauce/Beauce,30,Sainte-Marie,52,3,55,12,25,5,152,282
Beauce/Beauce,31A,Sainte-Marie,47,2,63,3,22,2,139,269
Beauce/Beauce,31B,Sainte-Marie,44,3,74,4,20,3,148,303
Beauce/Beauce,32,Sainte-Marie,97,10,70,3,31,6,217,456
Beauce/Beauce,33,Sainte-Marie,74,9,99,9,35,3,229,435
Beauce/Beauce,34,Sainte-Marie,67,5,109,9,29,4,223,404
Beauce/Beauce,35,Sainte-Marie,74,5,135,7,33,8,262,521
Beauce/Beauce,36,Sainte-Marie,64,6,60,2,17,4,153,337
Beauce/Beauce,37,Sainte-Marie,74,6,112,13,27,7,239,410
Beauce/Beauce,38,Sainte-Marie,57,4,81,12,8,2,164,429
Beauce/Beauce,39,Sainte-Marie,41,4,38,9,14,3,109,238
Beauce/Beauce,40,Sainte-Marie,39,0,55,2,22,1,119,207
Beauce/Beauce,41,Sainte-Marie,71,3,133,14,47,5,273,435
Beauce/Beauce,42,Sainte-Marie,92,3,147,13,48,4,307,495
Beauce/Beauce,43,Sainte-Marie,29,6,20,4,18,0,77,114
Beauce/Beauce,44,Sainte-Marie,60,1,85,9,19,5,179,335
Beauce/Beauce,45,Sainte-Marie,79,3,127,5,48,4,266,440
Beauce/Beauce,46,Sainte-Marie,54,5,102,8,33,8,210,400
Beauce/Beauce,47,Frampton,42,5,123,2,43,0,215,347
Beauce/Beauce,48,Frampton,36,2,88,2,27,2,157,266
Beauce/Beauce,49,Frampton,68,6,133,7,39,11,264,424
Beauce/Beauce,50,Saint-Odilon-de-Cranbourne,69,7,82,3,46,2,209,341
Beauce/Beauce,51,Saint-Odilon-de-Cranbourne,71,2,118,2,51,3,247,390
Beauce/Beauce,52,Saint-Odilon-de-Cranbourne,64,2,75,3,32,5,181,331
Beauce/Beauce,53,Saints-Anges,71,5,77,8,57,9,227,306
Beauce/Beauce,54,Saints-Anges,90,3,106,8,64,9,280,442
Beauce/Beauce,55,Vallée-Jonction,40,3,58,6,41,1,149,225
Beauce/Beauce,56,Vallée-Jonction,80,6,69,7,35,3,200,369
Beauce/Beauce,57,Vallée-Jonction,75,8,77,9,46,7,222,343
Beauce/Beauce,58,Vallée-Jonction,49,2,47,1,26,6,131,206
Beauce/Beauce,59,Vallée-Jonction,82,2,117,6,43,6,256,394
Beauce/Beauce,60,Saint-Séverin,55,3,64,6,23,1,152,227
Beauce/Beauce,61,Saint-Frédéric,26,3,26,0,11,1,67,98
Beauce/Beauce,62A,Saint-Frédéric,85,2,94,8,36,2,227,387
Beauce/Beauce,62B,Saint-Frédéric,65,2,88,14,51,3,223,364
Beauce/Beauce,63,Tring-Jonction,53,3,75,4,22,5,162,282
Beauce/Beauce,64,Tring-Jonction,70,12,121,8,54,12,277,439
Beauce/Beauce,65,Tring-Jonction,92,4,101,6,56,2,261,425
Beauce/Beauce,66,Saint-Jules-de-Beauce,100,5,123,10,62,2,302,423
Beauce/Beauce,67,Saint-Joseph-de-Beauce,69,4,80,6,37,3,199,348
Beauce/Beauce,68A,Saint-Joseph-de-Beauce,84,3,83,6,45,5,226,361
Beauce/Beauce,68B,Saint-Joseph-de-Beauce,71,7,78,7,50,2,215,342
Beauce/Beauce,69,Saint-Joseph-de-Beauce,105,8,91,10,53,1,268,412
Beauce/Beauce,70,Saint-Joseph-de-Beauce,77,3,99,3,27,3,212,384
Beauce/Beauce,71,Saint-Joseph-de-Beauce,93,5,64,8,42,3,215,363
Beauce/Beauce,72,Saint-Joseph-de-Beauce,41,2,46,10,20,3,122,207
Beauce/Beauce,73,Saint-Joseph-de-Beauce,75,4,57,4,32,1,173,299
Beauce/Beauce,74,Saint-Joseph-de-Beauce,69,1,92,5,36,4,207,307
Beauce/Beauce,75,Saint-Joseph-de-Beauce,77,4,96,3,40,9,229,465
Beauce/Beauce,76,Saint-Joseph-des-Érables,55,2,73,4,53,1,188,341
Beauce/Beauce,77,Beauceville,92,5,104,10,71,3,285,538
Beauce/Beauce,78,Beauceville,147,2,92,0,48,6,295,560
Beauce/Beauce,79,Beauceville,74,7,103,12,31,7,234,434
Beauce/Beauce,80,Beauceville,37,2,66,1,22,2,130,267
Beauce/Beauce,81,Beauceville,23,1,32,4,6,2,68,219
Beauce/Beauce,82,Beauceville,74,2,107,2,24,5,214,492
Beauce/Beauce,83,Beauceville,80,3,123,2,22,3,233,387
Beauce/Beauce,84,Beauceville,91,3,78,2,20,1,195,342
Beauce/Beauce,85,Beauceville,66,2,64,3,22,3,160,325
Beauce/Beauce,86,Beauceville,71,1,60,8,19,3,162,272
Beauce/Beauce,87,Beauceville,41,4,76,2,31,2,156,251
Beauce/Beauce,88A,Beauceville,63,1,62,9,24,4,163,288
Beauce/Beauce,88B,Beauceville,50,1,58,7,31,1,148,296
Beauce/Beauce,89,Beauceville,78,4,77,7,38,4,208,368
Beauce/Beauce,90,Saint-Alfred,104,4,67,6,16,7,204,327
Beauce/Beauce,91,Saint-Victor-Station,111,8,138,4,55,7,323,563
Beauce/Beauce,92,Saint-Victor,125,2,128,8,59,3,325,468
Beauce/Beauce,93,Saint-Victor,75,2,52,1,26,0,156,261
Beauce/Beauce,94,Saint-Victor,41,4,46,4,38,5,138,228
Beauce/Beauce,95,Saint-Victor-Station,65,3,51,3,25,3,150,287
Beauce/Beauce,96,Saint-Benjamin,96,9,75,13,41,7,241,433
Beauce/Beauce,97,Saint-Benjamin,53,0,66,6,36,3,164,279
Beauce/Beauce,98,Saint-Prosper,70,7,71,10,48,10,216,401
Beauce/Beauce,99,Saint-Prosper,85,5,62,6,63,11,232,391
Beauce/Beauce,100,Saint-Prosper,111,8,99,10,48,6,282,520
Beauce/Beauce,101,Saint-Prosper,78,5,99,9,52,8,251,463
Beauce/Beauce,102,Saint-Prosper,65,3,38,3,34,10,153,255
Beauce/Beauce,103,Saint-Prosper,92,9,49,9,61,21,241,465
Beauce/Beauce,104,Saint-Prosper,87,4,76,7,64,12,250,425
Beauce/Beauce,105,Sainte-Aurélie,70,10,48,6,56,4,194,343
Beauce/Beauce,106,Sainte-Aurélie,86,5,72,6,40,6,215,373
Beauce/Beauce,107,Saint-Éphrem-de-Beauce,100,3,133,0,52,7,295,521
Beauce/Beauce,108,Saint-Éphrem-de-Tring,76,6,122,5,47,9,265,419
Beauce/Beauce,109,Saint-Éphrem-de-Tring,83,8,93,3,38,7,232,356
Beauce/Beauce,110,Saint-Éphrem-de-Tring,44,1,67,0,42,6,160,226
Beauce/Beauce,111,Saint-Éphrem-de-Beauce,118,3,119,5,27,1,273,409
Beauce/Beauce,112,Saint-Benoît-Labre,31,5,41,3,14,3,97,177
Beauce/Beauce,113,Saint-Benoît-Labre,107,8,109,12,48,4,288,507
Beauce/Beauce,114A,Saint-Benoît-Labre,62,1,62,7,37,5,174,287
Beauce/Beauce,114B,Saint-Benoît-Labre,53,5,66,7,21,4,156,356
Beauce/Beauce,114C,Mobile poll/Bureau itinérant,Merged with No. 509,,,,,,,14
Beauce/Beauce,115,Aubert-Gallion,59,13,63,3,28,0,166,307
Beauce/Beauce,116,Aubert-Gallion,67,4,81,4,40,2,198,321
Beauce/Beauce,117A,Aubert-Gallion,63,1,53,3,37,3,160,310
Beauce/Beauce,117B,Aubert-Gallion,62,3,56,4,33,9,167,340
Beauce/Beauce,118A,Saint-Georges,68,5,81,6,32,6,198,364
Beauce/Beauce,118B,Saint-Georges,95,6,69,6,25,4,205,360
Beauce/Beauce,119,Saint-Georges,95,9,119,10,28,9,270,449
Beauce/Beauce,120,Saint-Georges,85,6,90,6,30,4,221,387
Beauce/Beauce,121,Saint-Georges,96,4,119,2,36,2,259,476
Beauce/Beauce,122,Saint-Georges,52,2,49,7,17,1,128,285
Beauce/Beauce,123,Saint-Georges,79,2,89,4,24,7,205,363
Beauce/Beauce,124,Saint-Georges,52,5,99,6,20,4,186,390
Beauce/Beauce,125,Saint-Georges,82,2,63,7,26,2,182,339
Beauce/Beauce,126,Saint-Georges,75,4,92,5,26,1,203,390
Beauce/Beauce,127,Saint-Georges,60,3,69,1,13,3,149,277
Beauce/Beauce,128,Saint-Georges,87,6,118,5,29,2,247,435
Beauce/Beauce,129,Saint-Georges,80,4,56,6,35,3,184,323
Beauce/Beauce,130,Saint-Georges,43,3,81,2,11,2,142,236
Beauce/Beauce,131,Saint-Georges,92,4,69,7,41,7,220,392
Beauce/Beauce,132,Saint-Georges,127,5,95,10,34,8,279,482
Beauce/Beauce,133,Aubert-Gallion,63,4,50,3,28,2,150,345
