District,Poll Number,Poll Name,Loftus Cuddy,Jim Harris,Jack Layton,Dennis Mills,Marcell Rodden,Scott Yee,Rejected Ballots,Total Vote,Electors
Toronto--Danforth/Toronto--Danforth,125,Toronto,5,16,101,100,1,2,1,226,431
Toronto--Danforth/Toronto--Danforth,126,Toronto,14,10,136,82,0,0,1,243,540
Toronto--Danforth/Toronto--Danforth,127,Toronto,18,15,140,132,0,1,0,306,445
Toronto--Danforth/Toronto--Danforth,128,Toronto,16,15,90,56,1,0,2,180,302
Toronto--Danforth/Toronto--Danforth,129,Toronto,17,12,161,119,0,1,2,312,523
Toronto--Danforth/Toronto--Danforth,130,Toronto,16,6,128,124,2,1,6,283,546
Toronto--Danforth/Toronto--Danforth,131,Toronto,11,16,120,91,0,2,0,240,452
Toronto--Danforth/Toronto--Danforth,132,Toronto,4,1,59,31,1,2,0,98,220
Toronto--Danforth/Toronto--Danforth,133,Toronto,5,11,125,71,1,1,4,218,376
Toronto--Danforth/Toronto--Danforth,134,Toronto,9,11,160,78,0,2,1,261,455
Toronto--Danforth/Toronto--Danforth,135,Toronto,10,28,136,79,1,1,2,257,451
Toronto--Danforth/Toronto--Danforth,136,Toronto,6,21,140,69,1,1,0,238,412
Toronto--Danforth/Toronto--Danforth,137,Toronto,11,10,120,54,0,0,4,199,491
Toronto--Danforth/Toronto--Danforth,138,Toronto,17,12,131,113,1,2,2,278,541
Toronto--Danforth/Toronto--Danforth,139,Toronto,9,12,109,53,0,0,1,184,360
Toronto--Danforth/Toronto--Danforth,140,Toronto,8,9,154,116,2,1,0,290,529
Toronto--Danforth/Toronto--Danforth,141,Toronto,21,11,102,97,0,1,0,232,434
Toronto--Danforth/Toronto--Danforth,142,Toronto,8,12,94,78,0,1,1,194,296
Toronto--Danforth/Toronto--Danforth,143,Toronto,16,5,136,94,0,3,1,255,528
Toronto--Danforth/Toronto--Danforth,144,Toronto,12,13,173,112,1,2,0,313,558
Toronto--Danforth/Toronto--Danforth,145,Toronto,16,19,108,109,0,1,0,253,402
Toronto--Danforth/Toronto--Danforth,146,Toronto,16,13,159,127,1,2,6,324,578
Toronto--Danforth/Toronto--Danforth,147,Toronto,5,14,127,70,1,1,4,222,424
Toronto--Danforth/Toronto--Danforth,148A,Toronto,9,17,122,63,0,0,1,212,345
Toronto--Danforth/Toronto--Danforth,148B,Toronto,7,10,123,83,0,0,0,223,373
Toronto--Danforth/Toronto--Danforth,149,Toronto,12,27,137,78,1,5,2,262,445
Toronto--Danforth/Toronto--Danforth,150,Toronto,15,15,129,81,1,3,1,245,484
Toronto--Danforth/Toronto--Danforth,151,Toronto,13,18,110,83,0,0,2,226,429
Toronto--Danforth/Toronto--Danforth,152,Toronto,13,20,137,88,0,1,7,266,560
Toronto--Danforth/Toronto--Danforth,153,Toronto,16,14,139,93,0,8,0,270,450
Toronto--Danforth/Toronto--Danforth,154,Toronto,17,4,93,88,4,0,1,207,404
Toronto--Danforth/Toronto--Danforth,155,Toronto,13,18,163,92,1,2,1,290,569
Toronto--Danforth/Toronto--Danforth,156,Toronto,17,14,100,96,1,1,3,232,424
Toronto--Danforth/Toronto--Danforth,157,Toronto,10,16,130,79,0,1,0,236,445
Toronto--Danforth/Toronto--Danforth,158,Toronto,13,5,69,56,0,2,1,146,353
