District,Poll Number,Poll Name,Allister Cucksey,Don Kuhl,Brian Pallister,Marc Payette,David Reimer,Daren Van Den Bussche,Rejected Ballots,Total Vote,Electors
Portage--Lisgar/Portage--Lisgar,65B,La Salle,2,75,134,16,5,30,1,263,403
Portage--Lisgar/Portage--Lisgar,66,La Salle,2,85,196,8,4,25,0,320,506
Portage--Lisgar/Portage--Lisgar,67,Brunkild,0,15,128,7,5,10,0,165,240
Portage--Lisgar/Portage--Lisgar,68,Domain,0,13,100,7,4,4,0,128,167
Portage--Lisgar/Portage--Lisgar,69,Cypress River,0,22,100,3,1,16,1,143,260
Portage--Lisgar/Portage--Lisgar,70,Holland,0,22,79,5,11,12,0,129,184
Portage--Lisgar/Portage--Lisgar,71,Holland,1,43,131,4,7,33,2,221,333
Portage--Lisgar/Portage--Lisgar,72,Treherne,0,23,114,0,2,12,1,152,326
Portage--Lisgar/Portage--Lisgar,73,Treherne,0,42,131,8,2,17,1,201,377
Portage--Lisgar/Portage--Lisgar,74,Treherne,0,26,58,0,1,16,0,101,198
Portage--Lisgar/Portage--Lisgar,75,Rathwell,2,44,138,4,4,25,0,217,370
Portage--Lisgar/Portage--Lisgar,76,Notre-Dame-de-Lourdes,0,78,90,15,4,20,0,207,335
Portage--Lisgar/Portage--Lisgar,77,Notre-Dame-de-Lourdes,1,158,90,2,6,19,2,278,469
Portage--Lisgar/Portage--Lisgar,78,Bruxelles,1,21,101,3,10,12,2,150,219
Portage--Lisgar/Portage--Lisgar,79,Mariapolis,0,22,64,0,11,13,0,110,171
Portage--Lisgar/Portage--Lisgar,80,Swan Lake,0,70,40,3,5,34,0,152,322
Portage--Lisgar/Portage--Lisgar,81,Swan Lake,1,28,96,4,1,39,0,169,259
Portage--Lisgar/Portage--Lisgar,82,Somerset,0,44,57,1,2,34,1,139,312
Portage--Lisgar/Portage--Lisgar,83,Somerset,2,84,56,2,1,53,2,200,294
Portage--Lisgar/Portage--Lisgar,84,Saint-Léon,0,78,33,0,1,4,2,118,157
Portage--Lisgar/Portage--Lisgar,85,Altamont,0,24,64,6,4,13,0,111,146
Portage--Lisgar/Portage--Lisgar,86,St. Claude,0,39,39,1,2,9,0,90,137
Portage--Lisgar/Portage--Lisgar,87,St. Claude,2,48,41,3,6,11,0,111,174
Portage--Lisgar/Portage--Lisgar,88,St. Claude,1,106,95,7,5,29,0,243,433
Portage--Lisgar/Portage--Lisgar,89,Haywood,1,54,87,7,10,13,0,172,286
Portage--Lisgar/Portage--Lisgar,90,Elm Creek,0,12,147,0,9,8,0,176,312
Portage--Lisgar/Portage--Lisgar,91,Elm Creek,1,44,228,1,22,23,2,321,522
Portage--Lisgar/Portage--Lisgar,92,Fannystelle,1,27,63,5,1,9,1,107,169
Portage--Lisgar/Portage--Lisgar,93,Roseisle,0,18,95,9,8,10,0,140,292
Portage--Lisgar/Portage--Lisgar,94,Graysville,0,25,127,5,29,16,1,203,401
Portage--Lisgar/Portage--Lisgar,95,Barnsley,0,11,113,6,47,9,0,186,315
Portage--Lisgar/Portage--Lisgar,96,Carman,0,43,135,7,49,24,0,258,398
Portage--Lisgar/Portage--Lisgar,97,Homewood,0,16,84,4,13,5,0,122,212
Portage--Lisgar/Portage--Lisgar,98,Carman,0,43,125,5,18,14,1,206,364
Portage--Lisgar/Portage--Lisgar,99,Carman,1,34,116,3,18,10,1,183,319
Portage--Lisgar/Portage--Lisgar,100,Carman,0,27,108,1,27,27,0,190,360
Portage--Lisgar/Portage--Lisgar,101,Carman,1,44,146,15,20,22,3,251,459
Portage--Lisgar/Portage--Lisgar,102,Carman,0,22,102,3,18,11,0,156,284
Portage--Lisgar/Portage--Lisgar,103,Carman,0,51,137,12,22,26,1,249,436
Portage--Lisgar/Portage--Lisgar,104,Miami,1,22,148,4,8,13,1,197,347
Portage--Lisgar/Portage--Lisgar,105,Miami,0,42,166,11,6,32,3,260,467
Portage--Lisgar/Portage--Lisgar,106,Rosebank,1,5,75,0,6,1,0,88,144
Portage--Lisgar/Portage--Lisgar,107,Roland,0,41,214,8,10,17,0,290,513
Portage--Lisgar/Portage--Lisgar,108,Myrtle,0,2,41,0,1,4,0,48,65
Portage--Lisgar/Portage--Lisgar,109,Pilot Mound,0,40,65,5,1,15,0,126,207
Portage--Lisgar/Portage--Lisgar,110,Pilot Mound,2,45,81,4,2,21,0,155,284
Portage--Lisgar/Portage--Lisgar,111,Crystal City,0,48,156,4,3,10,1,222,353
Portage--Lisgar/Portage--Lisgar,112,Pilot Mound,0,35,129,6,3,19,0,192,275
Portage--Lisgar/Portage--Lisgar,113,Clearwater,0,19,84,8,3,8,0,122,181
Portage--Lisgar/Portage--Lisgar,114,Crystal City,0,21,78,2,2,9,1,113,171
Portage--Lisgar/Portage--Lisgar,115,La Rivière,0,28,166,3,5,23,5,230,354
Portage--Lisgar/Portage--Lisgar,116,Snowflake,0,9,70,0,8,12,0,99,134
Portage--Lisgar/Portage--Lisgar,117,Manitou,0,18,79,6,1,17,1,122,224
Portage--Lisgar/Portage--Lisgar,118,Manitou,0,67,188,5,1,17,1,279,426
Portage--Lisgar/Portage--Lisgar,119,Manitou,1,32,142,7,3,17,1,203,333
Portage--Lisgar/Portage--Lisgar,120,Darlingford,0,16,139,8,4,16,0,183,402
Portage--Lisgar/Portage--Lisgar,121,Darlingford,0,10,37,8,0,6,0,61,102
Portage--Lisgar/Portage--Lisgar,122,Morden,2,66,301,13,23,27,2,434,716
Portage--Lisgar/Portage--Lisgar,123,Morden,0,13,88,2,1,8,0,112,202
Portage--Lisgar/Portage--Lisgar,124,Morden,0,45,187,6,8,24,0,270,473
Portage--Lisgar/Portage--Lisgar,125A,Morden,0,47,125,13,6,15,4,210,341
Portage--Lisgar/Portage--Lisgar,125B,Morden,0,48,129,8,6,14,0,205,304
Portage--Lisgar/Portage--Lisgar,126,Morden,0,25,155,3,15,18,2,218,452
Portage--Lisgar/Portage--Lisgar,127A,Morden,2,22,103,6,0,16,2,151,337
Portage--Lisgar/Portage--Lisgar,127B,Morden,0,21,98,3,9,13,2,146,309
Portage--Lisgar/Portage--Lisgar,128,Morden,2,46,189,3,10,17,1,268,520
Portage--Lisgar/Portage--Lisgar,129,Morden,0,43,170,10,16,20,2,261,411
Portage--Lisgar/Portage--Lisgar,130,Morden,0,23,116,9,3,22,0,173,345
Portage--Lisgar/Portage--Lisgar,131,Morden,1,38,132,7,7,19,2,206,402
Portage--Lisgar/Portage--Lisgar,132,Thornhill,2,28,168,6,9,9,0,222,344
Portage--Lisgar/Portage--Lisgar,133,Morden,0,16,151,8,8,8,0,191,275
Portage--Lisgar/Portage--Lisgar,134,Morden,0,13,122,4,13,5,0,157,245
Portage--Lisgar/Portage--Lisgar,135,Brown,1,15,133,7,12,2,0,170,274
Portage--Lisgar/Portage--Lisgar,136,Winkler,1,13,304,4,15,4,0,341,542
Portage--Lisgar/Portage--Lisgar,137,Chortitz,0,5,64,1,1,2,1,74,142
Portage--Lisgar/Portage--Lisgar,138,Schanzenfeld,3,4,208,0,9,0,1,225,379
Portage--Lisgar/Portage--Lisgar,139,Hochfeld,0,6,161,0,12,2,0,181,344
Portage--Lisgar/Portage--Lisgar,140,Blumenfeld,1,11,190,2,8,3,0,215,432
Portage--Lisgar/Portage--Lisgar,141,Winkler,0,29,179,2,8,1,1,220,362
Portage--Lisgar/Portage--Lisgar,142A,Winkler,0,30,171,3,5,7,0,216,347
Portage--Lisgar/Portage--Lisgar,142B,Winkler,2,21,146,0,2,5,0,176,296
Portage--Lisgar/Portage--Lisgar,143,Winkler,1,18,153,4,11,13,1,201,516
Portage--Lisgar/Portage--Lisgar,144,Winkler,0,14,189,2,3,3,1,212,430
Portage--Lisgar/Portage--Lisgar,145,Winkler,0,15,204,0,9,5,0,233,383
Portage--Lisgar/Portage--Lisgar,146,Winkler,1,15,218,1,15,4,2,256,436
Portage--Lisgar/Portage--Lisgar,147,Winkler,1,27,167,6,10,5,1,217,392
Portage--Lisgar/Portage--Lisgar,148,Winkler,2,46,228,2,9,8,0,295,502
Portage--Lisgar/Portage--Lisgar,149,Winkler,0,21,190,2,12,10,0,235,429
Portage--Lisgar/Portage--Lisgar,150,Winkler,4,34,229,5,10,2,1,285,556
Portage--Lisgar/Portage--Lisgar,151,Winkler,0,16,156,3,5,7,1,188,418
Portage--Lisgar/Portage--Lisgar,152,Winkler,3,11,181,1,9,5,0,210,480
Portage--Lisgar/Portage--Lisgar,153,Winkler,1,5,104,2,0,3,0,115,374
Portage--Lisgar/Portage--Lisgar,154,Winkler,0,7,123,0,2,1,1,134,383
Portage--Lisgar/Portage--Lisgar,155,Plum Coulee,0,15,147,2,16,3,0,183,347
Portage--Lisgar/Portage--Lisgar,156,Plum Coulee,1,9,217,1,15,2,1,246,487
Portage--Lisgar/Portage--Lisgar,157,Plum Coulee,0,16,103,0,5,3,0,127,321
Portage--Lisgar/Portage--Lisgar,158,Rosenfeld,1,34,157,2,7,8,0,209,409
Portage--Lisgar/Portage--Lisgar,159,Gnadenthal,0,3,148,1,11,1,1,165,359
Portage--Lisgar/Portage--Lisgar,160,Altbergthal,0,6,117,3,7,0,0,133,229
Portage--Lisgar/Portage--Lisgar,161,Altona,1,86,215,19,19,25,1,366,601
Portage--Lisgar/Portage--Lisgar,162,Altona,2,44,193,6,12,20,1,278,537
Portage--Lisgar/Portage--Lisgar,163,Altona,2,23,120,5,7,9,1,167,334
Portage--Lisgar/Portage--Lisgar,164,Altona,0,58,202,6,13,16,0,295,572
Portage--Lisgar/Portage--Lisgar,165,Altona,2,51,185,3,16,12,3,272,450
Portage--Lisgar/Portage--Lisgar,166,Altona,2,38,201,4,15,10,1,271,398
Portage--Lisgar/Portage--Lisgar,167,Gretna,0,5,73,0,9,2,0,89,165
Portage--Lisgar/Portage--Lisgar,168,Gretna,1,36,151,7,16,18,2,231,455
Portage--Lisgar/Portage--Lisgar,169,Halbstadt,0,17,79,0,6,10,1,113,184
Portage--Lisgar/Portage--Lisgar,500,Mobile poll/Bureau itinérant,0,10,36,0,2,5,0,53,187
Portage--Lisgar/Portage--Lisgar,501,Mobile poll/Bureau itinérant,0,18,37,1,1,9,0,66,126
Portage--Lisgar/Portage--Lisgar,502,Mobile poll/Bureau itinérant,0,26,29,5,0,8,4,72,78
Portage--Lisgar/Portage--Lisgar,503,Mobile poll/Bureau itinérant,2,14,28,1,3,1,6,55,102
Portage--Lisgar/Portage--Lisgar,600,North Norfolk--Victoria,0,7,74,0,5,5,1,92,
Portage--Lisgar/Portage--Lisgar,601,Portage la Prairie--Long Plain,1,30,124,4,11,26,1,197,
Portage--Lisgar/Portage--Lisgar,602,Portage la Prairie,1,71,182,12,14,37,0,317,
Portage--Lisgar/Portage--Lisgar,603,Cartier--Macdonald,0,19,55,3,0,12,0,89,
Portage--Lisgar/Portage--Lisgar,604,Treherne,0,16,51,1,0,9,0,77,
Portage--Lisgar/Portage--Lisgar,605,Carman,0,42,159,7,25,22,0,255,
Portage--Lisgar/Portage--Lisgar,606,Manitou,1,15,37,1,1,7,0,62,
Portage--Lisgar/Portage--Lisgar,607,Morden,1,51,152,6,10,17,0,237,
Portage--Lisgar/Portage--Lisgar,608,Winkler,0,28,209,3,7,5,1,253,
Portage--Lisgar/Portage--Lisgar,609,Rhineland,0,17,65,2,5,4,0,93,
Portage--Lisgar/Portage--Lisgar,,Group 1/Groupe 1,0,20,34,3,0,1,1,59,141
Portage--Lisgar/Portage--Lisgar,,Group 2/Groupe 2,0,57,153,7,8,21,2,248,
