Province,Electors 2004,Electors 2000,Electors 1997,Electors 1993*,Ballots 2004,Ballots 2000,Ballots 1997,Ballots 1993*,Turnout Percent 2004,Turnout Percent 2000,Turnout Percent 1997,Turnout Percent 1993*
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",405032,405210,407109,419635,199536,231178,224722,231424,49.3,57.1,55.2,55.1
"Prince Edward Island/Île-du-Prince-Édouard",109031,103034,97802,99645,77143,74888,71171,72973,70.8,72.7,72.8,73.2
"Nova Scotia/Nouvelle-Écosse",706932,694984,677164,707202,440450,437375,470272,457610,62.3,62.9,69.4,64.7
"New Brunswick/Nouveau-Brunswick",597440,571569,551530,562128,374952,387178,404921,391247,62.8,67.7,73.4,69.6
"Quebec/Québec",5800109,5542169,5177159,5025263,3507100,3552551,3792870,3873050,60.5,64.1,73.3,77.1
"Ontario",8294928,7713744,7115785,7266097,5127387,4474001,4664525,4918819,61.8,58,65.6,67.7
"Manitoba",841061,786309,758526,791374,476512,490083,479110,543339,56.7,62.3,63.2,68.7
"Saskatchewan",723922,698145,679806,704248,427960,435079,444004,488755,59.1,62.3,65.3,69.4
"Alberta",2171584,2094001,1811413,1851822,1278932,1259794,1059348,1206871,58.9,60.2,58.5,65.2
"British Columbia/Colombie-Britannique",2750577,2574322,2332083,2420709,1739999,1621101,1529139,1640614,63.3,63,65.6,67.8
"Yukon",20345,20901,19934,20565,12578,13272,13915,14471,61.8,63.5,69.8,70.4
"Northwest Territories/Territoires du Nord-Ouest",28619,24716,35167,38108,13546,12912,20701,23962,47.3,52.2,58.9,62.9
"Nunavut",17041,14369,0,0,7475,7773,0,0,43.9,54.1,,
