District,Poll Number,Poll Name,Raymond Bonin,Mike Dupont,Michel D. Ethier,Claude Gravelle,Steve Lafleur,Don Lavallee,Steve Rutchinski,Rejected Ballots,Total Vote,Electors
Nickel Belt/Nickel Belt,603,Chelmsford,222,116,4,208,5,0,0,3,558,
Nickel Belt/Nickel Belt,604,Azilda,127,66,0,109,5,4,0,0,311,
Nickel Belt/Nickel Belt,605,Val Caron,162,70,3,154,6,2,0,3,400,
Nickel Belt/Nickel Belt,606,Val Therese,206,69,4,152,6,2,0,2,441,
Nickel Belt/Nickel Belt,607,Hanmer,148,48,1,131,9,0,0,0,337,
Nickel Belt/Nickel Belt,608,Capreol,121,70,2,142,4,1,0,0,340,
Nickel Belt/Nickel Belt,609,Garson,158,120,0,161,8,4,0,2,453,
Nickel Belt/Nickel Belt,610,Coniston,89,33,0,54,6,2,1,1,186,
Nickel Belt/Nickel Belt,611,Sudbury,133,116,4,55,13,0,3,1,325,
Nickel Belt/Nickel Belt,612,Wanup,41,23,3,33,6,0,0,0,106,
Nickel Belt/Nickel Belt,613,Noelville,134,51,1,47,2,1,0,2,238,
Nickel Belt/Nickel Belt,614,Warren,27,34,0,30,3,0,0,1,95,
Nickel Belt/Nickel Belt,615,Verner,108,30,2,49,0,1,0,1,191,
Nickel Belt/Nickel Belt,616,Sturgeon Falls,565,172,14,170,18,4,2,12,957,
Nickel Belt/Nickel Belt,,Group 1/Groupe 1,29,42,6,19,2,0,0,2,100,312
Nickel Belt/Nickel Belt,,Group 2/Groupe 2,215,85,6,120,10,1,4,9,450,
