District,Poll Number,Poll Name,Colleen Beaumier,Tom Bose,Tony Clement,Sanjeev Goel,Chris Moise,Rejected Ballots,Total Vote,Electors
Brampton West/Brampton-Ouest,1,Brampton,74,0,78,5,11,0,168,346
Brampton West/Brampton-Ouest,2,Brampton,79,0,84,5,29,0,197,364
Brampton West/Brampton-Ouest,3,Brampton,92,0,77,6,22,1,198,372
Brampton West/Brampton-Ouest,4,Brampton,80,1,72,1,29,0,183,376
Brampton West/Brampton-Ouest,5,Brampton,95,0,105,5,18,2,225,402
Brampton West/Brampton-Ouest,6,Brampton,81,0,82,6,21,1,191,321
Brampton West/Brampton-Ouest,7,Brampton,Merged with No. 6,,,,,,,5
Brampton West/Brampton-Ouest,8,Brampton,Merged with No. 6,,,,,,,1
Brampton West/Brampton-Ouest,9,Brampton,54,4,55,5,17,1,136,282
Brampton West/Brampton-Ouest,10,Brampton,67,2,61,4,18,4,156,328
Brampton West/Brampton-Ouest,11,Brampton,75,1,75,6,26,1,184,352
Brampton West/Brampton-Ouest,12,Brampton,Merged with No. 11,,,,,,,15
Brampton West/Brampton-Ouest,13,Brampton,Merged with No. 11,,,,,,,40
Brampton West/Brampton-Ouest,14,Brampton,Void,,,,,,,
Brampton West/Brampton-Ouest,15,Brampton,Void,,,,,,,
Brampton West/Brampton-Ouest,16A,Brampton,81,2,56,1,20,2,162,315
Brampton West/Brampton-Ouest,16B,Brampton,66,1,69,6,17,1,160,329
Brampton West/Brampton-Ouest,17,Brampton,69,2,70,4,25,0,170,260
Brampton West/Brampton-Ouest,18,Brampton,Void,,,,,,,
Brampton West/Brampton-Ouest,19,Brampton,74,2,74,0,24,1,175,397
Brampton West/Brampton-Ouest,20,Brampton,76,2,66,8,24,0,176,340
Brampton West/Brampton-Ouest,21A,Brampton,56,1,59,3,15,1,135,267
Brampton West/Brampton-Ouest,21B,Brampton,53,2,52,3,15,1,126,285
Brampton West/Brampton-Ouest,22A,Brampton,54,0,48,3,25,1,131,291
Brampton West/Brampton-Ouest,22B,Brampton,65,3,53,7,23,1,152,337
Brampton West/Brampton-Ouest,23,Brampton,Merged with No. 11,,,,,,,12
Brampton West/Brampton-Ouest,24,Brampton,47,1,92,8,12,0,160,322
Brampton West/Brampton-Ouest,25A,Brampton,71,1,29,2,18,1,122,318
Brampton West/Brampton-Ouest,25B,Brampton,50,3,17,3,14,1,88,306
Brampton West/Brampton-Ouest,26,Brampton,75,0,26,5,15,1,122,290
Brampton West/Brampton-Ouest,27,Brampton,54,0,36,2,12,0,104,244
Brampton West/Brampton-Ouest,28,Brampton,62,0,40,3,14,1,120,322
Brampton West/Brampton-Ouest,29,Brampton,66,0,25,2,7,0,100,268
Brampton West/Brampton-Ouest,30,Brampton,103,1,48,5,12,1,170,415
Brampton West/Brampton-Ouest,31,Brampton,71,2,38,2,17,0,130,311
Brampton West/Brampton-Ouest,32,Brampton,76,1,63,3,21,0,164,401
Brampton West/Brampton-Ouest,33,Brampton,41,1,28,3,13,0,86,189
Brampton West/Brampton-Ouest,34,Brampton,105,0,93,3,27,2,230,484
Brampton West/Brampton-Ouest,35,Brampton,108,1,63,5,20,1,198,358
Brampton West/Brampton-Ouest,36,Brampton,67,1,55,2,18,4,147,327
Brampton West/Brampton-Ouest,37A,Brampton,137,4,84,6,28,3,262,502
Brampton West/Brampton-Ouest,37B,Brampton,160,2,86,15,33,0,296,589
Brampton West/Brampton-Ouest,37C,Brampton,129,1,95,10,31,2,268,523
Brampton West/Brampton-Ouest,38,Brampton,36,0,25,2,12,0,75,189
Brampton West/Brampton-Ouest,39,Brampton,54,0,66,2,20,0,142,253
Brampton West/Brampton-Ouest,40,Brampton,55,1,34,2,9,1,102,232
Brampton West/Brampton-Ouest,41,Brampton,56,1,59,11,16,1,144,286
Brampton West/Brampton-Ouest,42,Brampton,61,3,25,2,7,0,98,266
Brampton West/Brampton-Ouest,43,Brampton,105,3,87,5,31,5,236,450
Brampton West/Brampton-Ouest,44,Brampton,68,1,54,5,22,6,156,308
Brampton West/Brampton-Ouest,45,Brampton,93,1,77,9,29,2,211,362
Brampton West/Brampton-Ouest,46A,Brampton,62,1,68,8,18,0,157,331
Brampton West/Brampton-Ouest,46B,Brampton,82,2,84,7,18,1,194,348
Brampton West/Brampton-Ouest,47,Brampton,75,2,48,6,13,3,147,267
Brampton West/Brampton-Ouest,48,Brampton,64,0,71,2,20,1,158,332
Brampton West/Brampton-Ouest,49,Brampton,110,2,82,5,28,2,229,493
Brampton West/Brampton-Ouest,50,Brampton,94,3,36,3,12,0,148,305
Brampton West/Brampton-Ouest,51,Brampton,61,0,29,0,7,0,97,204
Brampton West/Brampton-Ouest,52,Brampton,69,0,64,2,14,2,151,290
Brampton West/Brampton-Ouest,53,Brampton,85,0,87,8,12,1,193,357
Brampton West/Brampton-Ouest,54,Brampton,90,0,66,3,19,1,179,380
Brampton West/Brampton-Ouest,55,Brampton,109,2,70,4,20,0,205,442
Brampton West/Brampton-Ouest,56,Brampton,88,0,83,11,18,0,200,477
Brampton West/Brampton-Ouest,57,Brampton,81,2,49,0,14,1,147,324
Brampton West/Brampton-Ouest,58,Brampton,61,2,54,7,31,1,156,402
Brampton West/Brampton-Ouest,59,Brampton,69,1,39,5,26,2,142,310
Brampton West/Brampton-Ouest,60,Brampton,60,1,68,6,22,1,158,386
Brampton West/Brampton-Ouest,61,Brampton,77,2,78,4,10,0,171,320
Brampton West/Brampton-Ouest,62,Brampton,106,0,110,7,6,0,229,441
Brampton West/Brampton-Ouest,63,Brampton,73,2,63,4,24,1,167,366
Brampton West/Brampton-Ouest,64A,Brampton,111,2,50,3,9,4,179,338
Brampton West/Brampton-Ouest,64B,Brampton,90,0,64,3,22,4,183,333
Brampton West/Brampton-Ouest,65,Brampton,140,2,70,7,24,1,244,437
Brampton West/Brampton-Ouest,66,Brampton,72,1,51,3,22,3,152,367
Brampton West/Brampton-Ouest,67,Brampton,50,0,55,6,20,0,131,343
Brampton West/Brampton-Ouest,68,Brampton,107,0,72,2,22,1,204,368
Brampton West/Brampton-Ouest,69,Brampton,66,0,52,2,9,0,129,305
Brampton West/Brampton-Ouest,70,Brampton,72,1,33,4,18,2,130,332
Brampton West/Brampton-Ouest,71,Brampton,75,0,103,13,32,3,226,430
Brampton West/Brampton-Ouest,72,Brampton,66,5,105,9,32,3,220,426
Brampton West/Brampton-Ouest,73,Brampton,76,2,98,9,23,0,208,409
Brampton West/Brampton-Ouest,74,Brampton,82,5,98,6,21,3,215,360
Brampton West/Brampton-Ouest,75,Brampton,65,3,135,7,18,1,229,461
Brampton West/Brampton-Ouest,76,Brampton,104,0,101,5,24,2,236,387
Brampton West/Brampton-Ouest,77A,Brampton,64,1,36,2,9,0,112,288
Brampton West/Brampton-Ouest,77B,Brampton,66,0,43,1,10,0,120,290
Brampton West/Brampton-Ouest,78,Brampton,107,2,59,6,30,6,210,504
Brampton West/Brampton-Ouest,79,Brampton,67,0,64,7,20,1,159,318
Brampton West/Brampton-Ouest,80,Brampton,65,1,69,6,19,2,162,308
Brampton West/Brampton-Ouest,81,Brampton,102,0,56,8,12,2,180,389
Brampton West/Brampton-Ouest,82A,Brampton,77,1,44,3,16,0,141,275
Brampton West/Brampton-Ouest,82B,Brampton,60,2,64,7,3,2,138,267
Brampton West/Brampton-Ouest,83,Brampton,109,1,117,8,31,0,266,401
Brampton West/Brampton-Ouest,84,Brampton,137,0,131,12,24,2,306,512
Brampton West/Brampton-Ouest,85,Brampton,94,2,75,8,19,0,198,451
Brampton West/Brampton-Ouest,86,Brampton,53,2,37,2,14,1,109,254
Brampton West/Brampton-Ouest,87,Brampton,66,3,97,7,17,3,193,404
Brampton West/Brampton-Ouest,88,Brampton,104,0,78,5,26,2,215,588
Brampton West/Brampton-Ouest,89,Brampton,46,3,38,5,13,0,105,306
Brampton West/Brampton-Ouest,90,Brampton,148,1,108,8,30,5,300,602
Brampton West/Brampton-Ouest,91,Brampton,87,1,86,12,23,1,210,386
Brampton West/Brampton-Ouest,92,Brampton,97,7,79,4,41,2,230,465
Brampton West/Brampton-Ouest,93,Brampton,71,0,73,11,17,3,175,382
Brampton West/Brampton-Ouest,94,Brampton,66,1,71,5,19,7,169,454
Brampton West/Brampton-Ouest,95,Brampton,54,0,104,4,26,0,188,410
Brampton West/Brampton-Ouest,96,Brampton,69,1,68,1,25,1,165,386
Brampton West/Brampton-Ouest,97,Brampton,66,1,66,8,9,0,150,329
Brampton West/Brampton-Ouest,98,Brampton,102,2,91,6,42,0,243,472
Brampton West/Brampton-Ouest,99,Brampton,68,3,45,4,26,0,146,353
Brampton West/Brampton-Ouest,100A,Brampton,52,3,45,4,19,1,124,323
Brampton West/Brampton-Ouest,100B,Brampton,61,3,64,10,17,1,156,360
Brampton West/Brampton-Ouest,101,Brampton,86,2,109,7,28,0,232,386
Brampton West/Brampton-Ouest,102,Brampton,86,1,74,16,26,2,205,446
Brampton West/Brampton-Ouest,103,Brampton,68,2,86,10,20,2,188,375
Brampton West/Brampton-Ouest,104,Brampton,85,2,73,8,20,1,189,352
Brampton West/Brampton-Ouest,105,Brampton,53,1,48,12,22,0,136,339
Brampton West/Brampton-Ouest,106,Brampton,67,0,68,20,23,0,178,398
Brampton West/Brampton-Ouest,107,Brampton,55,2,62,7,26,0,152,297
Brampton West/Brampton-Ouest,108,Brampton,43,0,28,4,13,0,88,213
Brampton West/Brampton-Ouest,109,Brampton,27,0,32,2,20,1,82,320
Brampton West/Brampton-Ouest,110,Brampton,69,1,65,12,20,1,168,427
Brampton West/Brampton-Ouest,111,Brampton,90,1,77,6,29,1,204,465
Brampton West/Brampton-Ouest,112,Brampton,82,3,101,15,36,1,238,433
Brampton West/Brampton-Ouest,113,Brampton,57,3,36,11,23,0,130,353
Brampton West/Brampton-Ouest,114,Brampton,44,2,32,11,12,0,101,380
Brampton West/Brampton-Ouest,115,Brampton,57,2,58,3,23,1,144,318
Brampton West/Brampton-Ouest,116,Brampton,64,1,89,11,22,0,187,368
Brampton West/Brampton-Ouest,117,Brampton,73,2,82,8,22,0,187,348
Brampton West/Brampton-Ouest,118,Brampton,53,0,62,6,10,0,131,253
Brampton West/Brampton-Ouest,119,Brampton,102,3,92,13,21,1,232,469
Brampton West/Brampton-Ouest,120,Brampton,31,0,53,5,17,1,107,342
Brampton West/Brampton-Ouest,121,Brampton,38,0,11,3,19,2,73,316
Brampton West/Brampton-Ouest,122,Brampton,76,3,47,8,26,0,160,477
Brampton West/Brampton-Ouest,123A,Brampton,55,2,34,5,18,0,114,274
Brampton West/Brampton-Ouest,123B,Brampton,53,2,47,8,14,6,130,291
Brampton West/Brampton-Ouest,124,Brampton,97,0,72,20,21,1,211,396
Brampton West/Brampton-Ouest,125,Brampton,77,2,69,10,21,2,181,412
Brampton West/Brampton-Ouest,126,Brampton,90,3,98,9,35,0,235,484
Brampton West/Brampton-Ouest,127,Brampton,74,3,94,3,28,2,204,467
Brampton West/Brampton-Ouest,128,Brampton,106,1,107,10,18,0,242,430
Brampton West/Brampton-Ouest,129,Brampton,104,0,106,9,21,0,240,392
Brampton West/Brampton-Ouest,130,Brampton,49,0,45,7,26,1,128,392
Brampton West/Brampton-Ouest,131A,Brampton,23,1,15,3,12,0,54,260
Brampton West/Brampton-Ouest,131B,Brampton,31,0,20,0,11,13,75,258
Brampton West/Brampton-Ouest,132,Brampton,102,1,94,2,38,0,237,404
Brampton West/Brampton-Ouest,133,Brampton,115,5,111,13,24,1,269,404
Brampton West/Brampton-Ouest,134,Brampton,70,6,87,11,17,0,191,364
Brampton West/Brampton-Ouest,135,Brampton,25,0,30,2,5,0,62,107
Brampton West/Brampton-Ouest,136,Brampton,19,3,33,3,16,1,75,280
Brampton West/Brampton-Ouest,137,Brampton,56,1,103,5,19,0,184,312
Brampton West/Brampton-Ouest,138A,Brampton,64,3,57,5,21,3,153,303
Brampton West/Brampton-Ouest,138B,Brampton,54,0,60,4,19,1,138,321
Brampton West/Brampton-Ouest,139,Brampton,17,1,16,1,8,1,44,115
Brampton West/Brampton-Ouest,140,Brampton,58,1,38,4,19,0,120,284
Brampton West/Brampton-Ouest,141,Brampton,101,3,124,5,15,4,252,404
Brampton West/Brampton-Ouest,142,Brampton,104,4,102,4,18,1,233,342
Brampton West/Brampton-Ouest,143,Brampton,106,3,120,14,25,2,270,408
Brampton West/Brampton-Ouest,144,Brampton,105,3,109,10,15,1,243,416
Brampton West/Brampton-Ouest,145,Brampton,106,1,137,9,14,0,267,442
Brampton West/Brampton-Ouest,146,Brampton,69,1,77,9,22,0,178,305
Brampton West/Brampton-Ouest,147,Brampton,88,1,84,3,18,0,194,321
Brampton West/Brampton-Ouest,148,Brampton,122,2,95,4,12,2,237,379
Brampton West/Brampton-Ouest,149,Brampton,96,2,79,8,27,1,213,397
Brampton West/Brampton-Ouest,150,Brampton,122,1,82,7,22,5,239,470
Brampton West/Brampton-Ouest,151,Brampton,52,1,84,6,38,0,181,464
Brampton West/Brampton-Ouest,152,Brampton,68,0,49,3,23,2,145,463
Brampton West/Brampton-Ouest,153,Brampton,32,1,59,5,14,0,111,317
Brampton West/Brampton-Ouest,154,Brampton,78,1,76,10,29,3,197,360
Brampton West/Brampton-Ouest,155,Brampton,67,2,38,7,18,1,133,326
Brampton West/Brampton-Ouest,156,Brampton,109,3,91,20,20,1,244,429
Brampton West/Brampton-Ouest,157,Brampton,99,6,105,12,22,1,245,433
Brampton West/Brampton-Ouest,158,Brampton,66,0,81,12,15,5,179,382
Brampton West/Brampton-Ouest,159,Brampton,62,2,115,11,34,4,228,432
Brampton West/Brampton-Ouest,160A,Brampton,40,1,47,1,11,0,100,242
Brampton West/Brampton-Ouest,160B,Brampton,51,2,55,11,22,2,143,267
