District,Poll Number,Poll Name,Trevor Grover,Phillip K. Liesemer,Keith Purdy,Lee Richardson,Julia Turnbull,Rejected Ballots,Total Vote,Electors
Calgary South Centre/Calgary-Centre-Sud,1,Calgary,1,14,13,95,39,1,163,322
Calgary South Centre/Calgary-Centre-Sud,2,Calgary,2,22,18,162,51,0,255,451
Calgary South Centre/Calgary-Centre-Sud,3,Calgary,3,5,10,116,46,0,180,346
Calgary South Centre/Calgary-Centre-Sud,4,Calgary,0,10,15,62,23,1,111,272
Calgary South Centre/Calgary-Centre-Sud,5,Calgary,3,12,14,84,47,1,161,332
Calgary South Centre/Calgary-Centre-Sud,6,Calgary,0,13,12,84,15,1,125,245
Calgary South Centre/Calgary-Centre-Sud,7,Calgary,1,15,11,123,44,2,196,332
Calgary South Centre/Calgary-Centre-Sud,8,Calgary,0,11,13,124,40,1,189,339
Calgary South Centre/Calgary-Centre-Sud,9,Calgary,1,22,14,123,48,0,208,341
Calgary South Centre/Calgary-Centre-Sud,10,Calgary,2,16,24,103,70,0,215,398
Calgary South Centre/Calgary-Centre-Sud,11,Calgary,1,16,6,74,37,1,135,355
Calgary South Centre/Calgary-Centre-Sud,12,Calgary,2,10,12,71,23,0,118,269
Calgary South Centre/Calgary-Centre-Sud,13,Calgary,0,17,11,91,45,2,166,378
Calgary South Centre/Calgary-Centre-Sud,14,Calgary,0,6,9,59,29,0,103,261
Calgary South Centre/Calgary-Centre-Sud,15,Calgary,0,12,16,170,50,1,249,381
Calgary South Centre/Calgary-Centre-Sud,16,Calgary,0,22,18,176,85,0,301,483
Calgary South Centre/Calgary-Centre-Sud,17,Calgary,0,12,14,117,58,0,201,409
Calgary South Centre/Calgary-Centre-Sud,18,Calgary,3,11,33,136,48,0,231,380
Calgary South Centre/Calgary-Centre-Sud,19,Calgary,1,20,16,182,51,1,271,400
Calgary South Centre/Calgary-Centre-Sud,20,Calgary,0,7,17,152,39,2,217,318
Calgary South Centre/Calgary-Centre-Sud,21,Calgary,3,27,17,161,30,1,239,367
Calgary South Centre/Calgary-Centre-Sud,22,Calgary,0,24,16,82,44,1,167,410
Calgary South Centre/Calgary-Centre-Sud,23,Calgary,0,13,25,74,51,0,163,410
Calgary South Centre/Calgary-Centre-Sud,24,Calgary,1,17,22,223,58,0,321,512
Calgary South Centre/Calgary-Centre-Sud,25,Calgary,0,3,29,119,47,0,198,375
Calgary South Centre/Calgary-Centre-Sud,26,Calgary,0,16,23,177,52,0,268,411
Calgary South Centre/Calgary-Centre-Sud,27,Calgary,1,15,12,89,36,0,153,374
Calgary South Centre/Calgary-Centre-Sud,28,Calgary,0,12,10,98,32,0,152,289
Calgary South Centre/Calgary-Centre-Sud,29,Calgary,1,20,14,88,52,0,175,430
Calgary South Centre/Calgary-Centre-Sud,30,Calgary,1,20,17,90,55,0,183,367
Calgary South Centre/Calgary-Centre-Sud,31,Calgary,0,10,13,99,23,0,145,312
Calgary South Centre/Calgary-Centre-Sud,32,Calgary,1,23,19,106,29,1,179,345
Calgary South Centre/Calgary-Centre-Sud,33,Calgary,2,23,20,75,48,2,170,349
