District,Poll Number,Poll Name,Carol Lee Chapman,Bev Collins,Douglas Gook,Dick Harris,Mike Orr,Jeff Paetkau,Gurbux Saini,Rick Smith,Rejected Ballots,Total Vote,Electors
Cariboo--Prince George/Cariboo--Prince George,1,Hagensborg,1,2,32,101,6,0,41,75,1,259,443
Cariboo--Prince George/Cariboo--Prince George,2,Hagensborg,Void,,,,,,,,,,
Cariboo--Prince George/Cariboo--Prince George,3,Anahim Lake,0,0,9,122,4,1,23,60,1,220,625
Cariboo--Prince George/Cariboo--Prince George,4,Chilanko Forks,0,2,2,35,0,1,26,16,0,82,228
Cariboo--Prince George/Cariboo--Prince George,5,Tatla Lake,0,3,6,53,1,0,22,21,0,106,166
Cariboo--Prince George/Cariboo--Prince George,6,Nemaiah Valley,0,2,6,7,3,0,41,13,1,73,171
Cariboo--Prince George/Cariboo--Prince George,7,Hanceville,0,4,3,12,8,3,13,110,2,155,374
Cariboo--Prince George/Cariboo--Prince George,8,Alexis Creek,1,1,0,42,2,0,23,16,0,85,127
Cariboo--Prince George/Cariboo--Prince George,9,Big Creek,0,0,2,36,1,0,3,5,0,47,86
Cariboo--Prince George/Cariboo--Prince George,10,Nazko,1,2,3,22,2,0,4,29,0,63,195
Cariboo--Prince George/Cariboo--Prince George,11,Quesnel,0,1,10,70,5,0,31,31,0,148,263
Cariboo--Prince George/Cariboo--Prince George,12A,Strathnaver,0,1,6,86,5,0,15,30,0,143,260
Cariboo--Prince George/Cariboo--Prince George,12B,Strathnaver,0,0,6,98,1,0,25,34,0,164,282
Cariboo--Prince George/Cariboo--Prince George,13,Wells,0,2,12,35,1,0,21,58,0,129,185
Cariboo--Prince George/Cariboo--Prince George,14,Barlow,1,4,17,122,1,1,31,84,0,261,502
Cariboo--Prince George/Cariboo--Prince George,15,Quesnel,0,2,3,103,1,2,26,40,1,178,241
Cariboo--Prince George/Cariboo--Prince George,16,Quesnel,Merged with No. 15,,,,,,,,,,50
Cariboo--Prince George/Cariboo--Prince George,17,Moose Heights,0,2,5,119,4,1,32,66,1,230,412
Cariboo--Prince George/Cariboo--Prince George,18,Quesnel,0,4,7,87,1,0,22,65,0,186,345
Cariboo--Prince George/Cariboo--Prince George,19,Quesnel,0,2,4,115,5,0,52,49,2,229,386
Cariboo--Prince George/Cariboo--Prince George,20A,Quesnel,0,1,6,79,0,1,17,41,0,145,280
Cariboo--Prince George/Cariboo--Prince George,20B,Quesnel,1,1,6,69,1,0,14,42,0,134,305
Cariboo--Prince George/Cariboo--Prince George,21,Baker Creek,0,0,2,51,1,0,12,10,0,76,130
Cariboo--Prince George/Cariboo--Prince George,22,Quesnel,0,3,13,127,5,1,23,80,0,252,493
Cariboo--Prince George/Cariboo--Prince George,23,Quesnel,0,2,8,77,2,0,21,51,0,161,270
Cariboo--Prince George/Cariboo--Prince George,24,Narcosli Creek,0,0,1,53,0,0,18,16,0,88,138
Cariboo--Prince George/Cariboo--Prince George,25,Alexandria,0,1,6,50,1,0,15,27,0,100,145
Cariboo--Prince George/Cariboo--Prince George,26,Quesnel,0,3,3,29,0,0,12,25,0,72,124
Cariboo--Prince George/Cariboo--Prince George,27A,Kersley,1,2,8,84,0,1,9,64,0,169,272
