District,Poll Number,Poll Name,Paul Ferreira,Jessica Fracassi,Stephen Halicki,Shirley Hawley,Alan Tonks,Rejected Ballots,Total Vote,Electors
York South--Weston/York-Sud--Weston,87,York,59,8,31,1,130,0,229,603
York South--Weston/York-Sud--Weston,88,York,38,6,29,1,78,0,152,349
York South--Weston/York-Sud--Weston,89,York,33,5,16,0,132,1,187,449
York South--Weston/York-Sud--Weston,90,York,44,4,28,0,111,0,187,458
York South--Weston/York-Sud--Weston,91,York,22,17,28,2,113,0,182,380
York South--Weston/York-Sud--Weston,92,York,41,10,30,3,104,2,190,382
York South--Weston/York-Sud--Weston,93,York,37,4,24,0,71,1,137,365
York South--Weston/York-Sud--Weston,94,York,42,5,30,0,101,1,179,364
York South--Weston/York-Sud--Weston,95,York,59,4,18,0,99,1,181,433
York South--Weston/York-Sud--Weston,96,York,54,2,19,4,76,1,156,347
York South--Weston/York-Sud--Weston,97,York,32,6,26,0,108,2,174,308
York South--Weston/York-Sud--Weston,98,York,49,13,30,2,106,0,200,378
York South--Weston/York-Sud--Weston,99,York,20,8,22,0,46,0,96,280
York South--Weston/York-Sud--Weston,100,York,23,6,27,1,116,4,177,259
York South--Weston/York-Sud--Weston,101,York,58,4,35,1,117,0,215,429
York South--Weston/York-Sud--Weston,102,York,51,10,29,0,110,0,200,387
York South--Weston/York-Sud--Weston,103,York,49,11,32,0,115,0,207,409
York South--Weston/York-Sud--Weston,104,York,57,7,26,1,74,0,165,380
York South--Weston/York-Sud--Weston,105,York,55,15,34,1,139,3,247,545
York South--Weston/York-Sud--Weston,106,York,41,4,20,1,75,0,141,482
York South--Weston/York-Sud--Weston,107,York,35,5,39,0,131,0,210,416
York South--Weston/York-Sud--Weston,108,York,19,4,15,0,123,0,161,328
York South--Weston/York-Sud--Weston,109,York,34,7,15,1,119,0,176,333
York South--Weston/York-Sud--Weston,110,York,35,4,9,2,105,0,155,340
York South--Weston/York-Sud--Weston,111,York,32,1,17,1,114,0,165,313
York South--Weston/York-Sud--Weston,112,York,52,5,32,0,187,0,276,606
York South--Weston/York-Sud--Weston,113,York,54,6,26,0,120,2,208,514
York South--Weston/York-Sud--Weston,114,York,49,0,19,2,163,3,236,536
York South--Weston/York-Sud--Weston,115,York,61,7,43,1,174,0,286,582
York South--Weston/York-Sud--Weston,116,York,60,4,31,1,106,3,205,498
York South--Weston/York-Sud--Weston,117,York,69,10,21,1,82,4,187,408
York South--Weston/York-Sud--Weston,118,York,50,8,25,2,149,4,238,475
York South--Weston/York-Sud--Weston,119,York,66,3,7,2,72,2,152,271
York South--Weston/York-Sud--Weston,120,York,48,8,36,1,150,3,246,523
York South--Weston/York-Sud--Weston,121,York,61,15,34,0,117,2,229,565
York South--Weston/York-Sud--Weston,122,York,19,4,24,0,94,0,141,341
York South--Weston/York-Sud--Weston,123,York,38,5,18,0,155,1,217,411
York South--Weston/York-Sud--Weston,124,York,52,4,22,1,134,1,214,478
York South--Weston/York-Sud--Weston,125,York,66,11,27,0,119,2,225,448
York South--Weston/York-Sud--Weston,126,York,30,12,35,3,75,3,158,339
York South--Weston/York-Sud--Weston,127,York,52,7,49,0,112,3,223,401
York South--Weston/York-Sud--Weston,128,York,41,6,31,0,95,2,175,390
York South--Weston/York-Sud--Weston,129,York,42,10,33,1,80,3,169,300
York South--Weston/York-Sud--Weston,130,York,55,8,16,1,74,2,156,362
York South--Weston/York-Sud--Weston,131,York,52,8,32,2,73,0,167,445
York South--Weston/York-Sud--Weston,132,York,43,7,24,1,160,1,236,414
York South--Weston/York-Sud--Weston,133A,York,38,3,18,1,88,2,150,382
York South--Weston/York-Sud--Weston,133B,York,37,3,16,1,103,0,160,389
York South--Weston/York-Sud--Weston,134,York,Merged with No. 135,,,,,,,143
York South--Weston/York-Sud--Weston,135,York,64,9,19,3,107,1,203,299
York South--Weston/York-Sud--Weston,136,York,32,5,20,1,53,1,112,263
York South--Weston/York-Sud--Weston,137,York,38,6,26,1,77,0,148,312
York South--Weston/York-Sud--Weston,138,York,67,8,29,0,103,0,207,482
York South--Weston/York-Sud--Weston,139,York,41,4,33,1,101,7,187,448
York South--Weston/York-Sud--Weston,140,York,59,7,24,0,77,4,171,374
York South--Weston/York-Sud--Weston,141,York,61,6,19,1,93,1,181,406
York South--Weston/York-Sud--Weston,142,York,51,3,20,1,110,1,186,356
York South--Weston/York-Sud--Weston,143,Toronto,48,8,30,3,88,1,178,389
York South--Weston/York-Sud--Weston,144,York,29,0,5,1,77,0,112,324
York South--Weston/York-Sud--Weston,145,York,90,11,27,5,154,1,288,594
York South--Weston/York-Sud--Weston,146,York,68,10,24,0,134,3,239,545
York South--Weston/York-Sud--Weston,147,Toronto,18,4,15,0,89,0,126,349
York South--Weston/York-Sud--Weston,148,Toronto,65,10,58,1,179,3,316,636
York South--Weston/York-Sud--Weston,149,Toronto,55,13,23,1,85,1,178,437
York South--Weston/York-Sud--Weston,400,York,24,3,21,0,42,1,91,182
York South--Weston/York-Sud--Weston,401,York,26,3,14,0,51,1,95,177
York South--Weston/York-Sud--Weston,402,York,54,10,30,0,88,2,184,347
York South--Weston/York-Sud--Weston,403,York,50,5,17,2,156,0,230,384
York South--Weston/York-Sud--Weston,404,York,41,2,16,1,121,2,183,327
York South--Weston/York-Sud--Weston,405,North York,13,5,37,1,58,2,116,171
York South--Weston/York-Sud--Weston,406,York,12,1,13,1,36,2,65,237
York South--Weston/York-Sud--Weston,407,North York,53,5,34,0,195,3,290,504
York South--Weston/York-Sud--Weston,408,North York,29,4,15,1,120,0,169,417
York South--Weston/York-Sud--Weston,409,North York,35,1,16,0,84,2,138,384
York South--Weston/York-Sud--Weston,410,York,12,0,20,2,54,2,90,193
York South--Weston/York-Sud--Weston,411,York,9,1,8,0,31,0,49,132
York South--Weston/York-Sud--Weston,412,York,47,7,33,2,149,0,238,430
York South--Weston/York-Sud--Weston,413,York,44,6,24,0,75,1,150,265
York South--Weston/York-Sud--Weston,414,York,40,3,30,0,93,4,170,291
York South--Weston/York-Sud--Weston,415,York,36,2,29,0,56,0,123,292
York South--Weston/York-Sud--Weston,416,York,21,5,11,0,45,0,82,291
York South--Weston/York-Sud--Weston,417,York,52,7,57,1,145,3,265,371
York South--Weston/York-Sud--Weston,418,York,35,7,65,0,143,0,250,328
York South--Weston/York-Sud--Weston,419,York,30,7,68,1,141,2,249,332
York South--Weston/York-Sud--Weston,420,York,36,12,49,2,164,0,263,341
York South--Weston/York-Sud--Weston,421,York,7,3,14,3,43,1,71,152
York South--Weston/York-Sud--Weston,422,York,27,1,24,0,89,4,145,309
York South--Weston/York-Sud--Weston,500,Mobile poll/Bureau itinérant,7,4,7,1,19,1,39,106
York South--Weston/York-Sud--Weston,501,Mobile poll/Bureau itinérant,4,4,11,1,11,1,32,74
York South--Weston/York-Sud--Weston,600,Toronto,60,10,70,0,149,0,289,
York South--Weston/York-Sud--Weston,601,Toronto,45,8,64,0,160,1,278,
York South--Weston/York-Sud--Weston,602,Toronto,57,13,82,1,165,0,318,
York South--Weston/York-Sud--Weston,603,Toronto,46,11,38,2,139,1,237,
York South--Weston/York-Sud--Weston,604,Toronto,67,6,57,1,138,2,271,
York South--Weston/York-Sud--Weston,605,Toronto,54,6,39,3,124,3,229,
York South--Weston/York-Sud--Weston,,Group 1/Groupe 1,9,3,9,1,18,4,44,83
York South--Weston/York-Sud--Weston,,Group 2/Groupe 2,43,9,62,1,131,5,251,
