District,Poll Number,Poll Name,Pierrette Bellefeuille,Alain Charette,Pierre Laliberté,Christian Legeais,Marcel Proulx,Gail Walker,Rejected Ballots,Total Vote,Electors
Hull--Aylmer/Hull--Aylmer,1,Aylmer,24,37,13,1,107,12,1,195,390
Hull--Aylmer/Hull--Aylmer,2,Aylmer,28,62,27,0,68,15,4,204,369
Hull--Aylmer/Hull--Aylmer,3,Aylmer,36,90,18,1,116,14,1,276,493
Hull--Aylmer/Hull--Aylmer,4,Aylmer,30,41,24,0,89,15,0,199,397
Hull--Aylmer/Hull--Aylmer,5,Aylmer,18,54,15,1,71,9,2,170,310
Hull--Aylmer/Hull--Aylmer,6A,Aylmer,25,43,20,0,78,20,0,186,291
Hull--Aylmer/Hull--Aylmer,6B,Aylmer,29,18,22,0,67,9,4,149,284
Hull--Aylmer/Hull--Aylmer,7,Aylmer,30,88,39,1,138,7,1,304,475
Hull--Aylmer/Hull--Aylmer,8,Aylmer,26,82,32,0,100,11,0,251,414
Hull--Aylmer/Hull--Aylmer,9,Aylmer,18,54,23,0,89,15,2,201,388
Hull--Aylmer/Hull--Aylmer,10,Aylmer,42,103,37,0,105,16,2,305,474
Hull--Aylmer/Hull--Aylmer,11,Aylmer,19,63,41,1,102,13,2,241,397
Hull--Aylmer/Hull--Aylmer,12A,Aylmer,20,33,16,0,85,11,0,165,274
Hull--Aylmer/Hull--Aylmer,12B,Aylmer,21,48,21,0,84,14,0,188,291
Hull--Aylmer/Hull--Aylmer,13,Aylmer,20,41,34,0,140,19,1,255,411
Hull--Aylmer/Hull--Aylmer,14,Aylmer,12,37,21,0,87,15,1,173,288
Hull--Aylmer/Hull--Aylmer,15,Aylmer,41,71,40,0,140,10,0,302,428
Hull--Aylmer/Hull--Aylmer,16A,Aylmer,23,42,35,0,87,10,1,198,286
Hull--Aylmer/Hull--Aylmer,16B,Aylmer,17,44,20,1,99,9,3,193,301
Hull--Aylmer/Hull--Aylmer,17A,Aylmer,23,35,24,0,58,8,0,148,262
Hull--Aylmer/Hull--Aylmer,17B,Aylmer,20,28,16,0,78,13,2,157,284
Hull--Aylmer/Hull--Aylmer,18,Aylmer,39,45,25,0,126,16,1,252,423
Hull--Aylmer/Hull--Aylmer,19,Aylmer,35,61,31,0,94,16,4,241,466
Hull--Aylmer/Hull--Aylmer,20,Aylmer,14,28,13,2,49,6,2,114,211
Hull--Aylmer/Hull--Aylmer,21,Aylmer,24,35,29,1,71,7,2,169,348
Hull--Aylmer/Hull--Aylmer,22,Aylmer,10,31,19,1,49,10,3,123,339
Hull--Aylmer/Hull--Aylmer,23,Aylmer,21,44,17,0,100,8,4,194,466
Hull--Aylmer/Hull--Aylmer,24,Aylmer,14,62,35,0,89,21,2,223,456
Hull--Aylmer/Hull--Aylmer,25,Aylmer,46,21,31,0,127,21,0,246,437
Hull--Aylmer/Hull--Aylmer,26,Aylmer,19,20,31,0,57,7,1,135,265
Hull--Aylmer/Hull--Aylmer,27A,Aylmer,9,12,12,0,33,8,0,74,274
Hull--Aylmer/Hull--Aylmer,27B,Aylmer,11,10,10,0,35,7,1,74,280
Hull--Aylmer/Hull--Aylmer,28,Aylmer,33,37,22,1,77,6,1,177,343
Hull--Aylmer/Hull--Aylmer,29,Aylmer,44,48,39,1,120,15,4,271,484
Hull--Aylmer/Hull--Aylmer,30,Aylmer,22,53,56,0,109,25,0,265,476
Hull--Aylmer/Hull--Aylmer,31,Aylmer,32,33,19,1,79,10,1,175,363
Hull--Aylmer/Hull--Aylmer,32,Aylmer,29,33,20,0,63,11,3,159,365
Hull--Aylmer/Hull--Aylmer,33,Aylmer,13,33,15,0,71,9,0,141,354
Hull--Aylmer/Hull--Aylmer,34,Aylmer,24,52,16,1,84,20,1,198,492
Hull--Aylmer/Hull--Aylmer,35,Aylmer,46,78,59,0,128,16,1,328,470
Hull--Aylmer/Hull--Aylmer,36,Aylmer,21,43,40,0,118,19,3,244,408
Hull--Aylmer/Hull--Aylmer,37,Aylmer,30,34,36,0,100,10,1,211,407
Hull--Aylmer/Hull--Aylmer,38,Aylmer,24,74,42,0,111,20,3,274,400
Hull--Aylmer/Hull--Aylmer,39,Aylmer,19,62,33,0,159,4,0,277,460
Hull--Aylmer/Hull--Aylmer,40,Aylmer,33,57,36,1,107,15,3,252,460
Hull--Aylmer/Hull--Aylmer,41,Aylmer,22,65,31,1,125,25,2,271,404
Hull--Aylmer/Hull--Aylmer,42,Aylmer,29,70,45,1,154,31,5,335,507
Hull--Aylmer/Hull--Aylmer,43,Aylmer,22,82,39,0,90,9,5,247,441
Hull--Aylmer/Hull--Aylmer,44,Aylmer,23,45,20,1,89,10,1,189,388
Hull--Aylmer/Hull--Aylmer,45,Aylmer,15,41,28,0,104,8,1,197,375
Hull--Aylmer/Hull--Aylmer,46,Aylmer,19,41,18,0,72,8,2,160,328
Hull--Aylmer/Hull--Aylmer,47,Aylmer,23,51,34,1,74,12,3,198,455
Hull--Aylmer/Hull--Aylmer,48,Aylmer,22,31,31,0,83,8,4,179,333
Hull--Aylmer/Hull--Aylmer,49,Aylmer,33,49,38,1,95,23,0,239,427
Hull--Aylmer/Hull--Aylmer,50,Aylmer,17,52,29,0,110,32,3,243,469
Hull--Aylmer/Hull--Aylmer,51,Aylmer,32,56,60,0,133,21,0,302,443
Hull--Aylmer/Hull--Aylmer,52,Aylmer,23,61,40,0,125,25,0,274,458
Hull--Aylmer/Hull--Aylmer,53,Aylmer,28,57,48,2,134,32,1,302,520
Hull--Aylmer/Hull--Aylmer,54,Aylmer,28,54,54,1,105,28,3,273,449
Hull--Aylmer/Hull--Aylmer,55,Aylmer,49,56,42,1,119,27,0,294,495
Hull--Aylmer/Hull--Aylmer,56A,Aylmer,21,29,27,0,84,8,0,169,325
Hull--Aylmer/Hull--Aylmer,56B,Aylmer,34,46,35,0,96,5,1,217,342
Hull--Aylmer/Hull--Aylmer,57,Aylmer,43,74,36,0,123,15,3,294,520
Hull--Aylmer/Hull--Aylmer,58,Aylmer,37,43,40,1,90,19,4,234,458
Hull--Aylmer/Hull--Aylmer,59,Aylmer,45,36,49,0,129,21,2,282,434
Hull--Aylmer/Hull--Aylmer,60,Aylmer,42,51,44,0,135,23,1,296,516
Hull--Aylmer/Hull--Aylmer,61A,Aylmer,17,28,32,0,68,13,1,159,255
Hull--Aylmer/Hull--Aylmer,61B,Aylmer,19,31,23,0,60,14,0,147,278
