District,Poll Number,Poll Name,Susan L. Green,Alexis MacDonald,Peter G. MacKay,Rebecca Mosher,Rejected Ballots,Total Vote,Electors
Central Nova/Nova-Centre,1,River John,69,40,116,5,1,231,359
Central Nova/Nova-Centre,2,Cape John,71,60,114,12,0,257,386
Central Nova/Nova-Centre,3,Toney River,44,60,73,6,0,183,253
Central Nova/Nova-Centre,4,Caribou,65,127,113,6,0,311,472
Central Nova/Nova-Centre,5,Pictou Island,3,12,4,0,0,19,25
Central Nova/Nova-Centre,6,Bay View,77,93,129,9,0,308,463
Central Nova/Nova-Centre,7,Pictou,52,57,78,3,0,190,314
Central Nova/Nova-Centre,8,Pictou,37,87,63,3,1,191,320
Central Nova/Nova-Centre,9,Pictou,36,67,74,1,4,182,282
Central Nova/Nova-Centre,10,Pictou,48,105,72,5,1,231,367
Central Nova/Nova-Centre,11,Pictou,44,66,75,6,0,191,301
Central Nova/Nova-Centre,12,Pictou,26,69,66,4,0,165,332
Central Nova/Nova-Centre,13,Pictou,39,49,64,7,0,159,237
Central Nova/Nova-Centre,14,Pictou,57,74,95,8,1,235,371
Central Nova/Nova-Centre,15A,Pictou,26,36,44,6,0,112,178
Central Nova/Nova-Centre,15B,Pictou,50,29,36,5,0,120,184
Central Nova/Nova-Centre,16,Lyons Brook,62,77,135,5,2,281,438
Central Nova/Nova-Centre,17,Lyons Brook,36,65,100,8,0,209,311
Central Nova/Nova-Centre,18,Meadowville,59,74,120,7,2,262,336
Central Nova/Nova-Centre,19,Scotsburn,56,112,113,8,4,293,438
Central Nova/Nova-Centre,20,Welsford,44,61,93,7,0,205,338
Central Nova/Nova-Centre,21,West Branch River John,43,61,46,9,2,161,279
Central Nova/Nova-Centre,22A,Scotsburn,19,44,50,4,0,117,195
Central Nova/Nova-Centre,22B,Scotsburn,28,61,70,5,1,165,238
Central Nova/Nova-Centre,23,Salt Springs,36,93,58,4,1,192,336
Central Nova/Nova-Centre,24,Mount Thom,36,72,55,3,1,167,302
Central Nova/Nova-Centre,25,Millbrook,38,66,94,12,0,210,359
Central Nova/Nova-Centre,26,Greenhill,44,83,89,8,3,227,343
Central Nova/Nova-Centre,27,Loch Broom,26,60,61,7,0,154,240
Central Nova/Nova-Centre,28A,Alma,26,63,48,8,2,147,243
Central Nova/Nova-Centre,28B,Alma,32,45,77,6,1,161,245
Central Nova/Nova-Centre,29,White Hill,53,112,100,3,2,270,370
Central Nova/Nova-Centre,30,Ferrona Junction,40,38,106,7,2,193,347
Central Nova/Nova-Centre,31,Hopewell,37,78,123,6,4,248,435
Central Nova/Nova-Centre,32,Eureka,38,62,105,11,0,216,316
Central Nova/Nova-Centre,33,Glengarry Station,4,54,45,5,0,108,152
Central Nova/Nova-Centre,34,Lorne,19,35,93,3,2,152,208
Central Nova/Nova-Centre,35,Abercrombie,26,34,57,1,2,120,162
Central Nova/Nova-Centre,36,Abercrombie,44,65,91,6,1,207,318
Central Nova/Nova-Centre,37,Mount William,23,45,49,3,0,120,197
Central Nova/Nova-Centre,38,Mount William,27,44,55,6,0,132,218
Central Nova/Nova-Centre,39,Fisher's Grant 24,10,13,28,1,1,53,195
Central Nova/Nova-Centre,40,Pictou Landing,53,71,74,8,2,208,308
Central Nova/Nova-Centre,41,Trenton,30,80,77,6,2,195,343
Central Nova/Nova-Centre,42,Trenton,47,77,93,5,3,225,355
Central Nova/Nova-Centre,43,Trenton,45,77,71,5,3,201,363
Central Nova/Nova-Centre,44,Trenton,40,81,100,3,0,224,407
Central Nova/Nova-Centre,45,Trenton,47,88,59,5,3,202,375
Central Nova/Nova-Centre,46,Trenton,37,67,78,5,1,188,422
Central Nova/Nova-Centre,47,Westville,34,67,104,5,0,210,334
Central Nova/Nova-Centre,48,Westville,42,75,70,7,1,195,378
Central Nova/Nova-Centre,49,Westville,41,58,60,2,0,161,310
Central Nova/Nova-Centre,50,Westville,34,41,64,1,2,142,265
Central Nova/Nova-Centre,51,Westville,32,37,49,5,0,123,248
Central Nova/Nova-Centre,52,Westville,38,64,54,1,1,158,273
Central Nova/Nova-Centre,53,Westville,26,47,37,2,1,113,233
Central Nova/Nova-Centre,54,Westville,21,56,47,8,2,134,270
Central Nova/Nova-Centre,55,Westville,40,74,68,8,1,191,336
Central Nova/Nova-Centre,56,Westville,39,73,69,3,1,185,314
Central Nova/Nova-Centre,57,Stellarton,38,46,83,3,1,171,382
Central Nova/Nova-Centre,58,Stellarton,12,74,58,4,1,149,309
Central Nova/Nova-Centre,59,Stellarton,29,57,54,4,0,144,257
Central Nova/Nova-Centre,60,Stellarton,36,51,78,3,0,168,298
Central Nova/Nova-Centre,61,Stellarton,40,58,78,6,1,183,381
Central Nova/Nova-Centre,62,Stellarton,27,56,78,0,0,161,293
Central Nova/Nova-Centre,63,Stellarton,44,42,83,2,0,171,282
Central Nova/Nova-Centre,64,Stellarton,47,65,98,6,1,217,316
Central Nova/Nova-Centre,65,Stellarton,30,44,79,5,0,158,257
Central Nova/Nova-Centre,66,Stellarton,52,42,123,2,0,219,356
Central Nova/Nova-Centre,67A,Stellarton,36,35,78,2,0,151,334
Central Nova/Nova-Centre,67B,Stellarton,44,38,111,6,0,199,413
Central Nova/Nova-Centre,68,New Glasgow,100,41,169,3,0,313,415
Central Nova/Nova-Centre,69A,New Glasgow,44,30,84,4,0,162,251
Central Nova/Nova-Centre,69B,New Glasgow,56,25,80,2,0,163,228
Central Nova/Nova-Centre,70,New Glasgow,60,37,119,1,0,217,382
Central Nova/Nova-Centre,71,New Glasgow,69,46,133,6,1,255,385
Central Nova/Nova-Centre,72,New Glasgow,64,52,102,2,1,221,384
Central Nova/Nova-Centre,73,New Glasgow,59,41,75,6,0,181,341
Central Nova/Nova-Centre,74,New Glasgow,52,77,94,9,2,234,419
Central Nova/Nova-Centre,75,New Glasgow,41,60,108,5,0,214,387
Central Nova/Nova-Centre,76,New Glasgow,35,45,88,10,0,178,342
Central Nova/Nova-Centre,77,New Glasgow,39,59,94,1,0,193,320
Central Nova/Nova-Centre,78,New Glasgow,68,58,85,6,2,219,358
Central Nova/Nova-Centre,79,New Glasgow,79,70,126,1,1,277,456
Central Nova/Nova-Centre,80,New Glasgow,42,44,89,12,0,187,350
Central Nova/Nova-Centre,81,New Glasgow,82,54,117,11,0,264,437
Central Nova/Nova-Centre,82,New Glasgow,26,53,64,11,1,155,339
Central Nova/Nova-Centre,83,New Glasgow,35,44,71,6,0,156,309
Central Nova/Nova-Centre,84,New Glasgow,55,59,103,8,1,226,444
Central Nova/Nova-Centre,85,New Glasgow,38,54,83,6,1,182,327
Central Nova/Nova-Centre,86,New Glasgow,33,46,65,2,0,146,229
Central Nova/Nova-Centre,86-1,New Glasgow,36,12,60,0,2,110,201
Central Nova/Nova-Centre,87,New Glasgow,37,44,96,2,1,180,375
Central Nova/Nova-Centre,88,Little Harbour,73,45,157,8,1,284,400
Central Nova/Nova-Centre,89,Greens Point,43,47,79,9,0,178,374
Central Nova/Nova-Centre,90,Little Harbour,54,46,98,1,0,199,245
Central Nova/Nova-Centre,91,Linacy,43,55,106,6,0,210,331
Central Nova/Nova-Centre,92,Linacy,43,60,106,4,1,214,335
Central Nova/Nova-Centre,93,Coalburn,8,25,30,2,0,65,141
Central Nova/Nova-Centre,94,Plymouth Park,59,63,104,6,0,232,345
Central Nova/Nova-Centre,95,Mountville,27,70,115,13,3,228,398
Central Nova/Nova-Centre,96,Churchville,31,47,92,5,0,175,262
Central Nova/Nova-Centre,97,Bridgeville,51,65,83,5,2,206,312
Central Nova/Nova-Centre,98,Sunnybrae,25,43,43,2,0,113,204
Central Nova/Nova-Centre,99,Bailey Brook,100,80,122,5,1,308,415
Central Nova/Nova-Centre,100,Merigomish,82,63,85,11,1,242,388
Central Nova/Nova-Centre,101,Avondale,52,48,66,7,0,173,360
Central Nova/Nova-Centre,102,Pine Tree,40,36,84,1,1,162,212
Central Nova/Nova-Centre,103,Thorburn,38,35,65,3,0,141,229
Central Nova/Nova-Centre,104,French River,12,25,59,6,1,103,197
Central Nova/Nova-Centre,105A,Thorburn,23,38,60,2,1,124,240
Central Nova/Nova-Centre,105B,Thorburn,49,42,81,7,0,179,286
Central Nova/Nova-Centre,106,McLellan Brook,44,63,97,2,0,206,316
Central Nova/Nova-Centre,107,McLellan Mountain,54,66,110,11,0,241,371
Central Nova/Nova-Centre,108,Blue Mountain,17,25,36,5,1,84,148
Central Nova/Nova-Centre,109A,Garden of Eden,18,13,16,1,0,48,81
Central Nova/Nova-Centre,109B,Garden of Eden,17,14,36,1,0,68,72
Central Nova/Nova-Centre,110,Cape George,68,22,98,4,0,192,220
Central Nova/Nova-Centre,111,Morristown,85,94,133,14,1,327,468
Central Nova/Nova-Centre,112,Arisaig,41,24,64,8,1,138,175
Central Nova/Nova-Centre,113,Maryvale,58,60,101,4,0,223,288
Central Nova/Nova-Centre,114A,Maryvale,34,32,47,2,1,116,232
Central Nova/Nova-Centre,114B,Maryvale,74,26,75,3,1,179,282
Central Nova/Nova-Centre,115,Cloverville,82,59,115,15,1,272,371
Central Nova/Nova-Centre,116A,James River,45,44,58,3,0,150,233
Central Nova/Nova-Centre,116B,James River,70,61,99,5,2,237,393
Central Nova/Nova-Centre,117,James River,75,63,112,4,0,254,381
Central Nova/Nova-Centre,118,James River,52,47,62,4,0,165,275
Central Nova/Nova-Centre,119,West River,106,57,96,4,3,266,431
Central Nova/Nova-Centre,120,Pitchers Farm,50,22,59,5,1,137,229
Central Nova/Nova-Centre,121A,Williams Point,71,46,64,3,1,185,304
Central Nova/Nova-Centre,121B,Williams Point,58,51,77,6,0,192,327
Central Nova/Nova-Centre,122,West River,58,72,76,12,0,218,413
Central Nova/Nova-Centre,123,St. Andrew's,82,42,119,3,0,246,339
Central Nova/Nova-Centre,124,St. Joseph,33,39,52,4,0,128,184
Central Nova/Nova-Centre,125,Lochaber,68,55,101,10,2,236,310
Central Nova/Nova-Centre,126A,Pomquet,71,54,109,4,1,239,510
Central Nova/Nova-Centre,126B,Pomquet,38,54,57,3,0,152,422
Central Nova/Nova-Centre,127,Pomquet,43,29,62,1,1,136,183
Central Nova/Nova-Centre,128,Pomquet,104,63,84,11,1,263,381
Central Nova/Nova-Centre,129,Heatherton,46,30,113,3,0,192,274
Central Nova/Nova-Centre,130,St. Andrew's,75,68,153,9,1,306,444
Central Nova/Nova-Centre,131,St. Andrew's,22,16,31,5,0,74,132
Central Nova/Nova-Centre,132A,Antigonish,90,42,63,3,2,200,255
Central Nova/Nova-Centre,132B,Mobile poll/Bureau itinérant,Merged with No. 503,,,,,,117
Central Nova/Nova-Centre,133,Antigonish,79,67,110,4,0,260,440
Central Nova/Nova-Centre,134,Antigonish,45,34,55,6,1,141,260
Central Nova/Nova-Centre,135,Antigonish,75,56,68,6,2,207,387
Central Nova/Nova-Centre,136,Antigonish,38,34,29,1,1,103,230
Central Nova/Nova-Centre,137,St. Andrew's,96,39,62,8,3,208,370
Central Nova/Nova-Centre,138,Antigonish,59,58,72,10,0,199,311
Central Nova/Nova-Centre,139,Antigonish,65,74,116,4,0,259,406
Central Nova/Nova-Centre,140A,Antigonish,42,32,39,4,1,118,190
Central Nova/Nova-Centre,140B,Antigonish,61,42,57,3,2,165,261
Central Nova/Nova-Centre,141,Antigonish,75,66,75,2,0,218,428
Central Nova/Nova-Centre,142,Antigonish,12,11,2,2,0,27,99
Central Nova/Nova-Centre,143,Antigonish,44,50,56,9,2,161,287
Central Nova/Nova-Centre,144,Havre Boucher,55,49,58,2,2,166,288
Central Nova/Nova-Centre,145,Havre Boucher,88,61,91,4,3,247,415
Central Nova/Nova-Centre,146,Havre Boucher,59,26,67,0,1,153,244
Central Nova/Nova-Centre,147,Havre Boucher,72,51,81,3,4,211,317
Central Nova/Nova-Centre,148,Monastery,42,32,47,3,2,126,237
Central Nova/Nova-Centre,149,Tracadie,87,66,137,4,1,295,463
Central Nova/Nova-Centre,150,Tracadie,61,37,138,7,0,243,385
Central Nova/Nova-Centre,151,Pomquet and Afton 23,42,15,3,3,0,63,159
Central Nova/Nova-Centre,152,Heatherton,90,46,110,6,0,252,409
Central Nova/Nova-Centre,153,Caledonia,4,4,20,3,0,31,41
Central Nova/Nova-Centre,154,Aspen,72,32,77,4,1,186,332
Central Nova/Nova-Centre,155,Goshen,48,25,129,1,0,203,291
Central Nova/Nova-Centre,156,Ecum Secum,47,48,38,3,0,136,283
Central Nova/Nova-Centre,157,Liscomb,46,26,56,8,3,139,214
Central Nova/Nova-Centre,158,Sherbrooke,77,45,92,6,0,220,353
Central Nova/Nova-Centre,159A,Sherbrooke,16,13,50,1,0,80,144
Central Nova/Nova-Centre,159B,Sherbrooke,32,34,77,1,1,145,167
