District,Poll Number,Poll Name,Stéphane d'Amours,Nicole Demers,Alain Giguère,Pierre Lafleur,Pierre Losier-Côté,Damien Pichereau,Rejected Ballots,Total Vote,Electors
Laval/Laval,1,Laval,23,153,15,145,4,25,4,369,604
Laval/Laval,2,Laval,28,206,9,80,4,4,10,341,554
Laval/Laval,3,Laval,5,78,3,22,0,3,1,112,180
Laval/Laval,4,Laval,17,167,9,75,1,5,4,278,468
Laval/Laval,5,Laval,19,176,15,102,3,3,17,335,484
Laval/Laval,6,Laval,15,171,9,49,2,6,9,261,446
Laval/Laval,7,Laval,11,150,10,62,6,3,9,251,527
Laval/Laval,8,Laval,9,147,4,76,3,4,7,250,421
Laval/Laval,9,Laval,15,112,11,89,4,7,4,242,380
Laval/Laval,10,Laval,12,149,12,75,4,4,7,263,425
Laval/Laval,11,Laval,16,164,16,83,2,6,11,298,471
Laval/Laval,12,Laval,8,163,11,56,2,5,8,253,416
Laval/Laval,13,Laval,9,135,10,62,2,7,4,229,402
Laval/Laval,14,Laval,10,113,18,63,2,6,2,214,322
Laval/Laval,15,Laval,18,128,11,66,3,8,6,240,353
Laval/Laval,16,Laval,11,130,2,53,2,3,3,204,314
Laval/Laval,17,Laval,12,115,17,71,2,9,7,233,378
Laval/Laval,18,Laval,14,179,17,66,5,4,6,291,439
Laval/Laval,19,Laval,15,143,6,75,1,3,3,246,393
Laval/Laval,20,Laval,10,93,6,62,1,5,11,188,308
Laval/Laval,21,Laval,11,128,8,69,4,6,8,234,464
Laval/Laval,22,Laval,10,100,6,39,1,3,13,172,392
Laval/Laval,23,Laval,9,152,14,57,5,5,8,250,392
Laval/Laval,24,Laval,10,145,7,72,3,5,0,242,412
Laval/Laval,25,Laval,22,148,11,82,5,9,7,284,439
Laval/Laval,26,Laval,12,152,12,95,2,8,4,285,433
Laval/Laval,27,Laval,23,109,11,115,3,3,5,269,408
Laval/Laval,28,Laval,14,162,6,88,1,5,9,285,480
Laval/Laval,29,Laval,26,164,12,70,5,8,4,289,593
Laval/Laval,30,Laval,15,133,4,93,5,2,4,256,404
Laval/Laval,31,Laval,12,159,10,94,3,4,3,285,449
Laval/Laval,32,Laval,25,177,13,95,1,3,4,318,541
Laval/Laval,33,Laval,10,200,10,57,4,9,11,301,421
Laval/Laval,34,Laval,12,149,11,84,3,12,12,283,416
Laval/Laval,35,Laval,15,195,12,86,5,7,9,329,479
Laval/Laval,36,Laval,15,181,14,72,2,3,3,290,467
Laval/Laval,37,Laval,19,81,5,33,2,7,4,151,265
Laval/Laval,38,Laval,9,114,8,65,3,4,4,207,375
Laval/Laval,39,Laval,9,162,16,50,3,9,6,255,430
Laval/Laval,40,Laval,16,106,6,75,1,5,5,214,376
Laval/Laval,41,Laval,13,137,10,71,5,8,7,251,438
