District,Poll Number,Poll Name,Omar Aktouf,Yan Lacombe,Jean Lapierre,Shaun Perceval-Maxwell,François Rebello,Marc Rousseau,Linda Sullivan,Rejected Ballots,Total Vote,Electors
Outremont/Outremont,1,Montréal,17,3,111,7,43,14,2,3,200,610
Outremont/Outremont,2,Montréal,23,2,41,7,51,8,0,1,133,320
Outremont/Outremont,3,Montréal,66,9,65,13,82,1,0,5,241,464
Outremont/Outremont,4,Montréal,47,3,75,14,84,6,0,2,231,422
Outremont/Outremont,5,Montréal,55,5,75,19,67,10,2,4,237,479
Outremont/Outremont,6,Montréal,46,2,60,11,72,11,0,2,204,406
Outremont/Outremont,7,Montréal,49,1,86,10,64,8,1,4,223,430
Outremont/Outremont,8,Montréal,48,4,71,13,78,2,0,1,217,398
Outremont/Outremont,9,Montréal,70,6,119,17,79,6,1,3,301,512
Outremont/Outremont,10,Montréal,70,5,68,14,128,5,3,2,295,523
Outremont/Outremont,11,Montréal,52,2,85,14,114,7,1,0,275,417
Outremont/Outremont,12,Montréal,51,1,78,7,81,2,0,0,220,384
Outremont/Outremont,13,Montréal,60,5,90,19,95,18,1,1,289,527
Outremont/Outremont,14,Montréal,58,1,74,8,75,8,0,0,224,533
Outremont/Outremont,15,Montréal,56,2,82,16,84,19,1,1,261,491
Outremont/Outremont,16,Montréal,82,4,87,26,95,7,1,2,304,570
Outremont/Outremont,17,Montréal,29,3,79,3,85,9,1,0,209,470
Outremont/Outremont,18,Montréal,70,5,84,26,71,10,1,0,267,539
Outremont/Outremont,19,Montréal,46,2,74,19,87,16,0,0,244,532
Outremont/Outremont,20,Montréal,55,1,65,8,82,11,1,4,227,442
Outremont/Outremont,21,Montréal,30,2,36,7,91,8,0,2,176,355
Outremont/Outremont,22,Montréal,65,4,109,21,89,6,0,1,295,529
Outremont/Outremont,23,Montréal,58,1,128,28,81,5,2,2,305,549
Outremont/Outremont,24,Montréal,63,0,83,19,86,10,0,1,262,514
Outremont/Outremont,25,Montréal,54,0,58,17,87,4,0,1,221,433
Outremont/Outremont,26,Montréal,61,2,67,21,90,5,0,2,248,466
Outremont/Outremont,27,Montréal,Merged with No. 30,,,,,,,,,199
Outremont/Outremont,28,Montréal,49,1,64,14,75,10,0,0,213,426
Outremont/Outremont,29,Montréal,67,2,80,19,41,11,0,1,221,453
Outremont/Outremont,30,Montréal,59,3,106,28,96,8,1,3,304,396
Outremont/Outremont,31,Montréal,48,5,71,18,88,7,2,1,240,499
Outremont/Outremont,32,Montréal,71,1,83,34,82,1,2,3,277,594
Outremont/Outremont,33,Montréal,83,2,83,35,71,9,0,2,285,536
Outremont/Outremont,34,Montréal,57,1,80,32,50,9,0,0,229,357
Outremont/Outremont,35,Montréal,55,3,108,23,75,11,3,2,280,630
Outremont/Outremont,36,Montréal,Merged with No. 34,,,,,,,,,151
Outremont/Outremont,37,Montréal,11,1,116,2,8,15,1,1,155,480
Outremont/Outremont,38,Outremont,27,1,59,8,76,2,1,0,174,372
Outremont/Outremont,39,Outremont,30,0,81,5,74,22,0,1,213,508
Outremont/Outremont,40,Outremont,41,1,54,11,83,8,0,1,199,494
Outremont/Outremont,41,Outremont,24,0,64,11,101,8,0,3,211,402
