District,Poll Number,Poll Name,Dave Batters,Dick Proctor,Brian Rands,Harold Stephan,John Williams,Rejected Ballots,Total Vote,Electors
Palliser/Palliser,1,Caron,131,36,5,9,27,0,208,282
Palliser/Palliser,2,Caronport,77,9,0,15,2,0,103,206
Palliser/Palliser,3,Caronport,237,15,4,49,8,0,313,500
Palliser/Palliser,4,Pasqua,102,15,4,4,15,0,140,204
Palliser/Palliser,5,Boharm,108,34,0,2,31,0,175,268
Palliser/Palliser,6,Bushell Park,42,6,2,2,13,0,65,245
Palliser/Palliser,7,Baildon,123,25,4,3,9,0,164,249
Palliser/Palliser,8,Moose Jaw,204,82,1,4,89,0,380,567
Palliser/Palliser,9,Moose Jaw,127,70,2,5,52,0,256,407
Palliser/Palliser,10,Moose Jaw,142,60,4,6,58,0,270,467
Palliser/Palliser,11,Moose Jaw,112,76,2,2,49,0,241,361
Palliser/Palliser,12,Moose Jaw,155,99,1,0,83,0,338,550
Palliser/Palliser,13A,Moose Jaw,167,115,6,5,75,1,369,730
Palliser/Palliser,13B,Mobile poll/Bureau itinérant,Merged with No. 41B,,,,,,,106
Palliser/Palliser,14,Moose Jaw,111,98,3,4,43,0,259,430
Palliser/Palliser,15,Moose Jaw,109,71,2,2,33,0,217,363
Palliser/Palliser,16,Moose Jaw,132,72,6,4,50,1,265,439
Palliser/Palliser,17,Moose Jaw,97,63,2,0,61,0,223,395
Palliser/Palliser,18,Moose Jaw,104,103,8,10,62,0,287,516
Palliser/Palliser,19,Moose Jaw,103,74,3,5,54,1,240,429
Palliser/Palliser,20,Moose Jaw,66,77,1,2,49,1,196,347
Palliser/Palliser,21,Moose Jaw,67,64,1,4,37,0,173,320
Palliser/Palliser,22,Moose Jaw,72,65,0,5,40,0,182,396
Palliser/Palliser,23,Moose Jaw,44,74,3,1,26,0,148,304
Palliser/Palliser,24,Moose Jaw,126,101,3,3,41,1,275,423
Palliser/Palliser,25,Moose Jaw,32,40,1,3,16,0,92,186
Palliser/Palliser,26,Moose Jaw,61,48,4,8,29,0,150,288
Palliser/Palliser,27,Moose Jaw,58,78,4,4,17,1,162,362
Palliser/Palliser,28,Moose Jaw,50,75,8,1,29,1,164,314
Palliser/Palliser,29,Moose Jaw,50,51,3,3,27,0,134,250
Palliser/Palliser,30,Moose Jaw,65,73,5,4,29,0,176,312
Palliser/Palliser,31,Moose Jaw,82,79,7,7,26,0,201,400
Palliser/Palliser,32,Moose Jaw,67,88,7,8,31,0,201,336
Palliser/Palliser,33,Moose Jaw,90,97,8,5,35,0,235,428
Palliser/Palliser,34,Moose Jaw,103,87,4,6,54,2,256,427
Palliser/Palliser,35,Moose Jaw,79,84,5,4,41,0,213,383
Palliser/Palliser,36,Moose Jaw,66,56,6,1,29,0,158,285
Palliser/Palliser,37,Moose Jaw,83,70,8,2,23,1,187,338
Palliser/Palliser,38,Moose Jaw,38,69,7,4,26,0,144,307
Palliser/Palliser,39,Moose Jaw,56,82,6,3,21,0,168,359
Palliser/Palliser,40,Moose Jaw,84,91,11,7,45,1,239,439
Palliser/Palliser,41A,Moose Jaw,73,47,6,1,19,0,146,352
Palliser/Palliser,41B,Mobile poll/Bureau itinérant,71,57,0,2,52,1,183,129
Palliser/Palliser,42,Moose Jaw,60,53,3,4,29,0,149,353
Palliser/Palliser,43,Moose Jaw,54,58,0,3,43,3,161,273
Palliser/Palliser,44,Moose Jaw,101,73,4,6,74,2,260,386
Palliser/Palliser,45,Moose Jaw,67,119,3,3,56,4,252,376
Palliser/Palliser,46,Moose Jaw,50,65,0,0,21,0,136,323
Palliser/Palliser,47,Moose Jaw,65,102,3,4,63,0,237,347
Palliser/Palliser,48,Moose Jaw,51,60,6,1,24,0,142,334
