District,Poll Number,Poll Name,Jean-Philippe Chartré,Maria Pia Chávez,Jay Dell,Jessica Gal,Rachel Hoffman,Marlene Jennings,William R. McCullock,Earl Wertheimer,Rejected Ballots,Total Vote,Electors
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,1,Dorval,Void,,,,,,,,,,
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,2,Dorval,43,34,11,14,1,186,54,1,4,348,643
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,3,Dorval,21,11,1,11,0,130,25,1,1,201,340
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,4,Dorval,46,14,2,16,0,130,46,1,2,257,410
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,5,Dorval,23,24,2,15,1,165,24,3,1,258,408
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,6,Dorval,15,35,2,5,0,131,28,0,8,224,362
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,7,Dorval,21,20,5,13,1,150,37,1,2,250,450
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,8,Dorval,29,19,4,11,0,143,25,0,3,234,401
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,9,Dorval,27,18,2,18,1,130,12,0,1,209,376
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,10,Dorval,64,28,3,16,0,164,29,3,1,308,475
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,11,Dorval,37,25,2,14,0,158,36,2,3,277,465
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,12,Dorval,25,15,5,13,1,184,37,0,2,282,436
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,13,Dorval,37,15,4,21,1,153,33,0,2,266,445
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,14,Dorval,24,23,2,13,0,148,37,0,3,250,431
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,15,Dorval,29,22,1,14,1,143,25,2,5,242,423
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,16,Dorval,11,7,6,7,0,87,21,0,2,141,380
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,17,Dorval,21,12,5,11,0,148,40,0,1,238,384
Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,18,Dorval,25,16,2,12,1,152,39,1,1,249,408
