District,Poll Number,Poll Name,Claudette Bradshaw,Judith Hamel,Hélène Lapointe,Jean LeBlanc,Rejected Ballots,Total Vote,Electors
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,1,Moncton,105,11,28,90,1,235,419
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,2,Moncton,63,4,23,62,2,154,260
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,3,Moncton,81,2,27,30,1,141,250
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,4,Moncton,155,11,27,82,1,276,469
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,5,Moncton,153,6,18,75,1,253,455
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,6,Moncton,125,16,31,64,2,238,408
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,7,Moncton,97,13,20,46,1,177,326
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,8,Moncton,93,10,25,65,3,196,365
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,9,Moncton,108,6,38,45,2,199,426
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,10,Moncton,154,8,31,70,0,263,542
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,11,Moncton,109,6,12,54,0,181,296
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,12,Moncton,170,7,19,67,1,264,415
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,13,Moncton,170,7,31,49,4,261,455
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,14A,Moncton,106,10,22,60,1,199,373
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,14B,Moncton,112,7,30,51,0,200,365
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,15,Moncton,128,11,21,79,1,240,433
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,16,Moncton,48,4,25,21,0,98,294
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,17,Moncton,118,11,32,66,0,227,496
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,18,Moncton,106,5,31,51,2,195,413
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,19,Moncton,141,9,28,50,2,230,469
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,20,Moncton,76,10,38,39,0,163,362
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,21,Moncton,178,7,17,72,1,275,451
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,22,Moncton,37,3,9,21,1,71,252
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,23,Moncton,58,9,25,28,1,121,311
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,24,Moncton,172,17,21,69,2,281,430
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,25,Moncton,220,10,32,60,1,323,550
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,26,Moncton,101,5,24,58,1,189,459
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,27,Moncton,90,8,25,50,0,173,385
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,28,Moncton,90,7,26,39,0,162,399
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,29,Moncton,57,3,32,26,1,119,390
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,30,Moncton,63,5,27,22,4,121,296
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,31,Moncton,67,6,21,35,0,129,323
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,32,Moncton,115,4,33,41,3,196,450
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,33,Moncton,33,13,11,32,0,89,292
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,34A,Moncton,127,6,12,46,2,193,403
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,34B,Moncton,110,16,27,47,4,204,461
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,35A,Moncton,94,10,14,21,3,142,276
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,35B,Moncton,100,2,23,34,0,159,315
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,36,Moncton,106,10,40,53,1,210,375
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,37,Moncton,116,3,16,29,0,164,352
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,38,Moncton,113,10,36,21,2,182,439
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,39,Moncton,170,9,14,73,2,268,391
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,40,Moncton,107,7,24,19,1,158,284
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,41,Moncton,127,9,33,39,2,210,533
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,42,Moncton,88,9,28,45,2,172,365
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,43,Moncton,139,9,34,21,2,205,370
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,44,Moncton,88,12,28,27,0,155,382
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,45,Moncton,117,9,20,28,0,174,397
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,46,Moncton,88,11,32,14,2,147,290
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,47,Moncton,69,10,28,20,1,128,396
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,48,Moncton,110,14,45,44,1,214,433
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,49,Moncton,101,8,23,19,2,153,356
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,50,Moncton,92,16,25,19,1,153,350
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,51,Moncton,91,9,29,46,0,175,297
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,52,Moncton,145,25,31,27,2,230,411
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,53A,Moncton,86,17,26,14,0,143,295
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,53B,Moncton,73,17,24,17,2,133,276
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,54A,Moncton,70,8,19,22,0,119,282
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,54B,Moncton,73,5,11,13,1,103,280
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,55,Moncton,97,10,23,64,0,194,421
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,56,Moncton,214,17,35,68,2,336,509
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,57,Moncton,143,12,25,41,3,224,495
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,58,Moncton,181,6,50,51,9,297,533
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,59A,Moncton,103,7,36,31,1,178,318
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,59B,Moncton,87,9,24,32,2,154,304
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,60,Moncton,124,7,36,56,3,226,469
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,61,Moncton,184,13,40,82,4,323,521
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,62,Moncton,178,9,20,50,0,257,440
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,63A,Moncton,124,10,20,37,2,193,312
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,63B,Moncton,111,4,15,41,0,171,298
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,64,Moncton,142,16,33,66,6,263,430
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,65,Moncton,128,12,41,39,2,222,495
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,66,Moncton,33,4,10,16,2,65,256
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,67,Moncton,115,7,25,33,1,181,340
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,68,Moncton,169,8,25,43,2,247,489
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,69,Moncton,135,13,22,28,2,200,289
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,70,Moncton,119,6,37,47,1,210,386
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,71,Moncton,Merged with No. 72,,,,,,275
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,72,Moncton,203,11,41,52,4,311,299
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,73A,Moncton,52,9,16,16,3,96,265
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,73B,Moncton,79,10,26,10,2,127,306
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,74,Moncton,202,6,20,26,8,262,470
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,75,Moncton,94,12,31,23,2,162,461
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,76,Moncton,86,2,43,31,0,162,444
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,77,Moncton,101,8,22,34,2,167,356
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,78,Moncton,116,19,34,30,2,201,502
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,79,Moncton,107,12,16,22,2,159,289
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,80,Moncton,101,17,26,34,3,181,343
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,81,Moncton,87,11,31,30,0,159,367
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,82,Moncton,75,8,20,15,0,118,272
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,83,Moncton,114,6,36,27,5,188,391
Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe,84,Moncton,112,14,35,51,3,215,378
