District,Poll Number,Poll Name,Simon Black,Jeff Brownridge,Bob Dechert,David Greig,Carolyn Parrish,Rejected Ballots,Total Vote,Electors
Mississauga--Erindale/Mississauga--Erindale,1,Mississauga,21,4,58,1,171,4,259,433
Mississauga--Erindale/Mississauga--Erindale,2,Mississauga,21,9,50,0,192,0,272,510
Mississauga--Erindale/Mississauga--Erindale,3,Mississauga,22,1,19,1,32,1,76,177
Mississauga--Erindale/Mississauga--Erindale,4,Mississauga,35,5,51,2,127,2,222,499
Mississauga--Erindale/Mississauga--Erindale,5,Mississauga,24,6,66,1,142,0,239,452
Mississauga--Erindale/Mississauga--Erindale,6,Mississauga,15,5,54,0,175,0,249,406
Mississauga--Erindale/Mississauga--Erindale,7,Mississauga,17,9,71,2,259,3,361,640
Mississauga--Erindale/Mississauga--Erindale,8,Mississauga,11,14,103,0,158,2,288,538
Mississauga--Erindale/Mississauga--Erindale,9,Mississauga,28,5,79,0,146,0,258,557
Mississauga--Erindale/Mississauga--Erindale,10,Mississauga,26,8,56,0,106,1,197,490
Mississauga--Erindale/Mississauga--Erindale,11,Mississauga,25,3,50,2,124,0,204,459
Mississauga--Erindale/Mississauga--Erindale,12,Mississauga,22,5,73,1,175,6,282,462
Mississauga--Erindale/Mississauga--Erindale,13,Mississauga,13,2,27,0,57,1,100,277
Mississauga--Erindale/Mississauga--Erindale,14,Mississauga,30,7,75,4,213,0,329,579
Mississauga--Erindale/Mississauga--Erindale,15,Mississauga,25,2,99,0,197,0,323,588
Mississauga--Erindale/Mississauga--Erindale,16,Mississauga,28,12,71,1,151,2,265,454
Mississauga--Erindale/Mississauga--Erindale,17,Mississauga,39,9,78,3,159,0,288,445
Mississauga--Erindale/Mississauga--Erindale,18,Mississauga,31,8,64,0,153,0,256,508
Mississauga--Erindale/Mississauga--Erindale,19,Mississauga,16,8,113,0,205,1,343,603
Mississauga--Erindale/Mississauga--Erindale,20,Mississauga,13,4,40,0,70,0,127,299
Mississauga--Erindale/Mississauga--Erindale,21,Mississauga,20,2,77,2,172,4,277,606
Mississauga--Erindale/Mississauga--Erindale,22,Mississauga,11,6,73,0,97,1,188,410
Mississauga--Erindale/Mississauga--Erindale,23,Mississauga,31,10,56,0,116,2,215,455
Mississauga--Erindale/Mississauga--Erindale,24,Mississauga,20,7,86,0,181,1,295,563
Mississauga--Erindale/Mississauga--Erindale,25,Mississauga,4,2,66,0,136,1,209,400
Mississauga--Erindale/Mississauga--Erindale,26,Mississauga,18,8,82,1,138,0,247,424
Mississauga--Erindale/Mississauga--Erindale,27,Mississauga,3,1,60,0,127,0,191,385
Mississauga--Erindale/Mississauga--Erindale,28,Mississauga,20,7,43,1,147,2,220,508
Mississauga--Erindale/Mississauga--Erindale,29,Mississauga,29,3,70,0,111,4,217,481
Mississauga--Erindale/Mississauga--Erindale,30,Mississauga,20,11,92,0,160,1,284,566
Mississauga--Erindale/Mississauga--Erindale,31,Mississauga,18,6,89,2,142,1,258,403
Mississauga--Erindale/Mississauga--Erindale,32,Mississauga,12,5,71,0,138,0,226,382
