Province,Liberal Party of Canada<br>-<br>Parti libéral du Canada Male Seats,Liberal Party of Canada<br>-<br>Parti libéral du Canada Female Seats,Conservative Party of Canada<br>-<br>Parti conservateur du Canada Male Seats,Conservative Party of Canada<br>-<br>Parti conservateur du Canada Female Seats,Bloc Québécois<br>-<br>Bloc Québécois Male Seats,Bloc Québécois<br>-<br>Bloc Québécois Female Seats,New Democratic Party<br>-<br>Nouveau Parti Démocratique Male Seats,New Democratic Party<br>-<br>Nouveau Parti Démocratique Female Seats,No Affiliation<br>-<br>Aucune appartenance Male Seats,No Affiliation<br>-<br>Aucune appartenance Female Seats,Others Male Seats,Others Female Seats,Total Male Seats,Total Female Seats
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",5,0,2,0,0,0,0,0,0,0,0,0,7,0
"Prince Edward Island/Île-du-Prince-Édouard",4,0,0,0,0,0,0,0,0,0,0,0,4,0
"Nova Scotia/Nouvelle-Écosse",6,0,3,0,0,0,1,1,0,0,0,0,10,1
"New Brunswick/Nouveau-Brunswick",6,1,2,0,0,0,1,0,0,0,0,0,9,1
"Quebec/Québec",15,6,0,0,40,14,0,0,0,0,0,0,55,20
"Ontario",53,22,19,5,0,0,7,0,0,0,0,0,79,27
"Manitoba",2,1,6,1,0,0,2,2,0,0,0,0,10,4
"Saskatchewan",1,0,11,2,0,0,0,0,0,0,0,0,12,2
"Alberta",1,1,24,2,0,0,0,0,0,0,0,0,25,3
"British Columbia/Colombie-Britannique",7,1,20,2,0,0,3,2,1,0,0,0,31,5
"Yukon",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Northwest Territories/Territoires du Nord-Ouest",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Nunavut",0,1,0,0,0,0,0,0,0,0,0,0,0,1
