District,Poll Number,Poll Name,Norman E Doyle,Walter Noel,Janine Piller,Scott Vokey,Rejected Ballots,Total Vote,Electors
St. John's North/St. John's-Nord,1,Pouch Cove,47,61,23,0,2,133,237
St. John's North/St. John's-Nord,2,Pouch Cove,67,66,27,1,0,161,333
St. John's North/St. John's-Nord,3,Pouch Cove,83,50,36,2,0,171,409
St. John's North/St. John's-Nord,4,Pouch Cove,69,47,51,6,0,173,324
St. John's North/St. John's-Nord,5,Bauline,66,53,34,5,0,158,283
St. John's North/St. John's-Nord,6,Flatrock,71,47,37,5,1,161,297
St. John's North/St. John's-Nord,7,Flatrock,130,71,47,8,1,257,522
St. John's North/St. John's-Nord,8,Torbay,55,31,33,6,2,127,221
St. John's North/St. John's-Nord,9,Torbay,138,78,59,4,0,279,538
St. John's North/St. John's-Nord,10,Torbay,90,58,40,5,1,194,412
St. John's North/St. John's-Nord,11,Torbay,95,30,28,2,1,156,342
St. John's North/St. John's-Nord,12,Torbay,47,59,24,0,0,130,292
St. John's North/St. John's-Nord,13,Torbay,102,80,44,6,1,233,518
St. John's North/St. John's-Nord,14,Torbay,101,63,57,5,0,226,553
St. John's North/St. John's-Nord,15,Torbay,85,82,32,4,1,204,384
St. John's North/St. John's-Nord,16,Torbay,78,76,49,2,0,205,428
St. John's North/St. John's-Nord,17A,Torbay,77,59,35,6,0,177,344
St. John's North/St. John's-Nord,17B,Torbay,85,65,29,5,0,184,386
St. John's North/St. John's-Nord,18,Logy Bay-Middle Cove-Outer Cove,105,73,43,5,2,228,387
St. John's North/St. John's-Nord,19,Logy Bay-Middle Cove-Outer Cove,118,49,24,2,0,193,306
St. John's North/St. John's-Nord,20,Logy Bay-Middle Cove-Outer Cove,223,97,33,8,1,362,545
St. John's North/St. John's-Nord,21,Logy Bay-Middle Cove-Outer Cove,83,57,36,7,2,185,291
St. John's North/St. John's-Nord,22,Wabana,120,37,15,1,1,174,515
St. John's North/St. John's-Nord,23,Wabana,86,24,12,2,1,125,304
St. John's North/St. John's-Nord,24,Wabana,80,41,19,2,1,143,326
St. John's North/St. John's-Nord,25,Wabana,88,39,20,1,3,151,334
St. John's North/St. John's-Nord,26,Wabana,100,34,7,1,1,143,318
St. John's North/St. John's-Nord,27,Wabana,113,33,11,0,2,159,342
St. John's North/St. John's-Nord,28,Freshwater,66,31,22,1,0,120,236
St. John's North/St. John's-Nord,29,Portugal Cove-St. Philips,55,73,46,2,2,178,342
St. John's North/St. John's-Nord,30,Portugal Cove-St. Philips,71,90,41,3,3,208,440
St. John's North/St. John's-Nord,31,Portugal Cove-St. Philips,59,79,52,2,1,193,395
St. John's North/St. John's-Nord,32,Portugal Cove-St. Philips,65,58,39,6,0,168,372
St. John's North/St. John's-Nord,33,Portugal Cove-St. Philips,79,46,64,3,1,193,404
St. John's North/St. John's-Nord,34,Portugal Cove-St. Philips,66,83,69,6,0,224,452
St. John's North/St. John's-Nord,35,Portugal Cove-St. Philips,61,67,28,1,1,158,288
St. John's North/St. John's-Nord,36,Portugal Cove-St. Philips,117,115,45,5,0,282,529
St. John's North/St. John's-Nord,37A,Portugal Cove-St. Philips,70,71,30,9,0,180,324
St. John's North/St. John's-Nord,37B,Portugal Cove-St. Philips,44,69,40,3,1,157,299
St. John's North/St. John's-Nord,38A,Portugal Cove-St. Philips,77,89,64,5,0,235,430
St. John's North/St. John's-Nord,38B,Portugal Cove-St. Philips,65,76,44,5,1,191,378
St. John's North/St. John's-Nord,39,Paradise,98,64,54,1,1,218,550
St. John's North/St. John's-Nord,40,Paradise,32,20,17,0,0,69,132
St. John's North/St. John's-Nord,41A,Paradise,63,41,18,1,0,123,323
St. John's North/St. John's-Nord,41B,Paradise,60,28,18,6,0,112,281
St. John's North/St. John's-Nord,42A,Paradise,55,56,31,2,1,145,313
St. John's North/St. John's-Nord,42B,Paradise,54,59,22,5,1,141,287
St. John's North/St. John's-Nord,43A,Paradise,35,34,20,2,0,91,251
St. John's North/St. John's-Nord,43B,Paradise,43,25,23,0,0,91,236
St. John's North/St. John's-Nord,44A,Paradise,62,41,28,3,0,134,283
St. John's North/St. John's-Nord,44B,Paradise,64,52,31,4,1,152,303
St. John's North/St. John's-Nord,45A,Paradise,80,102,59,2,1,244,548
St. John's North/St. John's-Nord,45B,Paradise,96,97,53,3,0,249,556
St. John's North/St. John's-Nord,46,Paradise,123,126,49,4,0,302,578
St. John's North/St. John's-Nord,47,Paradise,62,53,46,5,0,166,403
St. John's North/St. John's-Nord,48,Paradise,82,61,44,2,0,189,506
St. John's North/St. John's-Nord,49A,Paradise,82,87,49,3,2,223,580
St. John's North/St. John's-Nord,49B,Paradise,89,95,37,1,0,222,567
St. John's North/St. John's-Nord,50A,Paradise,84,73,48,3,0,208,417
St. John's North/St. John's-Nord,50B,Paradise,63,84,51,3,1,202,402
St. John's North/St. John's-Nord,51A,Paradise,70,74,26,5,0,175,329
St. John's North/St. John's-Nord,51B,Paradise,85,60,20,7,0,172,330
St. John's North/St. John's-Nord,52,St. John's,45,55,27,4,1,132,257
St. John's North/St. John's-Nord,53,St. John's,55,62,53,0,0,170,445
St. John's North/St. John's-Nord,54,St. John's,47,44,25,2,0,118,297
St. John's North/St. John's-Nord,55,St. John's,119,138,47,8,0,312,565
St. John's North/St. John's-Nord,56,St. John's,101,113,63,4,2,283,442
St. John's North/St. John's-Nord,57A,St. John's,68,106,30,3,0,207,359
St. John's North/St. John's-Nord,57B,St. John's,73,83,16,5,1,178,325
St. John's North/St. John's-Nord,58,St. John's,100,84,38,11,1,234,382
St. John's North/St. John's-Nord,59,St. John's,90,89,38,2,1,220,366
St. John's North/St. John's-Nord,60,St. John's,107,130,42,8,0,287,472
St. John's North/St. John's-Nord,61A,St. John's,94,73,34,4,1,206,587
St. John's North/St. John's-Nord,61B,Mobile poll/Bureau itinérant,Merged with No. 107B,,,,,,202
St. John's North/St. John's-Nord,62,St. John's,76,73,13,0,0,162,258
St. John's North/St. John's-Nord,63,St. John's,115,88,56,4,0,263,427
St. John's North/St. John's-Nord,64,St. John's,112,104,53,9,3,281,548
St. John's North/St. John's-Nord,65,St. John's,126,85,45,7,0,263,399
St. John's North/St. John's-Nord,66,St. John's,121,77,18,2,1,219,401
St. John's North/St. John's-Nord,67,St. John's,59,64,49,2,2,176,265
St. John's North/St. John's-Nord,68A,St. John's,84,77,41,6,0,208,370
St. John's North/St. John's-Nord,68B,St. John's,58,70,40,2,0,170,306
St. John's North/St. John's-Nord,69A,St. John's,85,75,37,4,0,201,396
St. John's North/St. John's-Nord,69B,St. John's,72,71,34,2,0,179,350
St. John's North/St. John's-Nord,70,St. John's,71,76,26,2,0,175,322
St. John's North/St. John's-Nord,71A,St. John's,54,56,28,2,1,141,329
St. John's North/St. John's-Nord,71B,St. John's,47,72,30,5,3,157,329
St. John's North/St. John's-Nord,72,St. John's,51,59,32,3,0,145,276
St. John's North/St. John's-Nord,73,St. John's,79,77,24,9,0,189,270
St. John's North/St. John's-Nord,74,St. John's,76,99,43,0,0,218,587
St. John's North/St. John's-Nord,75A,St. John's,50,53,21,2,0,126,252
St. John's North/St. John's-Nord,75B,St. John's,46,55,25,1,0,127,299
St. John's North/St. John's-Nord,76A,St. John's,106,100,23,3,0,232,415
St. John's North/St. John's-Nord,76B,St. John's,79,90,33,2,1,205,382
St. John's North/St. John's-Nord,77,St. John's,106,109,26,5,0,246,400
St. John's North/St. John's-Nord,78,St. John's,125,123,10,5,0,263,380
St. John's North/St. John's-Nord,79,St. John's,119,136,50,7,0,312,538
St. John's North/St. John's-Nord,80,St. John's,67,62,33,3,0,165,298
St. John's North/St. John's-Nord,81,St. John's,69,53,40,2,0,164,384
St. John's North/St. John's-Nord,82,St. John's,91,105,32,4,1,233,377
St. John's North/St. John's-Nord,83,St. John's,100,86,66,10,0,262,411
St. John's North/St. John's-Nord,84,St. John's,103,106,27,6,0,242,387
St. John's North/St. John's-Nord,85,St. John's,120,87,61,11,0,279,452
St. John's North/St. John's-Nord,86,St. John's,84,101,48,3,0,236,378
St. John's North/St. John's-Nord,87,St. John's,59,37,41,2,0,139,234
St. John's North/St. John's-Nord,88,St. John's,80,75,63,2,0,220,420
St. John's North/St. John's-Nord,89,St. John's,60,42,52,4,1,159,382
St. John's North/St. John's-Nord,90,St. John's,37,38,61,3,0,139,392
St. John's North/St. John's-Nord,91,St. John's,88,105,48,9,1,251,477
St. John's North/St. John's-Nord,92,St. John's,117,107,47,6,0,277,448
St. John's North/St. John's-Nord,93,St. John's,60,73,39,13,0,185,285
St. John's North/St. John's-Nord,94,St. John's,69,81,39,1,0,190,322
St. John's North/St. John's-Nord,95,St. John's,100,136,32,12,0,280,418
St. John's North/St. John's-Nord,96,St. John's,44,43,31,0,0,118,269
St. John's North/St. John's-Nord,97,St. John's,67,71,32,5,1,176,329
St. John's North/St. John's-Nord,98,St. John's,67,88,35,5,1,196,305
St. John's North/St. John's-Nord,99,St. John's,80,83,39,2,0,204,397
St. John's North/St. John's-Nord,100,St. John's,57,67,46,4,1,175,363
St. John's North/St. John's-Nord,101,St. John's,123,80,41,4,0,248,400
St. John's North/St. John's-Nord,102,St. John's,141,118,35,5,3,302,483
St. John's North/St. John's-Nord,103,St. John's,44,57,35,1,1,138,322
St. John's North/St. John's-Nord,104,St. John's,126,132,41,7,0,306,500
St. John's North/St. John's-Nord,105,St. John's,80,97,36,1,0,214,294
St. John's North/St. John's-Nord,106,St. John's,112,128,50,8,0,298,442
St. John's North/St. John's-Nord,107A,St. John's,94,76,33,6,1,210,273
St. John's North/St. John's-Nord,107B,Mobile poll/Bureau itinérant,37,30,11,1,0,79,223
St. John's North/St. John's-Nord,108,St. John's,117,146,45,7,1,316,431
St. John's North/St. John's-Nord,109,St. John's,59,42,28,7,1,137,236
St. John's North/St. John's-Nord,110,St. John's,122,72,55,10,0,259,363
St. John's North/St. John's-Nord,111,St. John's,70,63,37,7,0,177,294
St. John's North/St. John's-Nord,112,St. John's,40,49,15,4,0,108,228
St. John's North/St. John's-Nord,113,St. John's,69,98,50,7,0,224,421
St. John's North/St. John's-Nord,114,St. John's,68,61,44,5,0,178,380
St. John's North/St. John's-Nord,115,St. John's,46,67,54,9,2,178,281
St. John's North/St. John's-Nord,116,St. John's,63,45,36,4,1,149,342
St. John's North/St. John's-Nord,117,St. John's,37,45,26,1,3,112,297
St. John's North/St. John's-Nord,118,St. John's,53,56,39,7,0,155,304
St. John's North/St. John's-Nord,119,St. John's,77,59,18,3,0,157,281
St. John's North/St. John's-Nord,120,St. John's,38,57,21,0,0,116,236
St. John's North/St. John's-Nord,121,St. John's,73,70,29,0,0,172,296
St. John's North/St. John's-Nord,122,St. John's,94,52,18,1,0,165,273
St. John's North/St. John's-Nord,123,St. John's,60,58,47,2,1,168,389
