District,Poll Number,Poll Name,Gilbert Barrette,Bernard Hugues Beauchesne,Marc Lemay,Patrick Rancourt,Dennis Shushack,Rejected Ballots,Total Vote,Electors
Abitibi--Témiscamingue/Abitibi--Témiscamingue,1,Val-Paradis,41,1,58,5,0,0,105,184
Abitibi--Témiscamingue/Abitibi--Témiscamingue,2,Beaucanton,17,1,79,1,5,3,106,213
Abitibi--Témiscamingue/Abitibi--Témiscamingue,3,Villebois,25,4,68,2,4,1,104,193
Abitibi--Témiscamingue/Abitibi--Témiscamingue,4,Saint-Lambert-de-Des-Méloizes,19,11,71,0,0,0,101,160
Abitibi--Témiscamingue/Abitibi--Témiscamingue,5,Normétal,42,19,88,4,1,3,157,319
Abitibi--Témiscamingue/Abitibi--Témiscamingue,6,Normétal,31,10,111,4,2,4,162,408
Abitibi--Témiscamingue/Abitibi--Témiscamingue,7,Saint-Vital-de-Clermont,34,13,95,5,6,7,160,339
Abitibi--Témiscamingue/Abitibi--Témiscamingue,8A,Val-Saint-Gilles,8,2,8,1,0,0,19,54
Abitibi--Témiscamingue/Abitibi--Témiscamingue,8B,Val-Saint-Gilles,37,4,38,2,2,2,85,144
Abitibi--Témiscamingue/Abitibi--Témiscamingue,9,La Reine,65,12,76,4,7,3,167,283
Abitibi--Témiscamingue/Abitibi--Témiscamingue,10,Saint-Jacques-de-Dupuy,46,8,101,4,3,0,162,298
Abitibi--Témiscamingue/Abitibi--Témiscamingue,11,Saint-Jacques-de-Dupuy,84,4,118,8,5,5,224,446
Abitibi--Témiscamingue/Abitibi--Témiscamingue,12,La Sarre,74,15,141,7,1,9,247,528
Abitibi--Témiscamingue/Abitibi--Témiscamingue,13,La Sarre,53,8,96,3,2,8,170,380
Abitibi--Témiscamingue/Abitibi--Témiscamingue,14,La Sarre,67,13,106,4,6,6,202,456
Abitibi--Témiscamingue/Abitibi--Témiscamingue,15,Chazel,32,6,74,1,3,1,117,246
Abitibi--Témiscamingue/Abitibi--Témiscamingue,16,La Sarre,18,2,45,1,2,2,70,59
Abitibi--Témiscamingue/Abitibi--Témiscamingue,17,La Sarre,Merged with No. 16,,,,,,,61
Abitibi--Témiscamingue/Abitibi--Témiscamingue,18A,La Sarre,64,10,100,6,4,2,186,413
Abitibi--Témiscamingue/Abitibi--Témiscamingue,18B,La Sarre,79,11,109,5,2,3,209,440
Abitibi--Témiscamingue/Abitibi--Témiscamingue,19,La Sarre,49,12,62,3,4,8,138,356
Abitibi--Témiscamingue/Abitibi--Témiscamingue,20,La Sarre,54,8,78,5,3,4,152,388
Abitibi--Témiscamingue/Abitibi--Témiscamingue,21,La Sarre,66,13,115,2,4,7,207,490
Abitibi--Témiscamingue/Abitibi--Témiscamingue,22,La Sarre,62,2,65,1,3,3,136,320
Abitibi--Témiscamingue/Abitibi--Témiscamingue,23,La Sarre,63,5,60,2,0,1,131,364
Abitibi--Témiscamingue/Abitibi--Témiscamingue,24,La Sarre,60,14,99,2,1,5,181,432
Abitibi--Témiscamingue/Abitibi--Témiscamingue,25,La Sarre,68,11,96,9,6,8,198,516
Abitibi--Témiscamingue/Abitibi--Témiscamingue,26,La Sarre,41,11,98,4,2,4,160,352
Abitibi--Témiscamingue/Abitibi--Témiscamingue,27,La Sarre,41,3,88,1,6,0,139,338
Abitibi--Témiscamingue/Abitibi--Témiscamingue,28,La Sarre,58,6,82,2,5,3,156,339
Abitibi--Témiscamingue/Abitibi--Témiscamingue,29,Clerval,30,12,83,5,4,0,134,239
Abitibi--Témiscamingue/Abitibi--Témiscamingue,30,Sainte-Hélène-de-Mancebourg,38,7,93,3,5,5,151,249
Abitibi--Témiscamingue/Abitibi--Témiscamingue,31,Palmarolle,73,13,129,7,9,1,232,406
Abitibi--Témiscamingue/Abitibi--Témiscamingue,32,Palmarolle,63,14,91,5,6,4,183,362
Abitibi--Témiscamingue/Abitibi--Témiscamingue,33,Palmarolle,47,20,81,8,3,2,161,335
Abitibi--Témiscamingue/Abitibi--Témiscamingue,34,Colombourg,63,21,143,10,5,9,251,536
Abitibi--Témiscamingue/Abitibi--Témiscamingue,35,Macamic,65,13,93,2,2,1,176,334
Abitibi--Témiscamingue/Abitibi--Témiscamingue,36,Macamic,55,8,91,4,3,1,162,331
Abitibi--Témiscamingue/Abitibi--Témiscamingue,37,Macamic,51,9,95,7,8,6,176,381
Abitibi--Témiscamingue/Abitibi--Témiscamingue,38,Macamic,65,10,106,7,2,5,195,374
Abitibi--Témiscamingue/Abitibi--Témiscamingue,39,Macamic,9,0,5,0,0,0,14,142
Abitibi--Témiscamingue/Abitibi--Témiscamingue,40,Authier-Nord,31,4,76,4,3,0,118,196
Abitibi--Témiscamingue/Abitibi--Témiscamingue,41,Authier,33,10,66,3,0,4,116,228
Abitibi--Témiscamingue/Abitibi--Témiscamingue,42,Taschereau,50,8,85,3,5,5,156,330
Abitibi--Témiscamingue/Abitibi--Témiscamingue,43,Roquemaure,39,17,96,2,7,2,163,313
Abitibi--Témiscamingue/Abitibi--Témiscamingue,44,Gallichan,45,12,102,4,9,3,175,332
Abitibi--Témiscamingue/Abitibi--Témiscamingue,45,Sainte-Germaine-Boulé,41,10,112,5,4,9,181,333
Abitibi--Témiscamingue/Abitibi--Témiscamingue,46,Sainte-Germaine-Boulé,52,18,127,4,2,4,207,349
Abitibi--Témiscamingue/Abitibi--Témiscamingue,47,Poularies,33,4,67,3,1,6,114,223
Abitibi--Témiscamingue/Abitibi--Témiscamingue,48,Poularies,56,8,69,4,8,6,151,315
Abitibi--Témiscamingue/Abitibi--Témiscamingue,49,Laferté,46,18,95,1,4,8,172,388
Abitibi--Témiscamingue/Abitibi--Témiscamingue,50,Rapide-Danseur,27,5,73,6,7,3,121,190
Abitibi--Témiscamingue/Abitibi--Témiscamingue,51,Destor,29,8,90,2,5,1,135,250
Abitibi--Témiscamingue/Abitibi--Témiscamingue,52,Duparquet,80,7,93,1,8,2,191,357
Abitibi--Témiscamingue/Abitibi--Témiscamingue,53,Duparquet,32,4,46,1,0,5,88,194
Abitibi--Témiscamingue/Abitibi--Témiscamingue,54,D'Alembert,29,8,89,6,6,7,145,311
Abitibi--Témiscamingue/Abitibi--Témiscamingue,55,D'Alembert,21,8,109,3,6,10,157,362
Abitibi--Témiscamingue/Abitibi--Témiscamingue,56,Saint-Joseph-de-Cléricy,40,17,104,8,5,5,179,346
Abitibi--Témiscamingue/Abitibi--Témiscamingue,57,Saint-Norbert-de-Mont-Brun,78,13,82,10,6,9,198,371
Abitibi--Témiscamingue/Abitibi--Témiscamingue,58,Guyenne,22,3,30,0,1,0,56,123
Abitibi--Témiscamingue/Abitibi--Témiscamingue,59,Berry,21,4,31,1,2,0,59,127
Abitibi--Témiscamingue/Abitibi--Témiscamingue,60,Saint-Nazaire-de-Berry,22,4,78,1,1,0,106,205
Abitibi--Témiscamingue/Abitibi--Témiscamingue,61,Saint-Dominique-du-Rosaire,38,11,104,3,0,3,159,349
Abitibi--Témiscamingue/Abitibi--Témiscamingue,62,Saint-Félix-de-Dalquier,25,9,98,2,5,3,142,332
Abitibi--Témiscamingue/Abitibi--Témiscamingue,63,Saint-Félix-de-Dalquier,30,8,91,3,3,2,137,354
Abitibi--Témiscamingue/Abitibi--Témiscamingue,64,Launay,26,11,64,3,4,3,111,184
Abitibi--Témiscamingue/Abitibi--Témiscamingue,65,Villemontel,47,14,145,9,3,10,228,465
Abitibi--Témiscamingue/Abitibi--Témiscamingue,66,La Ferme,52,15,124,5,10,5,211,374
Abitibi--Témiscamingue/Abitibi--Témiscamingue,67,Manneville,39,19,229,6,3,7,303,529
Abitibi--Témiscamingue/Abitibi--Témiscamingue,68,Preissac,57,18,139,6,13,5,238,550
Abitibi--Témiscamingue/Abitibi--Témiscamingue,69,Saint-Mathieu,47,4,191,12,8,11,273,521
Abitibi--Témiscamingue/Abitibi--Témiscamingue,70,Saint-Marc-de-Figuery,43,10,143,4,6,10,216,438
Abitibi--Témiscamingue/Abitibi--Témiscamingue,71,La Motte,32,18,82,4,4,0,140,283
Abitibi--Témiscamingue/Abitibi--Témiscamingue,72A,Landrienne,30,15,210,9,8,7,279,406
Abitibi--Témiscamingue/Abitibi--Témiscamingue,72B,Landrienne,Merged with No. 73,,,,,,,93
Abitibi--Témiscamingue/Abitibi--Témiscamingue,73,Landrienne,20,5,95,6,3,6,135,216
Abitibi--Témiscamingue/Abitibi--Témiscamingue,74A,La Corne,22,5,78,3,6,2,116,227
Abitibi--Témiscamingue/Abitibi--Témiscamingue,74B,La Corne,19,10,79,5,3,8,124,222
Abitibi--Témiscamingue/Abitibi--Témiscamingue,75A,Amos,32,9,110,2,5,4,162,377
Abitibi--Témiscamingue/Abitibi--Témiscamingue,75B,Amos,39,6,92,3,3,4,147,342
Abitibi--Témiscamingue/Abitibi--Témiscamingue,76,Amos,46,3,111,2,2,2,166,369
Abitibi--Témiscamingue/Abitibi--Témiscamingue,77,Pikogan,82,0,21,5,3,1,112,294
Abitibi--Témiscamingue/Abitibi--Témiscamingue,78,Amos,43,6,127,4,0,9,189,412
Abitibi--Témiscamingue/Abitibi--Témiscamingue,79A,Amos,30,4,63,1,1,2,101,264
Abitibi--Témiscamingue/Abitibi--Témiscamingue,79B,Amos,32,8,89,3,3,2,137,302
Abitibi--Témiscamingue/Abitibi--Témiscamingue,80,Amos,32,11,102,8,5,2,160,399
Abitibi--Témiscamingue/Abitibi--Témiscamingue,81,Amos,48,10,127,5,7,3,200,407
Abitibi--Témiscamingue/Abitibi--Témiscamingue,82,Amos,26,10,88,5,4,2,135,234
Abitibi--Témiscamingue/Abitibi--Témiscamingue,83,Amos,49,15,136,3,7,2,212,407
Abitibi--Témiscamingue/Abitibi--Témiscamingue,84,Amos,87,7,108,7,2,2,213,389
Abitibi--Témiscamingue/Abitibi--Témiscamingue,85,Amos,23,0,117,1,9,2,152,294
Abitibi--Témiscamingue/Abitibi--Témiscamingue,86,Amos,29,4,112,3,4,4,156,318
Abitibi--Témiscamingue/Abitibi--Témiscamingue,87,Amos,41,2,128,2,7,2,182,360
Abitibi--Témiscamingue/Abitibi--Témiscamingue,88,Amos,39,3,127,4,7,5,185,384
Abitibi--Témiscamingue/Abitibi--Témiscamingue,89,Amos,43,7,104,5,3,7,169,340
Abitibi--Témiscamingue/Abitibi--Témiscamingue,90,Amos,44,13,102,2,3,2,166,322
Abitibi--Témiscamingue/Abitibi--Témiscamingue,91,Amos,35,4,76,4,3,0,122,273
Abitibi--Témiscamingue/Abitibi--Témiscamingue,92,Amos,18,7,92,6,2,2,127,313
Abitibi--Témiscamingue/Abitibi--Témiscamingue,93,Amos,57,4,88,2,3,0,154,385
Abitibi--Témiscamingue/Abitibi--Témiscamingue,94,Amos,47,7,115,5,5,3,182,412
Abitibi--Témiscamingue/Abitibi--Témiscamingue,95,Amos,47,5,69,1,0,3,125,279
Abitibi--Témiscamingue/Abitibi--Témiscamingue,96,Amos,51,7,107,4,1,3,173,369
Abitibi--Témiscamingue/Abitibi--Témiscamingue,97,Amos,63,10,128,4,8,10,223,394
Abitibi--Témiscamingue/Abitibi--Témiscamingue,98,Amos,39,6,92,0,4,0,141,300
Abitibi--Témiscamingue/Abitibi--Témiscamingue,99,Amos,54,7,166,3,5,3,238,508
Abitibi--Témiscamingue/Abitibi--Témiscamingue,100,Amos,35,9,112,2,0,6,164,326
Abitibi--Témiscamingue/Abitibi--Témiscamingue,101,Amos,56,2,139,4,4,7,212,429
Abitibi--Témiscamingue/Abitibi--Témiscamingue,102,Rochebaucourt,11,3,42,2,2,1,61,150
Abitibi--Témiscamingue/Abitibi--Témiscamingue,103,La Morandière,29,9,48,1,2,1,90,205
Abitibi--Témiscamingue/Abitibi--Témiscamingue,104,Rochebaucourt,Void,,,,,,,
Abitibi--Témiscamingue/Abitibi--Témiscamingue,105,Champneuf,14,2,40,1,1,0,58,113
Abitibi--Témiscamingue/Abitibi--Témiscamingue,106,Barville,34,15,108,3,2,5,167,331
Abitibi--Témiscamingue/Abitibi--Témiscamingue,107,Barraute,59,10,126,3,2,5,205,407
Abitibi--Témiscamingue/Abitibi--Témiscamingue,108,Barraute,61,18,75,2,9,5,170,355
Abitibi--Témiscamingue/Abitibi--Témiscamingue,109,Barraute,43,17,119,5,1,4,189,412
Abitibi--Témiscamingue/Abitibi--Témiscamingue,110,Arntfield,57,11,123,9,10,5,215,366
Abitibi--Témiscamingue/Abitibi--Témiscamingue,111,Évain,40,8,133,8,5,7,201,367
Abitibi--Témiscamingue/Abitibi--Témiscamingue,112,Évain,35,13,151,6,11,7,223,339
Abitibi--Témiscamingue/Abitibi--Témiscamingue,113,Évain,64,10,150,2,7,11,244,445
Abitibi--Témiscamingue/Abitibi--Témiscamingue,114,Évain,49,13,139,5,9,7,222,447
Abitibi--Témiscamingue/Abitibi--Témiscamingue,115,Évain,43,8,124,4,4,6,189,373
Abitibi--Témiscamingue/Abitibi--Témiscamingue,116,Évain,31,4,95,2,6,4,142,322
Abitibi--Témiscamingue/Abitibi--Témiscamingue,117,Évain,47,8,83,6,10,7,161,316
Abitibi--Témiscamingue/Abitibi--Témiscamingue,118,Montbeillard,70,13,173,5,14,8,283,586
Abitibi--Témiscamingue/Abitibi--Témiscamingue,119,Rouyn-Noranda (Beaudry),52,10,129,7,9,7,214,399
Abitibi--Témiscamingue/Abitibi--Témiscamingue,120,Rouyn-Noranda (Beaudry),51,7,192,2,8,1,261,466
Abitibi--Témiscamingue/Abitibi--Témiscamingue,121,Rouyn-Noranda (Cloutier),46,10,95,4,2,4,161,209
Abitibi--Témiscamingue/Abitibi--Témiscamingue,122,Rouyn-Noranda (Rollet),46,15,92,5,14,1,173,285
Abitibi--Témiscamingue/Abitibi--Témiscamingue,123,Rémigny,50,17,50,7,8,1,133,274
Abitibi--Témiscamingue/Abitibi--Témiscamingue,124,Rouyn-Noranda (Lac-Dufault),21,4,88,2,4,5,124,324
