District,Poll Number,Poll Name,Brent Bouteiller,Mike Chong,Noel Duignan,Bruce Hood,Pat Woode,Rejected Ballots,Total Vote,Electors
Wellington--Halton Hills/Wellington--Halton Hills,1,West Garafraxa,Merged with No. 2,,,,,,,84
Wellington--Halton Hills/Wellington--Halton Hills,2,Belwood,13,136,45,106,13,3,316,284
Wellington--Halton Hills/Wellington--Halton Hills,3,Belwood,7,137,20,123,4,2,293,361
Wellington--Halton Hills/Wellington--Halton Hills,4A,Belwood,17,140,26,93,19,1,296,446
Wellington--Halton Hills/Wellington--Halton Hills,4B,Belwood,Merged with No. 2,,,,,,,76
Wellington--Halton Hills/Wellington--Halton Hills,5,West Garafraxa,11,108,65,122,8,1,315,546
Wellington--Halton Hills/Wellington--Halton Hills,6,West Garafraxa,10,150,35,75,8,0,278,416
Wellington--Halton Hills/Wellington--Halton Hills,7,Nichol,13,85,41,83,4,0,226,224
Wellington--Halton Hills/Wellington--Halton Hills,8,West Garafraxa,10,155,36,130,19,3,353,519
Wellington--Halton Hills/Wellington--Halton Hills,9,West Garafraxa,19,160,28,89,17,1,314,333
Wellington--Halton Hills/Wellington--Halton Hills,10,Eramosa,Merged with No. 9,,,,,,,113
Wellington--Halton Hills/Wellington--Halton Hills,11,Ennotville,27,143,25,115,12,2,324,563
Wellington--Halton Hills/Wellington--Halton Hills,12,Nichol,17,100,31,89,3,1,241,403
Wellington--Halton Hills/Wellington--Halton Hills,13,Nichol,12,116,41,116,6,2,293,482
Wellington--Halton Hills/Wellington--Halton Hills,14,Nichol,21,146,37,118,12,0,334,556
Wellington--Halton Hills/Wellington--Halton Hills,15A,Elora,Merged with No. 7,,,,,,,156
Wellington--Halton Hills/Wellington--Halton Hills,15B,Elora,14,103,24,116,3,0,260,476
Wellington--Halton Hills/Wellington--Halton Hills,16,Elora,19,83,46,87,5,5,245,393
Wellington--Halton Hills/Wellington--Halton Hills,17,Elora,19,86,28,95,2,0,230,374
Wellington--Halton Hills/Wellington--Halton Hills,18,Elora,15,74,36,72,1,0,198,368
Wellington--Halton Hills/Wellington--Halton Hills,19,Elora,20,62,53,89,3,0,227,385
Wellington--Halton Hills/Wellington--Halton Hills,20,Elora,17,113,39,129,12,2,312,548
Wellington--Halton Hills/Wellington--Halton Hills,21A,Elora,7,68,26,91,1,3,196,357
Wellington--Halton Hills/Wellington--Halton Hills,21B,Elora,2,31,14,27,1,0,75,220
Wellington--Halton Hills/Wellington--Halton Hills,22,Nichol,34,80,40,89,0,0,243,432
Wellington--Halton Hills/Wellington--Halton Hills,23,Pilkington,24,111,37,128,7,2,309,505
Wellington--Halton Hills/Wellington--Halton Hills,24,Pilkington,3,65,12,42,3,1,126,219
Wellington--Halton Hills/Wellington--Halton Hills,25,Pilkington,5,29,8,28,2,0,72,144
Wellington--Halton Hills/Wellington--Halton Hills,26,Pilkington,17,130,38,128,5,1,319,481
Wellington--Halton Hills/Wellington--Halton Hills,27A,Centre Wellington,24,112,59,75,6,0,276,486
Wellington--Halton Hills/Wellington--Halton Hills,27B,Centre Wellington,Merged with No. 29,,,,,,,114
Wellington--Halton Hills/Wellington--Halton Hills,28,Centre Wellington,16,92,31,52,6,1,198,335
Wellington--Halton Hills/Wellington--Halton Hills,29,Centre Wellington,18,125,45,70,3,0,261,308
Wellington--Halton Hills/Wellington--Halton Hills,30,Centre Wellington,26,84,43,82,5,0,240,336
Wellington--Halton Hills/Wellington--Halton Hills,31,Centre Wellington,11,65,23,52,2,1,154,300
Wellington--Halton Hills/Wellington--Halton Hills,32A,Centre Wellington,14,83,24,105,7,1,234,355
Wellington--Halton Hills/Wellington--Halton Hills,32B,Centre Wellington,5,40,12,31,3,0,91,111
Wellington--Halton Hills/Wellington--Halton Hills,33,Centre Wellington,17,125,32,101,14,2,291,478
Wellington--Halton Hills/Wellington--Halton Hills,34,Centre Wellington,13,91,28,54,2,3,191,395
Wellington--Halton Hills/Wellington--Halton Hills,35,Centre Wellington,19,122,31,60,6,2,240,314
Wellington--Halton Hills/Wellington--Halton Hills,36,Centre Wellington,18,131,35,87,8,1,280,580
Wellington--Halton Hills/Wellington--Halton Hills,37A,Centre Wellington,Merged with No. 35,,,,,,,132
Wellington--Halton Hills/Wellington--Halton Hills,37B,Centre Wellington,Merged with No. 32B,,,,,,,65
