District,Poll Number,Poll Name,Ern Condon,Shawn Crann,Lori-Ann Martino,Lawrence David O'Brien,Merrill Strachan,Rejected Ballots,Total Vote,Electors
Labrador/Labrador,501,Mobile poll/Bureau itinérant,Void,,,,,,,
Labrador/Labrador,600,Nain,0,1,0,8,0,0,9,
Labrador/Labrador,601,Natuashish,0,1,1,26,3,1,32,
Labrador/Labrador,602,Hopedale,2,0,5,41,3,0,51,
Labrador/Labrador,603,Postville,0,0,1,4,1,0,6,
Labrador/Labrador,604,Makkovik,0,0,0,4,1,0,5,
Labrador/Labrador,605,Rigolet,0,0,0,9,0,0,9,
Labrador/Labrador,606,Labrador City,46,27,7,104,36,2,222,
Labrador/Labrador,607,Churchill Falls,1,6,1,30,5,0,43,
Labrador/Labrador,608,Happy Valley-Goose Bay,13,10,11,103,42,1,180,
Labrador/Labrador,609,Cartwright,2,0,1,11,0,0,14,
Labrador/Labrador,610,Black Tickle,0,1,2,10,0,0,13,
Labrador/Labrador,611,Norman Bay,1,0,0,9,0,0,10,
Labrador/Labrador,612,Charlottetown,0,0,0,7,1,0,8,
Labrador/Labrador,613,Williams Harbour,0,0,0,7,0,0,7,
Labrador/Labrador,614,Mary's Harbour,1,1,0,3,2,0,7,
Labrador/Labrador,615,Port Hope Simpson,0,0,0,12,2,0,14,
Labrador/Labrador,616,L'Anse au Loup,0,2,1,26,1,0,30,
Labrador/Labrador,,Group 1/Groupe 1,3,4,3,44,32,0,86,245
Labrador/Labrador,,Group 2/Groupe 2,12,12,3,84,21,0,132,
