District,Poll Number,Poll Name,David Anderson,Bill Caton,Bev Currie,Jeff Potts,Rejected Ballots,Total Vote,Electors
Cypress Hills--Grasslands/Cypress Hills--Grasslands,82,Hodgeville,133,44,8,61,0,246,390
Cypress Hills--Grasslands/Cypress Hills--Grasslands,83,Shamrock,75,27,1,28,1,132,222
Cypress Hills--Grasslands/Cypress Hills--Grasslands,84,Golden Prairie,65,8,3,6,0,82,141
Cypress Hills--Grasslands/Cypress Hills--Grasslands,85,Hatton,75,3,2,6,0,86,154
Cypress Hills--Grasslands/Cypress Hills--Grasslands,86,Maple Creek,77,11,2,6,0,96,210
Cypress Hills--Grasslands/Cypress Hills--Grasslands,87,Maple Creek,118,53,3,12,0,186,290
Cypress Hills--Grasslands/Cypress Hills--Grasslands,88,Maple Creek,119,39,6,27,1,192,268
Cypress Hills--Grasslands/Cypress Hills--Grasslands,89,Maple Creek,94,40,10,41,1,186,338
Cypress Hills--Grasslands/Cypress Hills--Grasslands,90A,Maple Creek,108,31,5,28,0,172,421
Cypress Hills--Grasslands/Cypress Hills--Grasslands,90B,Maple Creek,110,26,5,32,0,173,429
Cypress Hills--Grasslands/Cypress Hills--Grasslands,91,Maple Creek,106,41,10,55,1,213,395
Cypress Hills--Grasslands/Cypress Hills--Grasslands,92,Consul,198,22,4,13,1,238,391
Cypress Hills--Grasslands/Cypress Hills--Grasslands,93,Hazlet,146,26,14,23,0,209,326
Cypress Hills--Grasslands/Cypress Hills--Grasslands,94,Piapot,102,22,6,12,0,142,207
Cypress Hills--Grasslands/Cypress Hills--Grasslands,95,Tompkins,108,23,6,22,2,161,314
Cypress Hills--Grasslands/Cypress Hills--Grasslands,96,Gull Lake,114,15,1,7,0,137,222
Cypress Hills--Grasslands/Cypress Hills--Grasslands,97,Gull Lake,161,49,12,35,0,257,531
Cypress Hills--Grasslands/Cypress Hills--Grasslands,98,Gull Lake,113,33,15,34,0,195,349
Cypress Hills--Grasslands/Cypress Hills--Grasslands,99,Antelope,71,24,7,8,0,110,207
Cypress Hills--Grasslands/Cypress Hills--Grasslands,100,Lac Pelletier,80,21,5,16,0,122,241
Cypress Hills--Grasslands/Cypress Hills--Grasslands,101,Eastend,189,30,6,13,3,241,334
Cypress Hills--Grasslands/Cypress Hills--Grasslands,102,Eastend,218,44,14,51,2,329,547
Cypress Hills--Grasslands/Cypress Hills--Grasslands,103,Shaunavon,153,36,6,35,1,231,371
Cypress Hills--Grasslands/Cypress Hills--Grasslands,104,Shaunavon,96,22,5,29,1,153,251
Cypress Hills--Grasslands/Cypress Hills--Grasslands,105,Shaunavon,182,48,14,47,0,291,641
Cypress Hills--Grasslands/Cypress Hills--Grasslands,106,Shaunavon,80,31,8,19,2,140,269
