District,Poll Number,Poll Name,Gary Goodyear,John G. Gots,Alex W. Gryc,John Oprea,Janko Peric,Gary Price,Gareth M. White,Rejected Ballots,Total Vote,Electors
Cambridge/Cambridge,1,Cambridge,118,2,0,2,73,43,18,2,258,455
Cambridge/Cambridge,2A,Cambridge,115,3,0,0,56,17,11,0,202,314
Cambridge/Cambridge,2B,Cambridge,56,6,0,2,44,22,3,0,133,277
Cambridge/Cambridge,3,Cambridge,66,0,1,0,63,35,7,0,172,341
Cambridge/Cambridge,4,Cambridge,60,2,0,1,73,30,12,0,178,286
Cambridge/Cambridge,5,Cambridge,55,0,0,0,57,26,7,1,146,267
Cambridge/Cambridge,6,Cambridge,84,0,0,0,66,39,12,0,201,334
Cambridge/Cambridge,7,Cambridge,30,3,0,0,47,18,6,0,104,225
Cambridge/Cambridge,8,Cambridge,48,1,1,0,75,42,13,0,180,305
Cambridge/Cambridge,9,Cambridge,68,2,0,0,68,37,13,0,188,322
Cambridge/Cambridge,10,Cambridge,62,1,0,0,53,49,7,0,172,339
Cambridge/Cambridge,11,Cambridge,106,0,0,1,57,40,17,1,222,396
Cambridge/Cambridge,12,Cambridge,78,0,0,0,50,45,6,1,180,306
Cambridge/Cambridge,13,Cambridge,76,0,0,1,52,30,6,0,165,325
Cambridge/Cambridge,14,Cambridge,71,1,0,0,60,34,15,1,182,366
Cambridge/Cambridge,15,Cambridge,58,0,0,2,59,28,11,0,158,328
Cambridge/Cambridge,16,Cambridge,87,0,0,1,96,36,13,3,236,453
Cambridge/Cambridge,17,Cambridge,64,0,0,1,47,54,11,1,178,356
Cambridge/Cambridge,18,Cambridge,82,0,0,1,77,40,15,1,216,339
Cambridge/Cambridge,19,Cambridge,73,4,0,0,56,49,19,0,201,343
Cambridge/Cambridge,20,Cambridge,79,2,0,0,53,22,14,0,170,291
Cambridge/Cambridge,21,Cambridge,72,0,0,1,58,36,6,0,173,369
Cambridge/Cambridge,22,Cambridge,52,1,0,0,30,14,7,2,106,222
Cambridge/Cambridge,23,Cambridge,83,2,0,0,58,27,10,3,183,324
Cambridge/Cambridge,24A,Cambridge,137,1,0,0,98,55,16,5,312,536
Cambridge/Cambridge,24B,Cambridge,126,4,1,1,80,38,11,0,261,514
Cambridge/Cambridge,25,Cambridge,77,0,0,1,120,47,10,0,255,446
Cambridge/Cambridge,26,Cambridge,77,1,1,0,82,46,12,2,221,361
Cambridge/Cambridge,27,Cambridge,90,1,0,1,109,54,36,3,294,436
Cambridge/Cambridge,28,Cambridge,110,1,0,0,123,15,10,3,262,401
Cambridge/Cambridge,29,Cambridge,81,2,0,0,74,22,6,0,185,332
Cambridge/Cambridge,30,Cambridge,75,2,2,1,66,34,13,0,193,304
Cambridge/Cambridge,31,Cambridge,65,2,0,0,28,24,9,1,129,308
Cambridge/Cambridge,32,Cambridge,103,0,0,1,88,58,14,5,269,472
Cambridge/Cambridge,33,Cambridge,68,1,0,0,55,40,14,0,178,346
Cambridge/Cambridge,34,Cambridge,79,1,1,1,72,40,11,0,205,403
Cambridge/Cambridge,35,Cambridge,62,0,0,2,58,55,14,1,192,387
Cambridge/Cambridge,36A,Cambridge,97,0,0,1,69,20,11,1,199,342
Cambridge/Cambridge,36B,Mobile poll/Bureau itinérant,Merged with No. 38B,,,,,,,,,18
Cambridge/Cambridge,37,Cambridge,82,3,1,0,98,69,6,3,262,486
Cambridge/Cambridge,38A,Cambridge,54,0,0,0,32,27,7,0,120,235
Cambridge/Cambridge,38B,Mobile poll/Bureau itinérant,7,3,0,0,36,7,0,5,58,53
Cambridge/Cambridge,39,Cambridge,38,3,1,0,29,38,15,0,124,302
Cambridge/Cambridge,40,Cambridge,59,2,0,0,32,38,14,2,147,293
Cambridge/Cambridge,41,Cambridge,56,2,1,0,50,26,7,0,142,301
Cambridge/Cambridge,42,Cambridge,45,1,0,0,60,25,12,0,143,317
