District,Poll Number,Poll Name,Jo-Anne Marie Boulding,Glen Hodgson,Andy Mitchell,Keith Montgomery,Rejected Ballots,Total Vote,Electors
Parry Sound--Muskoka/Parry Sound--Muskoka,1,Henvey Inlet 2,13,6,24,8,0,51,95
Parry Sound--Muskoka/Parry Sound--Muskoka,2,Key Junction,31,10,118,69,0,228,492
Parry Sound--Muskoka/Parry Sound--Muskoka,3,Magnetawan 1,5,1,18,1,0,25,51
Parry Sound--Muskoka/Parry Sound--Muskoka,4,Pointe au Baril Station,22,13,92,77,1,205,301
Parry Sound--Muskoka/Parry Sound--Muskoka,5,Shawanaga 17 ,5,3,36,1,0,45,107
Parry Sound--Muskoka/Parry Sound--Muskoka,6,Loring,12,6,67,85,0,170,269
Parry Sound--Muskoka/Parry Sound--Muskoka,7,Dokis 9,4,1,57,2,0,64,112
Parry Sound--Muskoka/Parry Sound--Muskoka,8,Restoule,22,17,63,116,1,219,425
Parry Sound--Muskoka/Parry Sound--Muskoka,9,Arnstein,38,6,65,112,0,221,339
Parry Sound--Muskoka/Parry Sound--Muskoka,10,Port Loring,13,5,28,61,0,107,180
Parry Sound--Muskoka/Parry Sound--Muskoka,11,Whitestone,20,6,35,50,0,111,164
Parry Sound--Muskoka/Parry Sound--Muskoka,12,Hagerman,43,31,150,142,0,366,528
Parry Sound--Muskoka/Parry Sound--Muskoka,13,Ahmic Harbour,21,11,63,51,0,146,244
Parry Sound--Muskoka/Parry Sound--Muskoka,14A,Magnetawan,24,18,84,100,1,227,329
Parry Sound--Muskoka/Parry Sound--Muskoka,14B,Magnetawan,25,8,62,75,1,171,277
Parry Sound--Muskoka/Parry Sound--Muskoka,15,Eagle Lake,36,21,80,76,0,213,366
Parry Sound--Muskoka/Parry Sound--Muskoka,16,Machar,21,8,50,69,1,149,290
Parry Sound--Muskoka/Parry Sound--Muskoka,17,South River,39,13,52,115,0,219,404
Parry Sound--Muskoka/Parry Sound--Muskoka,18A,South River,33,10,37,73,1,154,283
Parry Sound--Muskoka/Parry Sound--Muskoka,18B,South River,25,8,41,84,1,159,266
Parry Sound--Muskoka/Parry Sound--Muskoka,19,South River,Void,,,,,,
Parry Sound--Muskoka/Parry Sound--Muskoka,20,Joly,20,12,59,80,0,171,345
Parry Sound--Muskoka/Parry Sound--Muskoka,21,Strong,28,17,61,59,0,165,273
Parry Sound--Muskoka/Parry Sound--Muskoka,22,Sundridge,34,17,73,90,1,215,418
Parry Sound--Muskoka/Parry Sound--Muskoka,23,Sundridge,33,8,53,66,1,161,303
Parry Sound--Muskoka/Parry Sound--Muskoka,24,Sundridge,9,10,28,48,0,95,160
Parry Sound--Muskoka/Parry Sound--Muskoka,25,Strong,30,12,61,87,0,190,331
Parry Sound--Muskoka/Parry Sound--Muskoka,26,Strong,35,12,64,120,0,231,366
Parry Sound--Muskoka/Parry Sound--Muskoka,27,Chapman,20,10,44,59,0,133,218
Parry Sound--Muskoka/Parry Sound--Muskoka,28,Chapman,2,2,10,20,0,34,78
Parry Sound--Muskoka/Parry Sound--Muskoka,29,Ryerson,43,17,71,89,1,221,395
Parry Sound--Muskoka/Parry Sound--Muskoka,30,Armour,22,24,75,69,0,190,289
Parry Sound--Muskoka/Parry Sound--Muskoka,31A,Burk's Falls,31,18,64,64,1,178,327
Parry Sound--Muskoka/Parry Sound--Muskoka,31B,Burk's Falls,18,13,41,49,0,121,309
Parry Sound--Muskoka/Parry Sound--Muskoka,32,Burk's Falls,24,19,66,65,0,174,368
Parry Sound--Muskoka/Parry Sound--Muskoka,33,Armour,37,14,40,75,0,166,254
Parry Sound--Muskoka/Parry Sound--Muskoka,34,Armour,31,21,104,109,2,267,414
Parry Sound--Muskoka/Parry Sound--Muskoka,35,Kearney,37,15,82,75,1,210,343
Parry Sound--Muskoka/Parry Sound--Muskoka,36,Perry,37,37,69,87,0,230,380
Parry Sound--Muskoka/Parry Sound--Muskoka,37,McMurrich/Monteith,53,32,95,132,0,312,552
Parry Sound--Muskoka/Parry Sound--Muskoka,38,Scotia,38,23,76,94,0,231,455
Parry Sound--Muskoka/Parry Sound--Muskoka,39,Novar,47,23,93,130,1,294,504
Parry Sound--Muskoka/Parry Sound--Muskoka,40,Novar,25,16,75,67,0,183,282
Parry Sound--Muskoka/Parry Sound--Muskoka,41,Sand Lake,31,26,84,95,0,236,442
Parry Sound--Muskoka/Parry Sound--Muskoka,42,Carling,26,26,110,104,1,267,431
Parry Sound--Muskoka/Parry Sound--Muskoka,43,Carling,20,27,118,125,0,290,462
Parry Sound--Muskoka/Parry Sound--Muskoka,44,McDougall,13,23,82,133,0,251,382
Parry Sound--Muskoka/Parry Sound--Muskoka,45,McDougall,25,28,69,80,0,202,357
Parry Sound--Muskoka/Parry Sound--Muskoka,46,McDougall,18,15,63,91,1,188,293
Parry Sound--Muskoka/Parry Sound--Muskoka,47,McDougall,14,27,98,85,0,224,386
Parry Sound--Muskoka/Parry Sound--Muskoka,48,McDougall,9,6,26,63,0,104,190
Parry Sound--Muskoka/Parry Sound--Muskoka,49,McDougall,28,34,85,97,0,244,414
Parry Sound--Muskoka/Parry Sound--Muskoka,50,McKellar,20,18,89,85,1,213,296
Parry Sound--Muskoka/Parry Sound--Muskoka,51,McKellar,28,24,77,150,1,280,475
Parry Sound--Muskoka/Parry Sound--Muskoka,52,Parry Sound,16,16,82,62,2,178,359
Parry Sound--Muskoka/Parry Sound--Muskoka,53,Parry Sound,26,15,83,62,1,187,424
Parry Sound--Muskoka/Parry Sound--Muskoka,54,Parry Sound,26,29,83,55,0,193,349
Parry Sound--Muskoka/Parry Sound--Muskoka,55,Parry Sound,25,22,102,62,1,212,417
Parry Sound--Muskoka/Parry Sound--Muskoka,56,Parry Sound,22,29,87,91,2,231,476
Parry Sound--Muskoka/Parry Sound--Muskoka,57,Parry Sound,20,24,65,56,0,165,368
Parry Sound--Muskoka/Parry Sound--Muskoka,58,Parry Sound,26,20,63,52,1,162,287
Parry Sound--Muskoka/Parry Sound--Muskoka,59,Parry Sound,20,30,81,59,2,192,374
Parry Sound--Muskoka/Parry Sound--Muskoka,60,Parry Sound,26,31,75,51,1,184,344
Parry Sound--Muskoka/Parry Sound--Muskoka,61,Parry Sound,18,39,100,61,1,219,450
Parry Sound--Muskoka/Parry Sound--Muskoka,62,Parry Sound,18,18,48,47,0,131,298
Parry Sound--Muskoka/Parry Sound--Muskoka,63,Parry Sound,18,18,46,37,1,120,333
Parry Sound--Muskoka/Parry Sound--Muskoka,64,Parry Sound,22,19,51,51,1,144,418
Parry Sound--Muskoka/Parry Sound--Muskoka,65,The Archipelago,10,8,25,31,0,74,143
Parry Sound--Muskoka/Parry Sound--Muskoka,66,Parry Island 16,10,7,84,17,0,118,305
Parry Sound--Muskoka/Parry Sound--Muskoka,67,Seguin,22,18,74,93,0,207,373
Parry Sound--Muskoka/Parry Sound--Muskoka,68,Seguin,45,29,80,92,0,246,423
Parry Sound--Muskoka/Parry Sound--Muskoka,69,Seguin,31,12,77,87,0,207,384
Parry Sound--Muskoka/Parry Sound--Muskoka,70,Christie,28,23,112,110,3,276,410
Parry Sound--Muskoka/Parry Sound--Muskoka,71,Seguin,23,20,70,74,0,187,296
Parry Sound--Muskoka/Parry Sound--Muskoka,72,Humphrey,27,15,74,92,3,211,351
Parry Sound--Muskoka/Parry Sound--Muskoka,73,Rosseau,21,21,136,110,0,288,470
Parry Sound--Muskoka/Parry Sound--Muskoka,74,Hekkla,4,9,29,26,0,68,114
Parry Sound--Muskoka/Parry Sound--Muskoka,75,Huntsville,25,16,40,31,2,114,257
Parry Sound--Muskoka/Parry Sound--Muskoka,76,Huntsville,27,14,74,104,0,219,500
Parry Sound--Muskoka/Parry Sound--Muskoka,77,Huntsville,21,28,64,33,1,147,292
Parry Sound--Muskoka/Parry Sound--Muskoka,78,Huntsville,21,22,91,95,1,230,463
Parry Sound--Muskoka/Parry Sound--Muskoka,79,Huntsville,33,37,103,99,0,272,534
Parry Sound--Muskoka/Parry Sound--Muskoka,80,Huntsville,25,13,70,76,0,184,411
Parry Sound--Muskoka/Parry Sound--Muskoka,81,Huntsville,17,16,116,70,0,219,449
Parry Sound--Muskoka/Parry Sound--Muskoka,82,Huntsville,15,9,73,37,0,134,269
Parry Sound--Muskoka/Parry Sound--Muskoka,83,Huntsville,22,6,71,50,1,150,343
Parry Sound--Muskoka/Parry Sound--Muskoka,84,Huntsville,22,7,91,64,1,185,397
Parry Sound--Muskoka/Parry Sound--Muskoka,85A,Huntsville,22,21,103,91,1,238,487
Parry Sound--Muskoka/Parry Sound--Muskoka,85B,Huntsville,32,26,88,56,1,203,397
Parry Sound--Muskoka/Parry Sound--Muskoka,86,Huntsville,13,24,95,68,0,200,396
Parry Sound--Muskoka/Parry Sound--Muskoka,87,Hillside,28,44,154,92,1,319,576
Parry Sound--Muskoka/Parry Sound--Muskoka,88,Huntsville,40,17,99,77,0,233,523
Parry Sound--Muskoka/Parry Sound--Muskoka,89,Huntsville,23,21,64,29,0,137,354
Parry Sound--Muskoka/Parry Sound--Muskoka,90,Huntsville,30,23,72,41,0,166,373
Parry Sound--Muskoka/Parry Sound--Muskoka,91,Huntsville,24,15,102,58,0,199,414
Parry Sound--Muskoka/Parry Sound--Muskoka,92,Huntsville,29,21,62,55,0,167,367
Parry Sound--Muskoka/Parry Sound--Muskoka,93,Huntsville,38,29,98,70,3,238,465
Parry Sound--Muskoka/Parry Sound--Muskoka,94,Huntsville,10,14,49,44,3,120,277
Parry Sound--Muskoka/Parry Sound--Muskoka,95,Huntsville,16,11,60,35,0,122,288
Parry Sound--Muskoka/Parry Sound--Muskoka,96,Huntsville,18,10,90,32,1,151,315
Parry Sound--Muskoka/Parry Sound--Muskoka,97,Ullswater,17,14,103,56,1,191,281
Parry Sound--Muskoka/Parry Sound--Muskoka,98,Windermere,30,18,178,113,1,340,484
Parry Sound--Muskoka/Parry Sound--Muskoka,99A,Huntsville,25,14,55,54,0,148,321
Parry Sound--Muskoka/Parry Sound--Muskoka,99B,Huntsville,32,12,50,50,0,144,296
Parry Sound--Muskoka/Parry Sound--Muskoka,100,Huntsville,52,26,103,85,1,267,476
Parry Sound--Muskoka/Parry Sound--Muskoka,101A,Huntsville,25,15,105,61,1,207,340
Parry Sound--Muskoka/Parry Sound--Muskoka,101B,Huntsville,23,21,112,73,1,230,358
Parry Sound--Muskoka/Parry Sound--Muskoka,102,Huntsville,45,25,121,71,1,263,496
Parry Sound--Muskoka/Parry Sound--Muskoka,103,Huntsville,46,33,129,95,0,303,480
Parry Sound--Muskoka/Parry Sound--Muskoka,104,Huntsville,39,20,113,140,1,313,574
Parry Sound--Muskoka/Parry Sound--Muskoka,105,Huntsville,32,9,67,41,0,149,265
Parry Sound--Muskoka/Parry Sound--Muskoka,106,Huntsville,11,15,58,40,0,124,247
Parry Sound--Muskoka/Parry Sound--Muskoka,107,Huntsville,13,15,49,28,2,107,241
Parry Sound--Muskoka/Parry Sound--Muskoka,108,Huntsville,8,14,100,47,0,169,309
Parry Sound--Muskoka/Parry Sound--Muskoka,109,Huntsville,40,36,111,104,0,291,578
Parry Sound--Muskoka/Parry Sound--Muskoka,110,Dwight,24,8,128,86,2,248,364
Parry Sound--Muskoka/Parry Sound--Muskoka,111,Lake of Bays,7,8,53,46,0,114,219
Parry Sound--Muskoka/Parry Sound--Muskoka,112,Lake of Bays,18,13,96,52,0,179,270
Parry Sound--Muskoka/Parry Sound--Muskoka,113,MacTier,10,5,31,48,1,95,255
Parry Sound--Muskoka/Parry Sound--Muskoka,114,Moose Point 79,4,4,58,5,0,71,115
Parry Sound--Muskoka/Parry Sound--Muskoka,115A,MacTier,9,13,52,81,0,155,312
Parry Sound--Muskoka/Parry Sound--Muskoka,115B,MacTier,11,4,54,51,0,120,267
Parry Sound--Muskoka/Parry Sound--Muskoka,116,Minett,9,5,105,56,0,175,340
Parry Sound--Muskoka/Parry Sound--Muskoka,117,Port Carling,24,32,211,130,1,398,583
Parry Sound--Muskoka/Parry Sound--Muskoka,118,Port Carling,23,25,161,135,0,344,521
Parry Sound--Muskoka/Parry Sound--Muskoka,119,Glen Orchard,12,12,89,62,0,175,311
Parry Sound--Muskoka/Parry Sound--Muskoka,120,Whata,7,6,22,2,1,38,75
Parry Sound--Muskoka/Parry Sound--Muskoka,121,Baxter,30,6,119,167,0,322,507
Parry Sound--Muskoka/Parry Sound--Muskoka,122,Baxter,28,12,107,101,1,249,455
Parry Sound--Muskoka/Parry Sound--Muskoka,123,Honey Harbour,14,11,97,75,0,197,396
Parry Sound--Muskoka/Parry Sound--Muskoka,124,Gravenhurst,23,11,101,35,0,170,316
Parry Sound--Muskoka/Parry Sound--Muskoka,125,Gravenhurst,32,24,87,44,0,187,413
Parry Sound--Muskoka/Parry Sound--Muskoka,126A,Gravenhurst,21,5,90,18,0,134,287
Parry Sound--Muskoka/Parry Sound--Muskoka,126B,Gravenhurst,18,6,56,30,0,110,253
Parry Sound--Muskoka/Parry Sound--Muskoka,127,Gravenhurst,31,13,67,38,0,149,369
Parry Sound--Muskoka/Parry Sound--Muskoka,128,Gravenhurst,27,13,96,72,1,209,439
Parry Sound--Muskoka/Parry Sound--Muskoka,129,Gravenhurst,16,16,64,50,0,146,417
Parry Sound--Muskoka/Parry Sound--Muskoka,130,Gravenhurst,22,6,106,35,0,169,439
Parry Sound--Muskoka/Parry Sound--Muskoka,131A,Bala,13,13,115,73,0,214,344
Parry Sound--Muskoka/Parry Sound--Muskoka,131B,Bala,5,11,99,67,0,182,291
Parry Sound--Muskoka/Parry Sound--Muskoka,132,Milford Bay,19,8,105,80,0,212,354
Parry Sound--Muskoka/Parry Sound--Muskoka,133,Walkers Point,10,9,94,68,0,181,241
Parry Sound--Muskoka/Parry Sound--Muskoka,134,Gravenhurst,25,14,160,120,0,319,618
Parry Sound--Muskoka/Parry Sound--Muskoka,135,Gravenhurst,12,4,53,32,0,101,181
Parry Sound--Muskoka/Parry Sound--Muskoka,136,Gravenhurst,20,11,118,38,1,188,375
Parry Sound--Muskoka/Parry Sound--Muskoka,137A,Gravenhurst,30,9,108,69,0,216,395
Parry Sound--Muskoka/Parry Sound--Muskoka,137B,Gravenhurst,18,8,95,45,2,168,327
Parry Sound--Muskoka/Parry Sound--Muskoka,138A,Gravenhurst,20,10,77,45,1,153,313
Parry Sound--Muskoka/Parry Sound--Muskoka,138B,Gravenhurst,12,6,67,39,0,124,253
Parry Sound--Muskoka/Parry Sound--Muskoka,139,Gravenhurst,23,11,161,75,0,270,445
Parry Sound--Muskoka/Parry Sound--Muskoka,140,Gravenhurst,5,7,57,29,0,98,206
Parry Sound--Muskoka/Parry Sound--Muskoka,141,Southwood,10,4,43,46,3,106,195
Parry Sound--Muskoka/Parry Sound--Muskoka,142,Gravenhurst,26,15,98,103,2,244,451
Parry Sound--Muskoka/Parry Sound--Muskoka,143,Gravenhurst,32,4,43,45,2,126,316
Parry Sound--Muskoka/Parry Sound--Muskoka,144,Gravenhurst,31,11,87,88,0,217,492
Parry Sound--Muskoka/Parry Sound--Muskoka,145A,Gravenhurst,12,6,79,39,1,137,306
Parry Sound--Muskoka/Parry Sound--Muskoka,145B,Gravenhurst,23,10,82,52,0,167,297
Parry Sound--Muskoka/Parry Sound--Muskoka,146,Gravenhurst,34,12,80,98,1,225,374
Parry Sound--Muskoka/Parry Sound--Muskoka,147,Bracebridge,21,21,116,45,3,206,495
Parry Sound--Muskoka/Parry Sound--Muskoka,148,Bracebridge,39,22,116,55,1,233,430
Parry Sound--Muskoka/Parry Sound--Muskoka,149,Bracebridge,24,12,137,51,0,224,503
Parry Sound--Muskoka/Parry Sound--Muskoka,150,Bracebridge,40,8,114,61,0,223,471
Parry Sound--Muskoka/Parry Sound--Muskoka,151,Bracebridge,22,26,98,59,1,206,473
Parry Sound--Muskoka/Parry Sound--Muskoka,152,Bracebridge,50,30,129,77,0,286,525
Parry Sound--Muskoka/Parry Sound--Muskoka,153A,Bracebridge,13,4,103,49,1,170,344
Parry Sound--Muskoka/Parry Sound--Muskoka,153B,Bracebridge,18,8,96,37,0,159,289
Parry Sound--Muskoka/Parry Sound--Muskoka,154,Beaumaris,28,16,143,98,1,286,461
Parry Sound--Muskoka/Parry Sound--Muskoka,155,Muskoka Lakes,7,6,50,33,1,97,172
Parry Sound--Muskoka/Parry Sound--Muskoka,156,Bracebridge,49,34,138,66,1,288,529
Parry Sound--Muskoka/Parry Sound--Muskoka,157,Bracebridge,39,20,87,62,1,209,392
Parry Sound--Muskoka/Parry Sound--Muskoka,158,Baysville,24,19,132,89,1,265,356
Parry Sound--Muskoka/Parry Sound--Muskoka,159,Dorset,42,17,101,75,2,237,386
Parry Sound--Muskoka/Parry Sound--Muskoka,160,Baysville,25,22,109,80,2,238,368
Parry Sound--Muskoka/Parry Sound--Muskoka,161A,Bracebridge,24,24,105,73,1,227,439
Parry Sound--Muskoka/Parry Sound--Muskoka,161B,Bracebridge,30,16,91,95,2,234,430
Parry Sound--Muskoka/Parry Sound--Muskoka,162,Bracebridge,32,16,129,56,1,234,423
Parry Sound--Muskoka/Parry Sound--Muskoka,163,Bracebridge,16,12,92,55,1,176,285
Parry Sound--Muskoka/Parry Sound--Muskoka,164,Bracebridge,8,21,162,56,0,247,473
Parry Sound--Muskoka/Parry Sound--Muskoka,165,Bracebridge,22,10,71,30,3,136,275
Parry Sound--Muskoka/Parry Sound--Muskoka,166,Bracebridge,18,16,81,27,0,142,233
Parry Sound--Muskoka/Parry Sound--Muskoka,167,Muskoka Lakes,6,7,40,32,0,85,180
Parry Sound--Muskoka/Parry Sound--Muskoka,168,Bracebridge,25,21,147,72,0,265,445
Parry Sound--Muskoka/Parry Sound--Muskoka,169A,Bracebridge,22,17,149,76,1,265,453
Parry Sound--Muskoka/Parry Sound--Muskoka,169B,Bracebridge,13,14,125,55,0,207,382
Parry Sound--Muskoka/Parry Sound--Muskoka,170,Bracebridge,32,19,80,51,0,182,394
Parry Sound--Muskoka/Parry Sound--Muskoka,171,Bracebridge,8,7,88,30,0,133,232
Parry Sound--Muskoka/Parry Sound--Muskoka,172,Bracebridge,31,23,89,45,1,189,353
Parry Sound--Muskoka/Parry Sound--Muskoka,173A,Bracebridge,9,18,75,59,1,162,295
Parry Sound--Muskoka/Parry Sound--Muskoka,173B,Bracebridge,11,4,73,40,2,130,241
Parry Sound--Muskoka/Parry Sound--Muskoka,174,Bracebridge,40,15,104,77,1,237,447
Parry Sound--Muskoka/Parry Sound--Muskoka,175,Bracebridge,26,17,89,31,0,163,309
Parry Sound--Muskoka/Parry Sound--Muskoka,176,Bracebridge,19,20,105,69,0,213,311
