District,Poll Number,Poll Name,Hélène Chalifour Scherrer,Roger Clavet,Clermont Gauthier,Jean-Pierre Guay,Robert Turcotte,Rejected Ballots,Total Vote,Electors
Louis-Hébert/Louis-Hébert,1,Sainte-Foy,Merged with No. 1-1B,,,,,,,51
Louis-Hébert/Louis-Hébert,1-1A,Sainte-Foy,64,72,41,8,6,4,195,372
Louis-Hébert/Louis-Hébert,1-1B,Sainte-Foy,49,72,42,5,1,8,177,315
Louis-Hébert/Louis-Hébert,2,Sainte-Foy,27,60,44,4,8,4,147,378
Louis-Hébert/Louis-Hébert,3,Sainte-Foy,53,87,51,6,7,4,208,426
Louis-Hébert/Louis-Hébert,4,Sainte-Foy,38,82,42,10,4,3,179,300
Louis-Hébert/Louis-Hébert,5,Sainte-Foy,54,85,67,10,7,5,228,419
Louis-Hébert/Louis-Hébert,6,Sainte-Foy,55,88,41,9,7,1,201,351
Louis-Hébert/Louis-Hébert,7,Sainte-Foy,52,86,59,6,7,4,214,394
Louis-Hébert/Louis-Hébert,8,Sainte-Foy,47,71,50,10,13,5,196,314
Louis-Hébert/Louis-Hébert,9,Sainte-Foy,59,57,36,6,8,4,170,307
Louis-Hébert/Louis-Hébert,10,Sainte-Foy,55,65,59,12,12,4,207,385
Louis-Hébert/Louis-Hébert,11,Sainte-Foy,32,38,31,5,5,4,115,255
Louis-Hébert/Louis-Hébert,12,Sainte-Foy,66,103,48,7,14,3,241,428
Louis-Hébert/Louis-Hébert,13,Sainte-Foy,43,106,40,4,8,1,202,363
Louis-Hébert/Louis-Hébert,14A,Sainte-Foy,44,93,33,4,18,2,194,309
Louis-Hébert/Louis-Hébert,14B,Sainte-Foy,56,80,36,4,10,2,188,334
Louis-Hébert/Louis-Hébert,15,Sainte-Foy,59,143,37,8,9,4,260,439
Louis-Hébert/Louis-Hébert,16,Sainte-Foy,17,68,28,4,7,4,128,230
Louis-Hébert/Louis-Hébert,17,Sainte-Foy,62,140,58,7,29,9,305,501
Louis-Hébert/Louis-Hébert,18,Sainte-Foy,67,128,64,12,4,7,282,472
Louis-Hébert/Louis-Hébert,19,Sainte-Foy,58,110,41,10,10,3,232,364
Louis-Hébert/Louis-Hébert,20,Sainte-Foy,61,102,57,8,16,2,246,482
Louis-Hébert/Louis-Hébert,21,Sainte-Foy,53,71,35,13,4,1,177,275
Louis-Hébert/Louis-Hébert,22,Sainte-Foy,42,86,25,5,1,3,162,257
Louis-Hébert/Louis-Hébert,23,Sainte-Foy,55,110,32,14,9,1,221,413
Louis-Hébert/Louis-Hébert,24,Sainte-Foy,50,93,47,4,4,6,204,398
Louis-Hébert/Louis-Hébert,25,Sainte-Foy,28,66,40,6,7,4,151,320
Louis-Hébert/Louis-Hébert,26,Sainte-Foy,47,70,29,13,10,3,172,314
Louis-Hébert/Louis-Hébert,27,Sainte-Foy,63,135,44,12,20,6,280,546
Louis-Hébert/Louis-Hébert,28,Sainte-Foy,49,88,37,5,13,9,201,394
Louis-Hébert/Louis-Hébert,29,Sainte-Foy,41,118,25,9,14,9,216,437
Louis-Hébert/Louis-Hébert,30,Sainte-Foy,77,125,30,8,11,7,258,554
Louis-Hébert/Louis-Hébert,31,Sainte-Foy,41,97,27,5,17,3,190,397
Louis-Hébert/Louis-Hébert,32,Sainte-Foy,49,71,14,7,12,3,156,358
Louis-Hébert/Louis-Hébert,33,Sainte-Foy,60,71,25,13,15,4,188,318
Louis-Hébert/Louis-Hébert,34,Sainte-Foy,55,90,33,13,16,5,212,387
