District,Poll Number,Poll Name,Mike Abbey,Colin Atkins,Murray Downing,Lisa Gallagher,David Kattenburg,Merv Tweed,Rejected Ballots,Total Vote,Electors
Brandon--Souris/Brandon--Souris,1,Elkhorn,6,0,42,0,8,94,1,151,224
Brandon--Souris/Brandon--Souris,2,Hargrave,14,0,42,1,2,67,0,126,216
Brandon--Souris/Brandon--Souris,3,Burnbank,5,4,21,0,2,129,0,161,229
Brandon--Souris/Brandon--Souris,4,Scarth,9,0,40,0,1,79,0,129,222
Brandon--Souris/Brandon--Souris,5,Virden,22,1,56,0,12,118,1,210,372
Brandon--Souris/Brandon--Souris,6,Elkhorn,30,1,56,1,3,123,0,214,368
Brandon--Souris/Brandon--Souris,7,Virden,20,1,80,0,4,145,0,250,392
Brandon--Souris/Brandon--Souris,8A,Virden,15,1,51,0,9,121,1,198,329
Brandon--Souris/Brandon--Souris,8B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,,,48
Brandon--Souris/Brandon--Souris,9,Virden,33,1,48,0,4,106,1,193,400
Brandon--Souris/Brandon--Souris,10A,Virden,10,2,34,1,4,64,1,116,289
Brandon--Souris/Brandon--Souris,10B,Virden,17,1,43,1,3,67,0,132,286
Brandon--Souris/Brandon--Souris,11,Virden,21,1,47,0,16,105,1,191,333
Brandon--Souris/Brandon--Souris,12,Virden,35,1,49,1,11,143,2,242,462
Brandon--Souris/Brandon--Souris,13,Kenton,33,4,64,1,19,157,2,280,442
Brandon--Souris/Brandon--Souris,14,Maskawata,15,3,17,0,2,71,1,109,185
Brandon--Souris/Brandon--Souris,15,Cromer,4,1,38,0,2,40,0,85,196
Brandon--Souris/Brandon--Souris,16,Sinclair,6,1,46,1,3,58,0,115,201
Brandon--Souris/Brandon--Souris,17,Pipestone,7,2,62,0,1,61,1,134,195
Brandon--Souris/Brandon--Souris,18,Reston,37,0,109,1,11,130,2,290,510
Brandon--Souris/Brandon--Souris,19,Oak Lake Beach,19,3,50,0,4,142,0,218,337
Brandon--Souris/Brandon--Souris,20,Oak Lake,28,2,32,0,2,99,0,163,338
Brandon--Souris/Brandon--Souris,21,Oak Lake Reserve,6,0,33,0,1,5,0,45,157
Brandon--Souris/Brandon--Souris,22,Sioux Valley,29,0,40,0,3,5,0,77,574
Brandon--Souris/Brandon--Souris,23,Bradwardine,7,2,28,0,4,57,1,99,126
Brandon--Souris/Brandon--Souris,24,Rivers,23,3,33,0,9,70,2,140,283
Brandon--Souris/Brandon--Souris,25,Levine,26,0,44,0,3,93,0,166,331
Brandon--Souris/Brandon--Souris,26,Rivers,47,1,63,1,6,111,0,229,381
Brandon--Souris/Brandon--Souris,27,Rivers,46,3,39,1,4,62,0,155,334
Brandon--Souris/Brandon--Souris,28,Forrest Station,36,2,31,2,6,94,4,175,283
Brandon--Souris/Brandon--Souris,29,Forrest Station,44,2,53,1,10,130,0,240,401
Brandon--Souris/Brandon--Souris,30,Justice,32,0,40,0,4,77,1,154,310
Brandon--Souris/Brandon--Souris,31,Brookdale,9,1,37,0,5,73,1,126,264
Brandon--Souris/Brandon--Souris,32,Wellwood,20,0,23,0,3,96,2,144,246
Brandon--Souris/Brandon--Souris,33A,Sprucewoods,24,0,41,0,3,57,0,125,393
Brandon--Souris/Brandon--Souris,33B,Sprucewoods,24,0,39,0,9,75,0,147,419
Brandon--Souris/Brandon--Souris,34,Fairview,22,1,19,0,9,91,1,143,297
Brandon--Souris/Brandon--Souris,35,Melbourne,14,0,19,1,2,130,2,168,287
Brandon--Souris/Brandon--Souris,36,Carberry,40,3,45,2,10,139,1,240,420
Brandon--Souris/Brandon--Souris,37,Carberry,37,2,35,1,7,132,0,214,411
Brandon--Souris/Brandon--Souris,38,Carberry,30,0,36,2,5,104,0,177,344
Brandon--Souris/Brandon--Souris,39,Alexander,20,2,46,0,15,121,1,205,377
Brandon--Souris/Brandon--Souris,40,Kemnay,34,0,70,2,13,137,1,257,368
Brandon--Souris/Brandon--Souris,41,North Brandon,33,0,63,0,6,81,0,183,308
Brandon--Souris/Brandon--Souris,42,Chater,32,2,31,0,4,104,0,173,259
Brandon--Souris/Brandon--Souris,43,Chater,48,2,61,0,7,84,1,203,416
Brandon--Souris/Brandon--Souris,44,Roseland,30,0,36,0,6,118,0,190,317
Brandon--Souris/Brandon--Souris,45,Brandon Hills,23,0,42,0,2,117,1,185,316
