District,Poll Number,Poll Name,Jean-Claude Gobé,Francine Lalonde,André Langevin,Andre Levert,Christian Prevost,Rejected Ballots,Total Vote,Electors
La Pointe-de-l'Île/La Pointe-de-l'Île,1,Montréal,45,108,3,7,1,0,164,301
La Pointe-de-l'Île/La Pointe-de-l'Île,2,Montréal,40,206,14,6,7,5,278,484
La Pointe-de-l'Île/La Pointe-de-l'Île,3,Montréal,40,141,2,3,9,3,198,377
La Pointe-de-l'Île/La Pointe-de-l'Île,4,Montréal,53,190,3,2,16,7,271,428
La Pointe-de-l'Île/La Pointe-de-l'Île,5,Montréal,50,217,13,12,12,2,306,466
La Pointe-de-l'Île/La Pointe-de-l'Île,6,Montréal,27,102,0,4,5,3,141,247
La Pointe-de-l'Île/La Pointe-de-l'Île,7,Montréal,41,243,6,6,14,4,314,580
La Pointe-de-l'Île/La Pointe-de-l'Île,8,Montréal,25,197,7,7,9,7,252,464
La Pointe-de-l'Île/La Pointe-de-l'Île,9,Montréal,39,262,7,5,3,10,326,500
La Pointe-de-l'Île/La Pointe-de-l'Île,10,Montréal,31,127,4,6,2,3,173,332
La Pointe-de-l'Île/La Pointe-de-l'Île,11,Montréal,41,266,9,14,15,6,351,571
La Pointe-de-l'Île/La Pointe-de-l'Île,12,Montréal,55,276,16,13,16,3,379,601
La Pointe-de-l'Île/La Pointe-de-l'Île,13,Montréal,42,216,11,5,8,3,285,506
La Pointe-de-l'Île/La Pointe-de-l'Île,14,Montréal,53,242,13,7,4,4,323,464
La Pointe-de-l'Île/La Pointe-de-l'Île,15,Montréal,35,128,6,4,5,5,183,380
La Pointe-de-l'Île/La Pointe-de-l'Île,16,Montréal,31,198,14,4,15,4,266,452
La Pointe-de-l'Île/La Pointe-de-l'Île,17,Montréal,30,233,9,8,12,4,296,464
La Pointe-de-l'Île/La Pointe-de-l'Île,18,Montréal,63,115,2,3,12,2,197,430
La Pointe-de-l'Île/La Pointe-de-l'Île,19,Montréal,28,138,3,6,12,6,193,591
La Pointe-de-l'Île/La Pointe-de-l'Île,20,Montréal,82,177,5,8,6,5,283,422
La Pointe-de-l'Île/La Pointe-de-l'Île,21,Montréal,47,200,3,5,2,8,265,460
La Pointe-de-l'Île/La Pointe-de-l'Île,22,Montréal,39,166,8,4,12,6,235,473
La Pointe-de-l'Île/La Pointe-de-l'Île,23,Montréal,60,144,11,8,11,4,238,433
La Pointe-de-l'Île/La Pointe-de-l'Île,24,Montréal,25,83,4,5,10,1,128,277
La Pointe-de-l'Île/La Pointe-de-l'Île,25,Montréal,50,160,7,3,10,7,237,500
La Pointe-de-l'Île/La Pointe-de-l'Île,26,Montréal,88,115,9,2,16,7,237,546
La Pointe-de-l'Île/La Pointe-de-l'Île,27,Montréal,44,88,7,4,10,9,162,277
La Pointe-de-l'Île/La Pointe-de-l'Île,28,Montréal,31,170,5,4,12,5,227,341
La Pointe-de-l'Île/La Pointe-de-l'Île,29,Montréal,37,207,16,4,3,4,271,417
La Pointe-de-l'Île/La Pointe-de-l'Île,30,Montréal,34,124,1,1,8,3,171,351
La Pointe-de-l'Île/La Pointe-de-l'Île,31,Montréal,53,166,5,0,9,5,238,390
La Pointe-de-l'Île/La Pointe-de-l'Île,32,Montréal,99,218,7,4,13,11,352,535
La Pointe-de-l'Île/La Pointe-de-l'Île,33,Montréal,46,172,6,4,9,5,242,418
La Pointe-de-l'Île/La Pointe-de-l'Île,34,Montréal,64,110,6,2,9,11,202,479
La Pointe-de-l'Île/La Pointe-de-l'Île,35,Montréal,50,176,2,4,11,7,250,363
La Pointe-de-l'Île/La Pointe-de-l'Île,36,Montréal,49,177,9,7,20,5,267,433
La Pointe-de-l'Île/La Pointe-de-l'Île,37,Montréal,46,174,11,5,14,7,257,429
La Pointe-de-l'Île/La Pointe-de-l'Île,38,Montréal,62,186,13,3,13,4,281,457
La Pointe-de-l'Île/La Pointe-de-l'Île,39,Montréal,61,191,7,3,7,6,275,432
La Pointe-de-l'Île/La Pointe-de-l'Île,40,Montréal,26,114,1,0,3,3,147,332
La Pointe-de-l'Île/La Pointe-de-l'Île,41,Montréal,47,192,8,5,13,4,269,442
La Pointe-de-l'Île/La Pointe-de-l'Île,42,Montréal,31,142,8,4,4,2,191,276
La Pointe-de-l'Île/La Pointe-de-l'Île,43,Montréal,39,148,10,7,8,11,223,389
La Pointe-de-l'Île/La Pointe-de-l'Île,44,Montréal,50,179,19,15,7,10,280,453
La Pointe-de-l'Île/La Pointe-de-l'Île,45,Montréal,29,112,6,0,9,5,161,392
La Pointe-de-l'Île/La Pointe-de-l'Île,46,Montréal,61,215,17,13,15,8,329,569
La Pointe-de-l'Île/La Pointe-de-l'Île,47,Montréal,43,151,11,0,17,1,223,414
La Pointe-de-l'Île/La Pointe-de-l'Île,48,Montréal,38,112,6,11,6,9,182,415
La Pointe-de-l'Île/La Pointe-de-l'Île,49,Montréal,48,179,10,4,12,11,264,442
La Pointe-de-l'Île/La Pointe-de-l'Île,50,Montréal,59,188,14,3,16,7,287,440
La Pointe-de-l'Île/La Pointe-de-l'Île,51,Montréal,41,125,5,4,11,0,186,361
La Pointe-de-l'Île/La Pointe-de-l'Île,52,Montréal,41,115,6,4,2,0,168,351
La Pointe-de-l'Île/La Pointe-de-l'Île,53,Montréal,32,124,8,4,6,2,176,398
La Pointe-de-l'Île/La Pointe-de-l'Île,54,Montréal,52,115,5,8,9,7,196,317
La Pointe-de-l'Île/La Pointe-de-l'Île,55,Montréal,58,119,3,1,6,5,192,327
La Pointe-de-l'Île/La Pointe-de-l'Île,56,Montréal,44,224,6,12,11,16,313,438
La Pointe-de-l'Île/La Pointe-de-l'Île,57,Montréal,58,271,19,8,10,6,372,512
La Pointe-de-l'Île/La Pointe-de-l'Île,58,Montréal,72,170,15,11,14,16,298,406
La Pointe-de-l'Île/La Pointe-de-l'Île,59,Montréal,47,102,6,6,13,4,178,521
La Pointe-de-l'Île/La Pointe-de-l'Île,60,Montréal,35,92,3,6,7,0,143,359
La Pointe-de-l'Île/La Pointe-de-l'Île,61,Montréal,20,83,3,4,6,1,117,293
La Pointe-de-l'Île/La Pointe-de-l'Île,62,Montréal,27,100,4,6,3,10,150,353
La Pointe-de-l'Île/La Pointe-de-l'Île,63,Montréal,49,163,7,3,17,2,241,454
La Pointe-de-l'Île/La Pointe-de-l'Île,64,Montréal,47,153,5,10,12,1,228,478
La Pointe-de-l'Île/La Pointe-de-l'Île,65,Montréal,31,142,1,4,8,6,192,390
La Pointe-de-l'Île/La Pointe-de-l'Île,66,Montréal,42,184,12,9,10,8,265,509
La Pointe-de-l'Île/La Pointe-de-l'Île,67,Montréal,54,171,5,10,11,6,257,410
La Pointe-de-l'Île/La Pointe-de-l'Île,68,Montréal,49,171,13,0,13,2,248,407
La Pointe-de-l'Île/La Pointe-de-l'Île,69,Montréal,59,166,5,5,9,8,252,375
