District,Poll Number,Poll Name,Gary Carr,Frank Marchetti,Dean Martin,Anwar Naqvi,Rejected Ballots,Total Vote,Electors
Halton/Halton,1,Milton,81,21,89,22,0,213,312
Halton/Halton,2,Milton,88,12,76,18,0,194,281
Halton/Halton,3,Milton,144,22,141,18,2,327,569
Halton/Halton,4,Milton,84,13,102,19,1,219,348
Halton/Halton,5,Milton,66,6,116,24,0,212,328
Halton/Halton,6A,Milton,60,12,98,14,0,184,342
Halton/Halton,6B,Milton,75,21,92,12,3,203,355
Halton/Halton,7,Milton,95,17,129,15,0,256,431
Halton/Halton,8,Milton,72,12,99,12,1,196,355
Halton/Halton,9,Milton,109,13,154,21,0,297,450
Halton/Halton,10,Milton,70,8,85,8,0,171,281
Halton/Halton,11,Milton,123,24,148,26,0,321,556
Halton/Halton,12,Milton,86,19,89,16,0,210,376
Halton/Halton,13,Milton,48,8,50,13,1,120,243
Halton/Halton,14,Milton,92,17,83,17,2,211,440
Halton/Halton,15,Milton,146,14,93,28,1,282,466
Halton/Halton,16,Milton,91,13,90,23,2,219,394
Halton/Halton,17,Milton,70,6,62,17,1,156,356
Halton/Halton,18,Milton,96,11,76,26,0,209,488
Halton/Halton,19,Milton,137,25,111,24,1,298,538
Halton/Halton,20,Milton,85,19,72,30,0,206,386
Halton/Halton,21,Milton,84,14,86,27,0,211,354
Halton/Halton,22,Milton,57,18,76,23,0,174,338
Halton/Halton,23,Milton,77,14,63,23,0,177,338
Halton/Halton,24,Milton,81,15,72,18,0,186,441
Halton/Halton,25,Milton,117,10,91,23,1,242,401
Halton/Halton,26,Milton,80,22,106,40,3,251,516
Halton/Halton,27,Milton,144,20,123,24,3,314,514
Halton/Halton,28,Milton,95,14,82,25,2,218,380
Halton/Halton,29,Milton,82,25,68,32,0,207,363
Halton/Halton,30,Milton,106,20,82,51,0,259,491
Halton/Halton,31,Milton,98,19,87,21,3,228,408
Halton/Halton,32,Milton,65,18,75,35,0,193,470
Halton/Halton,33,Milton,92,16,64,15,0,187,146
Halton/Halton,34,Milton,66,11,82,12,0,171,304
Halton/Halton,35,Milton,79,9,66,17,0,171,290
Halton/Halton,36,Milton,70,11,46,27,1,155,281
Halton/Halton,37,Milton,95,9,90,17,0,211,343
Halton/Halton,38,Milton,74,7,72,26,1,180,272
Halton/Halton,39,Milton,Merged with No. 33,,,,,,131
Halton/Halton,40,Milton,42,7,40,12,0,101,184
Halton/Halton,41,Milton,119,21,102,29,2,273,437
Halton/Halton,42,Milton,142,20,117,31,0,310,481
Halton/Halton,43,Milton,78,13,52,23,0,166,359
Halton/Halton,44,Milton,66,17,66,24,0,173,362
Halton/Halton,45,Milton,76,14,93,35,1,219,402
Halton/Halton,46,Milton,140,23,89,24,1,277,504
Halton/Halton,47,Milton,119,21,92,27,2,261,429
Halton/Halton,48,Milton,110,13,127,24,0,274,451
Halton/Halton,49,Milton,121,12,93,28,0,254,406
Halton/Halton,50,Milton,64,6,69,13,0,152,313
Halton/Halton,51,Milton,84,10,81,26,0,201,391
Halton/Halton,52,Milton,64,19,54,19,2,158,445
Halton/Halton,53,Milton,142,12,95,17,0,266,437
Halton/Halton,54,Milton,136,19,163,36,3,357,526
Halton/Halton,55,Milton,125,22,105,34,0,286,481
Halton/Halton,56,Milton,165,22,133,33,1,354,529
Halton/Halton,57,Milton,127,22,123,26,1,299,476
Halton/Halton,58,Milton,179,16,160,34,0,389,663
Halton/Halton,59,Milton,149,24,124,23,3,323,527
Halton/Halton,60,Milton,Merged with No. 61,,,,,,175
Halton/Halton,61,Milton,71,23,79,25,0,198,181
Halton/Halton,62,Milton,55,6,27,9,0,97,177
Halton/Halton,63,Milton,60,4,43,14,0,121,223
Halton/Halton,64,Milton,72,9,54,25,0,160,245
Halton/Halton,65,Milton,48,8,35,17,0,108,210
Halton/Halton,66,Milton,51,5,37,12,0,105,190
Halton/Halton,67,Milton,35,0,21,12,0,68,161
Halton/Halton,68,Milton,64,7,65,6,1,143,256
Halton/Halton,69,Milton,44,6,35,9,0,94,189
Halton/Halton,70,Milton,75,4,50,7,0,136,246
Halton/Halton,71,Milton,72,9,71,25,1,178,313
Halton/Halton,72,Milton,55,1,55,11,1,123,186
Halton/Halton,73,Milton,51,12,19,8,0,90,166
Halton/Halton,74,Milton,22,7,23,3,1,56,124
Halton/Halton,75,Milton,82,9,50,10,0,151,293
Halton/Halton,76,Milton,73,4,59,7,0,143,240
Halton/Halton,77,Milton,114,5,70,6,0,195,365
Halton/Halton,78,Milton,47,3,29,4,0,83,169
Halton/Halton,79,Milton,54,5,38,10,0,107,193
Halton/Halton,80,Milton,53,9,28,1,0,91,168
Halton/Halton,81,Milton,70,8,36,5,0,119,230
Halton/Halton,82,Milton,56,5,37,8,0,106,153
Halton/Halton,83,Milton,80,8,38,10,0,136,228
Halton/Halton,84,Milton,60,6,70,20,0,156,287
Halton/Halton,85,Milton,52,7,70,8,0,137,295
Halton/Halton,86,Milton,166,18,130,31,0,345,632
Halton/Halton,87,Milton,43,11,66,16,0,136,247
Halton/Halton,88,Milton,41,11,58,16,0,126,237
Halton/Halton,89,Milton,96,16,91,18,2,223,442
Halton/Halton,90,Oakville,81,2,59,11,0,153,296
Halton/Halton,91A,Oakville,98,20,77,38,0,233,417
Halton/Halton,91B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,104
Halton/Halton,92,Oakville,84,15,44,14,0,157,302
Halton/Halton,93,Oakville,121,15,63,15,0,214,390
Halton/Halton,94,Oakville,136,5,77,23,1,242,433
Halton/Halton,95,Oakville,142,6,73,13,0,234,383
Halton/Halton,96,Oakville,162,10,71,23,0,266,468
Halton/Halton,97,Oakville,143,10,44,34,1,232,428
Halton/Halton,98,Oakville,195,8,75,26,1,305,491
Halton/Halton,99,Oakville,176,21,97,35,1,330,597
Halton/Halton,100,Oakville,169,10,106,38,2,325,530
Halton/Halton,101,Oakville,169,17,107,16,4,313,556
Halton/Halton,102,Oakville,143,0,80,20,1,244,391
Halton/Halton,103,Oakville,85,3,57,6,0,151,255
Halton/Halton,104,Oakville,149,16,94,14,2,275,439
Halton/Halton,105,Oakville,98,11,70,14,0,193,323
Halton/Halton,106,Oakville,112,11,67,11,1,202,321
Halton/Halton,107,Oakville,108,9,59,21,1,198,314
Halton/Halton,108,Oakville,100,22,84,39,0,245,518
Halton/Halton,109,Oakville,156,15,82,18,0,271,486
Halton/Halton,110,Oakville,46,1,43,5,2,97,166
Halton/Halton,111,Oakville,94,3,56,6,0,159,269
Halton/Halton,112,Oakville,68,7,29,19,0,123,226
Halton/Halton,113,Oakville,100,2,71,22,1,196,297
Halton/Halton,114,Oakville,70,3,35,11,0,119,194
Halton/Halton,115,Oakville,122,3,71,12,0,208,376
Halton/Halton,116,Oakville,73,9,52,9,0,143,211
Halton/Halton,117,Oakville,97,2,49,7,0,155,267
Halton/Halton,118A,Oakville,190,14,86,18,0,308,534
Halton/Halton,118B,Mobile poll/Bureau itinérant,Merged with No. 500,,,,,,79
Halton/Halton,119,Oakville,153,9,103,22,1,288,404
Halton/Halton,120A,Oakville,85,8,58,9,1,161,333
Halton/Halton,120B,Oakville,103,5,58,11,1,178,309
Halton/Halton,121,Oakville,145,13,104,31,2,295,552
Halton/Halton,122,Oakville,87,2,51,14,3,157,208
Halton/Halton,123,Oakville,154,8,61,25,2,250,417
Halton/Halton,124,Oakville,151,9,107,19,1,287,439
Halton/Halton,125,Oakville,119,20,69,21,1,230,381
Halton/Halton,126,Oakville,116,18,95,26,0,255,434
Halton/Halton,127A,Oakville,101,8,44,13,0,166,352
Halton/Halton,127B,Oakville,97,4,50,15,1,167,351
Halton/Halton,128,Oakville,129,4,74,11,1,219,333
Halton/Halton,129,Oakville,118,3,91,18,0,230,354
Halton/Halton,130,Oakville,119,12,80,16,0,227,371
Halton/Halton,131,Oakville,136,15,86,7,0,244,365
Halton/Halton,132,Oakville,165,11,93,24,0,293,452
Halton/Halton,133,Oakville,121,8,104,20,1,254,425
Halton/Halton,134,Oakville,161,20,68,23,0,272,450
Halton/Halton,135,Oakville,198,15,145,24,0,382,613
Halton/Halton,136,Oakville,124,7,133,8,1,273,433
Halton/Halton,137,Oakville,158,8,93,8,2,269,436
Halton/Halton,138,Oakville,123,12,81,12,3,231,384
Halton/Halton,139,Oakville,131,16,81,20,0,248,403
Halton/Halton,140,Oakville,73,15,61,7,1,157,261
Halton/Halton,141,Oakville,176,9,87,21,0,293,544
Halton/Halton,142,Oakville,114,6,36,15,0,171,208
Halton/Halton,143,Oakville,120,10,87,33,0,250,525
Halton/Halton,144,Oakville,86,7,53,9,1,156,268
Halton/Halton,145,Oakville,53,3,41,14,0,111,208
Halton/Halton,146,Oakville,36,0,27,5,0,68,112
Halton/Halton,147,Oakville,43,2,48,7,1,101,175
Halton/Halton,148,Oakville,94,7,47,9,0,157,286
Halton/Halton,149,Oakville,96,2,52,12,0,162,283
Halton/Halton,150,Oakville,87,15,48,8,4,162,271
Halton/Halton,151,Oakville,76,2,39,6,1,124,214
Halton/Halton,152,Oakville,98,1,60,15,0,174,283
Halton/Halton,153,Oakville,104,10,61,13,0,188,320
Halton/Halton,154,Oakville,111,2,67,8,0,188,268
Halton/Halton,155,Oakville,167,13,95,22,0,297,505
Halton/Halton,156,Oakville,82,9,84,14,0,189,325
Halton/Halton,157,Oakville,101,7,73,5,1,187,327
Halton/Halton,158,Oakville,132,8,61,4,1,206,317
Halton/Halton,159,Oakville,94,4,44,11,0,153,305
Halton/Halton,160,Oakville,82,1,52,3,1,139,247
Halton/Halton,161,Oakville,104,7,80,11,0,202,332
Halton/Halton,162,Oakville,117,10,48,7,2,184,355
Halton/Halton,163,Oakville,162,13,88,15,0,278,494
Halton/Halton,164,Oakville,76,7,73,14,0,170,339
Halton/Halton,165,Oakville,110,7,91,10,1,219,371
Halton/Halton,166,Burlington,66,11,76,8,1,162,253
Halton/Halton,167,Burlington,79,17,135,26,0,257,396
Halton/Halton,168,Burlington,109,20,116,23,1,269,405
Halton/Halton,169,Burlington,89,25,120,20,0,254,367
Halton/Halton,170,Burlington,75,17,111,19,0,222,379
Halton/Halton,171,Burlington,116,19,90,34,0,259,422
Halton/Halton,172,Burlington,88,15,103,14,0,220,386
Halton/Halton,173,Burlington,132,6,102,4,1,245,412
Halton/Halton,174,Burlington,100,5,79,3,1,188,291
Halton/Halton,175,Burlington,120,10,76,7,0,213,344
Halton/Halton,176,Burlington,110,8,94,11,0,223,391
Halton/Halton,177,Burlington,113,9,119,10,0,251,399
Halton/Halton,178,Burlington,118,7,93,3,0,221,372
Halton/Halton,179,Burlington,81,1,62,3,0,147,229
Halton/Halton,180,Burlington,163,6,128,7,2,306,488
Halton/Halton,181,Burlington,134,7,148,9,0,298,471
Halton/Halton,182,Burlington,137,7,98,22,0,264,440
Halton/Halton,183,Burlington,179,19,127,23,2,350,571
Halton/Halton,184A,Burlington,70,12,84,14,0,180,334
Halton/Halton,184B,Burlington,67,6,72,9,1,155,321
Halton/Halton,185,Burlington,101,12,77,29,0,219,380
Halton/Halton,186A,Burlington,70,9,51,27,0,157,321
Halton/Halton,186B,Burlington,79,7,51,20,0,157,336
Halton/Halton,187,Burlington,173,9,119,24,1,326,512
Halton/Halton,188,Burlington,119,10,61,22,0,212,357
Halton/Halton,189,Burlington,140,7,128,13,1,289,439
Halton/Halton,190,Burlington,110,11,86,26,1,234,391
Halton/Halton,191,Burlington,53,4,31,16,0,104,209
Halton/Halton,192,Burlington,186,15,101,18,0,320,547
Halton/Halton,193,Burlington,102,11,79,28,0,220,409
Halton/Halton,194,Burlington,27,0,21,7,0,55,120
Halton/Halton,195,Burlington,57,11,67,13,0,148,248
Halton/Halton,196,Burlington,80,19,72,24,0,195,292
Halton/Halton,197,Burlington,34,4,37,2,0,77,143
Halton/Halton,198,Burlington,63,9,74,12,2,160,255
Halton/Halton,199,Burlington,99,14,87,14,1,215,349
Halton/Halton,200,Burlington,64,9,47,12,0,132,207
Halton/Halton,201,Burlington,134,12,102,17,0,265,431
Halton/Halton,202,Burlington,73,11,67,18,2,171,350
Halton/Halton,203,Burlington,68,1,23,4,1,97,186
Halton/Halton,204A,Burlington,109,9,98,10,1,227,403
Halton/Halton,204B,Burlington,119,9,87,14,3,232,386
Halton/Halton,205,Burlington,Merged with No. 208,,,,,,201
Halton/Halton,206,Burlington,104,5,91,9,0,209,210
Halton/Halton,207,Burlington,Merged with No. 206,,,,,,187
Halton/Halton,208,Burlington,126,19,90,17,0,252,247
