District,Poll Number,Poll Name,Grant Devine,Sigfredo Gonzalez,Robert Thomas Jacobson,Ed Komarnicki,Lonny McKague,Robert Stephen Stringer,Rejected Ballots,Total Vote,Electors
Souris--Moose Mountain/Souris--Moose Mountain,1,Summerberry,12,7,0,66,18,10,0,113,190
Souris--Moose Mountain/Souris--Moose Mountain,2,Grenfell,28,3,2,106,21,25,0,185,239
Souris--Moose Mountain/Souris--Moose Mountain,3,Grenfell,10,0,1,63,17,22,0,113,194
Souris--Moose Mountain/Souris--Moose Mountain,4,Grenfell,26,8,8,124,54,28,0,248,466
Souris--Moose Mountain/Souris--Moose Mountain,5,Sakimay 74,23,4,2,81,35,11,1,157,303
Souris--Moose Mountain/Souris--Moose Mountain,6,Cowessess 73,1,2,0,10,76,9,0,98,307
Souris--Moose Mountain/Souris--Moose Mountain,7,Ochapowace 71,1,0,0,3,19,6,0,29,100
Souris--Moose Mountain/Souris--Moose Mountain,8,Broadview,11,8,1,87,52,44,0,203,293
Souris--Moose Mountain/Souris--Moose Mountain,9,Broadview,9,1,0,81,63,41,1,196,429
Souris--Moose Mountain/Souris--Moose Mountain,10,Whitewood,42,3,3,134,39,27,0,248,379
Souris--Moose Mountain/Souris--Moose Mountain,11,Whitewood,32,4,0,91,42,36,1,206,400
Souris--Moose Mountain/Souris--Moose Mountain,12,Whitewood,10,2,0,41,28,22,0,103,195
Souris--Moose Mountain/Souris--Moose Mountain,13,Wapella,42,3,1,75,20,13,0,154,236
Souris--Moose Mountain/Souris--Moose Mountain,14,Wapella,21,4,0,69,19,25,1,139,264
Souris--Moose Mountain/Souris--Moose Mountain,15,Ste-Marthe--Rocanville,40,4,1,123,32,26,0,226,348
Souris--Moose Mountain/Souris--Moose Mountain,16,Rocanville,15,4,0,47,17,44,3,130,183
Souris--Moose Mountain/Souris--Moose Mountain,17,Rocanville,17,7,2,146,46,52,0,270,482
Souris--Moose Mountain/Souris--Moose Mountain,18,Moosomin,35,7,0,69,47,32,0,190,343
Souris--Moose Mountain/Souris--Moose Mountain,19,Red Jacket,56,2,1,76,28,24,0,187,276
Souris--Moose Mountain/Souris--Moose Mountain,20,Moosomin,18,4,2,47,43,25,2,141,204
Souris--Moose Mountain/Souris--Moose Mountain,21,Moosomin,45,8,2,156,97,54,0,362,716
Souris--Moose Mountain/Souris--Moose Mountain,22,Moosomin,27,7,1,67,54,28,1,185,318
Souris--Moose Mountain/Souris--Moose Mountain,23,Moosomin,21,3,1,113,44,40,0,222,329
Souris--Moose Mountain/Souris--Moose Mountain,24,Langbank,68,2,1,72,21,19,0,183,251
Souris--Moose Mountain/Souris--Moose Mountain,25,St. Hubert Mission,22,0,1,44,16,1,0,84,120
Souris--Moose Mountain/Souris--Moose Mountain,26,Dalzell,56,3,1,109,34,25,1,229,305
Souris--Moose Mountain/Souris--Moose Mountain,27,Kipling,50,6,2,191,44,44,0,337,601
Souris--Moose Mountain/Souris--Moose Mountain,28,Kipling,43,2,0,91,23,24,1,184,261
Souris--Moose Mountain/Souris--Moose Mountain,29,Windthorst,54,3,1,99,54,37,0,248,379
Souris--Moose Mountain/Souris--Moose Mountain,30,Glenavon,34,3,0,161,39,24,0,261,399
Souris--Moose Mountain/Souris--Moose Mountain,31,Parry,27,4,0,41,34,16,0,122,192
Souris--Moose Mountain/Souris--Moose Mountain,32,Milestone,88,8,2,111,109,50,0,368,545
Souris--Moose Mountain/Souris--Moose Mountain,33,Lang,42,0,1,90,33,18,0,184,272
Souris--Moose Mountain/Souris--Moose Mountain,34,Yellow Grass,80,2,0,67,47,30,1,227,345
Souris--Moose Mountain/Souris--Moose Mountain,35,Cedoux,59,2,0,65,36,21,0,183,284
Souris--Moose Mountain/Souris--Moose Mountain,36,McTaggart,39,1,2,72,34,30,0,178,283
Souris--Moose Mountain/Souris--Moose Mountain,37,Huronville,78,1,0,44,18,14,0,155,212
Souris--Moose Mountain/Souris--Moose Mountain,38,Fillmore,56,4,0,35,30,21,3,149,240
Souris--Moose Mountain/Souris--Moose Mountain,39,Creelman,55,0,1,35,18,3,0,112,170
Souris--Moose Mountain/Souris--Moose Mountain,40,Handsworth,34,2,0,54,11,6,0,107,185
Souris--Moose Mountain/Souris--Moose Mountain,41,Kennedy,56,3,2,73,22,13,0,169,282
Souris--Moose Mountain/Souris--Moose Mountain,42,Kenosee Park,94,10,1,72,60,26,0,263,375
Souris--Moose Mountain/Souris--Moose Mountain,42-1,Wawota,23,2,1,51,29,16,0,122,171
Souris--Moose Mountain/Souris--Moose Mountain,43,Wawota,91,6,5,133,102,30,1,368,565
Souris--Moose Mountain/Souris--Moose Mountain,44,Fairlight,19,0,0,68,19,17,0,123,210
Souris--Moose Mountain/Souris--Moose Mountain,45,Fleming,26,1,2,24,23,14,0,90,144
Souris--Moose Mountain/Souris--Moose Mountain,46,Ryerson,43,3,0,56,14,9,0,125,174
Souris--Moose Mountain/Souris--Moose Mountain,47,Maryfield,37,7,2,73,19,29,0,167,280
Souris--Moose Mountain/Souris--Moose Mountain,48,Antler,33,1,0,50,27,10,1,122,207
Souris--Moose Mountain/Souris--Moose Mountain,49,Wauchope,78,3,1,104,34,17,0,237,361
Souris--Moose Mountain/Souris--Moose Mountain,50,Redvers,28,3,2,85,53,22,1,194,308
Souris--Moose Mountain/Souris--Moose Mountain,51,Redvers,37,1,2,105,55,38,3,241,405
Souris--Moose Mountain/Souris--Moose Mountain,52,Manor,57,5,4,97,19,17,1,200,350
Souris--Moose Mountain/Souris--Moose Mountain,53,Steppes,72,2,1,70,19,15,0,179,248
Souris--Moose Mountain/Souris--Moose Mountain,54,Carlyle,62,1,1,116,58,50,1,289,684
Souris--Moose Mountain/Souris--Moose Mountain,55,Carlyle,19,1,1,44,15,21,0,101,193
Souris--Moose Mountain/Souris--Moose Mountain,56,Carlyle,20,2,1,32,19,17,0,91,229
Souris--Moose Mountain/Souris--Moose Mountain,57,White Bear 70,14,2,0,17,78,17,1,129,307
Souris--Moose Mountain/Souris--Moose Mountain,58,Arcola,86,12,2,121,45,48,2,316,549
Souris--Moose Mountain/Souris--Moose Mountain,59,Kisbey,39,1,0,61,30,16,0,147,283
Souris--Moose Mountain/Souris--Moose Mountain,60,Heward,108,3,0,110,59,45,1,326,536
Souris--Moose Mountain/Souris--Moose Mountain,61,Stoughton,59,8,0,95,41,35,2,240,378
Souris--Moose Mountain/Souris--Moose Mountain,62,Griffin,80,3,2,37,26,30,0,178,248
Souris--Moose Mountain/Souris--Moose Mountain,63,North Weyburn,103,4,3,79,50,49,0,288,439
Souris--Moose Mountain/Souris--Moose Mountain,64,Weyburn,85,4,2,117,92,53,0,353,596
Souris--Moose Mountain/Souris--Moose Mountain,65,Weyburn,49,0,1,62,56,37,0,205,336
Souris--Moose Mountain/Souris--Moose Mountain,66,Weyburn,39,5,0,30,59,38,0,171,365
Souris--Moose Mountain/Souris--Moose Mountain,67,Weyburn,16,5,1,42,21,30,2,117,247
Souris--Moose Mountain/Souris--Moose Mountain,68,Weyburn,13,3,1,25,23,27,1,93,262
Souris--Moose Mountain/Souris--Moose Mountain,69,Weyburn,27,3,1,34,18,21,0,104,235
Souris--Moose Mountain/Souris--Moose Mountain,70,Weyburn,22,6,2,55,22,44,0,151,325
Souris--Moose Mountain/Souris--Moose Mountain,71,Weyburn,36,6,1,50,54,61,1,209,361
Souris--Moose Mountain/Souris--Moose Mountain,72,Weyburn,19,2,3,45,61,33,0,163,344
Souris--Moose Mountain/Souris--Moose Mountain,73,Weyburn,34,0,1,66,53,36,0,190,316
Souris--Moose Mountain/Souris--Moose Mountain,74,Weyburn,34,3,1,46,46,36,1,167,296
Souris--Moose Mountain/Souris--Moose Mountain,75,Weyburn,38,5,0,41,42,49,2,177,385
Souris--Moose Mountain/Souris--Moose Mountain,76,Weyburn,24,1,1,46,57,45,0,174,354
Souris--Moose Mountain/Souris--Moose Mountain,77,Weyburn,58,2,4,62,61,29,2,218,407
Souris--Moose Mountain/Souris--Moose Mountain,78,Weyburn,41,1,1,64,55,42,0,204,334
Souris--Moose Mountain/Souris--Moose Mountain,79,Weyburn,48,4,0,46,66,36,0,200,414
Souris--Moose Mountain/Souris--Moose Mountain,80,Weyburn,21,5,1,51,30,38,1,147,335
Souris--Moose Mountain/Souris--Moose Mountain,81,Weyburn,36,0,3,57,37,24,0,157,317
Souris--Moose Mountain/Souris--Moose Mountain,82,Weyburn,52,3,0,86,68,55,0,264,458
Souris--Moose Mountain/Souris--Moose Mountain,83,Weyburn,71,3,0,75,65,47,0,261,470
Souris--Moose Mountain/Souris--Moose Mountain,84,Khedive,66,3,1,54,63,20,2,209,292
Souris--Moose Mountain/Souris--Moose Mountain,85,Pangman,17,2,0,53,54,44,0,170,222
Souris--Moose Mountain/Souris--Moose Mountain,86,Ogema,24,3,0,41,82,10,0,160,225
Souris--Moose Mountain/Souris--Moose Mountain,87,Ogema,6,0,0,42,114,21,0,183,255
Souris--Moose Mountain/Souris--Moose Mountain,88,Kayville,19,3,2,45,31,16,0,116,181
Souris--Moose Mountain/Souris--Moose Mountain,89,Viceroy,26,2,1,70,27,13,0,139,257
Souris--Moose Mountain/Souris--Moose Mountain,90,Coronach,21,3,0,90,66,27,1,208,292
Souris--Moose Mountain/Souris--Moose Mountain,91,Coronach,21,9,2,128,65,58,1,284,437
Souris--Moose Mountain/Souris--Moose Mountain,92,Big Beaver,37,2,1,54,12,8,0,114,158
Souris--Moose Mountain/Souris--Moose Mountain,93,Bengough,28,1,1,67,26,5,0,128,194
Souris--Moose Mountain/Souris--Moose Mountain,94,Bengough,19,2,3,71,55,16,0,166,326
Souris--Moose Mountain/Souris--Moose Mountain,95,Hardy,48,1,0,58,50,25,1,183,270
Souris--Moose Mountain/Souris--Moose Mountain,96,Minton,79,0,0,55,29,18,1,182,246
Souris--Moose Mountain/Souris--Moose Mountain,97,Lake Alma,65,1,2,67,14,21,0,170,221
Souris--Moose Mountain/Souris--Moose Mountain,98,Radville,51,2,0,48,23,4,0,128,195
Souris--Moose Mountain/Souris--Moose Mountain,99,Radville,73,3,1,77,77,41,1,273,468
Souris--Moose Mountain/Souris--Moose Mountain,100,Radville,17,1,1,22,25,12,0,78,139
Souris--Moose Mountain/Souris--Moose Mountain,101,Goodwater,88,2,0,60,24,12,1,187,252
Souris--Moose Mountain/Souris--Moose Mountain,102,Oungre,66,2,3,58,19,21,0,169,264
Souris--Moose Mountain/Souris--Moose Mountain,103,Outram,123,2,1,64,47,9,0,246,350
Souris--Moose Mountain/Souris--Moose Mountain,104,Macoun,55,2,0,54,20,10,0,141,196
Souris--Moose Mountain/Souris--Moose Mountain,105,Halbrite,100,1,1,50,18,27,0,197,299
Souris--Moose Mountain/Souris--Moose Mountain,106,Midale,114,1,2,63,21,35,0,236,409
Souris--Moose Mountain/Souris--Moose Mountain,107,Benson,137,1,0,60,10,11,0,219,309
Souris--Moose Mountain/Souris--Moose Mountain,108,Halkett,74,2,5,40,22,22,0,165,285
Souris--Moose Mountain/Souris--Moose Mountain,109,Shand,134,3,1,71,25,21,0,255,356
Souris--Moose Mountain/Souris--Moose Mountain,110,Estevan,141,8,0,129,56,42,0,376,596
Souris--Moose Mountain/Souris--Moose Mountain,111,Estevan,84,3,2,78,40,20,0,227,412
Souris--Moose Mountain/Souris--Moose Mountain,112,Estevan,67,12,3,68,23,21,1,195,340
Souris--Moose Mountain/Souris--Moose Mountain,113,Estevan,56,6,0,74,33,23,0,192,369
Souris--Moose Mountain/Souris--Moose Mountain,114,Estevan,75,5,1,60,33,18,0,192,328
Souris--Moose Mountain/Souris--Moose Mountain,115,Estevan,62,2,1,40,23,32,1,161,315
Souris--Moose Mountain/Souris--Moose Mountain,116,Estevan,42,5,0,58,19,22,0,146,340
Souris--Moose Mountain/Souris--Moose Mountain,117,Estevan,65,1,3,47,18,20,0,154,346
Souris--Moose Mountain/Souris--Moose Mountain,118,Estevan,68,7,2,62,19,20,0,178,322
Souris--Moose Mountain/Souris--Moose Mountain,119,Estevan,94,5,0,80,35,12,1,227,362
Souris--Moose Mountain/Souris--Moose Mountain,120,Estevan,67,1,0,90,27,22,2,209,362
Souris--Moose Mountain/Souris--Moose Mountain,121,Estevan,56,3,3,58,14,25,1,160,329
Souris--Moose Mountain/Souris--Moose Mountain,122,Estevan,88,5,3,82,25,28,0,231,405
Souris--Moose Mountain/Souris--Moose Mountain,123,Estevan,44,1,0,29,8,9,1,92,277
Souris--Moose Mountain/Souris--Moose Mountain,124,Estevan,81,1,0,63,42,29,1,217,423
Souris--Moose Mountain/Souris--Moose Mountain,125,Estevan,72,12,3,72,36,31,0,226,477
Souris--Moose Mountain/Souris--Moose Mountain,126,Estevan,53,7,2,72,28,39,0,201,407
Souris--Moose Mountain/Souris--Moose Mountain,127,Estevan,51,2,0,47,29,16,0,145,284
Souris--Moose Mountain/Souris--Moose Mountain,128,Estevan,36,4,0,55,20,18,2,135,345
Souris--Moose Mountain/Souris--Moose Mountain,129,Estevan,56,3,1,53,23,20,0,156,388
Souris--Moose Mountain/Souris--Moose Mountain,130,Estevan,48,2,1,48,22,23,1,145,275
Souris--Moose Mountain/Souris--Moose Mountain,131,Bienfait,112,8,1,95,35,41,0,292,537
Souris--Moose Mountain/Souris--Moose Mountain,132,Bienfait,47,2,2,62,11,16,0,140,238
Souris--Moose Mountain/Souris--Moose Mountain,133,Lampman,110,1,1,41,20,8,1,182,246
Souris--Moose Mountain/Souris--Moose Mountain,134,Browning,63,0,0,19,13,0,0,95,128
Souris--Moose Mountain/Souris--Moose Mountain,135,Lampman,134,1,2,76,31,23,0,267,399
Souris--Moose Mountain/Souris--Moose Mountain,136,Alameda,116,5,0,71,31,33,0,256,365
Souris--Moose Mountain/Souris--Moose Mountain,137,Frobisher,73,8,0,54,21,20,0,176,260
Souris--Moose Mountain/Souris--Moose Mountain,138,North Portal,47,3,1,41,14,15,0,121,170
Souris--Moose Mountain/Souris--Moose Mountain,139,Glen Ewen,101,3,0,73,15,23,0,215,356
Souris--Moose Mountain/Souris--Moose Mountain,140,Oxbow,75,7,1,75,24,24,0,206,446
Souris--Moose Mountain/Souris--Moose Mountain,141,Oxbow,41,2,1,51,14,17,2,128,244
Souris--Moose Mountain/Souris--Moose Mountain,142,Oxbow,57,0,0,37,13,8,0,115,193
Souris--Moose Mountain/Souris--Moose Mountain,143,Alida,121,2,0,72,24,16,0,235,341
Souris--Moose Mountain/Souris--Moose Mountain,144,Carnduff,30,2,0,57,20,15,0,124,182
Souris--Moose Mountain/Souris--Moose Mountain,145,Carnduff,33,3,2,54,18,21,1,132,267
Souris--Moose Mountain/Souris--Moose Mountain,146,Carnduff,94,3,5,115,32,49,0,298,572
Souris--Moose Mountain/Souris--Moose Mountain,147,Carievale,54,3,0,78,8,17,0,160,288
Souris--Moose Mountain/Souris--Moose Mountain,148,Storthoaks,15,0,0,83,7,11,0,116,186
Souris--Moose Mountain/Souris--Moose Mountain,149,Gainsborough,56,6,0,108,26,19,0,215,326
Souris--Moose Mountain/Souris--Moose Mountain,500,Mobile poll/Bureau itinérant,10,0,2,15,13,16,4,60,129
Souris--Moose Mountain/Souris--Moose Mountain,501,Mobile poll/Bureau itinérant,5,0,1,8,11,6,1,32,63
Souris--Moose Mountain/Souris--Moose Mountain,502,Mobile poll/Bureau itinérant,7,2,1,7,19,13,2,51,90
Souris--Moose Mountain/Souris--Moose Mountain,503,Mobile poll/Bureau itinérant,11,0,1,13,11,19,1,56,118
Souris--Moose Mountain/Souris--Moose Mountain,504,Mobile poll/Bureau itinérant,19,3,1,12,15,10,1,61,145
Souris--Moose Mountain/Souris--Moose Mountain,505,Mobile poll/Bureau itinérant,12,1,2,10,7,9,1,42,74
Souris--Moose Mountain/Souris--Moose Mountain,506,Mobile poll/Bureau itinérant,8,4,3,18,15,15,1,64,162
Souris--Moose Mountain/Souris--Moose Mountain,507,Mobile poll/Bureau itinérant,Void,,,,,,,,
Souris--Moose Mountain/Souris--Moose Mountain,508,Mobile poll/Bureau itinérant,Void,,,,,,,,
Souris--Moose Mountain/Souris--Moose Mountain,509,Mobile poll/Bureau itinérant,Void,,,,,,,,
Souris--Moose Mountain/Souris--Moose Mountain,510,Mobile poll/Bureau itinérant,Void,,,,,,,,
Souris--Moose Mountain/Souris--Moose Mountain,600,Grenfell,8,1,0,64,19,10,0,102,
Souris--Moose Mountain/Souris--Moose Mountain,601,Whitewood,14,3,0,44,20,11,0,92,
Souris--Moose Mountain/Souris--Moose Mountain,602,Moosomin,19,5,4,88,45,27,0,188,
Souris--Moose Mountain/Souris--Moose Mountain,603,Bengough,19,1,0,45,27,14,0,106,
Souris--Moose Mountain/Souris--Moose Mountain,604,Radville,22,0,0,37,27,11,0,97,
Souris--Moose Mountain/Souris--Moose Mountain,605,Weyburn Fillmore,115,7,3,155,156,92,3,531,
Souris--Moose Mountain/Souris--Moose Mountain,606,Estevan,148,6,2,212,68,44,0,480,
Souris--Moose Mountain/Souris--Moose Mountain,607,Oxbow,37,0,0,24,7,6,0,74,
Souris--Moose Mountain/Souris--Moose Mountain,608,Carnduff,29,3,0,51,4,5,0,92,
Souris--Moose Mountain/Souris--Moose Mountain,609,Carlyle,16,0,1,29,18,6,0,70,
Souris--Moose Mountain/Souris--Moose Mountain,,Group 1/Groupe 1,6,3,1,20,22,12,0,64,125
Souris--Moose Mountain/Souris--Moose Mountain,,Group 2/Groupe 2,127,7,3,136,114,74,6,467,
